lane,chart,symbol,expert,broker_action_state,derived_magic,InpRunId,InpCandidate,InpTargetSymbol,InpAllowedAccountLoginsCsv,InpDryRunOnly,InpBrokerActionAllowed,InpAllowDemoTrading,InpFixedLot,InpMaxOpenPositionsPerInstance,InpMaxEstimatedCostR,InpMaxMeasuredSpreadPoints,InpTradeSessionGateEnabled,InpTradeSessionStartHour,InpTradeSessionEndHour,InpSmartTrendFilterEnabled,InpSmartTrendFilterShadowOnly,InpSmartTrendRequireD1,InpSmartTrendRequireH1,InpSmartTrendMinD1Aligned,InpSmartTrendMinH1Aligned,InpCloseActionAllowed,InpDailyFloorAed,InpNextDailyFloorEnabled,InpNextDailyFloorAed,InpDailyLossStopEnabled,InpDailyLossStopAed,InpEntryHaltFileName,sha256,path
A1,chart11.chr,XAUUSD,NO_EA,NO_EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30b1f80bd309abaf4f25e810656e13fe890e2ede963ba0a24c16cc33fbe6c126,C:\Users\ZHAO ZHU INFORMATION\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Profiles\Charts\Default\chart11.chr
A1,chart12.chr,EURUSD,NO_EA,NO_EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7ef8af5d9de6d2ff5907c1a1b6e46de99f003242f0addca1be517446ed44d297,C:\Users\ZHAO ZHU INFORMATION\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Profiles\Charts\Default\chart12.chr
A1,chart13.chr,GBPUSD,NO_EA,NO_EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dfab5e493966ea36722da5bc9feffab45fbf42db5011a7c1041cb88c0eaab859,C:\Users\ZHAO ZHU INFORMATION\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Profiles\Charts\Default\chart13.chr
A1,chart14.chr,XAUUSD,NO_EA,NO_EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c4955ff1df72cca966c88cc8b36f12e380989ab246064505e426429bd0a1684e,C:\Users\ZHAO ZHU INFORMATION\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Profiles\Charts\Default\chart14.chr
A1,chart15.chr,XAUUSD,NO_EA,NO_EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47f828bea5ad8e2299190cb4d330c12886b1b9da9e0832131c6619458f7c3cae,C:\Users\ZHAO ZHU INFORMATION\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Profiles\Charts\Default\chart15.chr
A1,chart16.chr,XAUUSD,NO_EA,NO_EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97042a32913cc50c036ae6899a875a0421a4724d528f856fcdeb20ecf1df53f3,C:\Users\ZHAO ZHU INFORMATION\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Profiles\Charts\Default\chart16.chr
A1,chart17.chr,XAUUSD,NO_EA,NO_EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223c0b5182b2a0874e07c5b007d608a0b7a084ebab40079fd2b5bb1567f02ddd,C:\Users\ZHAO ZHU INFORMATION\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Profiles\Charts\Default\chart17.chr
A1,chart18.chr,XAUUSD,NO_EA,NO_EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,663afa24abe5714ec4e10f508f6b41af35dffe9d888f7512a044e66451db308f,C:\Users\ZHAO ZHU INFORMATION\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Profiles\Charts\Default\chart18.chr
A1,chart19.chr,XAUUSD,NO_EA,NO_EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4c362bf216b70031acb2a8a0498147651aed444eeefbc35d13336f194810282b,C:\Users\ZHAO ZHU INFORMATION\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Profiles\Charts\Default\chart19.chr
A1,chart20.chr,EURUSD,NO_EA,NO_EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b7de6f2fa45ac9016a839be48b2c6869cfea891ac9fd087c35d8f38fb9a2969c,C:\Users\ZHAO ZHU INFORMATION\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Profiles\Charts\Default\chart20.chr
A1,chart21.chr,XAUUSD,NO_EA,NO_EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7b437f1944bbef5c8832a900e7153ce7195d1272205bbe40186de38f70b09752,C:\Users\ZHAO ZHU INFORMATION\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Profiles\Charts\Default\chart21.chr
A1,chart22.chr,XAUUSD,NO_EA,NO_EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3fe25cbedab252b672ece9cd0ddfbf4ea11fd4702270c48dc394b0074f9fbfcc,C:\Users\ZHAO ZHU INFORMATION\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Profiles\Charts\Default\chart22.chr
A1,chart23.chr,XAUUSD,NO_EA,NO_EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b2ffafa5d18f1399472b1af36913b9f703a31921dea14d10c3758253beca4ecc,C:\Users\ZHAO ZHU INFORMATION\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Profiles\Charts\Default\chart23.chr
A1,chart24.chr,XAUUSD,AccountEquityGuardianShadow,OBSERVER_OR_OTHER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74c95047f3059aa2ec52faf246e2f67b67ddcc7955fafbe4f248798ebe66a0c1,C:\Users\ZHAO ZHU INFORMATION\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Profiles\Charts\Default\chart24.chr
A1,chart25.chr,BTCUSD,NO_EA,NO_EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,781b83e5b2d33af9e0a00bdf2c0a236d7f939bc0089849e1e83cddcae1d5b22c,C:\Users\ZHAO ZHU INFORMATION\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Profiles\Charts\Default\chart25.chr
A1,chart26.chr,XAUUSD,Account1DailyProfitFloorGuardian,GUARDIAN_CLOSE_ACTION_ENABLED,,A1_DAILY_PROFIT_LOSS_GUARDIAN_V1_ARMED_20260621,,,,false,,,,,,,,,,,,,,,,true,50.0,true,100.0,true,-100.0,experimental_demo_kill_switch.txt,dc63095e4b6338f2b4e767b5d0c7c3f312fd2857b08d4be5386d9094a4795434,C:\Users\ZHAO ZHU INFORMATION\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Profiles\Charts\Default\chart26.chr
A1,chart27.chr,XAUUSD,Phase2ExperimentalDemoExecutor,DISARMED_DRY_RUN,920101,DISABLED_EXTRA_PHASE2_EXECUTOR_CHART27_20260623,breakout_retest,XAUUSD,1025742,true,false,,0.01,1,0.15,75.0,false,0,23,false,true,true,true,0.25,0.35,,,,,,,,e0be28889da5c396d7c3d16b665b511db084bc64db4f847d081aa77b82d939cd,C:\Users\ZHAO ZHU INFORMATION\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Profiles\Charts\Default\chart27.chr
A1,chart28.chr,BTCUSD,Phase2ExperimentalDemoExecutor,BROKER_ACTION_ENABLED,920105,phase2-a1-btc-breakout-experiment-v0.1,breakout_retest,BTCUSD,1025742,false,true,,0.01,0,0.00,0.0,false,0,23,false,true,true,true,0.25,0.35,,,,,,,,0b84bc236bc002a30f5f84ce843d07fdc99895e63315bd186d60ef314b64470e,C:\Users\ZHAO ZHU INFORMATION\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Profiles\Charts\Default\chart28.chr
A1,chart29.chr,XAUUSD,A1XauM5MomentumContinuationExecutor,OBSERVER_OR_OTHER,932200,A1_XAU_M5_MOMENTUM_DIR_SESSION_HTF_FORWARD_V0_20260701,,XAUUSD,,,,true,,,0.15,,,,,,,,,,,,,,,,,,38f508bc60bddf4dd0a87411f4ac5a3f3ba9a51dcf8564b2af0ce2c44d7ba193,C:\Users\ZHAO ZHU INFORMATION\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Profiles\Charts\Default\chart29.chr
A2,chart01.chr,XAUUSD,AccountEquityGuardianShadow,OBSERVER_OR_OTHER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59e557975c213382d504b6dc0137157db4cbef8f6bfe30320b43c80c86c248eb,C:\MT5PortableTier1BestEA\MQL5\Profiles\Charts\Default\chart01.chr
A2,chart02.chr,XAUUSD,Phase2ExperimentalDemoExecutor,BROKER_ACTION_ENABLED,920101,A2_XAU_920101_24H_H1_ONLY_TREND_V1_20260701,breakout_retest,XAUUSD,1033030,false,true,,0.01,1,0.30,75.0,false,0,23,true,false,false,true,0.25,0.15,,,,,,,,82d0f445296174da4a80647c6c79c020271697a87d60517366889ef88966e00b,C:\MT5PortableTier1BestEA\MQL5\Profiles\Charts\Default\chart02.chr
A2,chart03.chr,XAUUSD,Account1DailyProfitFloorGuardian,GUARDIAN_CLOSE_ACTION_ENABLED,,A2_DAILY_PROFIT_LOSS_GUARDIAN_V1_ARMED_20260621,,,,false,,,,,,,,,,,,,,,,true,50.0,true,100.0,true,-100.0,tier1_bestea_kill_switch.txt,35e78da8110df9194820e42ca563b870a0fcc2b14131028470a13e517fd0100b,C:\MT5PortableTier1BestEA\MQL5\Profiles\Charts\Default\chart03.chr
A2,chart04.chr,XAUUSD,Phase2ExperimentalDemoExecutor,DISARMED_DRY_RUN,920101,DISABLED_EXTRA_PHASE2_EXECUTOR_CHART04_20260623,breakout_retest,XAUUSD,1033030,true,false,,0.01,1,0.15,75.0,false,0,23,false,true,true,true,0.25,0.35,,,,,,,,c2d1c1cb196c987b1bfeed9002fa3fe97961f8ad96c44be44e76e12b7a693cd7,C:\MT5PortableTier1BestEA\MQL5\Profiles\Charts\Default\chart04.chr
A3,chart01.chr,XAUUSD,Account3BreakoutPlainExecutor,OBSERVER_OR_OTHER,933200,A3_BREAKOUT_PLAIN_V1_PAUSED_20260618,,XAUUSD,1033669,true,false,,0.01,,0.15,75.0,false,12,15,,,,,,,,,,,,,,e42154b62c637707f5b0eb0d78fece407cecf0570a1ace622fcf1d975fad5bb1,C:\MT5PortableRepairLane\MQL5\Profiles\Charts\Default\chart01.chr
A3,chart02.chr,XAUUSD,Account3BreakoutImprovedExecutor,OBSERVER_OR_OTHER,933300,A3_BREAKOUT_IMPROVED_V1_PAUSED_20260618,,XAUUSD,1033669,true,false,,0.01,,0.15,75.0,false,12,15,,,,,,,,,,,,,,0cada6fd1f0495222d66bcdc0e857a4fbdf55bfd7900d7298b7b96523e771c08,C:\MT5PortableRepairLane\MQL5\Profiles\Charts\Default\chart02.chr
A3,chart03.chr,XAUUSD,NO_EA,NO_EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cd18ebe133f34ee7bebd2bbec9cca5a3f05cf322cb077fc5d0e6da23e96acd28,C:\MT5PortableRepairLane\MQL5\Profiles\Charts\Default\chart03.chr
A3,chart04.chr,XAUUSD,Account3BreakoutTier1CompatExecutor,OBSERVER_OR_OTHER,933400,A3_BREAKOUT_TIER1_COMPAT_V1_PAUSED_20260618,,XAUUSD,1033669,true,false,,0.01,,0.15,75.0,true,12,15,,,,,,,,,,,,,,e23b105af1ff09dcc8e8e3ae93e8b0a1c113743d5eb5709c6c9ec83f58bc0722,C:\MT5PortableRepairLane\MQL5\Profiles\Charts\Default\chart04.chr
A3,chart05.chr,XAUUSD,Account3ProfitLockExitManager,OBSERVER_OR_OTHER,,A3_PROFIT_LOCK_EXIT_MANAGER_V1_DRYRUN_PAUSED_20260618,,XAUUSD,1033669,true,,,,,,,,,,,,,,,,,,,,,,,8358c1a148a391aa509221f5595e34da57d50f63c1c3074bda3df1be8d3e310d,C:\MT5PortableRepairLane\MQL5\Profiles\Charts\Default\chart05.chr
A3,chart06.chr,XAUUSD,Account3SoftRetestExecutor,OBSERVER_OR_OTHER,933500,A3_SOFT_RETEST_V2_PAUSED_20260618,,XAUUSD,1033669,true,false,,0.01,,0.15,75.0,false,0,23,,,,,,,,,,,,,,922c7ddb871dfccdafc704f91194c8531aebaf2e4ee25f8ed16e429ee4800ef6,C:\MT5PortableRepairLane\MQL5\Profiles\Charts\Default\chart06.chr
A3,chart07.chr,XAUUSD,Phase2ExperimentalDemoExecutor,BROKER_ACTION_ENABLED,920101,A3_DEMO_FILL_COLLECTION_A3_V1,breakout_retest,XAUUSD,1033669,false,true,,0.01,1,0.15,75.0,false,0,23,,,,,,,,,,,,,,affef0eea8d6b40867fb9275bb1fd48f1640987602d3c7f19804d3ed0cbdbe0f,C:\MT5PortableRepairLane\MQL5\Profiles\Charts\Default\chart07.chr
