name,signals,wins,losses,wr,wl,pf,net,stress_030_wl,stress_030_pf,stress_030_net,active_weekday_pct,max_closed_dd,positive_week_pct,worst_week,q2_signals,q2_net,top10_removed_net,top3_days_removed_net,best_month_share_pct,positive_year_buckets,closing_months,positive_months,negative_months,flat_months,positive_month_pct,worst_month,worst_month_net,best_month,best_month_net,dropped_data,dropped_signals,recent3_signals,recent3_wr,recent3_wl,recent3_pf,recent3_net,june2026_signals,june2026_wr,june2026_wl,june2026_pf,june2026_net,y2023_2024_signals,y2023_2024_wr,y2023_2024_wl,y2023_2024_pf,y2023_2024_net
r2_pullback_short_m15_confirm,464,162,302,34.91,2.2386,1.2009,412.09,2.1017,1.1274,272.89,9.11,427.24,6.67,-124.05,81,455.6,-0.54,-116.54,101.9,2,16,8,8,0,50.0,2023-07,-83.35,2026-06,419.92,[],0,81,44.44,2.0851,1.6681,455.6,30,63.33,1.8672,3.2251,419.92,197,29.44,2.0974,0.8752,-90.52
r2_pullback_short_h1_confirm,211,83,128,39.34,2.2504,1.4592,426.88,2.1214,1.3756,363.58,7.29,124.36,7.14,-63.47,11,139.13,72.85,161.7,35.16,3,16,10,6,0,62.5,2024-12,-51.88,2023-08,150.1,[],0,11,54.55,2.0773,2.4928,139.13,5,40.0,1.8416,1.2278,13.64,111,35.14,2.0637,1.1178,56.78
