name,signals,wins,losses,wr,wl,pf,net,stress_030_wl,stress_030_pf,stress_030_net,active_weekday_pct,max_closed_dd,positive_week_pct,worst_week,q2_signals,q2_net,top10_removed_net,top3_days_removed_net,best_month_share_pct,positive_year_buckets,closing_months,positive_months,negative_months,flat_months,positive_month_pct,worst_month,worst_month_net,best_month,best_month_net,dropped_data,dropped_signals,recent3_signals,recent3_wr,recent3_wl,recent3_pf,recent3_net,june2026_signals,june2026_wr,june2026_wl,june2026_pf,june2026_net,y2023_2024_signals,y2023_2024_wr,y2023_2024_wl,y2023_2024_pf,y2023_2024_net
current_r1_plus_r2_pullback_short_m15_confirm,1022,442,580,43.25,2.9963,2.2834,9128.45,2.9009,2.2107,8821.85,25.22,889.69,28.57,-866.37,81,455.6,6219.8,6764.15,29.52,5,45,26,19,0,57.78,2023-02,-321.75,2026-01,2695.08,[],0,81,44.44,2.0851,1.6681,455.6,30,63.33,1.8672,3.2251,419.92,494,40.08,2.7473,1.8377,2484.33
current_r1_plus_r2_pullback_short_h1_confirm,769,363,406,47.2,2.8255,2.5263,9143.24,2.7493,2.4581,8912.54,23.39,889.69,29.05,-866.37,11,139.13,6234.59,6778.94,29.48,5,45,27,18,0,60.0,2024-11,-312.73,2026-01,2695.08,[],0,11,54.55,2.0773,2.4928,139.13,5,40.0,1.8416,1.2278,13.64,408,43.87,2.5161,1.9667,2631.63
