period,hour,dominant_regime,dominant_share_pct,bars
last_6_months_2026_01_01_to_2026_06_30,0,chop,52.38,1512
last_6_months_2026_01_01_to_2026_06_30,1,chop,50.79,1512
last_6_months_2026_01_01_to_2026_06_30,2,chop,51.59,1512
last_6_months_2026_01_01_to_2026_06_30,3,chop,52.38,1512
last_6_months_2026_01_01_to_2026_06_30,4,chop,51.59,1512
last_6_months_2026_01_01_to_2026_06_30,5,chop,51.59,1512
last_6_months_2026_01_01_to_2026_06_30,6,chop,50.79,1512
last_6_months_2026_01_01_to_2026_06_30,7,chop,50.79,1512
last_6_months_2026_01_01_to_2026_06_30,8,chop,47.62,1512
last_6_months_2026_01_01_to_2026_06_30,9,chop,47.62,1512
last_6_months_2026_01_01_to_2026_06_30,10,chop,47.62,1512
last_6_months_2026_01_01_to_2026_06_30,11,chop,47.48,1508
last_6_months_2026_01_01_to_2026_06_30,12,chop,46.72,1509
last_6_months_2026_01_01_to_2026_06_30,13,chop,47.62,1512
last_6_months_2026_01_01_to_2026_06_30,14,chop,46.03,1512
last_6_months_2026_01_01_to_2026_06_30,15,chop,46.83,1512
last_6_months_2026_01_01_to_2026_06_30,16,chop,50.0,1512
last_6_months_2026_01_01_to_2026_06_30,17,chop,51.2,1500
last_6_months_2026_01_01_to_2026_06_30,18,chop,50.2,1494
last_6_months_2026_01_01_to_2026_06_30,19,chop,50.0,1476
last_6_months_2026_01_01_to_2026_06_30,20,chop,52.46,1464
last_6_months_2026_01_01_to_2026_06_30,21,uptrend,36.36,528
last_6_months_2026_01_01_to_2026_06_30,22,chop,66.67,972
last_6_months_2026_01_01_to_2026_06_30,23,chop,53.54,1524
last_3_months_2026_04_01_to_2026_06_30,0,chop,63.49,756
last_3_months_2026_04_01_to_2026_06_30,1,chop,61.9,756
last_3_months_2026_04_01_to_2026_06_30,2,chop,61.9,756
last_3_months_2026_04_01_to_2026_06_30,3,chop,63.49,756
last_3_months_2026_04_01_to_2026_06_30,4,chop,60.32,756
last_3_months_2026_04_01_to_2026_06_30,5,chop,60.32,756
last_3_months_2026_04_01_to_2026_06_30,6,chop,60.32,756
last_3_months_2026_04_01_to_2026_06_30,7,chop,60.32,756
last_3_months_2026_04_01_to_2026_06_30,8,chop,55.56,756
last_3_months_2026_04_01_to_2026_06_30,9,chop,55.56,756
last_3_months_2026_04_01_to_2026_06_30,10,chop,55.56,756
last_3_months_2026_04_01_to_2026_06_30,11,chop,55.32,752
last_3_months_2026_04_01_to_2026_06_30,12,chop,56.97,753
last_3_months_2026_04_01_to_2026_06_30,13,chop,57.14,756
last_3_months_2026_04_01_to_2026_06_30,14,chop,55.56,756
last_3_months_2026_04_01_to_2026_06_30,15,chop,57.14,756
last_3_months_2026_04_01_to_2026_06_30,16,chop,58.73,756
last_3_months_2026_04_01_to_2026_06_30,17,chop,59.68,744
last_3_months_2026_04_01_to_2026_06_30,18,chop,57.72,738
last_3_months_2026_04_01_to_2026_06_30,19,chop,57.38,732
last_3_months_2026_04_01_to_2026_06_30,20,chop,62.3,732
last_3_months_2026_04_01_to_2026_06_30,22,chop,61.9,756
last_3_months_2026_04_01_to_2026_06_30,23,chop,61.9,756
