family_id,direction,barrier_profile_id,segment,events,wins,win_rate_pct,stress_net_usd,stress_net_r,stress_profit_factor,average_stress_r,max_closed_drawdown_r,source_days,events_per_source_day,active_exit_months,positive_exit_month_share,top_five_winners_removed_net_r,top_ten_winners_removed_net_r,bootstrap_mean_stress_r_p025
trend_pullback_resumption_v1,LONG,stop_0p50_target_0p75_h120,train,180,54,30.0,-95.49844851809787,-100.85925948248897,0.39570399647289095,-0.5603292193471607,103.03128808452894,1244,0.14469453376205788,30,0.13333333333333333,-107.79837738805685,-114.61635471144977,-0.8269518636655412
trend_pullback_resumption_v1,LONG,stop_0p50_target_0p75_h120,validation,253,77,30.434782608695652,-161.57416059689496,-120.71793675241032,0.44625284573326235,-0.47714599506881544,122.03988634215656,621,0.4074074074074074,24,0.16666666666666666,-127.55658207857769,-134.2959274266592,
trend_pullback_resumption_v1,LONG,stop_0p50_target_0p75_h120,internal_test,263,98,37.26235741444867,-100.69409804187413,-77.66718173427014,0.6167915414450625,-0.2953124780770728,77.92293306649908,620,0.4241935483870968,24,0.20833333333333334,-84.50481514641893,-91.21841980676024,
trend_pullback_resumption_v1,LONG,stop_0p50_target_0p75_h120,exam,1079,331,30.67655236329935,-1089.5714812813278,-375.95665915974416,0.5496127140274167,-0.34843063870226526,380.4635641943807,624,1.7291666666666667,24,0.08333333333333333,-383.33151898952843,-390.64897265489935,
trend_pullback_resumption_v1,LONG,stop_0p75_target_1p125_h240,train,160,46,28.75,-117.42511105370417,-78.59311564376513,0.4353894709603134,-0.4912069727735321,81.03887723823988,1244,0.12861736334405144,29,0.1724137931034483,-85.70757756189387,-92.68473505367243,-0.7926432768892643
trend_pullback_resumption_v1,LONG,stop_0p75_target_1p125_h240,validation,241,82,34.024896265560166,-160.40763459135619,-74.32053449465093,0.5961991438400495,-0.30838396055871753,80.78148368431633,621,0.38808373590982287,24,0.375,-81.37735746354427,-88.3675049943535,
trend_pullback_resumption_v1,LONG,stop_0p75_target_1p125_h240,internal_test,248,99,39.91935483870968,-88.45244466222111,-37.9828926535254,0.7781027790775571,-0.15315682521582819,46.53207930821396,620,0.4,23,0.391304347826087,-45.018791662583766,-51.95683674610151,
trend_pullback_resumption_v1,LONG,stop_0p75_target_1p125_h240,exam,987,322,32.6241134751773,-1178.9668503906098,-258.1616050465351,0.6395029053756273,-0.26156190987490896,264.27379589770277,624,1.5817307692307692,24,0.16666666666666666,-265.5799858083893,-272.9530225401413,
trend_pullback_resumption_v1,LONG,stop_1p00_target_1p50_h240,train,160,42,26.25,-153.17690954061732,-79.29227788579466,0.42022596071430773,-0.4955767367862166,81.87415751360399,1244,0.12861736334405144,29,0.13793103448275862,-86.50353047017947,-93.62248628612205,-0.7807294275633604
trend_pullback_resumption_v1,LONG,stop_1p00_target_1p50_h240,validation,241,85,35.26970954356847,-147.15890054628224,-56.87833726831754,0.6717404794583572,-0.23600969820878645,60.790089559237586,621,0.38808373590982287,24,0.3333333333333333,-64.05497881761485,-71.18245997765901,
