candidate_id,campaign_id,family_id,direction,decision_time_utc,entry_time_utc,model_score,stress_net_r
MACRO_REPRICING_V1:1565960400000:INFLATION_REPRICING:SHORT,MACRO_REPRICING_V1,INFLATION_REPRICING,SHORT,2019-08-16T13:00:00.000Z,2019-08-16T13:00:00.000Z,0.41425055270211425,-1.1
CFTC_POSITIONING_V1:1566234000000:COT_CROWDED_REVERSAL:SHORT,CFTC_POSITIONING_V1,COT_CROWDED_REVERSAL,SHORT,2019-08-19T17:00:00.000Z,2019-08-19T17:00:00.000Z,-1.2344375773093565,1.400000000000058
CFTC_POSITIONING_V1:1566306000000:COT_CROWDED_REVERSAL:SHORT,CFTC_POSITIONING_V1,COT_CROWDED_REVERSAL,SHORT,2019-08-20T13:00:00.000Z,2019-08-20T13:00:00.000Z,-0.22564706930678796,-1.1
CFTC_POSITIONING_V1:1566802800000:COT_CROWDED_REVERSAL:SHORT,CFTC_POSITIONING_V1,COT_CROWDED_REVERSAL,SHORT,2019-08-26T07:00:00.000Z,2019-08-26T07:00:00.000Z,-0.08351480338315453,1.4
CFTC_POSITIONING_V1:1566824400000:COT_CROWDED_REVERSAL:SHORT,CFTC_POSITIONING_V1,COT_CROWDED_REVERSAL,SHORT,2019-08-26T13:00:00.000Z,2019-08-26T13:00:00.000Z,-0.25378564381558244,-1.1
CFTC_POSITIONING_V1:1566910800000:COT_CROWDED_REVERSAL:SHORT,CFTC_POSITIONING_V1,COT_CROWDED_REVERSAL,SHORT,2019-08-27T13:00:00.000Z,2019-08-27T13:00:00.000Z,-0.28982336844675144,-1.1
CFTC_POSITIONING_V1:1567407600000:COT_CROWDED_REVERSAL:SHORT,CFTC_POSITIONING_V1,COT_CROWDED_REVERSAL,SHORT,2019-09-02T07:00:00.000Z,2019-09-02T07:00:00.000Z,0.5876568057595528,1.4
CFTC_POSITIONING_V1:1567407600000:COT_TREND_CONFIRM:SHORT,CFTC_POSITIONING_V1,COT_TREND_CONFIRM,SHORT,2019-09-02T07:00:00.000Z,2019-09-02T07:00:00.000Z,0.5648573098577956,1.4
CFTC_POSITIONING_V1:1567429200000:COT_CROWDED_REVERSAL:SHORT,CFTC_POSITIONING_V1,COT_CROWDED_REVERSAL,SHORT,2019-09-02T13:00:00.000Z,2019-09-02T13:00:00.000Z,-0.5078372103052708,-1.1
CFTC_POSITIONING_V1:1567429200000:COT_TREND_CONFIRM:SHORT,CFTC_POSITIONING_V1,COT_TREND_CONFIRM,SHORT,2019-09-02T13:00:00.000Z,2019-09-02T13:00:00.000Z,-0.5078372103052708,-1.1
CFTC_POSITIONING_V1:1567515600000:COT_PRODUCER_CONFIRM:LONG,CFTC_POSITIONING_V1,COT_PRODUCER_CONFIRM,LONG,2019-09-03T13:00:00.000Z,2019-09-03T13:00:00.000Z,-0.4643596388443604,1.4000000000000554
CFTC_POSITIONING_V1:1567530000000:COT_CROWDED_REVERSAL:SHORT,CFTC_POSITIONING_V1,COT_CROWDED_REVERSAL,SHORT,2019-09-03T17:00:00.000Z,2019-09-03T17:00:00.000Z,0.3885457515867054,-1.1
CFTC_POSITIONING_V1:1567530000000:COT_TREND_CONFIRM:SHORT,CFTC_POSITIONING_V1,COT_TREND_CONFIRM,SHORT,2019-09-03T17:00:00.000Z,2019-09-03T17:00:00.000Z,0.3885457515867054,-1.1
CFTC_POSITIONING_V1:1568012400000:COT_CROWDED_REVERSAL:SHORT,CFTC_POSITIONING_V1,COT_CROWDED_REVERSAL,SHORT,2019-09-09T07:00:00.000Z,2019-09-09T07:00:00.000Z,0.1273896859917001,1.4
CFTC_POSITIONING_V1:1568012400000:COT_PRODUCER_CONFIRM:SHORT,CFTC_POSITIONING_V1,COT_PRODUCER_CONFIRM,SHORT,2019-09-09T07:00:00.000Z,2019-09-09T07:00:00.000Z,0.1273896859917001,1.4
MACRO_REPRICING_V1:1568098800000:YIELD_USD_AGREEMENT:SHORT,MACRO_REPRICING_V1,YIELD_USD_AGREEMENT,SHORT,2019-09-10T07:00:00.000Z,2019-09-10T07:00:00.000Z,-0.09794336219812871,-1.1
MACRO_REPRICING_V1:1568120400000:YIELD_USD_AGREEMENT:SHORT,MACRO_REPRICING_V1,YIELD_USD_AGREEMENT,SHORT,2019-09-10T13:00:00.000Z,2019-09-10T13:00:00.000Z,-0.12932006059957438,1.4
CFTC_POSITIONING_V1:1568134800000:COT_CROWDED_REVERSAL:SHORT,CFTC_POSITIONING_V1,COT_CROWDED_REVERSAL,SHORT,2019-09-10T17:00:00.000Z,2019-09-10T17:00:00.000Z,-0.5014079618348128,-1.1
CFTC_POSITIONING_V1:1568134800000:COT_PRODUCER_CONFIRM:SHORT,CFTC_POSITIONING_V1,COT_PRODUCER_CONFIRM,SHORT,2019-09-10T17:00:00.000Z,2019-09-10T17:00:00.000Z,-0.5014079618348128,-1.1
MACRO_REPRICING_V1:1568185200000:INFLATION_REPRICING:LONG,MACRO_REPRICING_V1,INFLATION_REPRICING,LONG,2019-09-11T07:00:00.000Z,2019-09-11T07:00:00.000Z,-0.008165041525523263,-1.1
MACRO_REPRICING_V1:1568206800000:INFLATION_REPRICING:LONG,MACRO_REPRICING_V1,INFLATION_REPRICING,LONG,2019-09-11T13:00:00.000Z,2019-09-11T13:00:00.000Z,-0.1323274146258667,-1.1
MACRO_REPRICING_V1:1568617200000:INFLATION_REPRICING:LONG,MACRO_REPRICING_V1,INFLATION_REPRICING,LONG,2019-09-16T07:00:00.000Z,2019-09-16T07:00:00.000Z,0.07892079371356098,-1.1
CFTC_POSITIONING_V1:1568638800000:COT_TREND_CONFIRM:SHORT,CFTC_POSITIONING_V1,COT_TREND_CONFIRM,SHORT,2019-09-16T13:00:00.000Z,2019-09-16T13:00:00.000Z,-0.7075046674790554,-1.1
MACRO_REPRICING_V1:1568638800000:INFLATION_REPRICING:LONG,MACRO_REPRICING_V1,INFLATION_REPRICING,LONG,2019-09-16T13:00:00.000Z,2019-09-16T13:00:00.000Z,-0.567261947822859,-1.1
CFTC_POSITIONING_V1:1568703600000:COT_TREND_CONFIRM:SHORT,CFTC_POSITIONING_V1,COT_TREND_CONFIRM,SHORT,2019-09-17T07:00:00.000Z,2019-09-17T07:00:00.000Z,-0.551423766182136,-1.1
CFTC_POSITIONING_V1:1569862800000:COT_TREND_CONFIRM:LONG,CFTC_POSITIONING_V1,COT_TREND_CONFIRM,LONG,2019-09-30T17:00:00.000Z,2019-09-30T17:00:00.000Z,-0.8705039173287472,-1.1
CFTC_POSITIONING_V1:1570453200000:COT_TREND_CONFIRM:SHORT,CFTC_POSITIONING_V1,COT_TREND_CONFIRM,SHORT,2019-10-07T13:00:00.000Z,2019-10-07T13:00:00.000Z,-0.21834462048923797,1.400000000000076
CFTC_POSITIONING_V1:1570539600000:COT_TREND_CONFIRM:SHORT,CFTC_POSITIONING_V1,COT_TREND_CONFIRM,SHORT,2019-10-08T13:00:00.000Z,2019-10-08T13:00:00.000Z,-0.26979620323867887,-1.1
CFTC_POSITIONING_V1:1571641200000:COT_TREND_CONFIRM:SHORT,CFTC_POSITIONING_V1,COT_TREND_CONFIRM,SHORT,2019-10-21T07:00:00.000Z,2019-10-21T07:00:00.000Z,-0.09380528634029216,-1.1
CFTC_POSITIONING_V1:1571677200000:COT_TREND_CONFIRM:SHORT,CFTC_POSITIONING_V1,COT_TREND_CONFIRM,SHORT,2019-10-21T17:00:00.000Z,2019-10-21T17:00:00.000Z,-0.03580955193662283,-1.1
CFTC_POSITIONING_V1:1571749200000:COT_TREND_CONFIRM:SHORT,CFTC_POSITIONING_V1,COT_TREND_CONFIRM,SHORT,2019-10-22T13:00:00.000Z,2019-10-22T13:00:00.000Z,0.29281948716057216,-1.1
MACRO_REPRICING_V1:1572613200000:INFLATION_REPRICING:SHORT,MACRO_REPRICING_V1,INFLATION_REPRICING,SHORT,2019-11-01T13:00:00.000Z,2019-11-01T13:00:00.000Z,-0.8722418898541406,-1.1
MACRO_REPRICING_V1:1573023600000:INFLATION_REPRICING:LONG,MACRO_REPRICING_V1,INFLATION_REPRICING,LONG,2019-11-06T07:00:00.000Z,2019-11-06T07:00:00.000Z,0.41908253904735754,-1.1
MACRO_REPRICING_V1:1573045200000:INFLATION_REPRICING:LONG,MACRO_REPRICING_V1,INFLATION_REPRICING,LONG,2019-11-06T13:00:00.000Z,2019-11-06T13:00:00.000Z,-0.5447369879029623,1.4
MACRO_REPRICING_V1:1573131600000:INFLATION_REPRICING:LONG,MACRO_REPRICING_V1,INFLATION_REPRICING,LONG,2019-11-07T13:00:00.000Z,2019-11-07T13:00:00.000Z,0.1389387791952718,-1.1
MACRO_REPRICING_V1:1573196400000:REAL_YIELD_SHOCK:SHORT,MACRO_REPRICING_V1,REAL_YIELD_SHOCK,SHORT,2019-11-08T07:00:00.000Z,2019-11-08T07:00:00.000Z,-0.3673876327371175,-1.1
MACRO_REPRICING_V1:1573218000000:REAL_YIELD_SHOCK:SHORT,MACRO_REPRICING_V1,REAL_YIELD_SHOCK,SHORT,2019-11-08T13:00:00.000Z,2019-11-08T13:00:00.000Z,0.033192410581688855,-1.1
CFTC_POSITIONING_V1:1573477200000:COT_TREND_CONFIRM:SHORT,CFTC_POSITIONING_V1,COT_TREND_CONFIRM,SHORT,2019-11-11T13:00:00.000Z,2019-11-11T13:00:00.000Z,0.3792922716291313,1.3999999999999275
CFTC_POSITIONING_V1:1573542000000:COT_TREND_CONFIRM:SHORT,CFTC_POSITIONING_V1,COT_TREND_CONFIRM,SHORT,2019-11-12T07:00:00.000Z,2019-11-12T07:00:00.000Z,-1.0406311140890947,-1.1
CFTC_POSITIONING_V1:1574082000000:COT_TREND_CONFIRM:SHORT,CFTC_POSITIONING_V1,COT_TREND_CONFIRM,SHORT,2019-11-18T13:00:00.000Z,2019-11-18T13:00:00.000Z,-0.21093482975892436,-1.1
CFTC_POSITIONING_V1:1574146800000:COT_TREND_CONFIRM:SHORT,CFTC_POSITIONING_V1,COT_TREND_CONFIRM,SHORT,2019-11-19T07:00:00.000Z,2019-11-19T07:00:00.000Z,-0.23283168101999668,1.4
CFTC_POSITIONING_V1:1574168400000:COT_PRODUCER_CONFIRM:LONG,CFTC_POSITIONING_V1,COT_PRODUCER_CONFIRM,LONG,2019-11-19T13:00:00.000Z,2019-11-19T13:00:00.000Z,0.14454275282518558,-1.1
CFTC_POSITIONING_V1:1574182800000:COT_TREND_CONFIRM:SHORT,CFTC_POSITIONING_V1,COT_TREND_CONFIRM,SHORT,2019-11-19T17:00:00.000Z,2019-11-19T17:00:00.000Z,-1.0712471958132581,-1.1
CFTC_POSITIONING_V1:1574686800000:COT_TREND_CONFIRM:LONG,CFTC_POSITIONING_V1,COT_TREND_CONFIRM,LONG,2019-11-25T13:00:00.000Z,2019-11-25T13:00:00.000Z,-0.24232777993120452,-1.1
CFTC_POSITIONING_V1:1574751600000:COT_TREND_CONFIRM:LONG,CFTC_POSITIONING_V1,COT_TREND_CONFIRM,LONG,2019-11-26T07:00:00.000Z,2019-11-26T07:00:00.000Z,0.785185015606763,-1.1
MACRO_REPRICING_V1:1575442800000:REAL_YIELD_SHOCK:LONG,MACRO_REPRICING_V1,REAL_YIELD_SHOCK,LONG,2019-12-04T07:00:00.000Z,2019-12-04T07:00:00.000Z,0.7968624793493004,1.4000000000000954
MACRO_REPRICING_V1:1575464400000:REAL_YIELD_SHOCK:LONG,MACRO_REPRICING_V1,REAL_YIELD_SHOCK,LONG,2019-12-04T13:00:00.000Z,2019-12-04T13:00:00.000Z,-0.5499008950079328,1.3999999999999249
MACRO_REPRICING_V1:1578294000000:YIELD_USD_AGREEMENT:LONG,MACRO_REPRICING_V1,YIELD_USD_AGREEMENT,LONG,2020-01-06T07:00:00.000Z,2020-01-06T07:00:00.000Z,0.23236977596405475,-1.1
MACRO_REPRICING_V1:1578315600000:YIELD_USD_AGREEMENT:LONG,MACRO_REPRICING_V1,YIELD_USD_AGREEMENT,LONG,2020-01-06T13:00:00.000Z,2020-01-06T13:00:00.000Z,-0.31306494410294705,-1.1
MACRO_REPRICING_V1:1580194800000:INFLATION_REPRICING:SHORT,MACRO_REPRICING_V1,INFLATION_REPRICING,SHORT,2020-01-28T07:00:00.000Z,2020-01-28T07:00:00.000Z,0.17754459897134173,-1.1
MACRO_REPRICING_V1:1580216400000:INFLATION_REPRICING:SHORT,MACRO_REPRICING_V1,INFLATION_REPRICING,SHORT,2020-01-28T13:00:00.000Z,2020-01-28T13:00:00.000Z,-0.5440276052247919,-1.1
CFTC_POSITIONING_V1:1580734800000:COT_TREND_CONFIRM:LONG,CFTC_POSITIONING_V1,COT_TREND_CONFIRM,LONG,2020-02-03T13:00:00.000Z,2020-02-03T13:00:00.000Z,-0.034844306472351275,-1.1
CFTC_POSITIONING_V1:1581318000000:COT_PRODUCER_CONFIRM:SHORT,CFTC_POSITIONING_V1,COT_PRODUCER_CONFIRM,SHORT,2020-02-10T07:00:00.000Z,2020-02-10T07:00:00.000Z,-0.7676047762309886,-1.1
CFTC_POSITIONING_V1:1581318000000:COT_TREND_CONFIRM:SHORT,CFTC_POSITIONING_V1,COT_TREND_CONFIRM,SHORT,2020-02-10T07:00:00.000Z,2020-02-10T07:00:00.000Z,-0.7904042721327458,-1.1
