date_utc,ticks,spread_min,spread_mean,spread_max,spread_median,spread_p90,spread_p95,spread_p99
2026-06-05,500747,0.5,0.556821508666053,0.9500000000007276,0.5,0.75,0.75,0.75
2026-06-07,37469,0.5,0.5835397261736367,1.800000000000182,0.5,0.75,0.75,1.800000000000182
2026-06-08,516865,0.5,0.5538596151799794,1.800000000000182,0.5,0.75,0.75,0.75
2026-06-09,515016,0.5,0.5588327352936607,1.800000000000182,0.5,0.75,0.75,0.75
2026-06-10,689125,0.49999999999954525,0.5537428623254127,1.800000000000182,0.5,0.75,0.75,0.75
2026-06-11,704375,0.49999999999954525,0.5606174977817213,1.800000000000182,0.5,0.75,0.75,0.75
2026-06-12,500386,0.5,0.5487589580843588,0.9500000000007276,0.5,0.75,0.75,0.75
2026-06-14,28834,0.5,0.5994936533259348,1.800000000000182,0.5,0.75,0.75,1.800000000000182
2026-06-15,373192,0.5,0.556108115929602,1.800000000000182,0.5,0.75,0.75,0.75
2026-06-16,338000,0.5,0.5522800295857988,1.800000000000182,0.5,0.75,0.75,0.75
2026-06-17,494440,0.5,0.5591240595421082,1.800000000000182,0.5,0.75,0.75,0.75
2026-06-18,459274,0.5,0.5553205711623127,1.800000000000182,0.5,0.75,0.75,0.75
2026-06-19,281155,0.5,0.5596272518717433,0.9500000000007276,0.5,0.75,0.75,0.75
2026-06-21,28072,0.5,0.5671380735252212,1.800000000000182,0.5,0.75,0.75,1.800000000000182
2026-06-22,403682,0.5,0.5532557805401281,1.800000000000182,0.5,0.75,0.75,0.75
2026-06-23,497003,0.49999999999954525,0.5470395550932288,1.800000000000182,0.5,0.75,0.75,0.75
2026-06-24,664370,0.49999999999954525,0.5149808088866145,1.800000000000182,0.5,0.5,0.75,0.75
2026-06-25,584877,0.5,0.5002990372334697,1.800000000000182,0.5,0.5,0.5,0.5
