name,signals,wins,losses,wr,wl,pf,net,stress_030_wl,stress_030_net,active_weekday_pct,max_closed_dd,positive_week_pct,worst_week,blocked_signals,exit_stats,closing_months,positive_months,negative_months,flat_months,positive_month_pct,worst_month,worst_month_net,best_month,best_month_net,decision
prevhealth_box2_broad_quarantined,3934,1931,1989,49.08,2.1793,2.1157,20858.29,2.0507,19054.09,87.44,958.86,58.1,-878.18,0,"{'source_csvs_indexed': 7, 'missing_source_csvs': [], 'match_failures': 0, 'fallback_entry_time_rows': 0}",48,31,17,0,64.58,2023-02,-405.08,2025-10,4716.88,BASELINE
prevhealth_box2_cadence_cooldown_broad_quarantined,3900,1903,1983,48.79,1.9941,1.9137,16753.61,1.8697,14959.61,87.44,853.84,57.14,-773.16,29,"{'source_csvs_indexed': 7, 'missing_source_csvs': [], 'match_failures': 0, 'fallback_entry_time_rows': 0}",48,31,17,0,64.58,2023-02,-405.08,2026-01,3446.98,NO_H4_BOX2_CADENCE_COOLDOWN_SURVIVOR
