portfolio,sources,signals,wins,losses,wr,wl,pf,net,stress_030_wl,stress_030_pf,stress_030_net,active_weekday_pct,active_weekdays,max_closed_dd,positive_week_pct,worst_week,closing_months,positive_months,negative_months,flat_months,positive_month_pct,worst_month,worst_month_net,best_month,best_month_net,q2_signals,q2_wr,q2_wl,q2_net,core_gate
current_blend,"freq_step3_frontier,h4_d1_long_best_box2_atr80,short_v4_impulse_retest_d1_structural_h1h4",3794,1898,1882,50.03,2.1328,2.1509,20882.42,2.0084,2.0084,19120.52,86.58,903,958.86,58.57,-878.18,48,31,17,0,64.58,2023-02,-386.08,2025-10,4687.52,166,46.99,1.5073,514.04,True
h4_long_only,h4_d1_long_best_box2_atr80,208,140,68,67.31,2.4948,5.1364,14349.57,2.4744,5.0943,14287.17,11.6,121,866.37,20.48,-866.37,29,18,11,0,62.07,2024-11,-312.73,2025-10,3622.34,0,0.0,,0,False
freq_only,freq_step3_frontier,3416,1690,1712,49.47,1.4531,1.4345,6134.72,1.3307,1.3014,4486.22,85.04,887,365.8,57.14,-148.52,48,34,14,0,70.83,2026-05,-142.12,2026-01,1073.17,139,45.32,1.4481,279.22,False
short_v4_only,short_v4_impulse_retest_d1_structural_h1h4,170,68,102,40.0,2.576,1.7173,398.13,2.3891,1.5928,347.13,9.49,99,65.17,10.95,-32.71,21,12,9,1,57.14,2022-09,-36.69,2026-06,194.24,27,55.56,1.8872,234.82,False
freq_plus_short_no_h4,"freq_step3_frontier,short_v4_impulse_retest_d1_structural_h1h4",3586,1758,1814,49.02,1.4912,1.4452,6532.85,1.3662,1.3124,4833.35,86.0,897,327.52,58.57,-148.52,48,35,13,0,72.92,2026-05,-121.77,2026-01,1073.17,166,46.99,1.5073,514.04,False
