time_utc,event,trade_id,source,direction,decision,equity_usd,active_trades,active_gross_lots
2020-05-15T16:00:00Z,ENTRY,T00430,r1_box_clean_strict_uptrend,LONG,EMERGENCY_DRAWDOWN_HALT,832.67,0,0
2020-06-19T16:00:00Z,ENTRY,T00431,r1_box_clean_strict_uptrend,LONG,EMERGENCY_DRAWDOWN_HALT,832.67,0,0
2020-06-19T20:00:00Z,ENTRY,T00432,r1_box_clean_strict_uptrend,LONG,EMERGENCY_DRAWDOWN_HALT,832.67,0,0
2020-06-22T16:00:00Z,ENTRY,T00433,r1_box_clean_strict_uptrend,LONG,EMERGENCY_DRAWDOWN_HALT,832.67,0,0
2020-06-23T16:00:00Z,ENTRY,T00434,r1_box_clean_strict_uptrend,LONG,EMERGENCY_DRAWDOWN_HALT,832.67,0,0
2020-06-23T20:00:00Z,ENTRY,T00435,r1_box_clean_strict_uptrend,LONG,EMERGENCY_DRAWDOWN_HALT,832.67,0,0
2020-06-24T12:00:00Z,ENTRY,T00436,r1_box_clean_strict_uptrend,LONG,EMERGENCY_DRAWDOWN_HALT,832.67,0,0
2020-06-30T16:00:00Z,ENTRY,T00437,r1_box_clean_strict_uptrend,LONG,EMERGENCY_DRAWDOWN_HALT,832.67,0,0
2020-07-01T08:00:00Z,ENTRY,T00438,r1_box_clean_strict_uptrend,LONG,EMERGENCY_DRAWDOWN_HALT,832.67,0,0
2020-07-06T12:00:00Z,ENTRY,T00439,r1_box_clean_strict_uptrend,LONG,EMERGENCY_DRAWDOWN_HALT,832.67,0,0
2020-07-06T16:00:00Z,ENTRY,T00440,r1_box_clean_strict_uptrend,LONG,EMERGENCY_DRAWDOWN_HALT,832.67,0,0
2020-07-06T20:00:00Z,ENTRY,T00441,r1_box_clean_strict_uptrend,LONG,EMERGENCY_DRAWDOWN_HALT,832.67,0,0
2020-07-07T16:00:00Z,ENTRY,T00442,r1_box_clean_strict_uptrend,LONG,EMERGENCY_DRAWDOWN_HALT,832.67,0,0
2020-07-07T20:00:00Z,ENTRY,T00443,r1_box_clean_strict_uptrend,LONG,EMERGENCY_DRAWDOWN_HALT,832.67,0,0
2020-07-08T12:00:00Z,ENTRY,T00444,r1_box_clean_strict_uptrend,LONG,EMERGENCY_DRAWDOWN_HALT,832.67,0,0
2020-07-08T16:00:00Z,ENTRY,T00445,r1_box_clean_strict_uptrend,LONG,EMERGENCY_DRAWDOWN_HALT,832.67,0,0
2020-07-20T12:00:00Z,ENTRY,T00446,r1_box_clean_strict_uptrend,LONG,EMERGENCY_DRAWDOWN_HALT,832.67,0,0
2020-07-20T20:00:00Z,ENTRY,T00447,r1_box_clean_strict_uptrend,LONG,EMERGENCY_DRAWDOWN_HALT,832.67,0,0
2020-07-21T08:00:00Z,ENTRY,T00448,r1_box_clean_strict_uptrend,LONG,EMERGENCY_DRAWDOWN_HALT,832.67,0,0
2020-07-21T12:00:00Z,ENTRY,T00449,r1_box_clean_strict_uptrend,LONG,EMERGENCY_DRAWDOWN_HALT,832.67,0,0
2020-07-21T16:00:00Z,ENTRY,T00450,r1_box_clean_strict_uptrend,LONG,EMERGENCY_DRAWDOWN_HALT,832.67,0,0
2020-07-22T04:00:00Z,ENTRY,T00451,r1_box_clean_strict_uptrend,LONG,EMERGENCY_DRAWDOWN_HALT,832.67,0,0
2020-07-22T12:00:00Z,ENTRY,T00452,r1_box_clean_strict_uptrend,LONG,EMERGENCY_DRAWDOWN_HALT,832.67,0,0
2020-07-22T20:00:00Z,ENTRY,T00453,r1_box_clean_strict_uptrend,LONG,EMERGENCY_DRAWDOWN_HALT,832.67,0,0
2020-07-27T04:00:00Z,ENTRY,T00454,r1_box_clean_strict_uptrend,LONG,EMERGENCY_DRAWDOWN_HALT,832.67,0,0
2020-07-27T12:00:00Z,ENTRY,T00455,r1_box_clean_strict_uptrend,LONG,EMERGENCY_DRAWDOWN_HALT,832.67,0,0
2020-10-30T08:00:00Z,ENTRY,T00456,r2_pullback_short_h1_confirm,SHORT,EMERGENCY_DRAWDOWN_HALT,832.67,0,0
2020-11-18T17:00:00Z,ENTRY,T00457,r2_pullback_short_h1_confirm,SHORT,EMERGENCY_DRAWDOWN_HALT,832.67,0,0
2020-11-18T18:00:00Z,ENTRY,T00458,r2_pullback_short_h1_confirm,SHORT,EMERGENCY_DRAWDOWN_HALT,832.67,0,0
2020-11-18T20:00:00Z,ENTRY,T00459,r2_pullback_short_h1_confirm,SHORT,EMERGENCY_DRAWDOWN_HALT,832.67,0,0
2020-11-25T03:00:00Z,ENTRY,T00460,r2_pullback_short_h1_confirm,SHORT,EMERGENCY_DRAWDOWN_HALT,832.67,0,0
2020-11-25T10:00:00Z,ENTRY,T00461,r2_pullback_short_h1_confirm,SHORT,EMERGENCY_DRAWDOWN_HALT,832.67,0,0
2020-11-25T18:00:00Z,ENTRY,T00462,r2_pullback_short_h1_confirm,SHORT,EMERGENCY_DRAWDOWN_HALT,832.67,0,0
2020-11-26T23:00:00Z,ENTRY,T00463,r2_pullback_short_h1_confirm,SHORT,EMERGENCY_DRAWDOWN_HALT,832.67,0,0
2020-11-27T01:00:00Z,ENTRY,T00464,r2_pullback_short_h1_confirm,SHORT,EMERGENCY_DRAWDOWN_HALT,832.67,0,0
2020-11-27T06:00:00Z,ENTRY,T00465,r2_pullback_short_h1_confirm,SHORT,EMERGENCY_DRAWDOWN_HALT,832.67,0,0
2020-11-27T10:00:00Z,ENTRY,T00466,r2_pullback_short_h1_confirm,SHORT,EMERGENCY_DRAWDOWN_HALT,832.67,0,0
2020-11-27T11:00:00Z,ENTRY,T00467,r2_pullback_short_h1_confirm,SHORT,EMERGENCY_DRAWDOWN_HALT,832.67,0,0
2020-11-30T08:00:00Z,ENTRY,T00468,r2_pullback_short_h1_confirm,SHORT,EMERGENCY_DRAWDOWN_HALT,832.67,0,0
2020-11-30T09:00:00Z,ENTRY,T00469,r2_pullback_short_h1_confirm,SHORT,EMERGENCY_DRAWDOWN_HALT,832.67,0,0
2020-11-30T10:00:00Z,ENTRY,T00470,r2_pullback_short_h1_confirm,SHORT,EMERGENCY_DRAWDOWN_HALT,832.67,0,0
2020-11-30T15:00:00Z,ENTRY,T00471,r2_pullback_short_h1_confirm,SHORT,EMERGENCY_DRAWDOWN_HALT,832.67,0,0
2020-11-30T17:00:00Z,ENTRY,T00472,r2_pullback_short_h1_confirm,SHORT,EMERGENCY_DRAWDOWN_HALT,832.67,0,0
2021-01-04T04:00:00Z,ENTRY,T00473,r1_box_clean_strict_uptrend,LONG,EMERGENCY_DRAWDOWN_HALT,832.67,0,0
2021-01-04T08:00:00Z,ENTRY,T00474,r1_box_clean_strict_uptrend,LONG,EMERGENCY_DRAWDOWN_HALT,832.67,0,0
2021-01-04T16:00:00Z,ENTRY,T00475,r1_box_clean_strict_uptrend,LONG,EMERGENCY_DRAWDOWN_HALT,832.67,0,0
2021-01-05T12:00:00Z,ENTRY,T00476,r1_box_clean_strict_uptrend,LONG,EMERGENCY_DRAWDOWN_HALT,832.67,0,0
2021-01-25T06:00:00Z,ENTRY,T00477,r2_pullback_short_h1_confirm,SHORT,EMERGENCY_DRAWDOWN_HALT,832.67,0,0
