variant,period,start,end,trades,wins,losses,wr,wl,pf,net
short_v4_impulse_retest_d1_nonup_h1h4,B1,2022-07-01,2022-12-31,65,24,41,36.92,2.1586,1.2636,42.71
short_v4_impulse_retest_d1_nonup_h1h4,B2,2023-01-01,2023-06-30,47,10,37,21.28,2.1736,0.5875,-55.7
short_v4_impulse_retest_d1_nonup_h1h4,B3,2023-07-01,2023-12-31,45,16,29,35.56,1.9368,1.0686,7.32
short_v4_impulse_retest_d1_nonup_h1h4,B4,2024-01-01,2024-06-30,24,0,24,0.0,0.0,0.0,-108.24
short_v4_impulse_retest_d1_nonup_h1h4,B5,2024-07-01,2024-12-31,26,6,20,23.08,2.7407,0.8222,-16.1
short_v4_impulse_retest_d1_nonup_h1h4,B6,2025-01-01,2025-06-30,24,8,16,33.33,2.1352,1.0676,7.53
short_v4_impulse_retest_d1_nonup_h1h4,B7,2025-07-01,2025-12-31,16,6,10,37.5,2.2523,1.3514,35.83
short_v4_impulse_retest_d1_nonup_h1h4,B8,2026-01-01,2026-06-30,40,24,16,60.0,1.983,2.9745,454.06
short_v4_impulse_retest_d1_structural_h1h4,B1,2022-07-01,2022-12-31,64,23,41,35.94,2.1755,1.2204,35.71
short_v4_impulse_retest_d1_structural_h1h4,B2,2023-01-01,2023-06-30,33,8,25,24.24,2.2307,0.7138,-26.17
short_v4_impulse_retest_d1_structural_h1h4,B3,2023-07-01,2023-12-31,31,14,17,45.16,1.883,1.5507,35.51
short_v4_impulse_retest_d1_structural_h1h4,B4,2024-01-01,2024-06-30,1,0,1,0.0,0.0,0.0,-3.5
short_v4_impulse_retest_d1_structural_h1h4,B5,2024-07-01,2024-12-31,13,4,9,30.77,1.6552,0.7356,-12.74
short_v4_impulse_retest_d1_structural_h1h4,B6,2025-01-01,2025-06-30,1,0,1,0.0,0.0,0.0,-3.52
short_v4_impulse_retest_d1_structural_h1h4,B7,2025-07-01,2025-12-31,0,0,0,0.0,,,0
short_v4_impulse_retest_d1_structural_h1h4,B8,2026-01-01,2026-06-30,37,23,14,62.16,1.889,3.1033,426.87
short_v4_impulse_retest_d1_nonup_h1_only,B1,2022-07-01,2022-12-31,67,24,43,35.82,2.1699,1.2111,35.69
short_v4_impulse_retest_d1_nonup_h1_only,B2,2023-01-01,2023-06-30,49,11,38,22.45,2.1527,0.6232,-52.2
short_v4_impulse_retest_d1_nonup_h1_only,B3,2023-07-01,2023-12-31,46,17,29,36.96,1.9348,1.1342,14.33
short_v4_impulse_retest_d1_nonup_h1_only,B4,2024-01-01,2024-06-30,29,2,27,6.9,1.9997,0.1481,-101.16
short_v4_impulse_retest_d1_nonup_h1_only,B5,2024-07-01,2024-12-31,28,6,22,21.43,2.6468,0.7219,-28.69
short_v4_impulse_retest_d1_nonup_h1_only,B6,2025-01-01,2025-06-30,25,8,17,32.0,2.0712,0.9747,-3.09
short_v4_impulse_retest_d1_nonup_h1_only,B7,2025-07-01,2025-12-31,21,8,13,38.1,2.0661,1.2714,34.15
short_v4_impulse_retest_d1_nonup_h1_only,B8,2026-01-01,2026-06-30,42,24,18,57.14,2.0553,2.7404,434.41
