period,date,dominant_regime,dominant_share_pct,bars
last_6_months_2026_01_01_to_2026_06_30,2026-01-01,chop,100.0,12
last_6_months_2026_01_01_to_2026_06_30,2026-01-02,chop,100.0,264
last_6_months_2026_01_01_to_2026_06_30,2026-01-04,chop,100.0,12
last_6_months_2026_01_01_to_2026_06_30,2026-01-05,chop,100.0,276
last_6_months_2026_01_01_to_2026_06_30,2026-01-06,chop,100.0,276
last_6_months_2026_01_01_to_2026_06_30,2026-01-07,uptrend,100.0,276
last_6_months_2026_01_01_to_2026_06_30,2026-01-08,chop,65.22,276
last_6_months_2026_01_01_to_2026_06_30,2026-01-09,uptrend,100.0,264
last_6_months_2026_01_01_to_2026_06_30,2026-01-11,uptrend,100.0,12
last_6_months_2026_01_01_to_2026_06_30,2026-01-12,uptrend,100.0,276
last_6_months_2026_01_01_to_2026_06_30,2026-01-13,uptrend,100.0,276
last_6_months_2026_01_01_to_2026_06_30,2026-01-14,shock,100.0,276
last_6_months_2026_01_01_to_2026_06_30,2026-01-15,uptrend,100.0,276
last_6_months_2026_01_01_to_2026_06_30,2026-01-16,uptrend,54.55,264
last_6_months_2026_01_01_to_2026_06_30,2026-01-18,chop,100.0,12
last_6_months_2026_01_01_to_2026_06_30,2026-01-19,uptrend,100.0,246
last_6_months_2026_01_01_to_2026_06_30,2026-01-20,uptrend,100.0,276
last_6_months_2026_01_01_to_2026_06_30,2026-01-21,uptrend,100.0,276
last_6_months_2026_01_01_to_2026_06_30,2026-01-22,uptrend,100.0,276
last_6_months_2026_01_01_to_2026_06_30,2026-01-23,shock,100.0,264
last_6_months_2026_01_01_to_2026_06_30,2026-01-25,shock,100.0,12
last_6_months_2026_01_01_to_2026_06_30,2026-01-26,uptrend,100.0,276
last_6_months_2026_01_01_to_2026_06_30,2026-01-27,shock,100.0,276
last_6_months_2026_01_01_to_2026_06_30,2026-01-28,shock,100.0,276
last_6_months_2026_01_01_to_2026_06_30,2026-01-29,shock,100.0,276
last_6_months_2026_01_01_to_2026_06_30,2026-01-30,shock,100.0,264
last_6_months_2026_01_01_to_2026_06_30,2026-02-01,shock,100.0,12
last_6_months_2026_01_01_to_2026_06_30,2026-02-02,shock,100.0,276
last_6_months_2026_01_01_to_2026_06_30,2026-02-03,shock,100.0,276
last_6_months_2026_01_01_to_2026_06_30,2026-02-04,shock,100.0,276
last_6_months_2026_01_01_to_2026_06_30,2026-02-05,shock,100.0,276
last_6_months_2026_01_01_to_2026_06_30,2026-02-06,shock,100.0,264
last_6_months_2026_01_01_to_2026_06_30,2026-02-08,shock,100.0,12
last_6_months_2026_01_01_to_2026_06_30,2026-02-09,shock,100.0,276
last_6_months_2026_01_01_to_2026_06_30,2026-02-10,shock,100.0,276
last_6_months_2026_01_01_to_2026_06_30,2026-02-11,shock,100.0,276
last_6_months_2026_01_01_to_2026_06_30,2026-02-12,shock,100.0,276
last_6_months_2026_01_01_to_2026_06_30,2026-02-13,shock,100.0,264
last_6_months_2026_01_01_to_2026_06_30,2026-02-15,chop,100.0,12
last_6_months_2026_01_01_to_2026_06_30,2026-02-16,chop,100.0,246
last_6_months_2026_01_01_to_2026_06_30,2026-02-17,chop,91.3,276
last_6_months_2026_01_01_to_2026_06_30,2026-02-18,chop,100.0,276
last_6_months_2026_01_01_to_2026_06_30,2026-02-19,chop,100.0,276
last_6_months_2026_01_01_to_2026_06_30,2026-02-20,chop,54.55,264
last_6_months_2026_01_01_to_2026_06_30,2026-02-22,uptrend,100.0,12
last_6_months_2026_01_01_to_2026_06_30,2026-02-23,uptrend,100.0,276
last_6_months_2026_01_01_to_2026_06_30,2026-02-24,uptrend,100.0,276
last_6_months_2026_01_01_to_2026_06_30,2026-02-25,uptrend,100.0,276
last_6_months_2026_01_01_to_2026_06_30,2026-02-26,uptrend,100.0,276
last_6_months_2026_01_01_to_2026_06_30,2026-02-27,uptrend,95.45,264
last_6_months_2026_01_01_to_2026_06_30,2026-03-01,uptrend,100.0,12
last_6_months_2026_01_01_to_2026_06_30,2026-03-02,uptrend,95.65,276
last_6_months_2026_01_01_to_2026_06_30,2026-03-03,uptrend,52.17,276
last_6_months_2026_01_01_to_2026_06_30,2026-03-04,chop,100.0,276
last_6_months_2026_01_01_to_2026_06_30,2026-03-05,chop,95.65,276
last_6_months_2026_01_01_to_2026_06_30,2026-03-06,chop,100.0,264
last_6_months_2026_01_01_to_2026_06_30,2026-03-08,chop,100.0,24
last_6_months_2026_01_01_to_2026_06_30,2026-03-09,chop,100.0,276
last_6_months_2026_01_01_to_2026_06_30,2026-03-10,chop,100.0,276
last_6_months_2026_01_01_to_2026_06_30,2026-03-11,uptrend,65.22,276
last_6_months_2026_01_01_to_2026_06_30,2026-03-12,chop,82.61,276
last_6_months_2026_01_01_to_2026_06_30,2026-03-13,chop,95.24,252
last_6_months_2026_01_01_to_2026_06_30,2026-03-15,chop,100.0,24
last_6_months_2026_01_01_to_2026_06_30,2026-03-16,chop,100.0,276
last_6_months_2026_01_01_to_2026_06_30,2026-03-17,chop,100.0,276
last_6_months_2026_01_01_to_2026_06_30,2026-03-18,chop,100.0,276
last_6_months_2026_01_01_to_2026_06_30,2026-03-19,chop,95.65,276
last_6_months_2026_01_01_to_2026_06_30,2026-03-20,chop,100.0,252
last_6_months_2026_01_01_to_2026_06_30,2026-03-22,chop,100.0,24
last_6_months_2026_01_01_to_2026_06_30,2026-03-23,chop,100.0,276
last_6_months_2026_01_01_to_2026_06_30,2026-03-24,downtrend,100.0,276
last_6_months_2026_01_01_to_2026_06_30,2026-03-25,chop,100.0,276
last_6_months_2026_01_01_to_2026_06_30,2026-03-26,downtrend,65.22,276
last_6_months_2026_01_01_to_2026_06_30,2026-03-27,downtrend,76.19,252
last_6_months_2026_01_01_to_2026_06_30,2026-03-29,chop,100.0,24
last_6_months_2026_01_01_to_2026_06_30,2026-03-30,chop,100.0,276
last_6_months_2026_01_01_to_2026_06_30,2026-03-31,chop,100.0,276
last_6_months_2026_01_01_to_2026_06_30,2026-04-01,chop,100.0,276
last_6_months_2026_01_01_to_2026_06_30,2026-04-02,chop,95.24,252
last_6_months_2026_01_01_to_2026_06_30,2026-04-05,chop,100.0,24
last_6_months_2026_01_01_to_2026_06_30,2026-04-06,chop,100.0,276
last_6_months_2026_01_01_to_2026_06_30,2026-04-07,chop,100.0,276
last_6_months_2026_01_01_to_2026_06_30,2026-04-08,chop,100.0,276
last_6_months_2026_01_01_to_2026_06_30,2026-04-09,chop,100.0,276
last_6_months_2026_01_01_to_2026_06_30,2026-04-10,chop,100.0,252
last_6_months_2026_01_01_to_2026_06_30,2026-04-12,chop,100.0,24
last_6_months_2026_01_01_to_2026_06_30,2026-04-13,chop,100.0,276
last_6_months_2026_01_01_to_2026_06_30,2026-04-14,chop,100.0,269
last_6_months_2026_01_01_to_2026_06_30,2026-04-15,chop,100.0,276
last_6_months_2026_01_01_to_2026_06_30,2026-04-16,chop,100.0,276
last_6_months_2026_01_01_to_2026_06_30,2026-04-17,chop,100.0,252
last_6_months_2026_01_01_to_2026_06_30,2026-04-19,chop,100.0,24
last_6_months_2026_01_01_to_2026_06_30,2026-04-20,chop,100.0,276
last_6_months_2026_01_01_to_2026_06_30,2026-04-21,chop,100.0,276
last_6_months_2026_01_01_to_2026_06_30,2026-04-22,chop,100.0,276
last_6_months_2026_01_01_to_2026_06_30,2026-04-23,chop,91.3,276
last_6_months_2026_01_01_to_2026_06_30,2026-04-24,chop,100.0,252
last_6_months_2026_01_01_to_2026_06_30,2026-04-26,downtrend,100.0,24
last_6_months_2026_01_01_to_2026_06_30,2026-04-27,downtrend,82.61,276
last_6_months_2026_01_01_to_2026_06_30,2026-04-28,downtrend,95.65,276
last_6_months_2026_01_01_to_2026_06_30,2026-04-29,downtrend,100.0,276
last_6_months_2026_01_01_to_2026_06_30,2026-04-30,downtrend,52.17,276
last_6_months_2026_01_01_to_2026_06_30,2026-05-01,chop,57.14,252
last_6_months_2026_01_01_to_2026_06_30,2026-05-03,chop,100.0,24
last_6_months_2026_01_01_to_2026_06_30,2026-05-04,downtrend,65.22,276
last_6_months_2026_01_01_to_2026_06_30,2026-05-05,downtrend,100.0,276
last_6_months_2026_01_01_to_2026_06_30,2026-05-06,chop,100.0,276
last_6_months_2026_01_01_to_2026_06_30,2026-05-07,chop,100.0,276
last_6_months_2026_01_01_to_2026_06_30,2026-05-08,chop,100.0,252
last_6_months_2026_01_01_to_2026_06_30,2026-05-10,chop,100.0,24
last_6_months_2026_01_01_to_2026_06_30,2026-05-11,chop,100.0,276
last_6_months_2026_01_01_to_2026_06_30,2026-05-12,chop,100.0,276
last_6_months_2026_01_01_to_2026_06_30,2026-05-13,chop,100.0,276
last_6_months_2026_01_01_to_2026_06_30,2026-05-14,chop,100.0,276
last_6_months_2026_01_01_to_2026_06_30,2026-05-15,chop,100.0,252
last_6_months_2026_01_01_to_2026_06_30,2026-05-17,chop,100.0,24
last_6_months_2026_01_01_to_2026_06_30,2026-05-18,downtrend,100.0,276
last_6_months_2026_01_01_to_2026_06_30,2026-05-19,downtrend,95.65,276
last_6_months_2026_01_01_to_2026_06_30,2026-05-20,downtrend,82.61,276
last_6_months_2026_01_01_to_2026_06_30,2026-05-21,downtrend,69.57,276
last_6_months_2026_01_01_to_2026_06_30,2026-05-22,downtrend,80.95,252
last_6_months_2026_01_01_to_2026_06_30,2026-05-24,downtrend,100.0,24
last_6_months_2026_01_01_to_2026_06_30,2026-05-25,chop,100.0,246
last_6_months_2026_01_01_to_2026_06_30,2026-05-26,chop,52.17,276
last_6_months_2026_01_01_to_2026_06_30,2026-05-27,downtrend,100.0,276
last_6_months_2026_01_01_to_2026_06_30,2026-05-28,downtrend,69.57,276
last_6_months_2026_01_01_to_2026_06_30,2026-05-29,chop,100.0,252
last_6_months_2026_01_01_to_2026_06_30,2026-05-31,chop,100.0,24
last_6_months_2026_01_01_to_2026_06_30,2026-06-01,chop,82.61,276
last_6_months_2026_01_01_to_2026_06_30,2026-06-02,chop,65.22,276
last_6_months_2026_01_01_to_2026_06_30,2026-06-03,downtrend,82.61,276
last_6_months_2026_01_01_to_2026_06_30,2026-06-04,downtrend,69.57,276
last_6_months_2026_01_01_to_2026_06_30,2026-06-05,downtrend,95.24,252
last_6_months_2026_01_01_to_2026_06_30,2026-06-07,downtrend,100.0,24
last_6_months_2026_01_01_to_2026_06_30,2026-06-08,downtrend,100.0,276
last_6_months_2026_01_01_to_2026_06_30,2026-06-09,downtrend,100.0,276
last_6_months_2026_01_01_to_2026_06_30,2026-06-10,downtrend,100.0,276
last_6_months_2026_01_01_to_2026_06_30,2026-06-11,downtrend,82.61,276
last_6_months_2026_01_01_to_2026_06_30,2026-06-12,chop,100.0,252
last_6_months_2026_01_01_to_2026_06_30,2026-06-14,chop,100.0,24
last_6_months_2026_01_01_to_2026_06_30,2026-06-15,chop,100.0,276
last_6_months_2026_01_01_to_2026_06_30,2026-06-16,chop,100.0,276
last_6_months_2026_01_01_to_2026_06_30,2026-06-17,chop,95.65,276
last_6_months_2026_01_01_to_2026_06_30,2026-06-18,downtrend,65.22,276
last_6_months_2026_01_01_to_2026_06_30,2026-06-19,downtrend,100.0,204
last_6_months_2026_01_01_to_2026_06_30,2026-06-21,downtrend,100.0,24
last_6_months_2026_01_01_to_2026_06_30,2026-06-22,downtrend,100.0,276
last_6_months_2026_01_01_to_2026_06_30,2026-06-23,downtrend,100.0,276
last_6_months_2026_01_01_to_2026_06_30,2026-06-24,downtrend,100.0,276
last_6_months_2026_01_01_to_2026_06_30,2026-06-25,shock,100.0,276
last_6_months_2026_01_01_to_2026_06_30,2026-06-26,downtrend,76.19,252
last_6_months_2026_01_01_to_2026_06_30,2026-06-28,chop,100.0,24
last_6_months_2026_01_01_to_2026_06_30,2026-06-29,chop,69.57,276
last_3_months_2026_04_01_to_2026_06_30,2026-04-01,chop,100.0,276
last_3_months_2026_04_01_to_2026_06_30,2026-04-02,chop,95.24,252
last_3_months_2026_04_01_to_2026_06_30,2026-04-05,chop,100.0,24
last_3_months_2026_04_01_to_2026_06_30,2026-04-06,chop,100.0,276
last_3_months_2026_04_01_to_2026_06_30,2026-04-07,chop,100.0,276
last_3_months_2026_04_01_to_2026_06_30,2026-04-08,chop,100.0,276
last_3_months_2026_04_01_to_2026_06_30,2026-04-09,chop,100.0,276
last_3_months_2026_04_01_to_2026_06_30,2026-04-10,chop,100.0,252
last_3_months_2026_04_01_to_2026_06_30,2026-04-12,chop,100.0,24
last_3_months_2026_04_01_to_2026_06_30,2026-04-13,chop,100.0,276
last_3_months_2026_04_01_to_2026_06_30,2026-04-14,chop,100.0,269
last_3_months_2026_04_01_to_2026_06_30,2026-04-15,chop,100.0,276
last_3_months_2026_04_01_to_2026_06_30,2026-04-16,chop,100.0,276
last_3_months_2026_04_01_to_2026_06_30,2026-04-17,chop,100.0,252
last_3_months_2026_04_01_to_2026_06_30,2026-04-19,chop,100.0,24
last_3_months_2026_04_01_to_2026_06_30,2026-04-20,chop,100.0,276
last_3_months_2026_04_01_to_2026_06_30,2026-04-21,chop,100.0,276
last_3_months_2026_04_01_to_2026_06_30,2026-04-22,chop,100.0,276
last_3_months_2026_04_01_to_2026_06_30,2026-04-23,chop,91.3,276
last_3_months_2026_04_01_to_2026_06_30,2026-04-24,chop,100.0,252
last_3_months_2026_04_01_to_2026_06_30,2026-04-26,downtrend,100.0,24
last_3_months_2026_04_01_to_2026_06_30,2026-04-27,downtrend,82.61,276
last_3_months_2026_04_01_to_2026_06_30,2026-04-28,downtrend,95.65,276
last_3_months_2026_04_01_to_2026_06_30,2026-04-29,downtrend,100.0,276
last_3_months_2026_04_01_to_2026_06_30,2026-04-30,downtrend,52.17,276
last_3_months_2026_04_01_to_2026_06_30,2026-05-01,chop,57.14,252
last_3_months_2026_04_01_to_2026_06_30,2026-05-03,chop,100.0,24
last_3_months_2026_04_01_to_2026_06_30,2026-05-04,downtrend,65.22,276
