segment_id,start_month,end_month,months,dominant_regime,regime_day_share_pct,start_close,end_close,segment_return_pct,avg_month_return_pct,best_month_pct,worst_month_pct
1,2016-07,2016-07,1,unknown,100.0,1364.93,1351.11,-1.01,-1.01,-1.01,-1.01
2,2016-08,2016-09,2,compression,60.38,1348.97,1322.03,-2.0,-0.89,0.95,-2.73
3,2016-10,2016-10,1,transition,65.38,1315.89,1277.0,-2.96,-2.96,-2.96,-2.96
4,2016-11,2016-12,2,downtrend,67.31,1276.57,1152.12,-9.75,-4.17,-1.6,-6.75
5,2017-01,2017-01,1,transition,56.0,1150.72,1196.35,3.97,3.97,3.97,3.97
6,2017-02,2017-03,2,chop,56.86,1211.27,1243.6,2.67,1.64,3.39,-0.12
7,2017-04,2017-04,1,uptrend,50.0,1248.96,1267.99,1.52,1.52,1.52,1.52
8,2017-05,2017-08,4,chop,55.66,1270.16,1307.16,2.91,0.77,3.13,-1.75
9,2017-09,2017-09,1,uptrend,69.23,1321.16,1279.37,-3.16,-3.16,-3.16,-3.16
10,2017-10,2017-10,1,chop,50.0,1277.83,1276.04,-0.14,-0.14,-0.14,-0.14
11,2017-11,2017-11,1,compression,57.69,1268.12,1284.62,1.3,1.3,1.3,1.3
12,2017-12,2017-12,1,chop,87.5,1275.55,1302.54,2.12,2.12,2.12,2.12
13,2018-01,2018-02,2,uptrend,67.35,1320.47,1317.3,-0.24,-0.34,1.44,-2.13
14,2018-03,2018-05,3,chop,83.33,1315.35,1302.54,-0.97,-0.16,0.74,-0.96
15,2018-06,2018-06,1,compression,69.23,1299.3,1252.74,-3.58,-3.58,-3.58,-3.58
16,2018-07,2018-09,3,downtrend,75.64,1253.29,1191.51,-4.93,-1.73,-0.77,-2.46
17,2018-10,2018-12,3,chop,71.79,1190.86,1279.19,7.42,2.63,4.68,0.65
18,2019-01,2019-02,2,uptrend,80.0,1280.23,1320.57,3.15,1.45,2.95,-0.06
19,2019-03,2019-05,3,chop,79.49,1313.26,1290.48,-1.73,-0.64,0.57,-1.61
20,2019-06,2019-07,2,shock,61.54,1305.13,1430.74,9.62,5.4,8.03,2.78
21,2019-08,2019-09,2,uptrend,78.85,1412.14,1496.27,5.96,2.76,7.68,-2.15
22,2019-10,2019-12,3,chop,82.05,1473.55,1515.79,2.87,0.65,3.74,-3.23
23,2020-01,2020-02,2,uptrend,90.2,1520.21,1584.7,4.24,1.65,3.55,-0.26
24,2020-03,2020-03,1,shock,100.0,1597.04,1616.01,1.19,1.19,1.19,1.19
25,2020-04,2020-09,6,uptrend,76.92,1578.29,1896.84,20.18,3.18,9.76,-3.61
26,2020-10,2021-02,5,chop,76.38,1887.72,1733.84,-8.15,-1.55,6.61,-6.5
27,2021-03,2021-03,1,downtrend,70.37,1738.14,1685.5,-3.03,-3.03,-3.03,-3.03
28,2021-04,2021-05,2,compression,54.9,1707.44,1903.87,11.5,5.74,7.63,3.85
29,2021-06,2021-06,1,transition,42.31,1908.1,1761.45,-7.69,-7.69,-7.69,-7.69
30,2021-07,2021-07,1,compression,70.37,1768.13,1814.28,2.61,2.61,2.61,2.61
31,2021-08,2021-08,1,downtrend,46.15,1813.9,1810.45,-0.19,-0.19,-0.19,-0.19
32,2021-09,2021-09,1,compression,38.46,1814.49,1728.9,-4.72,-4.72,-4.72,-4.72
33,2021-10,2021-11,2,chop,61.54,1753.09,1785.01,1.82,0.94,1.7,0.19
34,2021-12,2022-01,2,compression,63.46,1777.61,1787.2,0.54,-0.02,2.2,-2.25
35,2022-02,2022-02,1,uptrend,50.0,1796.74,1917.5,6.72,6.72,6.72,6.72
36,2022-03,2022-03,1,shock,74.07,1905.42,1933.94,1.5,1.5,1.5,1.5
37,2022-04,2022-04,1,uptrend,68.0,1936.73,1896.42,-2.08,-2.08,-2.08,-2.08
38,2022-05,2022-06,2,chop,59.62,1897.26,1818.91,-4.13,-1.66,-0.96,-2.36
39,2022-07,2022-10,4,downtrend,84.76,1806.55,1642.19,-9.1,-2.04,-1.12,-2.59
40,2022-11,2022-11,1,transition,61.54,1633.92,1751.21,7.18,7.18,7.18,7.18
41,2022-12,2022-12,1,chop,34.62,1778.21,1823.55,2.55,2.55,2.55,2.55
42,2023-01,2023-01,1,uptrend,88.0,1830.66,1922.76,5.03,5.03,5.03,5.03
43,2023-02,2023-02,1,transition,41.67,1927.55,1816.51,-5.76,-5.76,-5.76,-5.76
44,2023-03,2023-03,1,shock,44.44,1823.47,1978.42,8.5,8.5,8.5,8.5
45,2023-04,2023-05,2,uptrend,68.63,1969.41,1958.54,-0.55,-0.2,1.02,-1.43
46,2023-06,2023-06,1,chop,57.69,1966.24,1908.68,-2.93,-2.93,-2.93,-2.93
47,2023-07,2023-09,3,compression,87.34,1919.17,1848.74,-3.67,-1.23,2.02,-4.7
48,2023-10,2023-10,1,downtrend,42.31,1848.35,1995.62,7.97,7.97,7.97,7.97
49,2023-11,2023-12,2,uptrend,70.59,1979.91,2063.03,4.2,2.2,3.37,1.03
50,2024-01,2024-02,2,chop,70.59,2065.45,2034.14,-1.52,-0.87,-0.32,-1.42
51,2024-03,2024-03,1,uptrend,88.0,2043.69,2232.88,9.26,9.26,9.26,9.26
52,2024-04,2024-04,1,shock,84.62,2245.94,2333.08,3.88,3.88,3.88,3.88
53,2024-05,2024-05,1,uptrend,100.0,2291.24,2344.05,2.3,2.3,2.3,2.3
54,2024-06,2024-07,2,chop,61.54,2327.46,2409.75,3.54,1.8,3.65,-0.05
55,2024-08,2024-11,4,uptrend,82.86,2445.65,2650.33,8.37,2.77,6.42,-3.45
56,2024-12,2024-12,1,chop,84.62,2637.45,2607.72,-1.13,-1.13,-1.13,-1.13
57,2025-01,2025-01,1,compression,66.67,2624.43,2795.74,6.53,6.53,6.53,6.53
58,2025-02,2025-03,2,uptrend,92.0,2798.47,3089.18,10.39,5.43,8.05,2.81
59,2025-04,2025-04,1,shock,88.0,3120.61,3317.06,6.3,6.3,6.3,6.3
60,2025-05,2025-06,2,uptrend,75.0,3272.8,3263.9,-0.27,-0.45,0.49,-1.4
61,2025-07,2025-08,2,chop,62.26,3338.1,3447.9,3.29,0.52,2.53,-1.48
62,2025-09,2025-09,1,uptrend,100.0,3479.17,3862.79,11.03,11.03,11.03,11.03
63,2025-10,2025-10,1,shock,51.85,3863.37,4002.52,3.6,3.6,3.6,3.6
64,2025-11,2026-01,3,uptrend,80.77,3979.42,4890.29,22.89,6.91,12.47,2.16
65,2026-02,2026-02,1,shock,58.33,4741.34,5278.97,11.34,11.34,11.34,11.34
66,2026-03,2026-03,1,uptrend,51.85,5386.76,4696.13,-12.82,-12.82,-12.82,-12.82
67,2026-04,2026-06,3,transition,68.83,4783.96,4005.58,-16.27,-5.2,-1.62,-10.68
68,2026-07,2026-07,1,downtrend,100.0,4034.89,4104.42,1.72,1.72,1.72,1.72
