family_id,segment,opened_for_decision,passed,trades,wins,win_rate_pct,stress_net_usd,stress_net_r,stress_profit_factor,average_stress_r,max_closed_drawdown_r,source_days,trades_per_source_day,active_exit_months,positive_exit_months,positive_exit_month_share,long_trades,short_trades,top_five_winners_removed_net_r,top_ten_winners_removed_net_r,gate_trades_ge_minimum,gate_each_direction_ge_minimum,gate_pf_ge_minimum,gate_average_r_ge_minimum,gate_positive_month_share_ge_minimum,gate_drawdown_r_lte_maximum,gate_top_ten_winners_removed_positive,gate_top_five_winners_removed_positive,gate_trades_per_source_day_ge_minimum
session_boundary_sweep_reclaim_v1,train,True,False,3,0,0.0,-10.053489173611462,-3.3321472590205907,0.0,-1.1107157530068636,3.3321472590205907,1244,0.002411575562700965,3,0,0.0,2,1,-3.3321472590205907,-3.3321472590205907,False,False,False,False,False,True,False,,
session_boundary_sweep_reclaim_v1,validation,False,False,5,1,20.0,-9.71308169849503,-3.0799595468784453,0.3088400202967368,-0.615991909375689,3.3222506187567538,621,0.008051529790660225,3,1,0.3333333333333333,1,4,-4.456218006431404,-4.456218006431404,False,False,False,False,False,True,,False,
session_boundary_sweep_reclaim_v1,internal_test,False,False,4,1,25.0,-9.134808359953665,-1.9773938009773135,0.4079786154915077,-0.4943484502443284,2.1853129694057936,620,0.0064516129032258064,3,1,0.3333333333333333,4,0,-3.340071579709886,-3.340071579709886,False,False,False,False,False,True,,False,
session_boundary_sweep_reclaim_v1,exam,False,False,19,5,26.31578947368421,-74.9080404276638,-7.908539854701524,0.4775679794959078,-0.41623893972113285,9.313369121787375,624,0.030448717948717948,12,4,0.3333333333333333,14,5,-15.137930954290686,-15.137930954290686,False,False,False,False,False,True,,False,False
compression_break_retest_v1,train,True,False,0,0,0.0,0,0,,0.0,0.0,1244,0.0,0,0,0.0,0,0,0,0,False,False,False,False,False,True,False,,
compression_break_retest_v1,validation,False,False,0,0,0.0,0,0,,0.0,0.0,621,0.0,0,0,0.0,0,0,0,0,False,False,False,False,False,True,,False,
compression_break_retest_v1,internal_test,False,False,0,0,0.0,0,0,,0.0,0.0,620,0.0,0,0,0.0,0,0,0,0,False,False,False,False,False,True,,False,
compression_break_retest_v1,exam,False,False,0,0,0.0,0,0,,0.0,0.0,624,0.0,0,0,0.0,0,0,0,0,False,False,False,False,False,True,,False,False
shock_failure_reclaim_v1,train,True,False,15,2,13.333333333333334,-50.51645677893477,-11.914340711470347,0.20109082530265313,-0.7942893807646898,13.313613455299262,1244,0.012057877813504822,11,1,0.09090909090909091,5,10,-14.913260591836227,-14.913260591836227,False,False,False,False,False,True,False,,
shock_failure_reclaim_v1,validation,False,False,28,11,39.285714285714285,-14.517512020255053,-4.6612372277429985,0.7382528066331865,-0.1664727581336785,11.028254401376788,621,0.04508856682769726,16,7,0.4375,17,11,-11.850895587472518,-17.53167188206824,False,False,False,False,False,True,,False,
shock_failure_reclaim_v1,internal_test,False,False,37,10,27.027027027027028,-52.139938229166425,-16.729247538469338,0.40032611666079104,-0.45214182536403613,20.291940246545767,620,0.05967741935483871,18,6,0.3333333333333333,20,17,-23.874485121899447,-27.897242156544515,False,True,False,False,False,False,,False,
shock_failure_reclaim_v1,exam,False,False,30,13,43.333333333333336,19.972831037616103,0.9588513135257482,1.054061796265866,0.03196171045085827,8.65905913328314,624,0.04807692307692308,18,8,0.4444444444444444,17,13,-6.65130587938531,-13.968918479729547,False,False,False,False,False,True,,False,False
