aggregation_level,group,family,symbol,time_bucket,direction,normalized_direction,legacy_shadow_action,proposed_v2_shadow_action,proposed_v2_shadow_reason,trend_veto_action,fixed_shadow_action,signals,broker_join,replay,unresolved,wins,losses,open,flat,closed_win_rate_pct,broker_profit_aed,replay_gross_win_rate_pct,replay_net_win_rate_pct,replay_net_r_sum,avg_cost_r,avg_rr,net_breakeven_wr_pct
candidate,breakout_retest,breakout,EURUSD,Night 20:00-05:59,SHORT,SELL,KEEP,KEEP,KEEP,,KEEP,1,1,0,0,1,0,0,0,100.00,27.86,0.00,0.00,,,1.4935,
candidate,round_number_retest_v0,round,XAUUSD,Afternoon 12:00-15:59,LONG,BUY,BLOCK,BLOCK,BLOCK_WEAK_EA_ROUND_RETEST_CLONE_FAMILY,,BLOCK,3,3,0,0,0,3,0,0,0.00,-96.52,0.00,0.00,,,1.5002,
candidate,round_number_retest_v0,round,XAUUSD,Afternoon 12:00-15:59,SHORT,SELL,BLOCK,BLOCK,BLOCK_WEAK_EA_ROUND_RETEST_CLONE_FAMILY,,BLOCK,4,4,0,0,0,4,0,0,0.00,-61.59,0.00,0.00,,,1.5003,
candidate,round_number_retest_v0,round,XAUUSD,Evening 16:00-19:59,LONG,BUY,KEEP,BLOCK,BLOCK_WEAK_EA_ROUND_RETEST_CLONE_FAMILY,,BLOCK,1,1,0,0,0,1,0,0,0.00,-18.00,0.00,0.00,,,1.4996,
candidate,round_number_retest_v0,round,XAUUSD,Evening 16:00-19:59,SHORT,SELL,KEEP,BLOCK,BLOCK_WEAK_EA_ROUND_RETEST_CLONE_FAMILY,,BLOCK,4,4,0,0,2,2,0,0,50.00,98.87,0.00,0.00,,,1.5000,
candidate,round_number_retest_v0,round,XAUUSD,Morning 06:00-11:59,LONG,BUY,BLOCK,BLOCK,BLOCK_WEAK_EA_ROUND_RETEST_CLONE_FAMILY,,BLOCK,3,3,0,0,1,2,0,0,33.33,-28.85,0.00,0.00,,,1.5005,
candidate,round_number_retest_v0,round,XAUUSD,Morning 06:00-11:59,SHORT,SELL,BLOCK,BLOCK,BLOCK_WEAK_EA_ROUND_RETEST_CLONE_FAMILY,,BLOCK,9,9,0,0,2,7,0,0,22.22,-180.30,0.00,0.00,,,1.4999,
candidate,round_number_retest_v0,round,XAUUSD,Night 20:00-05:59,LONG,BUY,KEEP,BLOCK,BLOCK_WEAK_EA_ROUND_RETEST_CLONE_FAMILY,,BLOCK,5,5,0,0,1,4,0,0,20.00,-81.22,0.00,0.00,,,1.4999,
candidate,round_number_retest_v0,round,XAUUSD,Night 20:00-05:59,SHORT,SELL,KEEP,BLOCK,BLOCK_WEAK_EA_ROUND_RETEST_CLONE_FAMILY,,BLOCK,11,11,0,0,6,5,0,0,54.55,157.41,0.00,0.00,,,1.5000,
candidate,swing_breakout_retest_v0,breakout,EURUSD,Night 20:00-05:59,SHORT,SELL,KEEP,KEEP,KEEP,,KEEP,1,1,0,0,1,0,0,0,100.00,27.86,0.00,0.00,,,1.4935,
candidate,symbol_normalized_round_retest_v0,round,XAUUSD,Afternoon 12:00-15:59,LONG,BUY,BLOCK,BLOCK,BLOCK_WEAK_EA_ROUND_RETEST_CLONE_FAMILY,,BLOCK,3,3,0,0,0,3,0,0,0.00,-96.96,0.00,0.00,,,1.5002,
candidate,symbol_normalized_round_retest_v0,round,XAUUSD,Afternoon 12:00-15:59,SHORT,SELL,BLOCK,BLOCK,BLOCK_WEAK_EA_ROUND_RETEST_CLONE_FAMILY,,BLOCK,3,3,0,0,0,3,0,0,0.00,-49.20,0.00,0.00,,,1.5001,
candidate,symbol_normalized_round_retest_v0,round,XAUUSD,Evening 16:00-19:59,LONG,BUY,BLOCK,BLOCK,BLOCK_WEAK_EA_ROUND_RETEST_CLONE_FAMILY,,BLOCK,1,1,0,0,0,1,0,0,0.00,-16.17,0.00,0.00,,,1.4996,
candidate,symbol_normalized_round_retest_v0,round,XAUUSD,Evening 16:00-19:59,SHORT,SELL,BLOCK,BLOCK,BLOCK_WEAK_EA_ROUND_RETEST_CLONE_FAMILY,,BLOCK,4,4,0,0,2,2,0,0,50.00,102.20,0.00,0.00,,,1.5000,
candidate,symbol_normalized_round_retest_v0,round,XAUUSD,Morning 06:00-11:59,LONG,BUY,BLOCK,BLOCK,BLOCK_WEAK_EA_ROUND_RETEST_CLONE_FAMILY,,BLOCK,3,3,0,0,1,2,0,0,33.33,-24.30,0.00,0.00,,,1.5005,
candidate,symbol_normalized_round_retest_v0,round,XAUUSD,Morning 06:00-11:59,SHORT,SELL,BLOCK,BLOCK,BLOCK_WEAK_EA_ROUND_RETEST_CLONE_FAMILY,,BLOCK,9,9,0,0,2,7,0,0,22.22,-181.02,0.00,0.00,,,1.4999,
candidate,symbol_normalized_round_retest_v0,round,XAUUSD,Night 20:00-05:59,LONG,BUY,BLOCK,BLOCK,BLOCK_WEAK_EA_ROUND_RETEST_CLONE_FAMILY,,BLOCK,5,5,0,0,1,4,0,0,20.00,-78.53,0.00,0.00,,,1.4999,
candidate,symbol_normalized_round_retest_v0,round,XAUUSD,Night 20:00-05:59,SHORT,SELL,BLOCK,BLOCK,BLOCK_WEAK_EA_ROUND_RETEST_CLONE_FAMILY,,BLOCK,11,11,0,0,6,5,0,0,54.55,160.71,0.00,0.00,,,1.5000,
family,breakout,breakout,EURUSD,Night 20:00-05:59,SHORT,SELL,KEEP,KEEP,KEEP,,KEEP,1,1,0,0,1,0,0,0,100.00,27.86,0.00,0.00,,,1.4935,
family,round,round,XAUUSD,Afternoon 12:00-15:59,LONG,BUY,BLOCK,BLOCK,BLOCK_WEAK_EA_ROUND_RETEST_CLONE_FAMILY,,BLOCK,3,3,0,0,0,3,0,0,0.00,-96.96,0.00,0.00,,,1.5002,
family,round,round,XAUUSD,Afternoon 12:00-15:59,SHORT,SELL,BLOCK,BLOCK,BLOCK_WEAK_EA_ROUND_RETEST_CLONE_FAMILY,,BLOCK,4,4,0,0,0,4,0,0,0.00,-60.48,0.00,0.00,,,1.5003,
family,round,round,XAUUSD,Evening 16:00-19:59,LONG,BUY,BLOCK,BLOCK,BLOCK_WEAK_EA_ROUND_RETEST_CLONE_FAMILY,,BLOCK,1,1,0,0,0,1,0,0,0.00,-16.17,0.00,0.00,,,1.4996,
