dedup_key,entry_minute,entry_date,entry_time,time_bucket,account,account_role,lane,symbol,direction,volume,selected_candidate,selected_family,selected_status,selected_position_ticket,selected_profit_aed,selected_outcome,group_size,duplicate_count,group_raw_profit_aed,candidate_members,family_members,has_round_family,has_breakout_core,has_p2weakness,actual_join_status,entry_price,sl,tp,magic,entry_comment,exit_comment,cost_join_status,cost_r,spread_points,stop_distance_points,result_r,is_breakout_core,is_round_family,is_evening_night,is_morning_afternoon,is_protected_breakout_cluster,is_mixed_family_group
2026-06-16 10:00|XAUUSD|SELL|0.01,2026-06-16 10:00,2026-06-16,2026-06-16 10:00:00,Morning 06:00-11:59,1025742,A1_LAB_OBSERVATION,A1,XAUUSD,SELL,0.01,symbol_normalized_round_retest_v0,round_family,ACCEPTED,4097006,-12.90,LOSS,1,0,-12.90,symbol_normalized_round_retest_v0,round_family,true,false,false,MATCHED,4316.01,4319.48,4310.53,920301,P2DEMO_sn_round_XAUUSD,[sl 4319.48],COST_KNOWN,0.1397,50.00000,357.95000,-0.9806,false,true,false,true,false,false
2026-06-16 09:30|XAUUSD|BUY|0.01,2026-06-16 09:30,2026-06-16,2026-06-16 09:30:01,Morning 06:00-11:59,1025742,A1_LAB_OBSERVATION,A1,XAUUSD,BUY,0.01,round_number_retest_v0,round_family,PROVISIONAL,4096444,-13.70,LOSS,1,0,-13.70,round_number_retest_v0,round_family,true,false,false,MATCHED,4327.84,4324.46,4331.96,920401,P2DEMO_round_XAUUSD,[sl 4324.46],COST_KNOWN,0.1667,50.00000,300.00000,-1.2433,false,true,false,true,false,false
2026-06-16 09:10|XAUUSD|BUY|0.01,2026-06-16 09:10,2026-06-16,2026-06-16 09:10:00,Morning 06:00-11:59,1025742,A1_LAB_OBSERVATION,A1,XAUUSD,BUY,0.01,swing_breakout_retest_v0,breakout_core,ACCEPTED,4096254,-17.52,LOSS,2,1,-35.04,round_number_retest_v0;swing_breakout_retest_v0,breakout_core;round_family,true,true,false,MATCHED,4328.56,4323.89,4335.56,920201,P2DEMO_swing_br_XAUUSD,[sl 4323.89],COST_KNOWN,0.1071,50.00000,466.69000,-1.0221,true,false,false,true,false,true
2026-06-16 08:45|XAUUSD|SELL|0.01,2026-06-16 08:45,2026-06-16,2026-06-16 08:45:01,Morning 06:00-11:59,1025742,A1_LAB_OBSERVATION,A1,XAUUSD,SELL,0.01,round_number_retest_v0,round_family,PROVISIONAL,4096088,-11.57,LOSS,1,0,-11.57,round_number_retest_v0,round_family,true,false,false,MATCHED,4323.14,4326.28,4318.24,920401,P2DEMO_round_XAUUSD,[sl 4326.28],COST_KNOWN,0.1555,50.00000,321.61000,-0.9794,false,true,false,true,false,false
2026-06-16 08:30|XAUUSD|SELL|0.01,2026-06-16 08:30,2026-06-16,2026-06-16 08:30:01,Morning 06:00-11:59,1025742,A1_LAB_OBSERVATION,A1,XAUUSD,SELL,0.01,round_number_retest_v0,round_family,PROVISIONAL,4096041,-11.13,LOSS,1,0,-11.13,round_number_retest_v0,round_family,true,false,false,MATCHED,4322.86,4325.86,4318.36,920401,P2DEMO_round_XAUUSD,[sl 4325.86],COST_KNOWN,0.1667,50.00000,300.00000,-1.0100,false,true,false,true,false,false
2026-06-16 08:15|XAUUSD|SELL|0.01,2026-06-16 08:15,2026-06-16,2026-06-16 08:15:01,Morning 06:00-11:59,1025742,A1_LAB_OBSERVATION,A1,XAUUSD,SELL,0.01,round_number_retest_v0,round_family,PROVISIONAL,4095982,16.52,WIN,1,0,16.52,round_number_retest_v0,round_family,true,false,false,MATCHED,4326.86,4329.86,4322.36,920401,P2DEMO_round_XAUUSD,[tp 4322.36],COST_KNOWN,0.1667,50.00000,300.00000,1.5000,false,true,false,true,false,false
2026-06-16 08:10|XAUUSD|SELL|0.01,2026-06-16 08:10,2026-06-16,2026-06-16 08:10:02,Morning 06:00-11:59,1025742,A1_LAB_OBSERVATION,A1,XAUUSD,SELL,0.01,round_number_retest_v0,round_family,PROVISIONAL,4095942,18.76,WIN,1,0,18.76,round_number_retest_v0,round_family,true,false,false,MATCHED,4328.32,4331.54,4323.21,920401,P2DEMO_round_XAUUSD,[tp 4323.21],COST_KNOWN,0.1500,50.00000,333.40000,1.5327,false,true,false,true,false,false
2026-06-16 07:55|XAUUSD|BUY|0.01,2026-06-16 07:55,2026-06-16,2026-06-16 07:55:00,Morning 06:00-11:59,1025742,A1_LAB_OBSERVATION,A1,XAUUSD,BUY,0.01,round_number_retest_v0,round_family,PROVISIONAL,4095861,-13.85,LOSS,1,0,-13.85,round_number_retest_v0,round_family,true,false,false,MATCHED,4332.20,4328.91,4337.08,920401,P2DEMO_round_XAUUSD,[sl 4328.91],COST_KNOWN,0.1531,50.00000,326.68000,-1.1540,false,true,false,true,false,false
2026-06-16 07:20|XAUUSD|SELL|0.01,2026-06-16 07:20,2026-06-16,2026-06-16 07:20:00,Morning 06:00-11:59,1025742,A1_LAB_OBSERVATION,A1,XAUUSD,SELL,0.01,round_number_retest_v0,round_family,PROVISIONAL,4095498,-14.81,LOSS,1,0,-14.81,round_number_retest_v0,round_family,true,false,false,MATCHED,4317.64,4321.65,4311.77,920401,P2DEMO_round_XAUUSD,[sl 4321.65],COST_KNOWN,0.1265,50.00000,395.31000,-1.0195,false,true,false,true,false,false
2026-06-16 06:50|XAUUSD|BUY|0.01,2026-06-16 06:50,2026-06-16,2026-06-16 06:50:00,Morning 06:00-11:59,1025742,A1_LAB_OBSERVATION,A1,XAUUSD,BUY,0.01,round_number_retest_v0,round_family,PROVISIONAL,4095204,24.68,WIN,1,0,24.68,round_number_retest_v0,round_family,true,false,false,MATCHED,4312.48,4307.92,4319.20,920401,P2DEMO_round_XAUUSD,[tp 4319.20],COST_KNOWN,0.1661,75.00000,451.48000,1.4884,false,true,false,true,false,false
