period,start,end,source_id,signals,wins,losses,wr,wl,pf,net,stress_030_wl,stress_030_pf,stress_030_net,active_weekday_pct,active_weekdays,max_closed_dd,positive_week_pct,worst_week,closing_months,positive_months,negative_months,flat_months,positive_month_pct,worst_month,worst_month_net,best_month,best_month_net
full_202207_202606,2022-07-01,2026-06-30,ALL,3794,1898,1882,50.03,2.1328,2.1509,20882.42,2.0084,2.0084,19120.52,86.58,903,958.86,58.57,-878.18,48,31,17,0,64.58,2023-02,-386.08,2025-10,4687.52
full_202207_202606,2022-07-01,2026-06-30,h4_d1_long_best_box2_atr80,208,140,68,67.31,2.4948,5.1364,14349.57,2.4744,5.0943,14287.17,11.6,121,866.37,20.48,-866.37,29,18,11,0,62.07,2024-11,-312.73,2025-10,3622.34
full_202207_202606,2022-07-01,2026-06-30,freq_step3_frontier,3416,1690,1712,49.47,1.4531,1.4345,6134.72,1.3307,1.3014,4486.22,85.04,887,365.8,57.14,-148.52,48,34,14,0,70.83,2026-05,-142.12,2026-01,1073.17
full_202207_202606,2022-07-01,2026-06-30,short_v4_impulse_retest_d1_structural_h1h4,170,68,102,40.0,2.576,1.7173,398.13,2.3891,1.5928,347.13,9.49,99,65.17,10.95,-32.71,21,12,9,1,57.14,2022-09,-36.69,2026-06,194.24
pre_2025_202207_202412,2022-07-01,2024-12-31,ALL,2320,1114,1195,48.02,1.7933,1.6717,5171.46,1.6234,1.4996,4103.16,88.36,577,515.11,35.24,-398.94,30,18,12,0,60.0,2023-02,-386.08,2023-01,1347.03
pre_2025_202207_202412,2022-07-01,2024-12-31,h4_d1_long_best_box2_atr80,111,64,47,57.66,2.2062,3.0042,3504.91,2.1806,2.9693,3471.61,11.03,72,640.36,10.95,-350.39,19,11,8,0,57.89,2024-11,-312.73,2023-01,1115.63
pre_2025_202207_202412,2022-07-01,2024-12-31,freq_step3_frontier,2074,1002,1061,48.31,1.3658,1.2899,1623.64,1.1806,1.1036,629.14,86.52,565,171.96,34.29,-64.48,30,20,10,0,66.67,2023-02,-86.18,2024-04,238.07
pre_2025_202207_202412,2022-07-01,2024-12-31,short_v4_impulse_retest_d1_structural_h1h4,135,48,87,35.56,2.0356,1.1231,42.91,1.8242,1.0064,2.41,12.56,82,65.17,7.62,-14.69,16,8,8,1,50.0,2022-09,-36.69,2022-07,67.76
bull_harvest_202501_202601,2025-01-01,2026-01-31,ALL,1224,668,554,54.58,2.3209,2.7984,14834.97,2.2339,2.675,14240.07,84.1,238,958.86,18.57,-878.18,13,10,3,0,76.92,2025-07,-117.18,2025-10,4687.52
bull_harvest_202501_202601,2025-01-01,2026-01-31,h4_d1_long_best_box2_atr80,97,76,21,78.35,2.0182,7.3038,10844.66,2.0071,7.264,10815.56,17.31,49,866.37,9.52,-866.37,10,7,3,0,70.0,2025-06,-209.44,2025-10,3622.34
bull_harvest_202501_202601,2025-01-01,2026-01-31,freq_step3_frontier,1126,592,532,52.58,1.4487,1.6121,3993.83,1.3636,1.5063,3428.33,83.39,236,324.0,18.1,-148.52,13,11,2,0,84.62,2025-07,-117.18,2026-01,1073.17
bull_harvest_202501_202601,2025-01-01,2026-01-31,short_v4_impulse_retest_d1_structural_h1h4,1,0,1,0.0,0.0,0.0,-3.52,0.0,0.0,-3.82,0.35,1,3.52,0.0,-3.52,1,0,1,0,0.0,2025-06,-3.52,2025-06,-3.52
q1_transition_202601_202603,2026-01-01,2026-03-31,ALL,203,114,89,56.16,3.1372,4.0184,4308.54,3.0315,3.883,4218.24,79.69,51,227.99,3.81,-49.05,3,2,1,0,66.67,2026-02,-93.52,2026-01,3946.59
q1_transition_202601_202603,2026-01-01,2026-03-31,h4_d1_long_best_box2_atr80,10,10,0,100.0,,,2873.42,,,2870.42,6.25,4,0.0,0.95,0.0,1,1,0,0,100.0,2026-01,2873.42,2026-01,2873.42
q1_transition_202601_202603,2026-01-01,2026-03-31,freq_step3_frontier,186,99,87,53.23,1.7034,1.9384,1311.2,1.631,1.8559,1226.0,78.12,50,227.99,3.81,-49.05,3,2,1,0,66.67,2026-02,-93.52,2026-01,1073.17
q1_transition_202601_202603,2026-01-01,2026-03-31,short_v4_impulse_retest_d1_structural_h1h4,7,5,2,71.43,2.0435,5.1088,123.92,1.9841,4.9603,121.82,3.12,2,16.13,0.48,0.0,1,1,0,0,100.0,2026-03,123.92,2026-03,123.92
q2_recent_202604_202606,2026-04-01,2026-06-30,ALL,166,78,87,46.99,1.5073,1.3514,514.04,1.466,1.2994,447.74,87.69,57,310.18,3.33,-97.69,3,2,1,0,66.67,2026-05,-121.77,2026-06,563.08
q2_recent_202604_202606,2026-04-01,2026-06-30,h4_d1_long_best_box2_atr80,0,0,0,0.0,,,0,,,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,,0.0,,0.0
q2_recent_202604_202606,2026-04-01,2026-06-30,freq_step3_frontier,139,63,75,45.32,1.4481,1.2164,279.22,1.4085,1.1676,221.02,86.15,56,365.8,3.33,-97.69,3,2,1,0,66.67,2026-05,-142.12,2026-06,368.84
q2_recent_202604_202606,2026-04-01,2026-06-30,short_v4_impulse_retest_d1_structural_h1h4,27,15,12,55.56,1.8872,2.359,234.82,1.8283,2.2853,226.72,21.54,14,32.71,2.86,-32.71,3,3,0,0,100.0,2026-04,20.23,2026-06,194.24
last12_202507_202606,2025-07-01,2026-06-30,ALL,843,448,392,53.14,2.4218,2.7677,12737.51,2.3591,2.6756,12353.81,79.69,208,958.86,15.24,-878.18,12,8,4,0,66.67,2026-05,-121.77,2025-10,4687.52
last12_202507_202606,2025-07-01,2026-06-30,h4_d1_long_best_box2_atr80,65,54,11,83.08,1.9381,9.5142,9209.08,1.9291,9.4703,9189.58,11.49,30,866.37,5.71,-866.37,5,4,1,0,80.0,2025-08,-46.39,2025-10,3622.34
