policy_id,policy_kind,train_score_cutoff,predictive_auc,predictive_spearman,predictive_population,trades,wins,losses,maximum_closed_drawdown_r,stress_profit_factor,average_stress_r,stress_net_r,trades_per_source_day,positive_month_share,top10_winners_removed_net_r,direction_counts,family_counts,passes,failed_gates
ML_TOP_60,MODEL_TOP_FRACTION,-0.32559224919151203,0.4242718446601942,-0.12053365201705944,301,164,49,115,63.564007741532166,0.46271942803271254,-0.37051224232641466,-60.764007741532005,0.5239616613418531,0.08333333333333333,-74.76400774153227,"{'LONG': 72, 'SHORT': 92}",{'M15_RANGE_EXPANSION': 164},False,stress_profit_factor|average_stress_r|positive_month_share|maximum_closed_drawdown_r|top10_winners_removed_net_positive|predictive_signal
ML_TOP_45,MODEL_TOP_FRACTION,-0.16180795907626053,0.4242718446601942,-0.12053365201705944,301,129,35,94,55.451149661650255,0.3908541173834327,-0.4298538733461254,-55.45114966165018,0.41214057507987223,0.0,-69.45114966165038,"{'SHORT': 72, 'LONG': 57}",{'M15_RANGE_EXPANSION': 129},False,stress_profit_factor|average_stress_r|positive_month_share|maximum_closed_drawdown_r|top10_winners_removed_net_positive|predictive_signal
ML_TOP_30,MODEL_TOP_FRACTION,0.00555269871284539,0.4242718446601942,-0.12053365201705944,301,81,22,59,36.0349027283561,0.4015351495238351,-0.436158257497319,-35.32881885728284,0.25878594249201275,0.08333333333333333,-49.32881885728305,"{'SHORT': 46, 'LONG': 35}",{'M15_RANGE_EXPANSION': 81},False,stress_profit_factor|average_stress_r|positive_month_share|maximum_closed_drawdown_r|top10_winners_removed_net_positive|predictive_signal
ML_TOP_20,MODEL_TOP_FRACTION,0.14093068663141717,0.4242718446601942,-0.12053365201705944,301,45,9,36,28.861751397867046,0.2009010308294459,-0.6413722532859341,-28.86175139786703,0.14376996805111822,0.08333333333333333,-36.11786838847364,"{'SHORT': 25, 'LONG': 20}",{'M15_RANGE_EXPANSION': 45},False,minimum_trades|stress_profit_factor|average_stress_r|positive_month_share|maximum_closed_drawdown_r|top10_winners_removed_net_positive|predictive_signal
