name,signals,wins,losses,wr,wl,pf,net,dd,stress_030_wl,stress_030_net,active_weekday_pct,positive_week_pct,positive_active_week_pct,active_week_pct,worst_week,rolling4_positive_pct,june_2026,q2_2026_net,blocked_signals,decision
long_plus_short_v2_profit_lock_25,2341,1096,1238,46.82,1.9868,1.7589,6721.44,509.81,1.8291,5684.94,64.43,60.48,61.06,99.05,-143.31,70.05,228.32,524.24,1612,WEEKLY_IMPROVES_CORE_BREAKS
long_plus_short_v2_profit_lock_50,2698,1292,1396,47.89,1.9525,1.807,8480.94,509.81,1.8055,7275.84,70.18,59.52,60.1,99.05,-257.54,74.88,320.46,794.7,1255,WEEKLY_IMPROVES_CORE_BREAKS
long_plus_short_v2_profit_lock_75,2944,1412,1523,47.96,2.0069,1.8606,10494.72,834.21,1.8634,9170.22,73.83,58.57,59.13,99.05,-257.54,72.46,294.91,769.15,1009,WEEKLY_IMPROVES_CORE_BREAKS
long_plus_short_v2_bracket_loss100_profit50,2659,1267,1382,47.65,1.8735,1.7176,7540.98,487.61,1.7315,6353.28,69.32,58.1,58.65,99.05,-257.54,73.43,320.46,794.7,1294,WEEKLY_IMPROVES_CORE_BREAKS
long_plus_short_v2_no_weekly_gate,3953,1937,2002,49.0,2.1637,2.0934,21064.67,841.34,2.039,19254.77,87.54,57.62,58.17,99.05,-878.18,66.18,485.93,494.57,0,BASELINE
baseline_supportive_guard_no_hedge,3645,1837,1794,50.4,2.0895,2.1395,20701.41,841.98,1.972,18983.61,85.71,57.14,57.69,99.05,-878.18,68.6,368.84,279.22,0,BASELINE
long_plus_short_v2_loss_stop_200,3918,1928,1976,49.21,2.156,2.1036,21101.27,819.84,2.0323,19304.27,86.77,57.62,58.17,99.05,-896.84,66.18,485.93,494.57,35,REJECT_NO_WEEKLY_REPAIR
long_plus_short_v2_loss_stop_150,3915,1926,1975,49.2,2.1547,2.1013,21046.77,819.84,2.0311,19251.27,86.77,57.62,58.17,99.05,-896.84,66.18,485.93,494.57,38,REJECT_NO_WEEKLY_REPAIR
long_plus_short_v2_profit_lock_100,3133,1494,1630,47.69,2.0039,1.8367,11163.13,834.21,1.8629,9754.03,76.13,57.62,58.17,99.05,-215.99,69.57,326.25,678.06,820,REJECT_NO_WEEKLY_REPAIR
long_plus_short_v2_bracket_loss75_profit50,2594,1238,1346,47.73,1.8885,1.737,7456.01,483.69,1.7447,6299.21,68.17,57.62,58.17,99.05,-257.54,72.46,320.46,794.7,1359,REJECT_NO_WEEKLY_REPAIR
long_plus_short_v2_profit_lock_150,3326,1591,1723,47.84,1.9881,1.8358,12211.41,834.21,1.8543,10707.21,78.52,57.14,57.69,99.05,-257.54,65.7,383.3,542.07,627,REJECT_NO_WEEKLY_REPAIR
long_plus_short_v2_bracket_loss100_profit75,2883,1380,1494,47.87,1.9555,1.8062,9637.74,812.98,1.814,8339.64,72.87,57.14,57.69,99.05,-257.54,71.01,294.91,769.15,1070,REJECT_NO_WEEKLY_REPAIR
long_plus_short_v2_profit_lock_200,3470,1669,1788,48.1,2.0291,1.8941,14053.26,834.21,1.8992,12482.76,80.63,56.67,57.21,99.05,-362.84,66.67,433.42,442.06,483,REJECT_NO_WEEKLY_REPAIR
long_plus_short_v2_bracket_loss75_profit75,2801,1345,1447,48.02,1.9675,1.8288,9496.23,809.06,1.8244,8235.03,71.24,56.67,57.21,99.05,-257.54,71.01,294.91,769.15,1152,REJECT_NO_WEEKLY_REPAIR
long_plus_short_v2_bracket_loss50_profit50,2412,1155,1247,47.89,1.9114,1.7704,7050.3,333.89,1.764,5973.9,64.62,56.67,57.21,99.05,-257.54,71.5,320.46,569.19,1541,REJECT_NO_WEEKLY_REPAIR
long_plus_short_v2_loss_stop_100,3853,1894,1945,49.16,2.1385,2.0824,20256.93,820.11,2.0148,18489.33,85.81,55.71,56.25,99.05,-798.52,65.22,485.93,484.01,100,REJECT_NO_WEEKLY_REPAIR
long_plus_short_v2_bracket_loss50_profit75,2626,1264,1353,48.13,1.9672,1.8378,8702.63,624.78,1.8203,7520.33,67.79,55.71,56.25,99.05,-257.54,71.98,294.91,543.64,1327,REJECT_NO_WEEKLY_REPAIR
long_plus_short_v2_loss_stop_75,3753,1847,1892,49.21,2.1438,2.0928,19892.31,816.19,2.0203,18170.01,83.7,55.24,55.77,99.05,-798.52,65.22,485.93,500.0,200,REJECT_NO_WEEKLY_REPAIR
long_plus_short_v2_bracket_loss100_profit150,3251,1553,1686,47.77,1.9425,1.7893,11245.85,812.98,1.81,9772.85,77.18,55.24,55.77,99.05,-257.54,65.22,383.3,531.51,702,REJECT_NO_WEEKLY_REPAIR
long_plus_short_v2_bracket_loss100_profit100,3089,1464,1616,47.39,1.9328,1.751,10068.98,812.98,1.7963,8675.78,75.26,55.24,55.77,99.05,-215.99,67.63,326.25,667.5,864,REJECT_NO_WEEKLY_REPAIR
long_plus_short_v2_bracket_loss75_profit150,3164,1515,1637,47.88,1.9397,1.7951,10988.73,809.06,1.8075,9554.43,75.55,54.76,55.29,99.05,-257.54,65.22,383.3,547.5,789,REJECT_NO_WEEKLY_REPAIR
long_plus_short_v2_bracket_loss75_profit100,2998,1425,1564,47.53,1.9267,1.7555,9746.45,809.06,1.7899,8393.15,73.44,54.76,55.29,99.05,-215.99,67.63,326.25,683.49,955,REJECT_NO_WEEKLY_REPAIR
long_plus_short_v2_loss_stop_50,3576,1756,1806,49.11,2.1614,2.1016,18928.31,739.56,2.0363,17285.51,80.25,53.33,53.85,99.05,-819.68,64.25,485.93,348.9,377,REJECT_NO_WEEKLY_REPAIR
long_plus_short_v2_bracket_loss50_profit100,2814,1339,1466,47.58,1.9418,1.7735,9107.43,624.78,1.8011,7837.53,69.8,53.33,53.85,99.05,-215.99,68.12,326.25,457.98,1139,REJECT_NO_WEEKLY_REPAIR
long_plus_short_v2_bracket_loss50_profit150,2975,1416,1547,47.6,1.9507,1.7855,10144.93,624.78,1.8172,8796.73,72.29,52.86,53.37,99.05,-257.54,65.22,383.3,305.19,978,REJECT_NO_WEEKLY_REPAIR
long_plus_short_v2_loss_stop_25,3239,1591,1637,49.12,2.1488,2.0884,16954.76,794.64,2.0227,15467.06,73.83,50.95,51.44,99.05,-819.68,64.73,422.24,390.8,714,REJECT_NO_WEEKLY_REPAIR
