name,signals,wins,losses,wr,wl,pf,net,stress_030_wl,stress_030_pf,stress_030_net,active_weekday_pct,max_closed_dd,positive_week_pct,worst_week,q2_signals,q2_net,top10_removed_net,top3_days_removed_net,best_month_share_pct,positive_year_buckets,closing_months,positive_months,negative_months,flat_months,positive_month_pct,worst_month,worst_month_net,best_month,best_month_net,dropped_data,dropped_signals,recent3_signals,recent3_wr,recent3_wl,recent3_pf,recent3_net,net_2023_2024
current_r1_plus_r4_chop_prior_day_reclaim_v1_both,1084,458,626,42.25,3.1851,2.3303,8811.42,3.0697,2.2459,8486.22,39.31,880.88,38.57,-850.46,24,-26.73,5902.77,6447.12,31.23,5,45,22,23,0,48.89,2024-11,-324.55,2026-01,2751.96,[],0,24,25.0,2.5039,0.8346,-26.73,2594.81
current_r1_plus_r4_chop_prior_day_reclaim_v1_long,836,378,458,45.22,3.0298,2.5006,8790.29,2.9375,2.4244,8539.49,29.24,879.18,31.9,-850.46,7,-52.3,5881.64,6425.99,31.38,5,44,23,21,0,52.27,2024-11,-316.16,2026-01,2758.83,[],0,7,14.29,1.2447,0.2075,-52.3,2585.39
current_r1_plus_r4_chop_prior_day_reclaim_v1_short,832,364,468,43.75,3.1853,2.4775,8698.83,3.0878,2.4016,8449.23,29.63,896.56,33.81,-866.37,17,25.57,5790.18,6334.53,30.9,5,45,22,23,0,48.89,2024-11,-321.12,2026-01,2688.21,[],0,17,29.41,3.0416,1.2673,25.57,2565.68
