variant,trades,wins,losses,wr,wl,pf,net,stress_030_pf,stress_030_wl,stress_030_net,positive_week_pct,worst_week,net_2023_2024,top10_removed_net,top3_days_removed_net,best_day_share_pct,pass,check_wr_ge_50,check_wl_ge_1p90,check_trades_ge_100,check_net_gt_0,check_stress_net_gt_0,check_stress_pf_ge_1p15,check_y2023_2024_net_ge_0,check_top10_removed_net_gt_0,check_top3_days_removed_net_gt_0
wr50_s1_m5_sweep_structural,84,29,55,34.52,1.9865,1.0474,14.03,0.9642,1.8287,-11.17,45.45,-52.77,-15.76,-162.53,-73.3,253.31,False,False,True,False,True,False,False,False,False,False
wr50_s2_prior_day_sweep_structural,30,10,20,33.33,1.7615,0.8807,-17.08,0.8252,1.6504,-26.08,42.86,-55.38,-5.73,-143.22,-69.66,,False,False,False,False,False,False,False,False,False,False
wr50_s3_ema_pullback_structural,377,120,257,31.83,2.0412,0.9531,-80.06,0.8918,1.9098,-193.16,44.07,-76.8,-86.89,-463.52,-247.72,,False,False,True,True,False,False,False,False,False,False
wr50_s4_m5_ema_trend_structural,253,86,167,33.99,1.96,1.0093,9.46,0.9376,1.8206,-66.44,38.89,-47.77,-36.98,-325.85,-186.69,1151.16,False,False,True,True,True,False,False,False,False,False
wr50_s5_v2_strict_retest_structural,209,72,137,34.45,2.4847,1.3058,235.05,1.2129,2.3078,172.35,41.67,-17.95,-64.17,-79.17,71.7,33.03,False,False,True,True,True,True,True,False,False,True
