candidate_id,family_id,profile_id,mechanism,event_id,symbol,split,direction,signal_bar_start_utc,decision_time_utc,decision_timestamp_ms,signal_open,signal_high,signal_low,signal_close,atr,atr_ratio,body_fraction,close_location,price_efficiency_5m,tick_imbalance_5m,tick_imbalance_15m,quote_intensity_ratio,reference_level,structural_extreme,stop_distance,stop_distance_atr,reward_r,maximum_hold_hours,signal_tick_count,status,entry_time_utc,entry_timestamp_ms,exit_time_utc,exit_timestamp_ms,entry_price,exit_price,entry_bid,entry_ask,entry_spread,entry_spread_r,planned_stop,planned_target,exit_reason,duration_hours,gross_pnl_usd,execution_stress_usd,holding_stress_usd,stress_net_pnl_usd,gross_r,stress_net_r,mfe_r,mae_r,label_profitable_after_stress
3d80fbdfa540a59b56f548a429e2edcee40d36219ce2389f800aba03d18a2a6f,session_boundary_sweep_reclaim_v1,NEW_YORK_LONDON,SESSION_BOUNDARY_SWEEP_RECLAIM,NEW_YORK_LONDON:2016-07-15:LONG,XAUUSD,train,LONG,2016-07-15T12:50:00.000Z,2016-07-15T12:55:00.000Z,1468587300000,1329.7440000000001,1330.7984999999999,1329.144,1330.7640000000001,1.4398696047482953,1.4913844822944187,0.616500453309194,0.9791477787852794,0.04830002841178694,0.06168549087749783,0.038393084159674545,1.6930983847283407,1330.391,1329.008,2.04598696047492,1.4209529486057737,1.5,4,1153,RESOLVED,2016-07-15T12:55:00.004Z,1468587300004,2016-07-15T13:00:18.947Z,1468587618947,1330.911,1328.858,1330.608,1330.911,0.30300000000011096,0.148094785476921,1328.8650130395251,1333.9799804407126,STOP,0.08859527777777777,-2.053000000000111,0.3,0.0012920144675925924,-2.3542920144677035,-1.0034277048977687,-1.1506876925164855,0.0,1.0034277048977687,0
0a884b23202a29fc60d3e362f737dab3a06636eb650d11f4b1198bb647ad102b,shock_failure_reclaim_v1,FIXED,SHOCK_FAILURE_RECLAIM,shock:1469022000000:SHORT,XAUUSD,train,SHORT,2016-07-20T13:45:00.000Z,2016-07-20T13:50:00.000Z,1469022600000,1316.761,1317.2015000000001,1314.925,1315.4650000000001,1.503311051170548,1.780387189877988,0.5692949703490997,0.23720623764557472,0.04873096446698791,-0.07228158390949088,-0.0317931326833404,2.632520325203252,1315.6867499999998,1317.311,2.1423311051169094,1.425075072420169,1.5,3,1619,RESOLVED,2016-07-20T13:50:00.184Z,1469022600184,2016-07-20T14:22:23.878Z,1469024543878,1315.408,1317.572,1315.408,1315.629,0.22100000000000364,0.10315865716188788,1317.5503311051168,1312.1945033423244,STOP,0.539915,-2.1639999999999873,0.3,0.007873760416666667,-2.4718737604166536,-1.0101146339290514,-1.1538243339288867,0.23199028330063934,1.0101146339290514,0
d6b28f3420bd7904913e75c85e2a595b08e9a4ab6e625516e10b470f7be16fba,shock_failure_reclaim_v1,FIXED,SHOCK_FAILURE_RECLAIM,shock:1472221800000:LONG,XAUUSD,train,LONG,2016-08-26T14:35:00.000Z,2016-08-26T14:40:00.000Z,1472222400000,1334.385,1338.0010000000002,1334.152,1337.8515,3.1266202183387812,6.967148153032782,0.9006235385814113,0.9611587425304727,0.07455560215505741,0.05669199298655757,0.007590467784642542,4.06993006993007,1337.12775,1334.002,4.232662021833903,1.3537499684188627,1.5,3,1746,RESOLVED,2016-08-26T14:40:00.081Z,1472222400081,2016-08-26T14:47:33.374Z,1472222853374,1337.922,1333.601,1337.781,1337.922,0.1410000000000764,0.03331236920707048,1333.6893379781661,1344.270993032751,STOP,0.12591472222222222,-4.320999999999913,0.3,0.0018362563657407405,-4.6228362563656535,-1.0208705485366714,-1.092181759970218,0.03756501208451969,1.0208705485366714,0
6779681b8e08fac94f81d98bac497770a7cddd8d22e6600129c8469fd5f31413,shock_failure_reclaim_v1,FIXED,SHOCK_FAILURE_RECLAIM,shock:1475677500000:SHORT,XAUUSD,train,SHORT,2016-10-05T14:30:00.000Z,2016-10-05T14:35:00.000Z,1475678100000,1271.7510000000002,1271.941,1268.58,1269.3205,2.2522198306198296,3.0014115988744425,0.7231478726569743,0.2203213329366522,0.060472985581530296,-0.056105610561056105,0.00817184216670558,2.3018018018018016,1270.02275,1272.102,3.08622198306216,1.3703022862616416,1.5,3,1533,RESOLVED,2016-10-05T14:35:00.309Z,1475678100309,2016-10-05T14:38:35.857Z,1475678315857,1269.322,1272.66,1269.322,1269.4,0.07800000000020191,0.025273619470110198,1272.408221983062,1264.6926670254065,STOP,0.059874444444444445,-3.338000000000193,0.3,0.0008731689814814814,-3.6388731689816742,-1.0815813050130043,-1.1790704586230611,0.0,1.0815813050130043,0
998639f2fb4b3f8032532f31aafc31dfc165273bdeecccc9b3423b9794e46221,shock_failure_reclaim_v1,FIXED,SHOCK_FAILURE_RECLAIM,shock:1556288100000:SHORT,XAUUSD,train,SHORT,2019-04-26T14:20:00.000Z,2019-04-26T14:25:00.000Z,1556288700000,1286.7365,1286.7615,1285.545,1285.6165,1.1310898667359544,2.5940624955295717,0.9206740649403158,0.058775174681475355,0.09649349530450685,-0.085,-0.001193792280143255,2.6733333333333333,1285.8815,1287.072,1.6571089866733928,1.4650551078274616,1.5,3,802,RESOLVED,2019-04-26T14:25:03.646Z,1556288703646,2019-04-26T14:31:48.041Z,1556289108041,1285.578,1287.242,1285.578,1285.725,0.14699999999993452,0.08870870967577911,1287.2351089866734,1283.0923365199899,STOP,0.11233194444444444,-1.6639999999999873,0.3,0.0016381741898148147,-1.9656381741898021,-1.0041584551058576,-1.186185211713669,0.0,1.0041584551058576,0
840b3aad27211b0bdfc3bdc75453fbd3a89f727c64c489a3ec6befb772dcf489,shock_failure_reclaim_v1,FIXED,SHOCK_FAILURE_RECLAIM,shock:1563541800000:SHORT,XAUUSD,train,SHORT,2019-07-19T13:20:00.000Z,2019-07-19T13:25:00.000Z,1563542700000,1436.2285000000002,1437.0085,1435.8,1435.8285,1.4382878638535548,1.2064836353168749,0.3309888291271037,0.023582954075401622,0.02445436204682687,-0.07772020725388601,-0.03158444270425476,1.67264895908112,1436.22,1437.585,2.0538287863853384,1.4279678206298607,1.5,3,1165,RESOLVED,2019-07-19T13:25:00.206Z,1563542700206,2019-07-19T13:35:39.367Z,1563543339367,1435.755,1437.812,1435.755,1436.032,0.2769999999998163,0.13487005432781274,1437.8088287863854,1432.6742568204222,STOP,0.17754472222222223,-2.056999999999789,0.3,0.0025891938657407404,-2.3595891938655296,-1.001544049647893,-1.1488733673941331,0.2093650662852221,1.001544049647893,0
133c25df3d308d4a373198bc80538eea772322d959fb1530261efe1465adaa27,shock_failure_reclaim_v1,FIXED,SHOCK_FAILURE_RECLAIM,shock:1565191500000:SHORT,XAUUSD,train,SHORT,2019-08-07T15:30:00.000Z,2019-08-07T15:35:00.000Z,1565192100000,1507.245,1507.2835,1504.3415,1504.83,2.791597705931633,2.2698944295382497,0.8208701563562059,0.1660435078177871,0.06942448111310756,-0.07554560716284275,0.0012376237623762376,2.2167487684729066,1504.885,1507.515,3.109159770593351,1.1137563854515844,1.5,3,1800,RESOLVED,2019-08-07T15:35:00.667Z,1565192100667,2019-08-07T15:40:41.423Z,1565192441423,1504.698,1507.865,1504.698,1504.975,0.2769999999998163,0.089091594011894,1507.8071597705934,1500.03426034411,STOP,0.09465444444444444,-3.1669999999999163,0.3,0.0013803773148148145,-3.468380377314731,-1.0186031705265268,-1.1155362326886233,0.0,1.0186031705265268,0
044ba283f002e1bece273a1f9a5baf009be60e101a79551cb87a039acc45595a,shock_failure_reclaim_v1,FIXED,SHOCK_FAILURE_RECLAIM,shock:1565795400000:SHORT,XAUUSD,train,SHORT,2019-08-14T15:20:00.000Z,2019-08-14T15:25:00.000Z,1565796300000,1518.7615,1518.8114999999998,1516.33,1517.2115,2.6428993824366875,1.971340151481297,0.6246222043120144,0.35522869232319426,0.03872386139356693,-0.05626740947075209,0.011464968152866241,2.3482781026640676,1517.58025,1520.485,3.6912899382434716,1.3966819784263578,1.5,3,1807,RESOLVED,2019-08-14T15:25:00.176Z,1565796300176,2019-08-14T16:42:15.784Z,1565800935784,1517.018,1520.965,1517.018,1517.305,0.28700000000003456,0.0777505979756783,1520.7092899382435,1511.4810650926347,STOP,1.287668888888889,-3.946999999999889,0.3,0.018778504629629628,-4.265778504629519,-1.0692739031705807,-1.1556335524972123,0.5263742573753432,1.0692739031705807,0
b1a6945fce73704755f4ef033ef7ebccc5156a41e8caadefc0dd403b61caa04b,shock_failure_reclaim_v1,FIXED,SHOCK_FAILURE_RECLAIM,shock:1569593400000:SHORT,XAUUSD,train,SHORT,2019-09-27T14:15:00.000Z,2019-09-27T14:20:00.000Z,1569594000000,1495.105,1495.4115000000002,1493.2215,1493.3115,1.9046717255456498,1.9217866347873411,0.8189497716894748,0.0410958904109205,0.06138444425430812,-0.09133216986620128,-0.0521190261496844,2.7133956386292835,1493.46925,1495.545,2.547467172554434,1.3374835875324587,1.5,3,1742,RESOLVED,2019-09-27T14:20:00.090Z,1569594000090,2019-09-27T15:36:53.620Z,1569598613620,1493.188,1495.842,1493.188,1493.492,0.30399999999985994,0.11933421685470771,1495.7354671725545,1489.3667992411683,STOP,1.2815361111111112,-2.6539999999999964,0.3,0.01868906828703704,-2.9726890682870333,-1.0418191168833544,-1.1669194799893003,0.8973619070065607,1.0418191168833544,0
37896ad69e95c8a474f31f32ee4600825a7025de1588b411f2281761e1547edb,shock_failure_reclaim_v1,FIXED,SHOCK_FAILURE_RECLAIM,shock:1576165200000:SHORT,XAUUSD,train,SHORT,2019-12-12T15:50:00.000Z,2019-12-12T15:55:00.000Z,1576166100000,1469.6385,1469.8735,1467.0884999999998,1467.6515,2.2376089568163056,4.363578556977433,0.713464991023347,0.20215439856376494,0.07949907977916999,-0.07420091324200913,-0.047097908931014267,5.9358108108108105,1468.11925,1470.392,3.107760895681622,1.388875784669444,1.5,3,1757,RESOLVED,2019-12-12T15:55:00.131Z,1576166100131,2019-12-12T17:23:24.728Z,1576171404728,1467.475,1470.605,1467.475,1467.712,0.23700000000008004,0.07626069313421201,1470.5827608956815,1462.8133586564775,STOP,1.4734991666666666,-3.130000000000109,0.3,0.021488529513888886,-3.451488529513998,-1.0071559894937185,-1.110602985676923,0.8311450226396293,1.0071559894937185,0
