time_utc,timestamp_ms,ticks,spread_median,spread_p90,spread_p95,spread_p99,spread_last,atr,broker_spread_median_atr,broker_spread_p90_atr,dukascopy_open_spread,dukascopy_open_spread_atr,tick_spread_mean,tick_spread_last,tick_spread_max,broker_p90_minus_dukascopy_mean
2026-06-05T00:00:00.000Z,1780617600000,1959,0.5,0.75,0.75,0.75,0.5,3.7164888383821824,0.13453558499523277,0.20180337749284916,0.7300000000004729,0.1964219540931671,0.7333632653061287,0.7300000000004729,1.094000000000051,0.01663673469387128
2026-06-05T00:05:00.000Z,1780617900000,1626,0.5,0.75,0.75,0.75,0.75,3.830811064212027,0.13052066301861504,0.19578099452792255,0.7300000000004729,0.1905601680073014,0.7324965846994529,0.7300000000004729,0.8000000000001819,0.01750341530054711
2026-06-05T00:10:00.000Z,1780618200000,1847,0.5,0.75,0.75,0.75,0.5,4.151824559625441,0.12042898075758476,0.18064347113637713,0.7400000000006912,0.17823489152139194,0.732346881569737,0.73700000000008,0.8100000000004002,0.01765311843026296
2026-06-05T00:15:00.000Z,1780618500000,1995,0.5,0.75,0.75,0.75,0.75,4.2555156625093495,0.1174945740195361,0.17624186102930417,0.75,0.17624186102930417,0.7359923574368028,0.7299999999995634,1.0839999999998327,0.014007642563197198
2026-06-05T00:20:00.000Z,1780618800000,1650,0.5,0.75,0.75,0.75,0.5,4.30976454375864,0.11601561870104835,0.17402342805157253,0.7200000000002547,0.1670624909295687,0.7249986885245958,0.7299999999995634,0.7899999999999636,0.025001311475404187
2026-06-05T00:25:00.000Z,1780619100000,1636,0.5,0.75,0.75,0.75,0.5,4.336924219204423,0.11528907924790102,0.17293361887185152,0.7300000000004729,0.16832205570204453,0.741160997732413,0.7470000000002983,0.8000000000001819,0.008839002267587048
2026-06-05T00:30:00.000Z,1780619400000,1407,0.5,0.75,0.75,0.75,0.75,4.381679632118382,0.11411149193449095,0.17116723790173644,0.75,0.17116723790173644,0.721669465648863,0.75,0.7970000000004802,0.02833053435113697
2026-06-05T00:35:00.000Z,1780619700000,1498,0.5,0.75,0.75,0.75,0.5,4.52609537268138,0.11047049583132992,0.16570574374699487,0.7669999999998254,0.1694617406052215,0.7260293276108828,0.7200000000002547,0.8000000000001819,0.02397067238911721
2026-06-05T00:40:00.000Z,1780620000000,1216,0.5,0.75,0.75,0.75,0.75,4.453517131775583,0.11227081544887958,0.16840622317331938,0.7200000000002547,0.16166997424644378,0.7400421903052213,0.75,0.7899999999999636,0.009957809694778663
2026-06-05T00:45:00.000Z,1780620300000,1409,0.5,0.75,0.75,0.75,0.75,4.496373050934534,0.11120073764699731,0.16680110647049595,0.6769999999996799,0.15056579877396314,0.7309915895710646,0.75,0.819999999999709,0.01900841042893542
2026-06-05T00:50:00.000Z,1780620600000,1225,0.5,0.75,0.75,0.75,0.5,4.522953547296388,0.11054723307933968,0.16582084961900953,0.75,0.16582084961900953,0.7278282828282916,0.7399999999997817,0.7999999999992724,0.022171717171708405
2026-06-05T00:55:00.000Z,1780620900000,1594,0.5,0.75,0.75,0.75,0.5,4.686671151060969,0.10668553092034418,0.16002829638051627,0.7399999999997817,0.1578945857620628,0.733196755994344,0.7400000000006912,0.8100000000004002,0.016803244005656026
2026-06-05T01:00:00.000Z,1780621200000,4124,0.5,0.75,0.75,0.75,0.5,5.396194640270957,0.09265788825862177,0.13898683238793266,0.7399999999997817,0.13713367462271978,0.7490587282300399,0.75,0.9539999999997235,0.0009412717699600615
2026-06-05T01:05:00.000Z,1780621500000,2423,0.5,0.75,0.75,0.75,0.5,5.481359308823085,0.09121824931184015,0.13682737396776024,0.7399999999997817,0.13500300898148362,0.7398585757271725,0.7399999999997817,1.0440000000007785,0.010141424272827493
2026-06-05T01:10:00.000Z,1780621800000,2328,0.5,0.75,0.75,0.75,0.5,5.47019078676428,0.09140449017058129,0.13710673525587194,0.7399999999997817,0.1352786454524204,0.7397637921799703,0.7800000000006548,0.8000000000001819,0.010236207820029652
2026-06-05T01:15:00.000Z,1780622100000,2453,0.5,0.75,0.75,0.75,0.5,5.609105730566894,0.08914076931644266,0.133711153974664,0.7899999999999636,0.1408424155199729,0.7337546693589115,0.7600000000002183,0.930000000000291,0.016245330641088462
2026-06-05T01:20:00.000Z,1780622400000,2396,0.5,0.75,0.75,0.75,0.5,5.911419606955005,0.08458205190031366,0.1268730778504705,0.75,0.1268730778504705,0.7231060240963929,0.7100000000000364,1.019999999999527,0.026893975903607092
2026-06-05T01:25:00.000Z,1780622700000,2465,0.5,0.75,0.75,0.75,0.5,6.227746777886736,0.08028585904863415,0.12042878857295122,0.7400000000006912,0.11882307139208953,0.7237301801801727,0.7199999999993452,0.8100000000004002,0.026269819819827345
2026-06-05T01:30:00.000Z,1780623000000,2019,0.5,0.75,0.75,0.75,0.5,6.210050579466224,0.0805146421275971,0.12077196319139565,0.7200000000002547,0.11594108466378082,0.7214554455445629,0.7199999999993452,0.8469999999997526,0.028544554455437132
2026-06-05T01:35:00.000Z,1780623300000,1931,0.5,0.75,0.75,0.75,0.5,6.339332680932954,0.0788726550830608,0.11830898262459119,0.75,0.11830898262459119,0.6621634615384622,0.5500000000001819,0.7999999999992724,0.08783653846153783
2026-06-05T01:40:00.000Z,1780623600000,2289,0.5,0.75,0.75,0.75,0.5,6.308666060866369,0.0792560574891699,0.11888408623375485,0.6599999999998545,0.1046179958856812,0.6231342664592996,0.6799999999993815,0.8000000000001819,0.1268657335407004
2026-06-05T01:45:00.000Z,1780623900000,1708,0.5,0.75,0.75,0.75,0.75,6.248047056518774,0.0800250054900491,0.12003750823507364,0.6999999999998181,0.11203500768603962,0.6310529801324526,0.6000000000003638,0.8339999999998327,0.11894701986754741
2026-06-05T01:50:00.000Z,1780624200000,1696,0.5,0.75,0.75,0.75,0.5,6.231900838196065,0.08023234210265995,0.12034851315398994,0.5800000000008367,0.09306951683921981,0.6073130265716166,0.5999999999994543,0.7799999999997453,0.14268697342838343
2026-06-05T01:55:00.000Z,1780624500000,1840,0.5,0.75,0.75,0.75,0.75,6.209979349753437,0.0805155656467444,0.12077334847011661,0.6099999999996726,0.09822899008897545,0.6529392575927878,0.5600000000004002,0.7899999999999636,0.09706074240721219
