timestamp_utc,bar_start_utc,bar_end_utc,broker,symbol,timeframe,open,high,low,close,mid_open,mid_high,mid_low,mid_close,bid_open,bid_high,bid_low,bid_close,ask_open,ask_high,ask_low,ask_close,spread_open_points,spread_close_points,spread_median_points,spread_p95_points,tick_count,volume_sum
2025-01-02T00:00:00Z,2025-01-01T00:00:00Z,2025-01-02T00:00:00Z,dukascopy,XAUUSD,D1,2625.098,2626.005,2621.475,2623.555,2625.098,2626.005,2621.475,2623.555,,,,,,,,,,,,,1.0,0.0
2025-01-03T00:00:00Z,2025-01-02T00:00:00Z,2025-01-03T00:00:00Z,dukascopy,XAUUSD,D1,2623.655,2660.375,2622.448,2658.295,2623.655,2660.375,2622.448,2658.295,,,,,,,,,,,,,1.0,0.0
2025-01-04T00:00:00Z,2025-01-03T00:00:00Z,2025-01-04T00:00:00Z,dukascopy,XAUUSD,D1,2658.275,2665.185,2636.625,2639.898,2658.275,2665.185,2636.625,2639.898,,,,,,,,,,,,,1.0,0.0
2025-01-05T00:00:00Z,2025-01-04T00:00:00Z,2025-01-05T00:00:00Z,dukascopy,XAUUSD,D1,2639.898,2639.898,2639.898,2639.898,2639.898,2639.898,2639.898,2639.898,,,,,,,,,,,,,1.0,0.0
2025-01-06T00:00:00Z,2025-01-05T00:00:00Z,2025-01-06T00:00:00Z,dukascopy,XAUUSD,D1,2639.298,2642.235,2638.815,2640.848,2639.298,2642.235,2638.815,2640.848,,,,,,,,,,,,,1.0,0.0
2025-01-07T00:00:00Z,2025-01-06T00:00:00Z,2025-01-07T00:00:00Z,dukascopy,XAUUSD,D1,2640.835,2649.305,2614.365,2634.465,2640.835,2649.305,2614.365,2634.465,,,,,,,,,,,,,1.0,0.0
2025-01-08T00:00:00Z,2025-01-07T00:00:00Z,2025-01-08T00:00:00Z,dukascopy,XAUUSD,D1,2634.548,2664.098,2632.775,2649.555,2634.548,2664.098,2632.775,2649.555,,,,,,,,,,,,,1.0,0.0
2025-01-09T00:00:00Z,2025-01-08T00:00:00Z,2025-01-09T00:00:00Z,dukascopy,XAUUSD,D1,2649.465,2669.844,2645.095,2662.475,2649.465,2669.844,2645.095,2662.475,,,,,,,,,,,,,1.0,0.0
2025-01-10T00:00:00Z,2025-01-09T00:00:00Z,2025-01-10T00:00:00Z,dukascopy,XAUUSD,D1,2662.475,2678.395,2655.305,2669.795,2662.475,2678.395,2655.305,2669.795,,,,,,,,,,,,,1.0,0.0
2025-01-11T00:00:00Z,2025-01-10T00:00:00Z,2025-01-11T00:00:00Z,dukascopy,XAUUSD,D1,2669.865,2697.709,2663.205,2689.755,2669.865,2697.709,2663.205,2689.755,,,,,,,,,,,,,1.0,0.0
2025-01-12T00:00:00Z,2025-01-11T00:00:00Z,2025-01-12T00:00:00Z,dukascopy,XAUUSD,D1,2689.755,2689.755,2689.755,2689.755,2689.755,2689.755,2689.755,2689.755,,,,,,,,,,,,,1.0,0.0
