date_utc,weekday,unique_quotes,start_offset_hours,end_offset_hours,p99_interquote_gap_ms,raw_rows,unique_milliseconds,duplicate_millisecond_rows,duplicate_millisecond_share,eligible_full_weekday
2016-07-01,4,155686,1.8333333333333333e-05,20.983363333333333,3303.320000000007,155686,155686,0,0.0,False
2016-07-02,5,0,,,,0,0,0,0.0,False
2016-07-03,6,5951,22.000460277777776,23.999856944444446,7682.690000000004,5951,5951,0,0.0,False
2016-07-04,0,120426,2.777777777777778e-05,23.99989777777778,4222.759999999995,120426,120426,0,0.0,True
2016-07-05,1,186677,6.694444444444444e-05,23.99995361111111,3369.0,186677,186677,0,0.0,True
2016-07-06,2,189659,0.00016833333333333332,23.999975555555555,3220.859999999986,189659,189659,0,0.0,True
2016-07-07,3,194006,0.00020805555555555557,23.997260277777777,3465.8799999999756,194006,194006,0,0.0,True
2016-07-08,4,181124,0.00010333333333333333,20.999569722222223,3263.779999999999,181124,181124,0,0.0,False
2016-07-09,5,0,,,,0,0,0,0.0,False
2016-07-10,6,9250,22.000088333333334,23.99995138888889,5507.320000000018,9250,9250,0,0.0,False
2016-07-11,0,225765,0.00020583333333333334,23.999924444444446,3029.0,225765,225765,0,0.0,True
2016-07-12,1,222586,8.61111111111111e-05,23.999903055555556,3209.0,222586,222586,0,0.0,True
2016-07-13,2,209185,5.6111111111111114e-05,23.99959527777778,3265.679999999935,209185,209185,0,0.0,True
2016-07-14,3,235460,9.722222222222223e-06,23.999916666666667,3055.4199999999837,235460,235460,0,0.0,True
2016-07-15,4,199052,3.611111111111111e-06,20.99553277777778,2815.5,199052,199052,0,0.0,False
2016-07-16,5,0,,,,0,0,0,0.0,False
2016-07-17,6,8821,22.000076944444444,23.99961638888889,5070.819999999989,8821,8821,0,0.0,False
2016-07-18,0,174742,0.00016416666666666665,23.999988333333334,3806.0,174742,174742,0,0.0,True
2016-07-19,1,167277,2.5e-06,23.999819166666665,4027.25,167277,167277,0,0.0,True
2016-07-20,2,195871,4.222222222222222e-05,23.999971666666667,3663.3099999999977,195871,195871,0,0.0,True
2016-07-21,3,221040,3.611111111111111e-06,23.999715555555557,3130.6199999999953,221040,221040,0,0.0,True
2016-07-22,4,188389,6.944444444444444e-05,20.993428055555555,3443.0,188389,188389,0,0.0,False
2016-07-23,5,0,,,,0,0,0,0.0,False
2016-07-24,6,5721,22.000125555555556,23.999713888888888,8370.150000000005,5721,5721,0,0.0,False
2016-07-25,0,167612,6.194444444444444e-05,23.999622777777777,4027.899999999994,167612,167612,0,0.0,True
2016-07-26,1,147547,4.111111111111111e-05,23.999563055555555,4860.549999999988,147547,147547,0,0.0,True
2016-07-27,2,164298,6.416666666666666e-05,23.99966722222222,4507.0,164298,164298,0,0.0,True
2016-07-28,3,182081,5.027777777777778e-05,23.999879166666666,3821.0,182081,182081,0,0.0,True
2016-07-29,4,219285,9.138888888888889e-05,20.996415555555554,2826.1699999999837,219285,219285,0,0.0,False
2016-07-30,5,0,,,,0,0,0,0.0,False
2016-07-31,6,7110,22.000619166666667,23.99988527777778,7313.840000000009,7110,7110,0,0.0,False
2016-08-01,0,172278,6.5e-05,23.99998611111111,4085.2399999999907,172278,172278,0,0.0,True
2016-08-02,1,186435,7.055555555555556e-05,23.999995555555557,4093.3400000000256,186435,186435,0,0.0,True
2016-08-03,2,162407,6.944444444444444e-05,23.999993333333332,5110.950000000012,162407,162407,0,0.0,False
2016-08-04,3,185357,2.138888888888889e-05,23.99967138888889,3847.0,185357,185357,0,0.0,True
2016-08-05,4,168676,6.138888888888889e-05,20.999235277777778,4054.2600000000093,168676,168676,0,0.0,False
2016-08-06,5,0,,,,0,0,0,0.0,False
2016-08-07,6,7780,22.000053333333334,23.999649166666668,7516.260000000008,7780,7780,0,0.0,False
2016-08-08,0,154888,0.00047555555555555556,23.999919444444444,4544.0,154888,154888,0,0.0,True
2016-08-09,1,142024,5.277777777777778e-06,23.999998055555555,5266.0,142024,142024,0,0.0,False
2016-08-10,2,170850,0.00039555555555555557,23.999170833333334,4099.0,170850,170850,0,0.0,True
2016-08-11,3,166230,4.3333333333333334e-05,23.999656388888887,4145.440000000002,166230,166230,0,0.0,True
2016-08-12,4,172410,2.8333333333333332e-05,20.999590277777777,3809.0,172410,172410,0,0.0,False
2016-08-13,5,0,,,,0,0,0,0.0,False
2016-08-14,6,6656,22.000255833333334,23.999796666666665,7333.800000000001,6656,6656,0,0.0,False
2016-08-15,0,134749,1.9166666666666667e-05,23.996185555555556,5605.529999999999,134749,134749,0,0.0,False
2016-08-16,1,175881,6.138888888888889e-05,23.999982222222222,3904.209999999992,175881,175881,0,0.0,True
2016-08-17,2,167050,7.722222222222222e-05,23.999998333333334,3879.039999999979,167050,167050,0,0.0,True
2016-08-18,3,176397,1.25e-05,23.99989638888889,3711.0,176397,176397,0,0.0,True
2016-08-19,4,147974,0.00016055555555555555,20.998878055555554,3896.0,147974,147974,0,0.0,False
2016-08-20,5,0,,,,0,0,0,0.0,False
2016-08-21,6,15897,22.00194611111111,23.999971666666667,3711.0499999999993,15897,15897,0,0.0,False
2016-08-22,0,203134,6e-05,23.999828055555554,3680.0,203134,203134,0,0.0,True
2016-08-23,1,181762,6.722222222222222e-05,23.999915277777777,4015.399999999994,181762,181762,0,0.0,True
2016-08-24,2,169129,1.861111111111111e-05,23.999979444444445,4630.0,169129,169129,0,0.0,True
2016-08-25,3,136513,6.25e-05,23.999345555555557,6124.889999999985,136513,136513,0,0.0,False
2016-08-26,4,165156,6.555555555555556e-05,20.99929,4760.459999999992,165156,165156,0,0.0,False
2016-08-27,5,0,,,,0,0,0,0.0,False
2016-08-28,6,4519,22.001998888888888,23.999935833333332,16218.249999999965,4519,4519,0,0.0,False
2016-08-29,0,178074,3.805555555555555e-05,23.999970277777777,4273.559999999998,178074,178074,0,0.0,True
2016-08-30,1,187558,2.9722222222222223e-05,23.999975,3916.320000000007,187558,187558,0,0.0,True
2016-08-31,2,185545,0.00018444444444444443,23.99971,4007.0,185545,185545,0,0.0,True
2016-09-01,3,177017,3.0555555555555554e-05,23.999938611111112,4505.850000000006,177017,177017,0,0.0,True
2016-09-02,4,181491,5e-05,20.9978925,3865.0,181491,181491,0,0.0,False
2016-09-03,5,0,,,,0,0,0,0.0,False
2016-09-04,6,4743,22.001903333333335,23.999987222222224,11957.380000000012,4743,4743,0,0.0,False
2016-09-05,0,113784,1.111111111111111e-06,23.999819444444444,5318.179999999993,113784,113784,0,0.0,False
2016-09-06,1,203863,8.055555555555556e-06,23.999053333333332,3808.0,203863,203863,0,0.0,True
2016-09-07,2,181880,2.0833333333333333e-05,23.99996833333333,3821.220000000001,181880,181880,0,0.0,True
2016-09-08,3,191406,1.0277777777777777e-05,23.999381111111113,4113.959999999992,191406,191406,0,0.0,True
2016-09-09,4,177262,2.1666666666666667e-05,20.999766666666666,3809.0,177262,177262,0,0.0,False
2016-09-10,5,0,,,,0,0,0,0.0,False
2016-09-11,6,7100,22.0000425,23.999842222222224,6607.139999999997,7100,7100,0,0.0,False
