evidence_partition,date_utc,trades,base_pnl_dollars,stress_pnl_dollars
EARLY_REPLICATION,2016-07-04,2,-1.4989999999999781,-1.8989999999999783
EARLY_REPLICATION,2016-07-05,3,-4.5010000000000225,-5.101000000000022
EARLY_REPLICATION,2016-07-06,3,-0.6409999999998944,-1.2409999999998946
EARLY_REPLICATION,2016-07-07,1,-1.4450000000000274,-1.6450000000000273
EARLY_REPLICATION,2016-07-11,0,0.0,0.0
EARLY_REPLICATION,2016-07-12,2,-3.10099999999984,-3.5009999999998396
EARLY_REPLICATION,2016-07-13,0,0.0,0.0
EARLY_REPLICATION,2016-07-14,1,-1.431000000000131,-1.631000000000131
EARLY_REPLICATION,2016-07-18,1,1.9109999999999672,1.7109999999999672
EARLY_REPLICATION,2016-07-19,1,-0.6299999999999727,-0.8299999999999728
EARLY_REPLICATION,2016-07-20,2,-0.9849999999998545,-1.3849999999998546
EARLY_REPLICATION,2016-07-21,0,0.0,0.0
EARLY_REPLICATION,2016-07-25,1,1.3620000000002164,1.1620000000002164
EARLY_REPLICATION,2016-07-26,0,0.0,0.0
EARLY_REPLICATION,2016-07-27,0,0.0,0.0
EARLY_REPLICATION,2016-07-28,0,0.0,0.0
EARLY_REPLICATION,2016-08-01,1,-1.150999999999931,-1.350999999999931
EARLY_REPLICATION,2016-08-02,0,0.0,0.0
EARLY_REPLICATION,2016-08-04,0,0.0,0.0
EARLY_REPLICATION,2016-08-08,0,0.0,0.0
EARLY_REPLICATION,2016-08-10,1,-0.10400000000013279,-0.3040000000001328
EARLY_REPLICATION,2016-08-11,1,-0.7739999999999781,-0.9739999999999782
EARLY_REPLICATION,2016-08-16,0,0.0,0.0
EARLY_REPLICATION,2016-08-17,2,1.0440000000001417,0.6440000000001418
EARLY_REPLICATION,2016-08-18,0,0.0,0.0
EARLY_REPLICATION,2016-08-22,0,0.0,0.0
EARLY_REPLICATION,2016-08-23,0,0.0,0.0
EARLY_REPLICATION,2016-08-24,0,0.0,0.0
EARLY_REPLICATION,2016-08-29,0,0.0,0.0
EARLY_REPLICATION,2016-08-30,0,0.0,0.0
EARLY_REPLICATION,2016-08-31,0,0.0,0.0
EARLY_REPLICATION,2016-09-01,0,0.0,0.0
EARLY_REPLICATION,2016-09-06,0,0.0,0.0
EARLY_REPLICATION,2016-09-07,0,0.0,0.0
EARLY_REPLICATION,2016-09-08,2,0.50699999999988,0.10699999999987997
EARLY_REPLICATION,2016-09-12,2,1.476999999999907,1.0769999999999071
EARLY_REPLICATION,2016-09-13,1,-0.2910000000000309,-0.4910000000000309
EARLY_REPLICATION,2016-09-14,0,0.0,0.0
EARLY_REPLICATION,2016-09-15,0,0.0,0.0
EARLY_REPLICATION,2016-09-19,0,0.0,0.0
EARLY_REPLICATION,2016-09-21,1,1.958999999999969,1.758999999999969
EARLY_REPLICATION,2016-09-22,0,0.0,0.0
EARLY_REPLICATION,2016-09-27,0,0.0,0.0
EARLY_REPLICATION,2016-09-28,0,0.0,0.0
EARLY_REPLICATION,2016-09-29,0,0.0,0.0
EARLY_REPLICATION,2016-10-04,1,0.1580000000000382,-0.04199999999996179
EARLY_REPLICATION,2016-10-05,0,0.0,0.0
EARLY_REPLICATION,2016-10-06,0,0.0,0.0
EARLY_REPLICATION,2016-10-11,1,-0.5929999999999381,-0.7929999999999382
EARLY_REPLICATION,2016-10-13,0,0.0,0.0
EARLY_REPLICATION,2016-11-01,0,0.0,0.0
EARLY_REPLICATION,2016-11-02,1,-0.4299999999999272,-0.6299999999999273
EARLY_REPLICATION,2016-11-03,0,0.0,0.0
EARLY_REPLICATION,2016-11-07,0,0.0,0.0
EARLY_REPLICATION,2016-11-08,0,0.0,0.0
EARLY_REPLICATION,2016-11-09,2,-1.7900000000001457,-2.1900000000001456
EARLY_REPLICATION,2016-11-10,1,-0.9930000000000291,-1.1930000000000291
EARLY_REPLICATION,2016-11-14,5,0.7610000000001945,-0.23899999999980553
EARLY_REPLICATION,2016-11-15,1,-0.4930000000000291,-0.6930000000000291
EARLY_REPLICATION,2016-11-16,1,-0.6139999999998963,-0.8139999999998964
EARLY_REPLICATION,2016-11-17,2,-3.1740000000001602,-3.5740000000001597
EARLY_REPLICATION,2016-11-21,0,0.0,0.0
EARLY_REPLICATION,2016-11-22,1,0.3070000000001528,0.1070000000001528
EARLY_REPLICATION,2016-11-28,1,-0.9720000000000709,-1.172000000000071
EARLY_REPLICATION,2016-11-29,0,0.0,0.0
EARLY_REPLICATION,2016-11-30,0,0.0,0.0
EARLY_REPLICATION,2016-12-01,0,0.0,0.0
EARLY_REPLICATION,2016-12-05,1,-0.9839999999997872,-1.1839999999997872
EARLY_REPLICATION,2016-12-06,0,0.0,0.0
EARLY_REPLICATION,2016-12-08,0,0.0,0.0
EARLY_REPLICATION,2016-12-12,0,0.0,0.0
EARLY_REPLICATION,2016-12-13,0,0.0,0.0
EARLY_REPLICATION,2016-12-14,0,0.0,0.0
EARLY_REPLICATION,2016-12-15,0,0.0,0.0
EARLY_REPLICATION,2016-12-19,0,0.0,0.0
EARLY_REPLICATION,2016-12-20,0,0.0,0.0
EARLY_REPLICATION,2017-01-03,0,0.0,0.0
EARLY_REPLICATION,2017-01-04,0,0.0,0.0
EARLY_REPLICATION,2017-01-05,0,0.0,0.0
EARLY_REPLICATION,2017-01-09,0,0.0,0.0
EARLY_REPLICATION,2017-01-10,0,0.0,0.0
EARLY_REPLICATION,2017-01-11,2,-0.21299999999991998,-0.6129999999999199
EARLY_REPLICATION,2017-01-12,1,-0.6359999999998308,-0.8359999999998309
EARLY_REPLICATION,2017-01-17,0,0.0,0.0
EARLY_REPLICATION,2017-01-18,1,-0.1,-0.3
EARLY_REPLICATION,2017-01-19,0,0.0,0.0
EARLY_REPLICATION,2017-01-23,0,0.0,0.0
EARLY_REPLICATION,2017-01-24,0,0.0,0.0
EARLY_REPLICATION,2017-01-25,0,0.0,0.0
EARLY_REPLICATION,2017-01-26,0,0.0,0.0
EARLY_REPLICATION,2017-01-30,1,-0.8429999999999381,-1.0429999999999382
EARLY_REPLICATION,2017-01-31,0,0.0,0.0
EARLY_REPLICATION,2017-02-01,1,-3.8019999999999983,-4.001999999999998
EARLY_REPLICATION,2017-02-02,0,0.0,0.0
EARLY_REPLICATION,2017-02-06,0,0.0,0.0
EARLY_REPLICATION,2017-02-07,0,0.0,0.0
EARLY_REPLICATION,2017-02-08,0,0.0,0.0
EARLY_REPLICATION,2017-02-09,0,0.0,0.0
EARLY_REPLICATION,2017-02-13,0,0.0,0.0
EARLY_REPLICATION,2017-02-14,0,0.0,0.0
