timestamp_utc,tick_time_msc,date_utc,utc_block_start_ms,bid,ask,mid,spread_price,lookback_source_time_msc,boundary_quote_age_ms,maximum_internal_quote_gap_ms,nonzero_mid_updates,signed_update_imbalance,displacement_price,candidate_gate,raw_gate_crossing,candidate_side,evidence_partition
2016-07-01T01:00:33.271000Z,1467334833271,2016-07-01,1467331200000,1322.179,1322.451,1322.315,0.2719999999999345,1467334828005,266,1135,25,0.84,0.6210000000000946,True,True,LONG,EARLY_REPLICATION
2016-07-01T06:14:54.198000Z,1467353694198,2016-07-01,1467345600000,1331.728,1332.041,1331.8845000000001,0.3129999999998745,1467353688948,250,926,25,0.76,0.75,True,True,LONG,EARLY_REPLICATION
2016-07-01T09:13:50.379000Z,1467364430379,2016-07-01,1467360000000,1333.891,1334.21,1334.0505,0.31899999999996,1467364424511,868,1528,16,0.75,0.6940000000001874,True,True,LONG,EARLY_REPLICATION
2016-07-04T02:12:50.822000Z,1467598370822,2016-07-04,1467590400000,1351.392,1351.69,1351.5410000000002,0.2980000000000018,1467598365653,169,811,26,0.8461538461538461,0.8100000000001728,True,True,LONG,EARLY_REPLICATION
2016-07-04T07:39:29.690000Z,1467617969690,2016-07-04,1467604800000,1347.301,1347.581,1347.4409999999998,0.2799999999999727,1467617964580,110,1173,23,0.8260869565217391,0.7744999999999891,True,True,LONG,EARLY_REPLICATION
2016-07-05T01:33:28.287000Z,1467682408287,2016-07-05,1467676800000,1344.959,1345.148,1345.0535,0.18899999999985084,1467682403219,68,758,24,-0.75,-0.9859999999998763,True,True,SHORT,EARLY_REPLICATION
2016-07-05T17:29:55.606000Z,1467739795606,2016-07-05,1467734400000,1355.78,1356.12,1355.9499999999998,0.33999999999991815,1467739790582,24,455,40,-0.75,-0.6795000000001892,True,True,SHORT,EARLY_REPLICATION
2016-07-05T23:28:59.607000Z,1467761339607,2016-07-05,1467748800000,1364.429,1364.751,1364.5900000000001,0.32199999999988904,1467761334329,278,731,16,0.75,0.6300000000001091,True,True,LONG,EARLY_REPLICATION
2016-07-06T01:05:56.562000Z,1467767156562,2016-07-06,1467763200000,1368.591,1368.861,1368.726,0.2700000000002092,1467767151560,2,644,17,0.7647058823529411,0.9260000000001583,True,True,LONG,EARLY_REPLICATION
2016-07-06T04:10:05.789000Z,1467778205789,2016-07-06,1467777600000,1367.8,1368.129,1367.9645,0.3289999999999509,1467778200646,143,679,29,0.8620689655172413,0.9635000000000673,True,True,LONG,EARLY_REPLICATION
2016-07-06T14:12:57.048000Z,1467814377048,2016-07-06,1467806400000,1366.521,1366.738,1366.6295,0.21700000000009823,1467814371866,182,740,19,0.8947368421052632,0.6880000000001019,True,True,LONG,EARLY_REPLICATION
2016-07-07T00:59:04.772000Z,1467853144772,2016-07-07,1467849600000,1367.929,1368.271,1368.1,0.34199999999987085,1467853139556,216,1652,17,-0.7647058823529411,-0.6350000000002183,True,True,SHORT,EARLY_REPLICATION
2016-07-08T05:50:36.447000Z,1467957036447,2016-07-08,1467950400000,1357.088,1357.392,1357.24,0.3040000000000873,1467957031425,22,769,29,-0.7931034482758621,-0.8500000000001364,True,True,SHORT,EARLY_REPLICATION
2016-07-08T13:11:34.534000Z,1467983494534,2016-07-08,1467979200000,1356.311,1356.576,1356.4434999999999,0.26500000000010004,1467983489333,201,554,24,-0.75,-0.7350000000001273,True,True,SHORT,EARLY_REPLICATION
2016-07-12T04:00:25.207000Z,1468296025207,2016-07-12,1468296000000,1355.429,1355.682,1355.5555,0.25299999999992906,1468296020099,108,528,29,-0.7931034482758621,-1.2644999999999982,True,True,SHORT,EARLY_REPLICATION
