stage,pass,trades,long_trades,short_trades,source_days,trades_per_source_day,net_r,profit_factor,average_r,stress_net_r,stress_profit_factor,average_stress_r,stress_drawdown_r,positive_active_year_share,top_winners_removed_stress_net_r
train,False,13,8,5,1711,0.007597895967270602,4.026591957721066,1.9219971884835922,0.30973784290162043,2.1007805799744146,1.4088997962072496,0.16159850615187804,2.61844162464652,0.6666666666666666,-4.799253717718621
validation,False,23,2,21,932,0.02467811158798283,-2.497339672253191,0.7669820372758173,-0.10857998575013875,-5.0706130143328565,0.5850713392795462,-0.22046143540577637,6.965162886942943,0.6666666666666666,-11.369823237812092
exam,False,3,1,2,427,0.00702576112412178,-1.102709952775506,0.448645023612247,-0.367569984258502,-1.3474566214457573,0.3763299680144335,-0.4491522071485858,2.1605280875142987,0.0,0.0
full,False,39,11,28,3070,0.012703583061889252,0.4265423326923701,1.0249664520069552,0.01093698288954795,-4.3172890558042,0.7788117105425434,-0.11069971937959487,7.648426098969527,0.6,-17.67790311995467
