trade_index,trade_entry_time_utc,trade_side,oracle_entry_time_utc,oracle_trade_number,absolute_difference_minutes,walk_forward_window
179,2023-01-24 00:00:00+00:00,LONG,2023-01-24 00:05:00+00:00,1,5.0,validation_2023
181,2023-01-27 00:00:00+00:00,SHORT,2023-01-27 00:05:00+00:00,2,5.0,validation_2023
184,2023-03-01 00:00:00+00:00,SHORT,2023-03-01 00:00:00+00:00,1,0.0,validation_2023
186,2023-03-31 00:00:00+00:00,LONG,2023-03-31 00:00:00+00:00,1,0.0,validation_2023
188,2023-04-13 00:00:00+00:00,LONG,2023-04-13 00:10:00+00:00,3,10.0,validation_2023
189,2023-04-14 00:00:00+00:00,LONG,2023-04-14 00:00:00+00:00,1,0.0,validation_2023
191,2023-04-28 00:00:00+00:00,LONG,2023-04-28 00:00:00+00:00,1,0.0,validation_2023
194,2023-06-09 00:00:00+00:00,SHORT,2023-06-09 00:00:00+00:00,1,0.0,validation_2023
195,2023-06-13 00:00:00+00:00,SHORT,2023-06-13 00:15:00+00:00,2,15.0,validation_2023
197,2023-07-07 00:00:00+00:00,SHORT,2023-07-07 00:00:00+00:00,1,0.0,validation_2023
198,2023-07-11 00:00:00+00:00,LONG,2023-07-11 00:05:00+00:00,1,5.0,validation_2023
199,2023-07-20 00:00:00+00:00,LONG,2023-07-20 00:00:00+00:00,1,0.0,validation_2023
201,2023-08-24 00:00:00+00:00,LONG,2023-08-24 00:00:00+00:00,1,0.0,validation_2023
202,2023-08-25 00:00:00+00:00,SHORT,2023-08-25 00:05:00+00:00,1,5.0,validation_2023
203,2023-08-30 00:00:00+00:00,SHORT,2023-08-30 00:00:00+00:00,1,0.0,validation_2023
204,2023-09-15 00:00:00+00:00,SHORT,2023-09-15 00:10:00+00:00,2,10.0,validation_2023
206,2023-10-06 00:00:00+00:00,SHORT,2023-10-06 00:00:00+00:00,1,0.0,validation_2023
208,2023-10-13 00:00:00+00:00,LONG,2023-10-13 00:00:00+00:00,1,0.0,validation_2023
209,2023-10-18 00:00:00+00:00,SHORT,2023-10-18 00:00:00+00:00,1,0.0,validation_2023
210,2023-10-24 00:00:00+00:00,LONG,2023-10-24 00:00:00+00:00,1,0.0,validation_2023
212,2023-11-01 00:00:00+00:00,SHORT,2023-11-01 00:00:00+00:00,1,0.0,validation_2023
213,2023-11-02 00:00:00+00:00,LONG,2023-11-02 00:00:00+00:00,1,0.0,validation_2023
214,2023-11-10 00:00:00+00:00,LONG,2023-11-10 00:05:00+00:00,1,5.0,validation_2023
215,2023-12-05 00:00:00+00:00,LONG,2023-12-05 00:00:00+00:00,1,0.0,validation_2023
217,2023-12-13 00:00:00+00:00,SHORT,2023-12-13 00:00:00+00:00,1,0.0,validation_2023
