signal_time_utc,completion_time_utc,matched_state_time_utc,vote_eurusd,vote_eurgbp,vote_eurjpy,dxy_source_time_utc,vote_dxy,dxy_age_minutes,four_valid_nonzero_votes,vote_sum,trade_candidate,side,candidate_id,year
2019-01-02 23:55:00+00:00,2019-01-03 00:00:00+00:00,2019-01-02 20:00:00+00:00,-1.0,-1.0,1.0,2019-01-02 20:55:00+00:00,1.0,180.0,True,0.0,False,CASH,20190103T000000Z_CASH,2019
2019-01-03 23:55:00+00:00,2019-01-04 00:00:00+00:00,2019-01-03 20:00:00+00:00,-1.0,1.0,1.0,2019-01-03 20:55:00+00:00,1.0,180.0,True,2.0,True,LONG,20190104T000000Z_LONG,2019
2019-01-06 23:55:00+00:00,2019-01-07 00:00:00+00:00,2019-01-04 20:00:00+00:00,1.0,1.0,1.0,,,,False,,False,CASH,20190107T000000Z_CASH,2019
2019-01-07 23:55:00+00:00,2019-01-08 00:00:00+00:00,2019-01-07 20:00:00+00:00,1.0,1.0,-1.0,2019-01-07 20:55:00+00:00,-1.0,180.0,True,0.0,False,CASH,20190108T000000Z_CASH,2019
2019-01-08 23:55:00+00:00,2019-01-09 00:00:00+00:00,2019-01-08 20:00:00+00:00,1.0,-1.0,1.0,2019-01-08 20:55:00+00:00,-1.0,180.0,True,0.0,False,CASH,20190109T000000Z_CASH,2019
2019-01-09 23:55:00+00:00,2019-01-10 00:00:00+00:00,2019-01-09 20:00:00+00:00,1.0,1.0,1.0,2019-01-09 20:55:00+00:00,1.0,180.0,True,4.0,True,LONG,20190110T000000Z_LONG,2019
2019-01-10 23:55:00+00:00,2019-01-11 00:00:00+00:00,2019-01-10 20:00:00+00:00,1.0,1.0,-1.0,2019-01-10 20:55:00+00:00,-1.0,180.0,True,0.0,False,CASH,20190111T000000Z_CASH,2019
2019-01-13 23:55:00+00:00,2019-01-14 00:00:00+00:00,2019-01-11 20:00:00+00:00,-1.0,1.0,-1.0,,,,False,,False,CASH,20190114T000000Z_CASH,2019
2019-01-14 23:55:00+00:00,2019-01-15 00:00:00+00:00,2019-01-14 20:00:00+00:00,1.0,-1.0,1.0,2019-01-14 20:55:00+00:00,1.0,180.0,True,2.0,True,LONG,20190115T000000Z_LONG,2019
2019-01-15 23:55:00+00:00,2019-01-16 00:00:00+00:00,2019-01-15 20:00:00+00:00,1.0,1.0,1.0,2019-01-15 20:55:00+00:00,1.0,180.0,True,4.0,True,LONG,20190116T000000Z_LONG,2019
2019-01-16 23:55:00+00:00,2019-01-17 00:00:00+00:00,2019-01-16 20:00:00+00:00,1.0,-1.0,-1.0,2019-01-16 20:55:00+00:00,-1.0,180.0,True,-2.0,True,SHORT,20190117T000000Z_SHORT,2019
2019-01-17 23:55:00+00:00,2019-01-18 00:00:00+00:00,2019-01-17 20:00:00+00:00,1.0,1.0,-1.0,2019-01-17 20:55:00+00:00,1.0,180.0,True,2.0,True,LONG,20190118T000000Z_LONG,2019
2019-01-20 23:55:00+00:00,2019-01-21 00:00:00+00:00,2019-01-18 20:00:00+00:00,-1.0,1.0,-1.0,,,,False,,False,CASH,20190121T000000Z_CASH,2019
2019-01-24 23:55:00+00:00,2019-01-25 00:00:00+00:00,2019-01-24 20:00:00+00:00,1.0,-1.0,1.0,2019-01-24 20:55:00+00:00,1.0,180.0,True,2.0,True,LONG,20190125T000000Z_LONG,2019
2019-01-27 23:55:00+00:00,2019-01-28 00:00:00+00:00,2019-01-25 20:00:00+00:00,1.0,1.0,-1.0,,,,False,,False,CASH,20190128T000000Z_CASH,2019
2019-01-28 23:55:00+00:00,2019-01-29 00:00:00+00:00,2019-01-28 20:00:00+00:00,1.0,-1.0,-1.0,2019-01-28 20:55:00+00:00,1.0,180.0,True,0.0,False,CASH,20190129T000000Z_CASH,2019
2019-01-29 23:55:00+00:00,2019-01-30 00:00:00+00:00,2019-01-29 20:00:00+00:00,-1.0,-1.0,1.0,2019-01-29 20:55:00+00:00,1.0,180.0,True,0.0,False,CASH,20190130T000000Z_CASH,2019
2019-02-06 23:55:00+00:00,2019-02-07 00:00:00+00:00,2019-02-06 20:00:00+00:00,-1.0,-1.0,1.0,2019-02-06 20:55:00+00:00,1.0,180.0,True,0.0,False,CASH,20190207T000000Z_CASH,2019
2019-02-07 23:55:00+00:00,2019-02-08 00:00:00+00:00,2019-02-07 20:00:00+00:00,-1.0,1.0,-1.0,2019-02-07 20:55:00+00:00,-1.0,180.0,True,-2.0,True,SHORT,20190208T000000Z_SHORT,2019
2019-02-10 23:55:00+00:00,2019-02-11 00:00:00+00:00,2019-02-08 20:00:00+00:00,1.0,1.0,1.0,,,,False,,False,CASH,20190211T000000Z_CASH,2019
2019-02-11 23:55:00+00:00,2019-02-12 00:00:00+00:00,2019-02-11 20:00:00+00:00,1.0,-1.0,1.0,2019-02-11 20:55:00+00:00,-1.0,180.0,True,0.0,False,CASH,20190212T000000Z_CASH,2019
2019-02-12 23:55:00+00:00,2019-02-13 00:00:00+00:00,2019-02-12 20:00:00+00:00,1.0,1.0,1.0,2019-02-12 20:55:00+00:00,-1.0,180.0,True,2.0,True,LONG,20190213T000000Z_LONG,2019
2019-02-13 23:55:00+00:00,2019-02-14 00:00:00+00:00,2019-02-13 20:00:00+00:00,1.0,1.0,-1.0,2019-02-13 20:55:00+00:00,-1.0,180.0,True,0.0,False,CASH,20190214T000000Z_CASH,2019
2019-02-17 23:55:00+00:00,2019-02-18 00:00:00+00:00,2019-02-15 20:00:00+00:00,1.0,1.0,1.0,,,,False,,False,CASH,20190218T000000Z_CASH,2019
2019-02-18 23:55:00+00:00,2019-02-19 00:00:00+00:00,2019-02-15 20:00:00+00:00,1.0,-1.0,-1.0,,,,False,,False,CASH,20190219T000000Z_CASH,2019
2019-02-28 23:55:00+00:00,2019-03-01 00:00:00+00:00,2019-02-28 20:00:00+00:00,1.0,1.0,1.0,2019-02-28 20:55:00+00:00,-1.0,180.0,True,2.0,True,LONG,20190301T000000Z_LONG,2019
2019-03-03 23:55:00+00:00,2019-03-04 00:00:00+00:00,2019-03-01 20:00:00+00:00,-1.0,-1.0,1.0,,,,False,,False,CASH,20190304T000000Z_CASH,2019
2019-03-07 23:55:00+00:00,2019-03-08 00:00:00+00:00,2019-03-07 20:00:00+00:00,1.0,-1.0,1.0,2019-03-07 20:55:00+00:00,-1.0,180.0,True,0.0,False,CASH,20190308T000000Z_CASH,2019
2019-03-10 23:55:00+00:00,2019-03-11 00:00:00+00:00,2019-03-08 20:00:00+00:00,-1.0,-1.0,-1.0,,,,False,,False,CASH,20190311T000000Z_CASH,2019
2019-03-24 23:55:00+00:00,2019-03-25 00:00:00+00:00,2019-03-22 19:00:00+00:00,1.0,1.0,1.0,,,,False,,False,CASH,20190325T000000Z_CASH,2019
2019-03-26 23:55:00+00:00,2019-03-27 00:00:00+00:00,2019-03-26 20:00:00+00:00,-1.0,-1.0,1.0,2019-03-26 20:55:00+00:00,-1.0,180.0,True,-2.0,True,SHORT,20190327T000000Z_SHORT,2019
2019-03-31 23:55:00+00:00,2019-04-01 00:00:00+00:00,2019-03-29 19:00:00+00:00,1.0,-1.0,1.0,,,,False,,False,CASH,20190401T000000Z_CASH,2019
2019-04-08 23:55:00+00:00,2019-04-09 00:00:00+00:00,2019-04-08 20:00:00+00:00,-1.0,-1.0,-1.0,2019-04-08 20:55:00+00:00,-1.0,180.0,True,-4.0,True,SHORT,20190409T000000Z_SHORT,2019
2019-04-11 23:55:00+00:00,2019-04-12 00:00:00+00:00,2019-04-11 20:00:00+00:00,1.0,1.0,1.0,2019-04-11 20:55:00+00:00,-1.0,180.0,True,2.0,True,LONG,20190412T000000Z_LONG,2019
2019-04-14 23:55:00+00:00,2019-04-15 00:00:00+00:00,2019-04-12 19:00:00+00:00,-1.0,-1.0,1.0,,,,False,,False,CASH,20190415T000000Z_CASH,2019
2019-04-24 23:55:00+00:00,2019-04-25 00:00:00+00:00,2019-04-24 20:00:00+00:00,-1.0,-1.0,-1.0,2019-04-24 20:55:00+00:00,-1.0,180.0,True,-4.0,True,SHORT,20190425T000000Z_SHORT,2019
2019-04-28 23:55:00+00:00,2019-04-29 00:00:00+00:00,2019-04-26 19:00:00+00:00,-1.0,1.0,-1.0,,,,False,,False,CASH,20190429T000000Z_CASH,2019
2019-04-29 23:55:00+00:00,2019-04-30 00:00:00+00:00,2019-04-29 20:00:00+00:00,1.0,-1.0,1.0,2019-04-29 20:55:00+00:00,-0.0,180.0,False,1.0,False,CASH,20190430T000000Z_CASH,2019
2019-05-02 23:55:00+00:00,2019-05-03 00:00:00+00:00,2019-05-02 20:00:00+00:00,-1.0,-1.0,-1.0,2019-05-02 20:55:00+00:00,1.0,180.0,True,-2.0,True,SHORT,20190503T000000Z_SHORT,2019
2019-05-05 23:55:00+00:00,2019-05-06 00:00:00+00:00,2019-05-03 19:00:00+00:00,-1.0,1.0,-1.0,,,,False,,False,CASH,20190506T000000Z_CASH,2019
2019-05-14 23:55:00+00:00,2019-05-15 00:00:00+00:00,2019-05-14 20:00:00+00:00,-1.0,-1.0,-1.0,2019-05-14 20:55:00+00:00,-1.0,180.0,True,-4.0,True,SHORT,20190515T000000Z_SHORT,2019
2019-05-15 23:55:00+00:00,2019-05-16 00:00:00+00:00,2019-05-15 20:00:00+00:00,1.0,1.0,-1.0,2019-05-15 20:55:00+00:00,-1.0,180.0,True,0.0,False,CASH,20190516T000000Z_CASH,2019
2019-05-16 23:55:00+00:00,2019-05-17 00:00:00+00:00,2019-05-16 20:00:00+00:00,-1.0,-1.0,1.0,2019-05-16 20:55:00+00:00,-1.0,180.0,True,-2.0,True,SHORT,20190517T000000Z_SHORT,2019
2019-05-22 23:55:00+00:00,2019-05-23 00:00:00+00:00,2019-05-22 20:00:00+00:00,-1.0,-1.0,-1.0,2019-05-22 20:55:00+00:00,-1.0,180.0,True,-4.0,True,SHORT,20190523T000000Z_SHORT,2019
