mode,lookback,minimum_trailing_profit_factor,trades,trades_per_weekday,weekday_coverage,profit_factor,plus_0_5_pip_profit_factor,first_12_profit_factor,second_12_profit_factor,second_12_plus_0_5_pip_profit_factor,diagnostic_core_pass,latest_12_month_pf_pass
GLOBAL,5,0.8,399,0.764367816091954,0.40804597701149425,1.2798678050123937,1.162421052631579,1.8665820374484294,0.830162977377767,0.7457202505219206,False,False
GLOBAL,5,0.85,393,0.7528735632183908,0.40229885057471265,1.3138056182665108,1.1923717021799034,1.9576577783733085,0.8349030746997558,0.7499406091129376,False,False
GLOBAL,5,0.9,381,0.7298850574712644,0.39846743295019155,1.2839577943783975,1.1654220914415787,1.9300821770173784,0.7934754819246306,0.7123421270785586,False,False
GLOBAL,5,0.95,369,0.7068965517241379,0.3888888888888889,1.2781129017736563,1.1598864711447494,1.8796982352148721,0.7946955345060894,0.7137619416473018,False,False
GLOBAL,5,1.0,361,0.6915708812260536,0.3831417624521073,1.2768795103681374,1.1595240173401997,1.8584623743547948,0.8042170337252305,0.722599673460789,False,False
GLOBAL,5,1.05,350,0.6704980842911877,0.3735632183908046,1.3123667038039153,1.1919720237190206,1.8626373626373627,0.8370216552951648,0.7517963224893919,False,False
GLOBAL,5,1.1,337,0.6455938697318008,0.36015325670498083,1.288747832346301,1.1705593596598194,1.824148085822465,0.8203177719158334,0.7367620384997952,False,False
GLOBAL,5,1.15,321,0.6149425287356322,0.3448275862068966,1.289452924026754,1.171470732907034,1.7341186369373158,0.8636272074128786,0.7762609754534385,False,False
GLOBAL,5,1.2,312,0.5977011494252874,0.34099616858237547,1.2563044156925318,1.141596736210156,1.6541859486748003,0.8667536211985997,0.7790522383168382,False,False
GLOBAL,5,1.25,292,0.5593869731800766,0.32567049808429116,1.2658405770297763,1.150964089863789,1.6854647720544702,0.8465577164830287,0.7609969639200734,False,False
GLOBAL,5,1.3,284,0.5440613026819924,0.31226053639846746,1.2576912863700165,1.1434273067014984,1.6437518640023858,0.8578268592169278,0.7699904193381976,False,False
GLOBAL,5,1.35,272,0.5210727969348659,0.3007662835249042,1.240852080430022,1.1266983824928636,1.6031990156874805,0.8517876310791842,0.7635905908268429,False,False
GLOBAL,5,1.4,261,0.5,0.28735632183908044,1.3116776670549157,1.190144617032673,1.6668829062601362,0.9079177804405938,0.8132292306342662,False,False
GLOBAL,5,1.45,257,0.49233716475095785,0.28544061302681994,1.353735696656944,1.2275862068965513,1.7022192779065914,0.9415221863062005,0.8419778377875035,False,False
GLOBAL,5,1.5,252,0.4827586206896552,0.28160919540229884,1.343083040080435,1.2175734043017319,1.647234183504472,0.9684854665986741,0.8663111972855067,False,False
GLOBAL,5,1.55,243,0.46551724137931033,0.2739463601532567,1.4012239902080785,1.2693295958888111,1.7792759512375322,0.9746795873710535,0.8719421610379318,False,False
GLOBAL,5,1.6,236,0.4521072796934866,0.2662835249042146,1.4208255064222979,1.2871603622802346,1.8250572956455307,0.9619512195121952,0.8607934054611024,False,False
