entry_time,exit_time,side,pnl_usd,component
2024-07-18 10:00:00+00:00,2024-07-18 13:30:04+00:00,SHORT,1.77,M15_REGIME
2024-07-23 06:15:00+00:00,2024-07-23 08:03:41+00:00,SHORT,1.11,M15_REGIME
2024-07-26 07:15:00+00:00,2024-07-26 11:47:36+00:00,SHORT,-1.04,M15_REGIME
2024-07-29 08:00:00+00:00,2024-07-29 11:49:43+00:00,SHORT,2.98,M15_REGIME
2024-07-29 08:15:00+00:00,2024-07-29 11:57:00+00:00,SHORT,1.335,M15_REGIME
2024-07-31 08:15:00+00:00,2024-07-31 08:47:26+00:00,SHORT,-1.16,M15_REGIME
2024-08-01 06:15:00+00:00,2024-08-01 07:58:35+00:00,SHORT,2.19,M15_REGIME
2024-08-13 07:45:00+00:00,2024-08-13 12:30:25+00:00,SHORT,-0.9900000000000001,M15_REGIME
2024-08-22 14:15:00+00:00,2024-08-22 14:57:27+00:00,LONG,0.9900000000000001,GATED_RSI
2024-08-26 11:30:00+00:00,2024-08-26 12:32:35+00:00,LONG,-0.69,GATED_RSI
2024-08-26 12:45:00+00:00,2024-08-26 12:52:32+00:00,LONG,0.59,GATED_RSI
2024-08-26 13:45:00+00:00,2024-08-26 13:49:32+00:00,LONG,0.72,GATED_RSI
2024-08-28 05:00:00+00:00,2024-08-28 05:07:37+00:00,LONG,-0.63,GATED_RSI
2024-08-28 05:15:00+00:00,2024-08-28 05:18:24+00:00,LONG,-0.64,GATED_RSI
2024-08-28 05:30:00+00:00,2024-08-28 05:56:54+00:00,LONG,-0.66,GATED_RSI
2024-08-28 06:15:00+00:00,2024-08-28 06:31:37+00:00,LONG,0.59,GATED_RSI
2024-08-28 10:00:00+00:00,2024-08-28 12:19:37+00:00,SHORT,2.29,M15_REGIME
2024-08-28 10:15:00+00:00,2024-08-28 12:05:34+00:00,LONG,-1.11,GATED_RSI
2024-08-28 12:15:00+00:00,2024-08-28 12:31:29+00:00,LONG,-1.01,GATED_RSI
2024-08-29 08:15:00+00:00,2024-08-29 08:23:38+00:00,LONG,-1.2,GATED_RSI
2024-08-29 08:15:00+00:00,2024-08-29 10:53:22+00:00,SHORT,-1.25,M15_REGIME
2024-08-29 12:45:00+00:00,2024-08-29 13:13:41+00:00,LONG,0.9000000000000001,GATED_RSI
2024-08-29 14:30:00+00:00,2024-08-29 15:10:16+00:00,LONG,1.13,GATED_RSI
2024-09-03 04:30:00+00:00,2024-09-03 05:56:36+00:00,LONG,0.4099999999999999,GATED_RSI
2024-09-03 09:15:00+00:00,2024-09-03 12:35:05+00:00,LONG,0.74,GATED_RSI
2024-09-09 06:00:00+00:00,2024-09-09 06:27:32+00:00,LONG,-0.35,GATED_RSI
2024-09-09 06:30:00+00:00,2024-09-09 06:49:29+00:00,LONG,-0.4,GATED_RSI
2024-09-09 08:15:00+00:00,2024-09-09 08:22:20+00:00,LONG,-0.72,GATED_RSI
2024-09-09 08:30:00+00:00,2024-09-09 09:30:40+00:00,LONG,0.68,GATED_RSI
2024-09-09 10:30:00+00:00,2024-09-09 13:13:14+00:00,LONG,0.72,GATED_RSI
2024-09-11 12:45:00+00:00,2024-09-11 12:56:38+00:00,LONG,0.84,GATED_RSI
2024-09-23 07:15:00+00:00,2024-09-23 07:15:37+00:00,SHORT,1.52,M15_REGIME
2024-09-23 08:00:00+00:00,2024-09-23 08:13:06+00:00,LONG,-1.12,GATED_RSI
2024-09-23 08:15:00+00:00,2024-09-23 08:53:08+00:00,LONG,1.04,GATED_RSI
2024-09-23 09:00:00+00:00,2024-09-23 09:20:01+00:00,LONG,1.22,GATED_RSI
2024-09-25 15:15:00+00:00,2024-09-25 15:54:28+00:00,LONG,-1.41,GATED_RSI
2024-09-25 16:00:00+00:00,2024-09-25 17:08:24+00:00,LONG,-1.55,GATED_RSI
2024-09-25 17:15:00+00:00,2024-09-26 01:52:33+00:00,LONG,0.97,GATED_RSI
2024-09-27 07:00:00+00:00,2024-09-27 07:24:38+00:00,SHORT,2.02,M15_REGIME
2024-09-30 14:30:00+00:00,2024-09-30 14:48:31+00:00,LONG,1.06,GATED_RSI
2024-09-30 15:45:00+00:00,2024-09-30 17:08:32+00:00,LONG,1.26,GATED_RSI
2024-09-30 18:15:00+00:00,2024-09-30 22:15:24+00:00,LONG,1.19,GATED_RSI
2024-10-01 08:15:00+00:00,2024-10-01 08:32:28+00:00,LONG,0.98,GATED_RSI
2024-10-01 10:30:00+00:00,2024-10-01 12:53:59+00:00,LONG,-1.6099999999999999,GATED_RSI
2024-10-01 13:00:00+00:00,2024-10-01 13:07:33+00:00,LONG,0.84,GATED_RSI
2024-10-01 13:45:00+00:00,2024-10-01 14:00:38+00:00,LONG,0.9599999999999999,GATED_RSI
2024-10-01 16:45:00+00:00,2024-10-01 18:25:25+00:00,LONG,1.33,GATED_RSI
2024-10-02 14:30:00+00:00,2024-10-02 16:04:53+00:00,LONG,0.9400000000000001,GATED_RSI
2024-10-03 05:15:00+00:00,2024-10-03 06:22:34+00:00,LONG,0.35,GATED_RSI
2024-10-03 14:45:00+00:00,2024-10-03 16:25:26+00:00,LONG,1.09,GATED_RSI
2024-10-04 12:45:00+00:00,2024-10-04 13:44:12+00:00,LONG,1.02,GATED_RSI
2024-10-04 15:30:00+00:00,2024-10-04 19:30:37+00:00,LONG,1.68,GATED_RSI
2024-10-09 04:45:00+00:00,2024-10-09 05:00:31+00:00,LONG,0.37,GATED_RSI
2024-10-10 17:00:00+00:00,2024-10-10 17:30:53+00:00,LONG,0.9900000000000001,GATED_RSI
2024-10-13 23:45:00+00:00,2024-10-14 00:02:28+00:00,LONG,-0.51,GATED_RSI
2024-10-14 00:15:00+00:00,2024-10-14 00:21:19+00:00,LONG,0.44,GATED_RSI
2024-10-14 12:00:00+00:00,2024-10-14 13:07:36+00:00,LONG,-0.67,GATED_RSI
2024-10-15 04:15:00+00:00,2024-10-15 05:08:25+00:00,LONG,-0.43,GATED_RSI
2024-10-15 05:15:00+00:00,2024-10-15 05:35:36+00:00,LONG,-0.4,GATED_RSI
2024-10-15 06:16:00+00:00,2024-10-15 06:23:23+00:00,LONG,0.35,GATED_RSI
2024-10-15 17:30:00+00:00,2024-10-15 20:51:25+00:00,LONG,0.61,GATED_RSI
2024-10-16 06:15:00+00:00,2024-10-16 06:19:04+00:00,LONG,0.31,GATED_RSI
2024-10-16 17:15:00+00:00,2024-10-16 18:36:59+00:00,LONG,-0.88,GATED_RSI
2024-10-16 19:00:00+00:00,2024-10-16 20:38:59+00:00,LONG,0.44,GATED_RSI
2024-10-17 13:15:00+00:00,2024-10-17 13:41:03+00:00,LONG,0.9400000000000001,GATED_RSI
2024-10-21 06:45:00+00:00,2024-10-21 07:04:04+00:00,LONG,-0.39,GATED_RSI
2024-10-21 14:30:00+00:00,2024-10-21 14:57:29+00:00,LONG,-0.67,GATED_RSI
2024-10-21 15:00:00+00:00,2024-10-21 15:08:37+00:00,LONG,-0.7,GATED_RSI
2024-10-21 15:15:00+00:00,2024-10-21 15:36:23+00:00,LONG,-0.73,GATED_RSI
2024-10-21 15:45:00+00:00,2024-10-21 17:16:32+00:00,LONG,-0.73,GATED_RSI
2024-10-21 17:45:00+00:00,2024-10-21 18:59:42+00:00,LONG,-0.64,GATED_RSI
2024-10-21 19:00:00+00:00,2024-10-21 20:05:59+00:00,LONG,0.38,GATED_RSI
2024-10-23 07:15:00+00:00,2024-10-23 11:59:16+00:00,SHORT,2.26,M15_REGIME
2024-10-23 11:45:00+00:00,2024-10-23 11:59:01+00:00,LONG,-0.62,GATED_RSI
2024-10-23 12:00:00+00:00,2024-10-23 12:07:00+00:00,LONG,0.61,GATED_RSI
2024-10-25 06:30:00+00:00,2024-10-25 08:16:35+00:00,SHORT,-1.03,M15_REGIME
2024-10-25 17:15:00+00:00,2024-10-25 19:30:40+00:00,LONG,-0.9000000000000001,GATED_RSI
2024-10-25 19:45:00+00:00,2024-10-27 21:00:25+00:00,LONG,-0.8400000000000001,GATED_RSI
2024-10-28 02:45:00+00:00,2024-10-28 05:05:15+00:00,LONG,0.43,GATED_RSI
2024-10-29 11:30:00+00:00,2024-10-29 11:37:37+00:00,LONG,-0.89,GATED_RSI
2024-11-01 08:15:00+00:00,2024-11-01 11:30:15+00:00,SHORT,-1.13,M15_REGIME
2024-11-08 15:45:00+00:00,2024-11-08 15:58:41+00:00,LONG,-1.39,GATED_RSI
2024-11-11 10:30:00+00:00,2024-11-11 12:16:14+00:00,LONG,-1.37,GATED_RSI
2024-11-13 14:15:00+00:00,2024-11-13 14:33:39+00:00,LONG,1.86,GATED_RSI
2024-11-14 08:30:00+00:00,2024-11-14 09:09:27+00:00,LONG,-1.13,GATED_RSI
2024-11-15 14:45:00+00:00,2024-11-15 15:04:13+00:00,LONG,1.68,GATED_RSI
2024-11-19 08:30:00+00:00,2024-11-19 08:56:27+00:00,LONG,1.41,GATED_RSI
2024-11-20 06:45:00+00:00,2024-11-20 08:09:14+00:00,SHORT,2.21,M15_REGIME
2024-11-20 08:30:00+00:00,2024-11-20 09:35:33+00:00,LONG,-1.22,GATED_RSI
2024-11-20 14:00:00+00:00,2024-11-20 14:30:03+00:00,LONG,1.13,GATED_RSI
2024-11-21 06:15:00+00:00,2024-11-21 08:22:25+00:00,SHORT,1.6200000000000003,M15_REGIME
2024-11-21 06:30:00+00:00,2024-11-21 06:52:23+00:00,LONG,0.53,GATED_RSI
2024-11-21 08:45:00+00:00,2024-11-21 09:41:15+00:00,LONG,1.0,GATED_RSI
2024-11-21 15:30:00+00:00,2024-11-21 16:00:28+00:00,LONG,-1.86,GATED_RSI
2024-11-21 16:15:00+00:00,2024-11-21 16:40:34+00:00,LONG,1.48,GATED_RSI
2024-11-22 08:15:00+00:00,2024-11-22 08:16:25+00:00,LONG,2.16,GATED_RSI
2024-11-25 23:00:00+00:00,2024-11-25 23:03:39+00:00,LONG,0.91,GATED_RSI
2024-11-25 23:15:00+00:00,2024-11-25 23:21:24+00:00,LONG,1.06,GATED_RSI
2024-11-26 00:00:00+00:00,2024-11-26 00:15:39+00:00,LONG,1.41,GATED_RSI
2024-11-28 06:45:00+00:00,2024-11-28 06:47:55+00:00,LONG,0.64,GATED_RSI
2024-12-01 22:30:00+00:00,2024-12-01 22:34:41+00:00,LONG,0.8199999999999998,GATED_RSI
2024-12-02 06:45:00+00:00,2024-12-02 11:13:01+00:00,SHORT,-2.46,M15_REGIME
2024-12-02 14:00:00+00:00,2024-12-02 15:22:02+00:00,LONG,1.45,GATED_RSI
2024-12-09 03:00:00+00:00,2024-12-09 05:38:26+00:00,LONG,0.54,GATED_RSI
2024-12-09 19:30:00+00:00,2024-12-09 20:01:39+00:00,LONG,0.54,GATED_RSI
2024-12-10 08:15:00+00:00,2024-12-10 11:25:14+00:00,LONG,-0.9599999999999999,GATED_RSI
2024-12-10 08:15:00+00:00,2024-12-10 14:03:34+00:00,SHORT,1.96,M15_REGIME
2024-12-10 14:15:00+00:00,2024-12-10 17:15:01+00:00,LONG,0.9400000000000001,GATED_RSI
2024-12-11 06:15:00+00:00,2024-12-11 06:37:13+00:00,SHORT,1.7000000000000002,M15_REGIME
2024-12-11 06:30:00+00:00,2024-12-11 06:35:36+00:00,LONG,-0.77,GATED_RSI
2024-12-11 06:45:00+00:00,2024-12-11 07:03:33+00:00,LONG,0.78,GATED_RSI
2024-12-12 12:15:00+00:00,2024-12-12 12:15:30+00:00,LONG,0.83,GATED_RSI
2024-12-16 07:00:00+00:00,2024-12-16 07:30:37+00:00,SHORT,-1.7399999999999998,M15_REGIME
2024-12-17 05:30:00+00:00,2024-12-17 05:59:24+00:00,LONG,0.38,GATED_RSI
2024-12-17 07:30:00+00:00,2024-12-17 13:02:00+00:00,SHORT,-1.81,M15_REGIME
2024-12-17 08:15:00+00:00,2024-12-17 09:00:36+00:00,LONG,0.62,GATED_RSI
2024-12-17 09:30:00+00:00,2024-12-17 10:00:23+00:00,LONG,0.69,GATED_RSI
2024-12-18 07:15:00+00:00,2024-12-18 14:51:37+00:00,SHORT,1.82,M15_REGIME
2024-12-18 16:00:00+00:00,2024-12-18 16:48:08+00:00,LONG,0.88,GATED_RSI
2024-12-18 18:15:00+00:00,2024-12-18 18:38:34+00:00,LONG,-1.6899999999999997,GATED_RSI
2024-12-18 18:45:00+00:00,2024-12-18 19:04:35+00:00,LONG,-1.94,GATED_RSI
2024-12-18 19:15:00+00:00,2024-12-19 01:56:16+00:00,LONG,1.67,GATED_RSI
2024-12-19 15:15:00+00:00,2024-12-19 15:23:37+00:00,LONG,1.35,GATED_RSI
2024-12-19 16:00:00+00:00,2024-12-19 16:24:23+00:00,LONG,1.34,GATED_RSI
2024-12-23 06:45:00+00:00,2024-12-23 06:49:23+00:00,LONG,-0.63,GATED_RSI
2024-12-23 09:00:00+00:00,2024-12-23 09:36:40+00:00,LONG,-0.9599999999999999,GATED_RSI
2024-12-23 09:45:00+00:00,2024-12-23 11:19:37+00:00,LONG,-1.06,GATED_RSI
2024-12-26 06:30:00+00:00,2024-12-26 12:14:34+00:00,SHORT,-1.24,M15_REGIME
2024-12-30 07:30:00+00:00,2024-12-30 08:51:36+00:00,SHORT,-1.07,M15_REGIME
2024-12-30 08:00:00+00:00,2024-12-30 08:10:14+00:00,LONG,0.57,GATED_RSI
2024-12-30 08:30:00+00:00,2024-12-30 08:51:36+00:00,SHORT,-1.2,M15_REGIME
2024-12-30 13:00:00+00:00,2024-12-30 13:11:20+00:00,LONG,1.23,GATED_RSI
2024-12-31 13:30:00+00:00,2024-12-31 14:34:15+00:00,LONG,-1.21,GATED_RSI
2024-12-31 14:45:00+00:00,2024-12-31 15:07:05+00:00,LONG,-1.47,GATED_RSI
