policy_id,horizon_ms,minimum_dxy_move_bps,minimum_xag_move_bps,minimum_xau_move_bps,minimum_source_quote_count,eligible_full_weekdays,candidates,candidates_per_full_weekday,active_days,active_day_share,long_candidates,short_candidates,minority_direction_share,selection_eligible
H05000__DX030__AG750__AU100__QC05,5000,0.3,7.5,1.0,5,22,8,0.36363636363636365,8,0.36363636363636365,5,3,0.375,False
H05000__DX030__AG750__AU200__QC02,5000,0.3,7.5,2.0,2,22,12,0.5454545454545454,12,0.5454545454545454,8,4,0.3333333333333333,False
H05000__DX030__AG750__AU200__QC05,5000,0.3,7.5,2.0,5,22,8,0.36363636363636365,8,0.36363636363636365,5,3,0.375,False
H05000__DX030__AG750__AU300__QC02,5000,0.3,7.5,3.0,2,22,9,0.4090909090909091,9,0.4090909090909091,7,2,0.2222222222222222,False
H05000__DX030__AG750__AU300__QC05,5000,0.3,7.5,3.0,5,22,7,0.3181818181818182,7,0.3181818181818182,6,1,0.14285714285714285,False
H05000__DX030__AG750__AU500__QC02,5000,0.3,7.5,5.0,2,22,6,0.2727272727272727,6,0.2727272727272727,4,2,0.3333333333333333,False
H05000__DX030__AG750__AU500__QC05,5000,0.3,7.5,5.0,5,22,4,0.18181818181818182,4,0.18181818181818182,4,0,0.0,False
H05000__DX050__AG100__AU050__QC02,5000,0.5,1.0,0.5,2,22,22,1.0,22,1.0,6,16,0.2727272727272727,True
H05000__DX050__AG100__AU050__QC05,5000,0.5,1.0,0.5,5,22,22,1.0,22,1.0,7,15,0.3181818181818182,True
H05000__DX050__AG100__AU100__QC02,5000,0.5,1.0,1.0,2,22,22,1.0,22,1.0,5,17,0.22727272727272727,True
H05000__DX050__AG100__AU100__QC05,5000,0.5,1.0,1.0,5,22,22,1.0,22,1.0,9,13,0.4090909090909091,True
H05000__DX050__AG100__AU200__QC02,5000,0.5,1.0,2.0,2,22,22,1.0,22,1.0,8,14,0.36363636363636365,True
H05000__DX050__AG100__AU200__QC05,5000,0.5,1.0,2.0,5,22,21,0.9545454545454546,21,0.9545454545454546,8,13,0.38095238095238093,True
