timestamp_broker	timestamp_local	run_id	account	symbol	magic	stage	direction	reason	bid	ask	spread_points	recent_high	recent_low	signal_open	signal_high	signal_low	signal_close	atr	body_fraction	close_location	three_bar_move_atr	break_distance_atr	estimated_cost_r
2021.07.01 00:00:00	2021.07.01 00:00:00	A1_XAU_H4_ADVERSE_R_HEDGE_FIVE_YEAR	1025742	XAUUSD	932200	NO_SIGNAL	NONE	no_h4_independent_candidate	1768.17	1768.26	9	1770.20	1767.69	1767.69	1768.23	1767.65	1768.13	0.48	0.7586	0.8276	-0.9112	0.0000	0.0000
2021.07.01 04:00:00	2021.07.01 04:00:00	A1_XAU_H4_ADVERSE_R_HEDGE_FIVE_YEAR	1025742	XAUUSD	932200	NO_SIGNAL	NONE	no_h4_independent_candidate	1776.04	1776.13	9	1776.02	1773.47	1775.54	1776.25	1775.54	1776.14	0.80	0.8451	0.8451	1.4625	0.0000	0.0000
2021.07.01 08:00:00	2021.07.01 08:00:00	A1_XAU_H4_ADVERSE_R_HEDGE_FIVE_YEAR	1025742	XAUUSD	932200	NO_SIGNAL	NONE	no_h4_independent_candidate	1776.93	1777.03	10	1778.46	1774.77	1776.93	1777.51	1776.63	1776.92	1.46	0.0114	0.3295	0.5822	0.0000	0.0000
2021.07.01 12:00:00	2021.07.01 12:00:00	A1_XAU_H4_ADVERSE_R_HEDGE_FIVE_YEAR	1025742	XAUUSD	932200	NO_SIGNAL	NONE	no_h4_independent_candidate	1776.81	1776.86	5	1779.75	1774.51	1775.80	1776.88	1775.47	1776.81	1.49	0.7163	0.9504	0.5909	0.0000	0.0000
2021.07.01 16:00:00	2021.07.01 16:00:00	A1_XAU_H4_ADVERSE_R_HEDGE_FIVE_YEAR	1025742	XAUUSD	932200	NO_SIGNAL	NONE	no_h4_independent_candidate	1770.99	1771.07	8	1775.47	1768.27	1771.63	1771.83	1770.84	1771.01	1.74	0.6263	0.1717	-0.1607	0.0000	0.0000
2021.07.01 20:00:00	2021.07.01 20:00:00	A1_XAU_H4_ADVERSE_R_HEDGE_FIVE_YEAR	1025742	XAUUSD	932200	NO_SIGNAL	NONE	no_h4_independent_candidate	1776.16	1776.19	3	1776.15	1774.36	1775.17	1776.21	1775.17	1776.17	0.65	0.9615	0.9615	0.1858	0.0000	0.0000
2021.07.02 00:00:00	2021.07.02 00:00:00	A1_XAU_H4_ADVERSE_R_HEDGE_FIVE_YEAR	1025742	XAUUSD	932200	NO_SIGNAL	NONE	no_h4_independent_candidate	1775.57	1775.66	9	1776.53	1775.18	1775.26	1775.67	1775.25	1775.57	0.44	0.7381	0.7619	-1.4689	0.0000	0.0000
2021.07.02 04:00:00	2021.07.02 04:00:00	A1_XAU_H4_ADVERSE_R_HEDGE_FIVE_YEAR	1025742	XAUUSD	932200	NO_SIGNAL	NONE	no_h4_independent_candidate	1778.84	1779.02	18	1779.39	1778.00	1778.46	1778.96	1778.46	1778.84	0.52	0.7600	0.7600	-0.6294	0.0000	0.0000
2021.07.02 08:00:00	2021.07.02 08:00:00	A1_XAU_H4_ADVERSE_R_HEDGE_FIVE_YEAR	1025742	XAUUSD	932200	NO_SIGNAL	NONE	no_h4_independent_candidate	1777.99	1778.09	10	1778.52	1774.33	1777.77	1778.27	1777.48	1778.00	1.28	0.2911	0.6582	0.3049	0.0000	0.0000
2021.07.02 12:00:00	2021.07.02 12:00:00	A1_XAU_H4_ADVERSE_R_HEDGE_FIVE_YEAR	1025742	XAUUSD	932200	WOULD_SIGNAL	LONG	D1_COMPRESSION_H4_EXPANSION_LONG	1785.88	1785.93	5	1788.75	1784.99	1788.24	1788.34	1785.84	1785.88	1.24	0.9440	0.0160	-0.6786	0.3971	0.0015
