timestamp_broker,run_id,account,symbol,magic,action,direction,lots,bid,ask,spread_points,sl,tp,stop_points,retcode,retcode_description,order_ticket,deal_and_reason,setup_bar_open,decision_tick_broker
2022.07.01 15:00:00,EURUSD_M30_RSI_BB_CLOSE_FADE_LONG_V1R_IMMEDIATE_NEXT_BAR_RECLAIM_V1,1025742,EURUSD,26723004,ORDER_SEND_OK,LONG,0.01,1.03902,1.03909,7,1.03616,1.04143,293.00,10009,done at 1.03909,2,2|result_price=1.03909|reason=entered,2022.07.01 14:30:00,2022.07.01 15:00:00
2022.07.04 12:00:00,EURUSD_M30_RSI_BB_CLOSE_FADE_LONG_V1R_IMMEDIATE_NEXT_BAR_RECLAIM_V1,1025742,EURUSD,26723004,GUARD_BLOCK,SHORT,0.00,1.04519,1.04520,1,0.00000,0.00000,0.00,0,,0,0|result_price=0.00000|reason=direction_mode_block,2022.07.04 11:30:00,2022.07.04 12:00:00
2022.07.05 10:30:00,EURUSD_M30_RSI_BB_CLOSE_FADE_LONG_V1R_IMMEDIATE_NEXT_BAR_RECLAIM_V1,1025742,EURUSD,26723004,ORDER_SEND_OK,LONG,0.01,1.02962,1.02967,5,1.02686,1.03192,281.00,10009,done at 1.02967,4,4|result_price=1.02967|reason=entered,2022.07.05 10:00:00,2022.07.05 10:30:00
2022.07.06 13:00:00,EURUSD_M30_RSI_BB_CLOSE_FADE_LONG_V1R_IMMEDIATE_NEXT_BAR_RECLAIM_V1,1025742,EURUSD,26723004,ORDER_SEND_OK,LONG,0.01,1.01872,1.01877,5,1.01574,1.02119,303.00,10009,done at 1.01877,6,6|result_price=1.01877|reason=entered,2022.07.06 12:30:00,2022.07.06 13:00:00
2022.07.07 06:30:00,EURUSD_M30_RSI_BB_CLOSE_FADE_LONG_V1R_IMMEDIATE_NEXT_BAR_RECLAIM_V1,1025742,EURUSD,26723004,GUARD_BLOCK,SHORT,0.00,1.02130,1.02135,5,0.00000,0.00000,0.00,0,,0,0|result_price=0.00000|reason=direction_mode_block,2022.07.07 06:00:00,2022.07.07 06:30:00
2022.07.08 05:00:00,EURUSD_M30_RSI_BB_CLOSE_FADE_LONG_V1R_IMMEDIATE_NEXT_BAR_RECLAIM_V1,1025742,EURUSD,26723004,ORDER_SEND_OK,LONG,0.01,1.01548,1.01554,6,1.01393,1.01683,161.00,10009,done at 1.01554,8,8|result_price=1.01554|reason=entered,2022.07.08 04:30:00,2022.07.08 05:00:00
2022.07.11 02:30:00,EURUSD_M30_RSI_BB_CLOSE_FADE_LONG_V1R_IMMEDIATE_NEXT_BAR_RECLAIM_V1,1025742,EURUSD,26723004,ORDER_SEND_OK,LONG,0.01,1.01471,1.01472,1,1.01349,1.01570,123.00,10009,done at 1.01472,10,10|result_price=1.01472|reason=entered,2022.07.11 02:00:00,2022.07.11 02:30:00
2022.07.11 10:30:00,EURUSD_M30_RSI_BB_CLOSE_FADE_LONG_V1R_IMMEDIATE_NEXT_BAR_RECLAIM_V1,1025742,EURUSD,26723004,ORDER_SEND_OK,LONG,0.01,1.01065,1.01070,5,1.00884,1.01219,186.00,10009,done at 1.01070,12,12|result_price=1.01070|reason=entered,2022.07.11 10:00:00,2022.07.11 10:30:00
2022.07.11 14:00:00,EURUSD_M30_RSI_BB_CLOSE_FADE_LONG_V1R_IMMEDIATE_NEXT_BAR_RECLAIM_V1,1025742,EURUSD,26723004,ORDER_SEND_OK,LONG,0.01,1.00692,1.00697,5,1.00437,1.00905,260.00,10009,done at 1.00697,14,14|result_price=1.00697|reason=entered,2022.07.11 13:30:00,2022.07.11 14:00:00
2022.07.12 02:00:00,EURUSD_M30_RSI_BB_CLOSE_FADE_LONG_V1R_IMMEDIATE_NEXT_BAR_RECLAIM_V1,1025742,EURUSD,26723004,ORDER_SEND_OK,LONG,0.01,1.00279,1.00280,1,1.00054,1.00461,226.00,10009,done at 1.00280,16,16|result_price=1.00280|reason=entered,2022.07.12 01:30:00,2022.07.12 02:00:00
2022.07.12 16:00:00,EURUSD_M30_RSI_BB_CLOSE_FADE_LONG_V1R_IMMEDIATE_NEXT_BAR_RECLAIM_V1,1025742,EURUSD,26723004,GUARD_BLOCK,SHORT,0.00,1.00688,1.00694,6,0.00000,0.00000,0.00,0,,0,0|result_price=0.00000|reason=direction_mode_block,2022.07.12 15:30:00,2022.07.12 16:00:00
2022.07.13 08:00:00,EURUSD_M30_RSI_BB_CLOSE_FADE_LONG_V1R_IMMEDIATE_NEXT_BAR_RECLAIM_V1,1025742,EURUSD,26723004,ORDER_SEND_OK,LONG,0.01,1.00330,1.00335,5,1.00062,1.00553,273.00,10009,done at 1.00335,18,18|result_price=1.00335|reason=entered,2022.07.13 07:30:00,2022.07.13 08:00:00
2022.07.13 15:30:00,EURUSD_M30_RSI_BB_CLOSE_FADE_LONG_V1R_IMMEDIATE_NEXT_BAR_RECLAIM_V1,1025742,EURUSD,26723004,GUARD_BLOCK,SHORT,0.00,1.00860,1.00865,5,0.00000,0.00000,0.00,0,,0,0|result_price=0.00000|reason=direction_mode_block,2022.07.13 15:00:00,2022.07.13 15:30:00
