entry_time,entry_date,entry_hour,direction,entry_deal,volume,entry_price,entry_comment,exit_time,exit_date,exit_hour,exit_deal,exit_price,profit,balance,exit_comment,commission,swap,price_profit,net
2022.07.01 15:00:00,2022-07-01,15,LONG,2,0.01,1.03909,EU_M30_R1,2022.07.01 15:40:36,2022-07-01,15,3,1.04143,2.34,1002.34,tp 1.04143,0.0,0.0,2.34,2.34
2022.07.05 10:30:00,2022-07-05,10,LONG,4,0.01,1.02967,EU_M30_R1,2022.07.05 13:21:42,2022-07-05,13,5,1.02685,-2.82,999.52,sl 1.02686,0.0,0.0,-2.82,-2.82
2022.07.06 13:00:00,2022-07-06,13,LONG,6,0.01,1.01877,EU_M30_R1,2022.07.07 05:10:27,2022-07-07,5,7,1.02119,2.42,1001.83,tp 1.02119,0.0,-0.11,2.42,2.31
2022.07.08 05:00:00,2022-07-08,5,LONG,8,0.01,1.01554,EU_M30_R1,2022.07.08 06:29:27,2022-07-08,6,9,1.01683,1.29,1003.12,tp 1.01683,0.0,0.0,1.29,1.29
2022.07.11 02:30:00,2022-07-11,2,LONG,10,0.01,1.01472,EU_M30_R1,2022.07.11 06:24:41,2022-07-11,6,11,1.01348,-1.24,1001.88,sl 1.01349,0.0,0.0,-1.24,-1.24
2022.07.11 10:30:00,2022-07-11,10,LONG,12,0.01,1.01070,EU_M30_R1,2022.07.11 11:47:35,2022-07-11,11,13,1.00884,-1.86,1000.02,sl 1.00884,0.0,0.0,-1.86,-1.86
2022.07.11 14:00:00,2022-07-11,14,LONG,14,0.01,1.00697,EU_M30_R1,2022.07.11 14:53:29,2022-07-11,14,15,1.00906,2.09,1002.11,tp 1.00905,0.0,0.0,2.09,2.09
2022.07.12 02:00:00,2022-07-12,2,LONG,16,0.01,1.00280,EU_M30_R1,2022.07.12 05:12:05,2022-07-12,5,17,1.00053,-2.27,999.84,sl 1.00054,0.0,0.0,-2.27,-2.27
2022.07.13 08:00:00,2022-07-13,8,LONG,18,0.01,1.00335,EU_M30_R1,2022.07.13 10:28:15,2022-07-13,10,19,1.00554,2.19,1002.03,tp 1.00553,0.0,0.0,2.19,2.19
2022.07.14 01:30:00,2022-07-14,1,LONG,20,0.01,1.00270,EU_M30_R1,2022.07.14 02:16:27,2022-07-14,2,21,1.00142,-1.28,1000.75,sl 1.00142,0.0,0.0,-1.28,-1.28
2022.07.20 18:30:00,2022-07-20,18,LONG,22,0.01,1.01703,EU_M30_R1,2022.07.21 00:46:14,2022-07-21,0,23,1.01936,2.33,1002.97,tp 1.01936,0.0,-0.11,2.33,2.22
2022.07.22 08:30:00,2022-07-22,8,LONG,24,0.01,1.01587,EU_M30_R1,2022.07.22 11:56:31,2022-07-22,11,25,1.01817,2.3,1005.27,tp 1.01817,0.0,0.0,2.3,2.3
2022.07.26 12:30:00,2022-07-26,12,LONG,26,0.01,1.01244,EU_M30_R1,2022.07.26 12:59:36,2022-07-26,12,27,1.01475,2.31,1007.58,tp 1.01474,0.0,0.0,2.31,2.31
2022.07.27 15:00:00,2022-07-27,15,LONG,28,0.01,1.01202,EU_M30_R1,2022.07.27 15:22:05,2022-07-27,15,29,1.01376,1.74,1009.32,tp 1.01376,0.0,0.0,1.74,1.74
2022.07.28 12:30:00,2022-07-28,12,LONG,30,0.01,1.01302,EU_M30_R1,2022.07.28 12:35:38,2022-07-28,12,31,1.01565,2.63,1011.95,tp 1.01565,0.0,0.0,2.63,2.63
2022.08.02 08:30:00,2022-08-02,8,LONG,32,0.01,1.02352,EU_M30_R1,2022.08.02 12:17:31,2022-08-02,12,33,1.02149,-2.03,1009.92,sl 1.02153,0.0,0.0,-2.03,-2.03
2022.08.02 18:00:00,2022-08-02,18,LONG,34,0.01,1.01841,EU_M30_R1,2022.08.02 23:44:33,2022-08-02,23,35,1.01560,-2.81,1007.11,sl 1.01560,0.0,0.0,-2.81,-2.81
2022.08.12 09:00:00,2022-08-12,9,LONG,36,0.01,1.03025,EU_M30_R1,2022.08.12 10:14:34,2022-08-12,10,37,1.02882,-1.43,1005.68,sl 1.02882,0.0,0.0,-1.43,-1.43
2022.08.12 12:30:00,2022-08-12,12,LONG,38,0.01,1.02883,EU_M30_R1,2022.08.12 12:45:41,2022-08-12,12,39,1.02710,-1.73,1003.95,sl 1.02716,0.0,0.0,-1.73,-1.73
2022.08.12 13:30:00,2022-08-12,13,LONG,40,0.01,1.02756,EU_M30_R1,2022.08.12 14:04:42,2022-08-12,14,41,1.02562,-1.94,1002.01,sl 1.02576,0.0,0.0,-1.94,-1.94
2022.08.12 15:30:00,2022-08-12,15,LONG,42,0.01,1.02525,EU_M30_R1,2022.08.15 07:10:28,2022-08-15,7,43,1.02311,-2.14,999.54,sl 1.02313,0.0,-0.33,-2.14,-2.47
2022.08.15 07:30:00,2022-08-15,7,LONG,44,0.01,1.02361,EU_M30_R1,2022.08.15 08:40:40,2022-08-15,8,45,1.02243,-1.18,998.36,sl 1.02243,0.0,0.0,-1.18,-1.18
2022.08.15 11:00:00,2022-08-15,11,LONG,46,0.01,1.02047,EU_M30_R1,2022.08.15 13:27:29,2022-08-15,13,47,1.02196,1.49,999.85,tp 1.02196,0.0,0.0,1.49,1.49
2022.08.15 19:00:00,2022-08-15,19,LONG,48,0.01,1.01567,EU_M30_R1,2022.08.16 07:10:40,2022-08-16,7,49,1.01371,-1.96,997.78,sl 1.01373,0.0,-0.11,-1.96,-2.07
2022.08.16 08:00:00,2022-08-16,8,LONG,50,0.01,1.01601,EU_M30_R1,2022.08.16 09:01:29,2022-08-16,9,51,1.01341,-2.6,995.18,sl 1.01341,0.0,0.0,-2.6,-2.6
2022.08.24 11:30:00,2022-08-24,11,LONG,52,0.01,0.99320,EU_M30_R1,2022.08.24 14:05:29,2022-08-24,14,53,0.99130,-1.9,993.28,sl 0.99131,0.0,0.0,-1.9,-1.9
2022.08.26 07:30:00,2022-08-26,7,LONG,54,0.01,0.99694,EU_M30_R1,2022.08.26 08:57:33,2022-08-26,8,55,0.99879,1.85,995.13,tp 0.99877,0.0,0.0,1.85,1.85
2022.08.31 10:30:00,2022-08-31,10,LONG,56,0.01,0.99851,EU_M30_R1,2022.08.31 11:30:29,2022-08-31,11,57,1.00030,1.79,996.92,tp 1.00029,0.0,0.0,1.79,1.79
2022.09.05 06:00:00,2022-09-05,6,LONG,58,0.01,0.98851,EU_M30_R1,2022.09.05 06:18:40,2022-09-05,6,59,0.98984,1.33,998.25,tp 0.98984,0.0,0.0,1.33,1.33
2022.09.06 14:30:00,2022-09-06,14,LONG,60,0.01,0.98999,EU_M30_R1,2022.09.06 15:09:39,2022-09-06,15,61,0.99291,2.92,1001.17,tp 0.99286,0.0,0.0,2.92,2.92
2022.09.07 01:00:00,2022-09-07,1,LONG,62,0.01,0.98905,EU_M30_R1,2022.09.07 02:11:34,2022-09-07,2,63,0.98791,-1.14,1000.03,sl 0.98791,0.0,0.0,-1.14,-1.14
2022.09.08 15:30:00,2022-09-08,15,LONG,64,0.01,0.99597,EU_M30_R1,2022.09.08 17:18:38,2022-09-08,17,65,0.99879,2.82,1002.85,tp 0.99879,0.0,0.0,2.82,2.82
2022.09.16 08:30:00,2022-09-16,8,LONG,66,0.01,0.99693,EU_M30_R1,2022.09.16 10:57:40,2022-09-16,10,67,0.99893,2.0,1004.85,tp 0.99892,0.0,0.0,2.0,2.0
2022.09.19 07:30:00,2022-09-19,7,LONG,68,0.01,0.99751,EU_M30_R1,2022.09.19 09:08:21,2022-09-19,9,69,0.99849,0.98,1005.83,tp 0.99849,0.0,0.0,0.98,0.98
2022.09.20 14:00:00,2022-09-20,14,LONG,70,0.01,0.99827,EU_M30_R1,2022.09.21 05:58:17,2022-09-21,5,71,0.99543,-2.84,1002.88,sl 0.99549,0.0,-0.11,-2.84,-2.9499999999999997
2022.09.21 09:00:00,2022-09-21,9,LONG,72,0.01,0.99026,EU_M30_R1,2022.09.21 09:27:35,2022-09-21,9,73,0.99197,1.71,1004.59,tp 0.99197,0.0,0.0,1.71,1.71
2022.09.23 15:30:00,2022-09-23,15,LONG,74,0.01,0.97256,EU_M30_R1,2022.09.23 17:39:28,2022-09-23,17,75,0.96938,-3.18,1001.41,sl 0.96939,0.0,0.0,-3.18,-3.18
2022.09.23 18:30:00,2022-09-23,18,LONG,76,0.01,0.96847,EU_M30_R1,2022.09.25 22:23:14,2022-09-25,22,77,0.97089,2.42,1003.5,tp 0.97089,0.0,-0.33,2.42,2.09
2022.09.28 03:30:00,2022-09-28,3,LONG,78,0.01,0.95626,EU_M30_R1,2022.09.28 06:59:28,2022-09-28,6,79,0.95425,-2.01,1001.49,sl 0.95426,0.0,0.0,-2.01,-2.01
2022.09.30 12:30:00,2022-09-30,12,LONG,80,0.01,0.97657,EU_M30_R1,2022.09.30 14:40:14,2022-09-30,14,81,0.97944,2.87,1004.36,tp 0.97944,0.0,0.0,2.87,2.87
2022.10.05 12:30:00,2022-10-05,12,LONG,82,0.01,0.99110,EU_M30_R1,2022.10.05 13:26:28,2022-10-05,13,83,0.98842,-2.68,1001.68,sl 0.98843,0.0,0.0,-2.68,-2.68
2022.10.05 14:00:00,2022-10-05,14,LONG,84,0.01,0.98767,EU_M30_R1,2022.10.05 14:04:39,2022-10-05,14,85,0.98458,-3.09,998.59,sl 0.98458,0.0,0.0,-3.09,-3.09
2022.10.05 15:00:00,2022-10-05,15,LONG,86,0.01,0.98549,EU_M30_R1,2022.10.05 17:30:12,2022-10-05,17,87,0.98801,2.52,1001.11,tp 0.98800,0.0,0.0,2.52,2.52
2022.10.06 13:00:00,2022-10-06,13,LONG,88,0.01,0.98686,EU_M30_R1,2022.10.06 13:24:41,2022-10-06,13,89,0.98419,-2.67,998.44,sl 0.98426,0.0,0.0,-2.67,-2.67
2022.10.07 07:00:00,2022-10-07,7,LONG,90,0.01,0.97820,EU_M30_R1,2022.10.07 07:19:25,2022-10-07,7,91,0.97950,1.3,999.74,tp 0.97950,0.0,0.0,1.3,1.3
2022.10.07 14:30:00,2022-10-07,14,LONG,92,0.01,0.97676,EU_M30_R1,2022.10.10 00:31:30,2022-10-10,0,93,0.97259,-4.17,995.24,sl 0.97259,0.0,-0.33,-4.17,-4.5
2022.10.10 06:30:00,2022-10-10,6,LONG,94,0.01,0.97302,EU_M30_R1,2022.10.10 07:41:30,2022-10-10,7,95,0.97157,-1.45,993.79,sl 0.97158,0.0,0.0,-1.45,-1.45
