timestamp_broker,run_id,symbol,event,direction,reason,setup_bar_open,decision_tick_broker,bid,ask,symbol_spread_points,quoted_spread_points,atr,recent_low,recent_high,atr_component_points,floor_component_points,swing_component_points,selected_stop_component,requested_sl,requested_tp,stop_points,request_ok,fill_confirmed,retcode,order_ticket,deal_ticket,result_price,actual_position_price,actual_sl,actual_tp,free_margin,margin_level,account_leverage
2022.07.01 15:00:00,EURUSD_M30_RSI_BB_CLOSE_FADE_LONG_V1R_IMMEDIATE_NEXT_BAR_RECLAIM_V1,EURUSD,CONFIRMATION_QUOTE,LONG,M5_BB_CLOSE_FADE_LONG|IMMEDIATE_NEXT_BAR_RECLAIM,2022.07.01 14:30:00,2022.07.01 15:00:00,1.03902,1.03909,7,7.00,0.00209,0.00000,0.00000,0.00,30.00,0.00,,0.00000,0.00000,0.00,false,false,0,0,0,0.00000,0.00000,0.00000,0.00000,1000.00,0.0000,50
2022.07.01 15:00:00,EURUSD_M30_RSI_BB_CLOSE_FADE_LONG_V1R_IMMEDIATE_NEXT_BAR_RECLAIM_V1,EURUSD,STOP_GEOMETRY,LONG,geometry_ready_after_immediate_reclaim,2022.07.01 14:30:00,2022.07.01 15:00:00,1.03902,1.03909,7,7.00,0.00209,1.03657,1.04395,293.00,30.00,252.00,ATR,1.03616,1.04143,293.00,false,false,0,0,0,0.00000,0.00000,0.00000,0.00000,1000.00,0.0000,50
2022.07.01 15:00:00,EURUSD_M30_RSI_BB_CLOSE_FADE_LONG_V1R_IMMEDIATE_NEXT_BAR_RECLAIM_V1,EURUSD,REQUEST_RESULT,LONG,entered,2022.07.01 14:30:00,2022.07.01 15:00:00,1.03902,1.03909,7,7.00,0.00209,1.03657,1.04395,293.00,30.00,252.00,ATR,1.03616,1.04143,293.00,true,true,10009,2,2,1.03909,1.03909,1.03616,1.04143,979.15,4811.9827,50
2022.07.04 12:00:00,EURUSD_M30_RSI_BB_CLOSE_FADE_LONG_V1R_IMMEDIATE_NEXT_BAR_RECLAIM_V1,EURUSD,CONFIRMATION_QUOTE,SHORT,M5_BB_CLOSE_FADE_SHORT|IMMEDIATE_NEXT_BAR_RECLAIM,2022.07.04 11:30:00,2022.07.04 12:00:00,1.04519,1.04520,1,1.00,0.00109,0.00000,0.00000,0.00,30.00,0.00,,0.00000,0.00000,0.00,false,false,0,0,0,0.00000,0.00000,0.00000,0.00000,1002.34,0.0000,50
2022.07.05 10:30:00,EURUSD_M30_RSI_BB_CLOSE_FADE_LONG_V1R_IMMEDIATE_NEXT_BAR_RECLAIM_V1,EURUSD,CONFIRMATION_QUOTE,LONG,M5_BB_CLOSE_FADE_LONG|IMMEDIATE_NEXT_BAR_RECLAIM,2022.07.05 10:00:00,2022.07.05 10:30:00,1.02962,1.02967,5,5.00,0.00201,0.00000,0.00000,0.00,30.00,0.00,,0.00000,0.00000,0.00,false,false,0,0,0,0.00000,0.00000,0.00000,0.00000,1002.34,0.0000,50
2022.07.05 10:30:00,EURUSD_M30_RSI_BB_CLOSE_FADE_LONG_V1R_IMMEDIATE_NEXT_BAR_RECLAIM_V1,EURUSD,STOP_GEOMETRY,LONG,geometry_ready_after_immediate_reclaim,2022.07.05 10:00:00,2022.07.05 10:30:00,1.02962,1.02967,5,5.00,0.00201,1.02802,1.03873,281.10,30.00,165.00,ATR,1.02686,1.03192,281.00,false,false,0,0,0,0.00000,0.00000,0.00000,0.00000,1002.34,0.0000,50
2022.07.05 10:30:00,EURUSD_M30_RSI_BB_CLOSE_FADE_LONG_V1R_IMMEDIATE_NEXT_BAR_RECLAIM_V1,EURUSD,REQUEST_RESULT,LONG,entered,2022.07.05 10:00:00,2022.07.05 10:30:00,1.02962,1.02967,5,5.00,0.00201,1.02802,1.03873,281.10,30.00,165.00,ATR,1.02686,1.03192,281.00,true,true,10009,4,4,1.02967,1.02967,1.02686,1.03192,981.70,4867.8485,50
2022.07.06 13:00:00,EURUSD_M30_RSI_BB_CLOSE_FADE_LONG_V1R_IMMEDIATE_NEXT_BAR_RECLAIM_V1,EURUSD,CONFIRMATION_QUOTE,LONG,M5_BB_CLOSE_FADE_LONG|IMMEDIATE_NEXT_BAR_RECLAIM,2022.07.06 12:30:00,2022.07.06 13:00:00,1.01872,1.01877,5,5.00,0.00217,0.00000,0.00000,0.00,30.00,0.00,,0.00000,0.00000,0.00,false,false,0,0,0,0.00000,0.00000,0.00000,0.00000,999.52,0.0000,50
2022.07.06 13:00:00,EURUSD_M30_RSI_BB_CLOSE_FADE_LONG_V1R_IMMEDIATE_NEXT_BAR_RECLAIM_V1,EURUSD,STOP_GEOMETRY,LONG,geometry_ready_after_immediate_reclaim,2022.07.06 12:30:00,2022.07.06 13:00:00,1.01872,1.01877,5,5.00,0.00217,1.01662,1.02275,303.50,30.00,215.00,ATR,1.01574,1.02119,303.00,false,false,0,0,0,0.00000,0.00000,0.00000,0.00000,999.52,0.0000,50
2022.07.06 13:00:00,EURUSD_M30_RSI_BB_CLOSE_FADE_LONG_V1R_IMMEDIATE_NEXT_BAR_RECLAIM_V1,EURUSD,REQUEST_RESULT,LONG,entered,2022.07.06 12:30:00,2022.07.06 13:00:00,1.01872,1.01877,5,5.00,0.00217,1.01662,1.02275,303.50,30.00,215.00,ATR,1.01574,1.02119,303.00,true,true,10009,6,6,1.01877,1.01877,1.01574,1.02119,979.09,4904.1708,50
