year,baseline_trades,challenger_trades,baseline_net_pnl_usd,challenger_net_pnl_usd,delta_pnl_usd
2021,230,227,165.92842872914736,178.29803844353327,12.369609714385916
2022,110,108,57.11887127926752,57.522553441149114,0.4036821618815907
2023,242,240,341.959366499673,351.589366499673,9.629999999999995
2024,326,322,731.5260613265943,742.6645032059149,11.138441879320567
2025,350,347,1167.0903446200266,1184.190369099474,17.100024479447484
2026,132,132,1139.9422811173051,1139.9422811173051,0.0
