month,raw_trades,raw_pnl_usd,raw_win_rate_pct,raw_profit_factor,ml_retained_trades,ml_vetoed_trades,ml_abstained_retained_trades,ml_pnl_usd,ml_win_rate_pct,ml_profit_factor,ml_minus_raw_pnl_usd,ml_trade_retention_pct
2025-07,32,-33.06892584904604,34.375,0.8180119172812623,22,10,3,-7.351516098124456,36.36363636363637,0.942195251261863,25.717409750921583,68.75
2025-08,22,237.96232291297645,54.54545454545454,2.7219878786715253,9,13,4,73.26928032395715,44.44444444444444,1.9096527128681722,-164.69304258901929,40.90909090909091
2025-09,63,243.992193692659,44.44444444444444,1.8836215978367759,33,30,12,92.7523409191409,39.39393939393939,1.5524161785943913,-151.23985277351807,52.38095238095238
2025-10,16,-10.898993335948266,31.25,0.9012806868778269,8,8,0,-12.576644738812496,25.0,0.7583743041242341,-1.67765140286423,50.0
2025-11,31,232.69661984048653,58.06451612903226,2.372394947462961,20,11,5,258.06831182799465,75.0,4.545965230230861,25.371691987508115,64.51612903225806
2025-12,48,147.9420665287239,43.75,1.349480997401266,33,15,15,179.6863421560204,48.484848484848484,1.5859809257175574,31.744275627296503,68.75
2026-01,42,695.671714280377,40.476190476190474,3.168500950735434,25,17,8,763.9418561641107,52.0,5.863700100507155,68.27014188373369,59.523809523809526
2026-02,10,83.41100606640123,30.0,1.815589562780181,7,3,4,15.492717924559116,28.57142857142857,1.241506821982402,-67.91828814184211,70.0
2026-03,32,527.8672733496674,40.625,2.6263024663927332,25,7,6,551.1578594744517,44.0,3.394966226397272,23.29058612478434,78.125
2026-04,18,61.09430237920253,50.0,1.484721836097896,13,5,1,95.20720912910421,61.53846153846154,2.224254732950547,34.11290674990168,72.22222222222223
2026-05,16,78.4123435671493,50.0,1.7636114261246174,11,5,2,78.05344244780092,54.54545454545454,2.2334915411358893,-0.3589011193483884,68.75
2026-06,33,209.72501254718463,42.42424242424242,1.6196860203115733,19,14,7,197.1470747732032,42.10526315789473,2.2015726091102916,-12.577937773981432,57.57575757575758
