trade_id,candidate_id,month,family_id,decision_time_utc,entry_time_utc,exit_time_utc,direction,xau_feature_status,model_score,threshold,ml_action,ml_retained,raw_pnl_usd,ml_pnl_usd
V9_BREAK_20250701T011500Z_LONG,1a3ecb2cefaa23ee4a409d6f543be040adeeade3a597d156b2fbc3f9d5666ee1,2025-07,V57_BREAK_SWING_H4ADX_HIGH,2025-07-01 01:15:00+00:00,2025-07-01 01:15:00+00:00,2025-07-01 02:20:00+00:00,LONG,PASS,0.2769962352390436,0.059173643554119026,RETAIN,True,-4.537226810659059,-4.537226810659059
V9_BREAK_20250701T032500Z_LONG,17853d76017b8bc965dcc4c872e6f022cf3ee50a8b0cc8c96550454f9c6e306f,2025-07,V57_BREAK_SWING_H4ADX_HIGH,2025-07-01 03:25:00+00:00,2025-07-01 03:25:00+00:00,2025-07-01 05:35:00+00:00,LONG,PASS,0.21284091787507672,0.059173643554119026,RETAIN,True,9.276143357903084,9.276143357903084
V25_8856d73487bb090989282a58,b3ceb38a960d2073e21835aa15de4a0c1a392e5623e30d9e0123386b82727121,2025-07,V25_CHOP,2025-07-02 22:45:00+00:00,2025-07-02 22:45:00.076000+00:00,2025-07-02 23:10:39.478000+00:00,LONG,PASS,0.45899907371865256,0.11799484150232556,RETAIN,True,-7.937113196579997,-7.937113196579997
8f176b174147773177ecfc75,62f287a76f43ea30c1b1f51dabe4f837621769c1dd7dffe9244880ea06e5108a,2025-07,R4_CHOP,2025-07-02 23:15:00+00:00,2025-07-02 23:15:00.212000+00:00,2025-07-03 00:00:48.654000+00:00,LONG,PASS,0.6083778807199283,0.11799484150232556,RETAIN,True,-8.045744699982258,-8.045744699982258
V25_b09141c03ad65c1b2e9e42cc,d34fbf81cbb3a1698582df21bafaf5c48c75ab9a5f4ec3aa74a29b8edc69c862,2025-07,V25_CHOP,2025-07-02 23:20:00+00:00,2025-07-02 23:20:00.793000+00:00,2025-07-03 00:04:23.022000+00:00,LONG,PASS,0.7431645307511339,0.11799484150232556,RETAIN,True,-8.032395457505487,-8.032395457505487
V25_47bd827e48f2eb71b2d19431,1661d24baf7296db50548ca5957b47d33c936715d9f58b67d8f64b3b541f8626,2025-07,V25_CHOP,2025-07-03 00:15:00+00:00,2025-07-03 00:15:00.210000+00:00,2025-07-03 06:03:44.948000+00:00,LONG,PASS,0.18177103426138344,0.11799484150232556,RETAIN,True,14.692753955594759,14.692753955594759
V25_5c0b604ee76318653948b9c3,7ffe31c6a83c1acc4f2f736e9747ed789451895c0a2de34464d0516f2a977ffe,2025-07,V25_CHOP,2025-07-03 06:15:00+00:00,2025-07-03 06:15:00.069000+00:00,2025-07-03 08:21:00.868000+00:00,LONG,PASS,0.32314654586651076,0.11799484150232556,RETAIN,True,-8.2574619856726,-8.2574619856726
V7_20250704T073500Z_LONG,74b67cfe47e3edc1f3b75c8b4bc5ba5f6631bcb9e04bc61921f3be2fd5ce4ce8,2025-07,V7_SWING_HEALTH,2025-07-04 07:35:00+00:00,2025-07-04 07:35:00+00:00,2025-07-04 09:35:00+00:00,LONG,PASS,-0.03919347264632528,0.07779505977910199,VETO,False,-4.8879749332363716,0.0
V8_20250707T044500Z_SHORT,72ca04b1b4b62e1dd394bee44383473799f3f593b1882cbf9ac0964b84e3dd73,2025-07,V8_RETEST_HEALTH,2025-07-07 04:45:00+00:00,2025-07-07 04:45:00+00:00,2025-07-07 05:00:00+00:00,SHORT,ABSTAIN_MISSING_MANDATORY_XAU,,,MODEL_ABSTAIN_RETAIN_ALL,True,-4.258635553988116,-4.258635553988116
V25_985ea9fad1069cdcd9c80fd7,90ab9862242c35e1b6776b0bf1e1d5dbeb2c7a64dae502a9ce1d4bd2cbbadd9f,2025-07,V25_CHOP,2025-07-07 08:30:00+00:00,2025-07-07 08:30:00.007000+00:00,2025-07-07 14:13:34.819000+00:00,SHORT,ABSTAIN_MISSING_MANDATORY_XAU,,,MODEL_ABSTAIN_RETAIN_ALL,True,-9.158733042163485,-9.158733042163485
7ef864c113a548d392b9d40f,8b0aa995cedcdee0b68273c454bda03143f5626aaa553a0b1b93043807d36348,2025-07,R4_CHOP,2025-07-07 08:35:00+00:00,2025-07-07 08:35:01.394000+00:00,2025-07-07 14:16:10.729000+00:00,SHORT,ABSTAIN_MISSING_MANDATORY_XAU,,,MODEL_ABSTAIN_RETAIN_ALL,True,-9.128143725612357,-9.128143725612357
