fold_id,fit_rows,calibration_rows,test_rows,chosen_quantile,chosen_threshold,selection_reason,selected_rows,selected_weight_coverage,broad_candidate_delta_usd,broad_candidate_delta_r
F2020,548,107,363,0.0,,ML_ABSTAIN_RETAIN_ALL_INSUFFICIENT_FIT,363,1.0,0.0,0.0
F2021,817,198,226,0.0,,ML_ABSTAIN_RETAIN_ALL_INSUFFICIENT_FIT,226,1.0,0.0,0.0
F2022,1162,81,444,0.0,-1.0998869159727607,RETAIN_ALL_INSUFFICIENT_CALIBRATION_USD_IMPROVEMENT,444,1.0,0.0,0.0
F2023,1369,258,389,0.0,-0.6301422106555642,RETAIN_ALL_INSUFFICIENT_CALIBRATION_USD_IMPROVEMENT,389,1.0,0.0,0.0
F2024,1846,172,492,0.15,-0.11115022999345917,MAXIMUM_ELIGIBLE_CALIBRATION_NORMALIZED_USD,458,0.9301848049281314,53.25647878310292,2.349880048913491
F2025,2306,214,454,0.05,-0.12086224462187167,MAXIMUM_ELIGIBLE_CALIBRATION_NORMALIZED_USD,422,0.9290780141843972,26.386142263925194,-1.0030706190525933
