month,raw_trades,raw_net_pnl_usd,raw_win_rate_pct,raw_profit_factor,raw_closed_trade_drawdown_usd,ml_trades,ml_net_pnl_usd,ml_win_rate_pct,ml_profit_factor,ml_closed_trade_drawdown_usd,delta_trades,delta_net_pnl_usd,delta_profit_factor,delta_closed_trade_drawdown_usd
2025-07,31,-42.34506920694912,32.25806451612903,0.7669625559432185,82.34488073987593,30,-33.26957058637201,33.33333333333333,0.8072823997065843,82.34488073987593,-1,9.075498620577108,0.04031984376336584,0.0
2025-08,22,237.96232291297645,54.54545454545454,2.7219878786715253,51.54,22,237.96232291297645,54.54545454545454,2.7219878786715253,51.54,0,0.0,0.0,0.0
2025-09,63,243.992193692659,44.44444444444444,1.8836215978367759,67.76336110279993,55,199.768899168026,41.81818181818181,1.7854845270523976,78.48312650762622,-8,-44.22329452463299,-0.09813707078437828,10.71976540482629
2025-10,15,3.962466548833879,33.33333333333333,1.0414733824725342,31.075650708696138,13,35.949241842816825,38.46153846153847,1.5656342976657869,26.36697297327904,-2,31.986775293982944,0.5241609151932527,-4.708677735417098
2025-11,31,232.69661984048653,58.06451612903226,2.372394947462961,77.02201811379499,30,245.65818546206592,60.0,2.5687628544617125,65.73898131400338,-1,12.961565621579382,0.19636790699875162,-11.283036799791603
2025-12,47,156.50333402678524,44.680851063829785,1.3773364352079633,208.41435435213123,41,185.39421657441457,46.34146341463415,1.5099991169115314,191.66779906090616,-6,28.89088254762933,0.1326626817035681,-16.746555291225064
2026-01,42,695.671714280377,40.476190476190474,3.168500950735434,107.45695318100081,37,767.2826794607173,45.94594594594595,4.079024310697409,82.96803582389703,-5,71.61096518034026,0.9105233599619749,-24.488917357103787
2026-02,10,83.41100606640123,30.0,1.815589562780181,102.2708110462692,10,83.41100606640123,30.0,1.815589562780181,102.2708110462692,0,0.0,0.0,0.0
2026-03,31,541.1431579405138,41.935483870967744,2.7383033930958445,97.41064673726908,28,537.5600101189881,42.857142857142854,2.93238469884795,90.1355853887656,-3,-3.5831478215256993,0.19408130575210558,-7.2750613485034705
2026-04,18,61.09430237920253,50.0,1.484721836097896,41.141256059561364,18,61.09430237920253,50.0,1.484721836097896,41.141256059561364,0,0.0,0.0,0.0
2026-05,16,78.4123435671493,50.0,1.7636114261246174,46.52169429865323,13,46.08553815609097,46.15384615384615,1.4838561509119355,57.91616758813108,-3,-32.32680541105834,-0.27975527521268195,11.394473289477851
2026-06,30,210.2188588339967,43.333333333333336,1.6889601273603483,137.1725103930854,28,198.76124310336908,42.857142857142854,1.6796561377220012,128.1697943148259,-2,-11.457615730627623,-0.00930398963834711,-9.002716078259482
