candidate_id,instrument_id,feature_time_utc,first_event_utc,last_event_utc,known_trade_count,contract_volume,signed_volume,same_side_transitions,known_transitions,terminal_run_trades,terminal_run_volume,terminal_run_sign,price_last,current_trade_count_5s,prior_trade_count_30s,current_volume_5s,current_signed_volume_5s,current_imbalance_5s,same_side_transition_share_5s,arrival_acceleration,current_directional_impulse_ticks,instrument_age_seconds,family,direction
sequence_ignition_continuation:1656678798000:SHORT:5568,5568,2022-07-01 12:33:18+00:00,2022-07-01 12:33:17.329687047+00:00,2022-07-01 12:33:17.954946649+00:00,7,18.0,-18.0,7,7,10,27.0,-1.0,1786.5,35.0,141.0,77.0,-29.0,-0.37662337662337664,0.7142857142857143,1.4893617021276595,4.0000000000009095,797.0,sequence_ignition_continuation,SHORT
sequence_ignition_continuation:1656687605000:LONG:5568,5568,2022-07-01 15:00:05+00:00,2022-07-01 15:00:04.838405077+00:00,2022-07-01 15:00:04.839057229+00:00,9,37.0,37.0,9,9,11,39.0,1.0,1801.9,36.0,122.0,71.0,47.0,0.6619718309859155,0.7222222222222222,1.7704918032786887,4.0000000000009095,9604.0,sequence_ignition_continuation,LONG
sequence_ignition_continuation:1656690963000:LONG:5568,5568,2022-07-01 15:56:03+00:00,2022-07-01 15:56:02.792798545+00:00,2022-07-01 15:56:02.792798545+00:00,2,5.0,5.0,2,2,5,8.0,1.0,1808.7,30.0,41.0,75.0,71.0,0.9466666666666667,0.9,4.390243902439025,2.9999999999995453,12962.0,sequence_ignition_continuation,LONG
sequence_ignition_continuation:1656696564000:SHORT:5568,5568,2022-07-01 17:29:24+00:00,2022-07-01 17:29:23.516588293+00:00,2022-07-01 17:29:23.736914185+00:00,6,9.0,-9.0,6,6,7,10.0,-1.0,1801.6,48.0,193.0,153.0,-121.0,-0.7908496732026143,0.7083333333333334,1.4922279792746116,1.0000000000013642,18563.0,sequence_ignition_continuation,SHORT
sequence_ignition_continuation:1656944478000:LONG:5568,5568,2022-07-04 14:21:18+00:00,2022-07-04 14:21:17.218227103+00:00,2022-07-04 14:21:17.897973335+00:00,32,66.0,42.0,24,32,5,9.0,1.0,1810.5,38.0,33.0,91.0,67.0,0.7362637362637363,0.7894736842105263,6.909090909090909,5.9999999999990905,7277.0,sequence_ignition_continuation,LONG
sequence_ignition_continuation:1657026366000:SHORT:5568,5568,2022-07-05 13:06:06+00:00,2022-07-05 13:06:05.122140333+00:00,2022-07-05 13:06:05.727682045+00:00,9,13.0,-13.0,9,9,10,14.0,-1.0,1797.1,54.0,99.0,117.0,-43.0,-0.36752136752136755,0.7777777777777778,3.272727272727273,1.0000000000013642,2765.0,sequence_ignition_continuation,SHORT
sequence_ignition_continuation:1657029852000:LONG:5568,5568,2022-07-05 14:04:12+00:00,2022-07-05 14:04:11.191813013+00:00,2022-07-05 14:04:11.450929525+00:00,5,16.0,16.0,5,5,8,19.0,1.0,1778.1,86.0,296.0,314.0,180.0,0.5732484076433121,0.7790697674418605,1.7432432432432432,1.999999999998181,6251.0,sequence_ignition_continuation,LONG
sequence_ignition_continuation:1657032654000:SHORT:5568,5568,2022-07-05 14:50:54+00:00,2022-07-05 14:50:53.001194933+00:00,2022-07-05 14:50:53.569599207+00:00,11,17.0,-17.0,11,11,16,28.0,-1.0,1770.6,36.0,87.0,85.0,-35.0,-0.4117647058823529,0.8055555555555556,2.4827586206896552,1.0000000000013642,9053.0,sequence_ignition_continuation,SHORT
sequence_ignition_continuation:1657035673000:LONG:5568,5568,2022-07-05 15:41:13+00:00,2022-07-05 15:41:12.566313119+00:00,2022-07-05 15:41:12.572829393+00:00,8,17.0,17.0,8,8,9,18.0,1.0,1765.2,30.0,47.0,64.0,48.0,0.75,0.7333333333333333,3.8297872340425534,1.0000000000013642,12072.0,sequence_ignition_continuation,LONG
sequence_ignition_continuation:1657115437000:SHORT:5568,5568,2022-07-06 13:50:37+00:00,2022-07-06 13:50:36.002751059+00:00,2022-07-06 13:50:36.853619947+00:00,5,16.0,-16.0,4,5,5,16.0,-1.0,1758.1,40.0,117.0,129.0,-91.0,-0.7054263565891473,0.775,2.051282051282051,8.000000000001819,5436.0,sequence_ignition_continuation,SHORT
