month,trades,net_pnl_usd
2024-07,21,6.2700000000000005
2024-08,29,9.620000000000001
2024-09,19,5.66
2024-10,38,9.04
2024-11,34,21.52
2024-12,31,0.09999999999999964
2025-01,31,7.6999999999999975
2025-02,22,8.6
2025-03,22,14.1
2025-04,17,10.84
2025-05,21,15.94
2025-06,13,10.51
2025-07,52,-1.3499999999999996
2025-08,36,1.0700000000000003
2025-09,26,-7.76
2025-10,40,-2.7099999999999995
2025-11,14,-2.55
2025-12,17,-0.6299999999999998
2026-01,23,4.18
2026-02,26,-6.510000000000001
2026-03,64,9.14
2026-04,27,-1.0699999999999998
2026-05,26,10.76
2026-06,46,-2.94
2026-07,2,-0.10999999999999999
