year,baseline_trades,challenger_trades,baseline_net_pnl_usd,challenger_net_pnl_usd,delta_pnl_usd
2021,230,228,165.92842872914736,173.9173176180362,7.988888888888852
2022,110,109,57.11887127926752,63.44681215987511,6.327940880607585
2023,242,238,341.959366499673,333.7597581349613,-8.199608364711708
2024,326,321,731.5260613265943,746.6431490392482,15.11708771265387
2025,350,344,1167.0903446200266,1210.0428084798361,42.95246385980954
2026,132,129,1139.9422811173051,1134.6188588868008,-5.32342223050432
