window_months,start,end_exclusive,trades,net_r,profit_factor,expectancy_r
12,2016-07-01 00:00:00+00:00,2017-07-01 00:00:00+00:00,0,0.0,,0.0
12,2016-08-01 00:00:00+00:00,2017-08-01 00:00:00+00:00,0,0.0,,0.0
12,2016-09-01 00:00:00+00:00,2017-09-01 00:00:00+00:00,0,0.0,,0.0
12,2016-10-01 00:00:00+00:00,2017-10-01 00:00:00+00:00,0,0.0,,0.0
12,2016-11-01 00:00:00+00:00,2017-11-01 00:00:00+00:00,0,0.0,,0.0
12,2016-12-01 00:00:00+00:00,2017-12-01 00:00:00+00:00,0,0.0,,0.0
12,2017-01-01 00:00:00+00:00,2018-01-01 00:00:00+00:00,0,0.0,,0.0
12,2017-02-01 00:00:00+00:00,2018-02-01 00:00:00+00:00,0,0.0,,0.0
12,2017-03-01 00:00:00+00:00,2018-03-01 00:00:00+00:00,0,0.0,,0.0
12,2017-04-01 00:00:00+00:00,2018-04-01 00:00:00+00:00,0,0.0,,0.0
12,2017-05-01 00:00:00+00:00,2018-05-01 00:00:00+00:00,0,0.0,,0.0
12,2017-06-01 00:00:00+00:00,2018-06-01 00:00:00+00:00,0,0.0,,0.0
12,2017-07-01 00:00:00+00:00,2018-07-01 00:00:00+00:00,0,0.0,,0.0
12,2017-08-01 00:00:00+00:00,2018-08-01 00:00:00+00:00,0,0.0,,0.0
12,2017-09-01 00:00:00+00:00,2018-09-01 00:00:00+00:00,0,0.0,,0.0
12,2017-10-01 00:00:00+00:00,2018-10-01 00:00:00+00:00,0,0.0,,0.0
12,2017-11-01 00:00:00+00:00,2018-11-01 00:00:00+00:00,0,0.0,,0.0
12,2017-12-01 00:00:00+00:00,2018-12-01 00:00:00+00:00,0,0.0,,0.0
12,2018-01-01 00:00:00+00:00,2019-01-01 00:00:00+00:00,0,0.0,,0.0
12,2018-02-01 00:00:00+00:00,2019-02-01 00:00:00+00:00,0,0.0,,0.0
12,2018-03-01 00:00:00+00:00,2019-03-01 00:00:00+00:00,0,0.0,,0.0
12,2018-04-01 00:00:00+00:00,2019-04-01 00:00:00+00:00,0,0.0,,0.0
12,2018-05-01 00:00:00+00:00,2019-05-01 00:00:00+00:00,0,0.0,,0.0
12,2018-06-01 00:00:00+00:00,2019-06-01 00:00:00+00:00,0,0.0,,0.0
12,2018-07-01 00:00:00+00:00,2019-07-01 00:00:00+00:00,0,0.0,,0.0
12,2018-08-01 00:00:00+00:00,2019-08-01 00:00:00+00:00,0,0.0,,0.0
12,2018-09-01 00:00:00+00:00,2019-09-01 00:00:00+00:00,0,0.0,,0.0
12,2018-10-01 00:00:00+00:00,2019-10-01 00:00:00+00:00,0,0.0,,0.0
12,2018-11-01 00:00:00+00:00,2019-11-01 00:00:00+00:00,0,0.0,,0.0
12,2018-12-01 00:00:00+00:00,2019-12-01 00:00:00+00:00,0,0.0,,0.0
