scope,segment,start,end_exclusive,trades,net_r,profit_factor,expectancy_r,stress_net_r,stress_profit_factor
PORTFOLIO,A,2016-07-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,0,0.0,,0.0,0.0,
PORTFOLIO,B,2022-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,0,0.0,,0.0,0.0,
PORTFOLIO,C,2024-01-01 00:00:00+00:00,2025-07-01 00:00:00+00:00,0,0.0,,0.0,0.0,
PORTFOLIO,D,2025-07-01 00:00:00+00:00,2026-07-01 00:00:00+00:00,0,0.0,,0.0,0.0,
MR_TREND_PULLBACK_CONTINUATION_V1,A,2016-07-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,66,-17.71580332355772,0.6335995223240157,-0.26842126247814724,-28.348739244376265,0.49630617903732266
MR_TREND_PULLBACK_CONTINUATION_V1,B,2022-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,31,9.576934217225986,1.5863806005434402,0.30893336184599957,4.018965576098619,1.2093719315712936
MR_TREND_PULLBACK_CONTINUATION_V1,C,2024-01-01 00:00:00+00:00,2025-07-01 00:00:00+00:00,15,0.8348089625800226,1.091022370901496,0.055653930838668174,-0.8895822888780691,0.9137168074439384
MR_TREND_PULLBACK_CONTINUATION_V1,D,2025-07-01 00:00:00+00:00,2026-07-01 00:00:00+00:00,0,0.0,,0.0,0.0,
MR_COMPRESSION_BREAKOUT_V1,A,2016-07-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,44,4.236330733465622,1.1599244199094676,0.0962802439424005,-3.41943910335487,0.8905322486815294
MR_COMPRESSION_BREAKOUT_V1,B,2022-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,16,-5.324925800534004,0.53549698820347,-0.33280786253337524,-8.475564253848386,0.3901081934896491
MR_COMPRESSION_BREAKOUT_V1,C,2024-01-01 00:00:00+00:00,2025-07-01 00:00:00+00:00,2,1.000000000000135,2.000000000000181,0.5000000000000675,0.7310474990051621,1.6599755771868163
MR_COMPRESSION_BREAKOUT_V1,D,2025-07-01 00:00:00+00:00,2026-07-01 00:00:00+00:00,1,-1.0,0.0,-1.0,-1.0632875782963553,0.0
MR_FAILED_AUCTION_REVERSAL_V1,A,2016-07-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,121,3.4345528452188647,1.0425319843963203,0.028384734258007145,-17.8569009504579,0.8146261547367953
MR_FAILED_AUCTION_REVERSAL_V1,B,2022-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,56,-9.787858273957953,0.7625320381280376,-0.17478318346353489,-20.922983730258817,0.582839008181858
MR_FAILED_AUCTION_REVERSAL_V1,C,2024-01-01 00:00:00+00:00,2025-07-01 00:00:00+00:00,28,-13.691446276458507,0.4096011244171637,-0.48898022415923237,-17.890184055240184,0.32533962049455406
MR_FAILED_AUCTION_REVERSAL_V1,D,2025-07-01 00:00:00+00:00,2026-07-01 00:00:00+00:00,4,-1.4677261562229915,0.5107579479256428,-0.3669315390557479,-1.8044297475372748,0.4487448795035252
