Open_Interest_All_futures,Dealer_Positions_Long_All_futures,Dealer_Positions_Short_All_futures,Asset_Mgr_Positions_Long_All_futures,Asset_Mgr_Positions_Short_All_futures,Lev_Money_Positions_Long_All_futures,Lev_Money_Positions_Short_All_futures,report_date_utc,Open_Interest_All_combined,Dealer_Positions_Long_All_combined,Dealer_Positions_Short_All_combined,Asset_Mgr_Positions_Long_All_combined,Asset_Mgr_Positions_Short_All_combined,Lev_Money_Positions_Long_All_combined,Lev_Money_Positions_Short_All_combined,dealer_options_equivalent_net,dealer_flow_change,vote_dealer,dealer_futures_flow_change,futures_vote_dealer,asset_options_equivalent_net,asset_flow_change,vote_asset,asset_futures_flow_change,futures_vote_asset,leveraged_options_equivalent_net,leveraged_flow_change,vote_leveraged,leveraged_futures_flow_change,futures_vote_leveraged,three_valid_nonzero_votes,vote_sum,side,futures_vote_sum,futures_side,availability_utc
356178,75509,31570,123417,102426,47103,108677,2016-05-31 00:00:00+00:00,439127,72591,38315,122704,93760,44971,102934,-9663.0,-1446.0,1.0,0.04400591688625623,-1.0,7953.0,-74.0,-1.0,0.0036094120071403224,1.0,3611.0,1248.0,1.0,-0.0334449281609224,-1.0,True,1.0,LONG,-1.0,SHORT,2016-06-08 00:00:00+00:00
386010,69125,31845,124346,98288,40588,104671,2016-06-07 00:00:00+00:00,439240,74710,33401,122898,98164,39363,104024,4029.0,13692.0,-1.0,-0.026784667200282816,1.0,-1324.0,-9277.0,-1.0,0.008572007022023341,1.0,-578.0,-4189.0,-1.0,0.006860403200282389,1.0,True,-3.0,SHORT,3.0,LONG,2016-06-15 00:00:00+00:00
325402,79214,10230,125648,101938,34745,104819,2016-06-14 00:00:00+00:00,399544,81375,14993,123231,97806,33452,101906,-2602.0,-6631.0,1.0,0.11541842963378614,-1.0,1715.0,3039.0,1.0,0.0053576961779048665,1.0,1620.0,2198.0,1.0,-0.04933210748945582,-1.0,True,3.0,LONG,-1.0,SHORT,2016-06-22 00:00:00+00:00
317400,82416,10981,127836,97940,20771,99392,2016-06-21 00:00:00+00:00,389356,85098,15019,125976,94772,20039,97174,-1356.0,1246.0,-1.0,0.013066773473433296,-1.0,1308.0,-407.0,-1.0,0.02132657681834306,1.0,1486.0,-134.0,-1.0,-0.03235727228262858,-1.0,True,-3.0,SHORT,-1.0,SHORT,2016-06-29 00:00:00+00:00
337273,84085,8870,120432,101241,49126,107937,2016-06-28 00:00:00+00:00,428876,87099,13585,117469,93231,45369,106370,-1701.0,-345.0,1.0,-0.0020537583409434568,1.0,5047.0,3739.0,1.0,-0.03728980308389211,-1.0,-2190.0,-3676.0,-1.0,0.07333111741551554,1.0,True,1.0,LONG,1.0,LONG,2016-07-06 00:00:00+00:00
362649,106777,7613,118498,104234,50547,125202,2016-07-05 00:00:00+00:00,451001,110565,9928,116455,96091,45261,124739,1473.0,3174.0,-1.0,0.050434213743458134,-1.0,6100.0,1053.0,1.0,-0.0175676946915741,-1.0,-4823.0,-2633.0,-1.0,-0.03148811574540089,-1.0,True,-1.0,SHORT,-3.0,SHORT,2016-07-13 00:00:00+00:00
370372,117858,9535,120769,99024,44389,136261,2016-07-12 00:00:00+00:00,433770,124954,10254,120372,96921,38497,136964,6377.0,4904.0,-1.0,0.019027345753632796,-1.0,1706.0,-4394.0,-1.0,0.019378443289733177,1.0,-6595.0,-1772.0,-1.0,-0.04219309662497095,-1.0,True,-3.0,SHORT,-1.0,SHORT,2016-07-20 00:00:00+00:00
388905,131597,10055,118973,95861,47774,152822,2016-07-19 00:00:00+00:00,457340,139765,11012,118508,93250,40328,152246,7211.0,834.0,-1.0,0.02005281089286831,-1.0,2146.0,440.0,1.0,0.0007171534388088208,1.0,-6870.0,-275.0,-1.0,-0.022058929641831954,-1.0,True,-1.0,SHORT,-1.0,SHORT,2016-07-27 00:00:00+00:00
400035,142211,10135,121944,98258,45408,157311,2016-07-26 00:00:00+00:00,470462,150495,11248,121475,94627,36028,155356,7171.0,-40.0,1.0,0.01763748688150546,-1.0,3162.0,1016.0,1.0,-0.00021857596852029731,-1.0,-7425.0,-555.0,-1.0,-0.00962078515318171,-1.0,True,1.0,LONG,-3.0,SHORT,2016-08-03 00:00:00+00:00
378500,122628,10311,124805,95834,34783,143066,2016-08-02 00:00:00+00:00,449286,138868,10629,122938,96054,24914,143721,15922.0,8751.0,-1.0,-0.033418706675583276,1.0,-2087.0,-5249.0,-1.0,0.0173317924840097,1.0,-10524.0,-3099.0,-1.0,-0.00635152089317681,-1.0,True,-3.0,SHORT,1.0,LONG,2016-08-10 00:00:00+00:00
368693,127026,10982,121696,95146,30468,134266,2016-08-09 00:00:00+00:00,432970,141732,11120,122383,95008,19691,135620,14568.0,-1354.0,1.0,0.018001840984928574,-1.0,825.0,2912.0,1.0,-0.004530480412688179,-1.0,-12131.0,-1607.0,-1.0,0.0045549247599076526,1.0,True,1.0,LONG,-1.0,SHORT,2016-08-17 00:00:00+00:00
366037,112228,11099,126444,97456,33869,132494,2016-08-16 00:00:00+00:00,438077,129257,10422,124694,98310,22034,132588,17706.0,3138.0,-1.0,-0.03846343207030045,1.0,-2604.0,-3429.0,-1.0,0.007183048611204501,1.0,-11929.0,202.0,1.0,0.012089644846353387,1.0,True,-1.0,SHORT,3.0,LONG,2016-08-24 00:00:00+00:00
364044,101701,23423,130514,97786,37197,120293,2016-08-23 00:00:00+00:00,438678,120456,24784,128029,98050,25197,119503,17394.0,-312.0,1.0,-0.061257354439046674,1.0,-2749.0,-145.0,-1.0,0.010707040908208731,1.0,-11210.0,719.0,1.0,0.041181852002856234,1.0,True,1.0,LONG,3.0,LONG,2016-08-31 00:00:00+00:00
364843,106753,16941,129315,102383,40910,123907,2016-08-30 00:00:00+00:00,439005,120652,18878,130538,101969,31653,124395,11962.0,-5432.0,1.0,0.031142700439631493,-1.0,1637.0,4386.0,1.0,-0.016083167486739547,-1.0,-9745.0,1465.0,1.0,0.00077123102263979,1.0,True,3.0,LONG,-1.0,SHORT,2016-09-07 00:00:00+00:00
375985,117268,16233,126432,103118,32909,120521,2016-09-06 00:00:00+00:00,443910,129573,16486,126367,104231,25452,121145,12052.0,90.0,-1.0,0.022554667486296226,-1.0,-1178.0,-2815.0,-1.0,-0.011810260380743356,-1.0,-8081.0,1664.0,1.0,-0.005533042684014139,-1.0,True,-1.0,SHORT,-3.0,SHORT,2016-09-14 00:00:00+00:00
379624,112651,24635,126684,95907,29045,111600,2016-09-13 00:00:00+00:00,428594,119527,23204,126540,95445,23866,112164,8307.0,-3745.0,1.0,-0.036870364065764855,1.0,318.0,1496.0,1.0,0.019064531330389073,1.0,-5743.0,2338.0,1.0,0.015554758236937416,1.0,True,3.0,LONG,3.0,LONG,2016-09-21 00:00:00+00:00
324525,87218,7754,125439,102623,29136,111313,2016-09-20 00:00:00+00:00,375526,93496,7551,125827,101635,21781,110100,6481.0,-1826.0,1.0,0.01301202877053037,-1.0,1376.0,1058.0,1.0,-0.010766492594435281,-1.0,-6142.0,-399.0,-1.0,-0.03575722590316066,-1.0,True,1.0,LONG,-3.0,SHORT,2016-09-28 00:00:00+00:00
328490,75038,9853,135038,101191,27769,107429,2016-09-27 00:00:00+00:00,382409,82271,11098,135287,100978,21452,107399,5988.0,-493.0,1.0,-0.04642418270917614,1.0,462.0,-914.0,-1.0,0.032732312635714564,1.0,-6287.0,-145.0,-1.0,0.010718824998689258,1.0,True,-1.0,SHORT,3.0,LONG,2016-10-05 00:00:00+00:00
347643,80065,8464,142251,101903,31968,120181,2016-10-04 00:00:00+00:00,408599,85860,8462,142915,101177,23507,118928,5797.0,-191.0,1.0,0.007522979248592854,-1.0,1390.0,928.0,1.0,0.013023447684701747,1.0,-7208.0,-921.0,-1.0,-0.011242363546017098,-1.0,True,1.0,LONG,-1.0,SHORT,2016-10-12 00:00:00+00:00
378774,102809,12013,145892,104200,33435,142631,2016-10-11 00:00:00+00:00,438754,103758,11680,146217,102752,28387,141056,1282.0,-4515.0,1.0,0.03374893510966598,-1.0,1773.0,383.0,1.0,-0.005990678922194875,-1.0,-3473.0,3735.0,1.0,-0.03454206235298429,-1.0,True,3.0,LONG,-3.0,SHORT,2016-10-19 00:00:00+00:00
413183,128464,11039,151478,108129,36224,175376,2016-10-18 00:00:00+00:00,478817,126691,10912,151710,105983,31532,171081,-1646.0,-2928.0,1.0,0.044485883827245415,-1.0,2378.0,605.0,1.0,-0.0051561415773564295,-1.0,-397.0,3076.0,1.0,-0.04849255199067415,-1.0,True,3.0,LONG,-3.0,SHORT,2016-10-26 00:00:00+00:00
448471,156875,11802,137043,109097,52746,205053,2016-10-25 00:00:00+00:00,525971,154449,13227,137875,106498,49077,200751,-3851.0,-2205.0,1.0,0.039287462919330884,-1.0,3431.0,1053.0,1.0,-0.04260082024010598,-1.0,633.0,1030.0,1.0,-0.0028333778103622476,-1.0,True,3.0,LONG,-3.0,SHORT,2016-11-02 00:00:00+00:00
444502,164037,12348,137071,104004,43948,201538,2016-11-01 00:00:00+00:00,516082,168266,11871,138481,103181,36719,199716,4706.0,8557.0,-1.0,0.017772487611428023,-1.0,2233.0,-1198.0,-1.0,0.01207716516964278,1.0,-5407.0,-6040.0,-1.0,-0.014917655485871761,-1.0,True,-3.0,SHORT,-1.0,SHORT,2016-11-09 00:00:00+00:00
418007,139346,26262,139826,98355,39714,174612,2016-11-08 00:00:00+00:00,477706,145672,25328,140414,98469,37446,178874,7260.0,2554.0,-1.0,-0.07072470260249586,1.0,474.0,-1759.0,-1.0,0.024820140877317154,1.0,-6530.0,-1123.0,-1.0,0.03181450447413192,1.0,True,-3.0,SHORT,3.0,LONG,2016-11-16 00:00:00+00:00
415752,126540,25809,140126,96267,39876,169235,2016-11-15 00:00:00+00:00,491821,129447,26462,140331,95488,35457,167601,2254.0,-5006.0,1.0,-0.02824508792517086,1.0,984.0,510.0,1.0,0.006281921397969403,1.0,-2785.0,3745.0,1.0,0.01157245900510373,1.0,True,3.0,LONG,3.0,LONG,2016-11-23 00:00:00+00:00
434768,132793,18892,138873,97372,45054,180975,2016-11-22 00:00:00+00:00,523899,134364,19435,139069,95718,40735,179132,1028.0,-1226.0,1.0,0.019694835752138512,-1.0,1850.0,866.0,1.0,-0.010037671320673722,-1.0,-2476.0,309.0,1.0,-0.0014841796477276792,-1.0,True,3.0,LONG,-3.0,SHORT,2016-11-30 00:00:00+00:00
447190,142169,20780,142027,98728,43426,199792,2016-11-29 00:00:00+00:00,543596,146274,20096,142048,97846,37472,197032,4789.0,3761.0,-1.0,0.009467275082038928,-1.0,903.0,-947.0,-1.0,0.0013691086300157002,1.0,-3194.0,-718.0,-1.0,-0.0370346496850103,-1.0,True,-3.0,SHORT,-1.0,SHORT,2016-12-07 00:00:00+00:00
433237,129170,26747,137597,102590,44906,171370,2016-12-06 00:00:00+00:00,533439,132498,24666,138272,101610,37378,169036,5409.0,620.0,-1.0,-0.035035051915441706,1.0,1655.0,752.0,1.0,-0.01602126811389168,-1.0,-5194.0,-2000.0,-1.0,0.05775856130976559,1.0,True,-1.0,SHORT,1.0,LONG,2016-12-14 00:00:00+00:00
447679,105422,26405,139102,93977,37839,155164,2016-12-13 00:00:00+00:00,516828,107482,27293,139247,93823,39545,155171,1172.0,-4237.0,1.0,-0.05990962553574414,1.0,299.0,-1356.0,-1.0,0.0199943219377426,1.0,1699.0,6893.0,1.0,0.029830951329898714,1.0,True,1.0,LONG,3.0,LONG,2016-12-21 00:00:00+00:00
399589,114471,47935,140309,96342,37089,142018,2016-12-20 00:00:00+00:00,483844,118022,55217,140405,95214,38936,140340,-3731.0,-4903.0,1.0,-0.009992610050775175,1.0,1224.0,925.0,1.0,0.009232886637785528,1.0,3525.0,1826.0,1.0,-0.0005183722290548753,-1.0,True,3.0,LONG,1.0,LONG,2016-12-28 00:00:00+00:00
405681,119877,47960,138677,99968,40745,145933,2016-12-27 00:00:00+00:00,486557,123159,53944,138810,99268,42121,144509,-2702.0,1029.0,-1.0,0.010763665142897755,-1.0,833.0,-391.0,-1.0,-0.014613221101231463,-1.0,2800.0,-725.0,-1.0,0.0033048438908027666,1.0,True,-3.0,SHORT,-1.0,SHORT,2017-01-04 00:00:00+00:00
416239,124828,52870,142247,100769,39085,156312,2017-01-03 00:00:00+00:00,499530,127709,61300,142293,99638,40791,152928,-5549.0,-2847.0,1.0,-0.004398114704126543,1.0,1177.0,344.0,1.0,0.004232144931038337,1.0,5090.0,2290.0,1.0,-0.02234639929172133,-1.0,True,3.0,LONG,1.0,LONG,2017-01-11 00:00:00+00:00
415212,118588,57708,146116,95670,40658,156379,2017-01-10 00:00:00+00:00,484870,121164,65780,146285,95912,41180,150808,-5496.0,53.0,-1.0,-0.026252747247479225,1.0,-73.0,-1250.0,-1.0,0.02184508158770128,1.0,6093.0,1003.0,1.0,0.0029304596604476374,1.0,True,-1.0,SHORT,3.0,LONG,2017-01-18 00:00:00+00:00
415090,108841,68017,150057,89517,40110,151134,2017-01-17 00:00:00+00:00,486801,111694,73796,150033,90251,39921,145758,-2926.0,2570.0,-1.0,-0.04827413786169976,1.0,-758.0,-685.0,-1.0,0.024353326595536712,1.0,5187.0,-906.0,-1.0,0.011233703977595655,1.0,True,-3.0,SHORT,3.0,LONG,2017-01-25 00:00:00+00:00
414447,107357,85277,148902,86868,39640,138292,2017-01-24 00:00:00+00:00,487387,108200,91160,148741,87443,39311,130777,-5040.0,-2114.0,1.0,-0.045073944574890785,1.0,-736.0,22.0,1.0,0.0038310813982185,1.0,7186.0,1999.0,1.0,0.0294368567740875,1.0,True,3.0,LONG,3.0,LONG,2017-02-01 00:00:00+00:00
405541,106345,88659,139095,84312,45287,129247,2017-01-31 00:00:00+00:00,485900,107740,94152,138631,85082,44474,121033,-4098.0,942.0,-1.0,-0.009664930618916837,1.0,-1234.0,-498.0,-1.0,-0.014592751645062518,-1.0,7401.0,215.0,1.0,0.031000760590047444,1.0,True,-1.0,SHORT,1.0,LONG,2017-02-08 00:00:00+00:00
409178,109215,91881,139023,88234,42430,129012,2017-02-07 00:00:00+00:00,482552,108788,100004,140003,88431,43974,122385,-8550.0,-4452.0,1.0,-0.0012478988889472672,1.0,783.0,2017.0,1.0,-0.010961753993270568,-1.0,8171.0,770.0,1.0,-0.004567753632747806,-1.0,True,3.0,LONG,-1.0,SHORT,2017-02-15 00:00:00+00:00
406350,110772,72320,130400,91890,42453,132489,2017-02-14 00:00:00+00:00,486545,110478,82607,131046,91105,43744,124700,-10581.0,-2031.0,1.0,0.05226480253814807,-1.0,1431.0,648.0,1.0,-0.02935394614329591,-1.0,9080.0,909.0,1.0,-0.009972694357426204,-1.0,True,3.0,LONG,-3.0,SHORT,2017-02-22 00:00:00+00:00
417129,114768,69501,137567,97401,41682,145281,2017-02-21 00:00:00+00:00,502900,115233,81403,138127,96320,43114,135850,-11437.0,-856.0,1.0,0.013892601849829073,-1.0,1641.0,210.0,1.0,0.0015210368643613081,1.0,10863.0,1783.0,1.0,-0.026789481514235408,-1.0,True,3.0,LONG,-1.0,SHORT,2017-03-01 00:00:00+00:00
431635,109846,80747,147523,104152,47426,139282,2017-02-28 00:00:00+00:00,515811,108659,88638,148046,103265,46462,129444,-9078.0,2359.0,-1.0,-0.041104629411710794,1.0,1410.0,-231.0,-1.0,0.004189175355927124,1.0,8874.0,-1989.0,-1.0,0.03555258360868091,1.0,True,-3.0,SHORT,3.0,LONG,2017-03-08 00:00:00+00:00
435309,111030,76373,150494,103396,40433,141023,2017-03-07 00:00:00+00:00,491765,111911,76181,150852,103157,40263,140997,1073.0,10151.0,-1.0,0.012198954101806145,-1.0,597.0,-813.0,-1.0,0.0077136787823682,1.0,-144.0,-9018.0,-1.0,-0.018267800895142405,-1.0,True,-3.0,SHORT,-1.0,SHORT,2017-03-15 00:00:00+00:00
381474,78807,33773,155075,105378,43640,131374,2017-03-14 00:00:00+00:00,439166,81452,37611,155523,105323,43178,129651,-1193.0,-2266.0,1.0,0.038437895998558944,-1.0,503.0,-94.0,-1.0,0.022081835223568574,1.0,1261.0,1405.0,1.0,0.0010903942732176652,1.0,True,1.0,LONG,1.0,LONG,2017-03-22 00:00:00+00:00
406717,79230,65802,163780,96567,52933,121836,2017-03-21 00:00:00+00:00,477634,84052,70344,163840,97019,51196,120287,280.0,1473.0,-1.0,-0.08503702069273399,1.0,-392.0,-895.0,-1.0,0.034981170608390344,1.0,-188.0,-1449.0,-1.0,0.06057420224679941,1.0,True,-3.0,SHORT,3.0,LONG,2017-03-29 00:00:00+00:00
408853,80570,82293,161733,90622,55749,115668,2017-03-28 00:00:00+00:00,478273,84240,85577,160956,90767,53309,113252,386.0,106.0,-1.0,-0.037229814361683135,1.0,-922.0,-530.0,-1.0,0.008670622844535875,1.0,-24.0,164.0,1.0,0.022858742372805413,1.0,True,-1.0,SHORT,3.0,LONG,2017-04-05 00:00:00+00:00
397594,77711,71467,161999,96683,50153,117506,2017-04-04 00:00:00+00:00,466776,79616,75757,163706,96678,50495,117931,-2385.0,-2771.0,1.0,0.019918690926805243,-1.0,1712.0,2634.0,1.0,-0.009649904735669984,-1.0,-83.0,-59.0,-1.0,-0.022847553821051164,-1.0,True,1.0,LONG,-3.0,SHORT,2017-04-12 00:00:00+00:00
420332,98304,61409,164640,107426,48657,136804,2017-04-11 00:00:00+00:00,485655,96825,64909,164696,107071,50649,134122,-4979.0,-2594.0,1.0,0.07207139103206697,-1.0,411.0,-1301.0,-1.0,-0.028161920071437835,-1.0,4674.0,4757.0,1.0,-0.04030659059092606,-1.0,True,1.0,LONG,-3.0,SHORT,2017-04-19 00:00:00+00:00
430589,105312,54960,164566,108268,54348,150668,2017-04-18 00:00:00+00:00,502126,107937,57130,164924,108099,52764,150500,455.0,5434.0,-1.0,0.029161643869101736,-1.0,527.0,116.0,1.0,-0.005369723786949138,-1.0,-1416.0,-6090.0,-1.0,-0.013985551490005882,-1.0,True,-1.0,SHORT,-3.0,SHORT,2017-04-26 00:00:00+00:00
411006,80319,63755,166561,94959,50343,131648,2017-04-25 00:00:00+00:00,500326,92655,65685,167363,95352,44163,135837,10406.0,9951.0,-1.0,-0.07663638241657539,1.0,409.0,-118.0,-1.0,0.043465079576135296,1.0,-10369.0,-8953.0,-1.0,0.025874095248636375,1.0,True,-3.0,SHORT,3.0,LONG,2017-05-03 00:00:00+00:00
409936,77923,89923,166180,85449,52095,105099,2017-05-02 00:00:00+00:00,497790,86838,91032,166929,85577,47001,108417,7806.0,-2600.0,1.0,-0.06957397693087856,1.0,621.0,212.0,1.0,0.022724050531048007,1.0,-8412.0,1957.0,1.0,0.06852126463323294,1.0,True,3.0,LONG,3.0,LONG,2017-05-10 00:00:00+00:00
418301,79867,110091,166959,78360,49908,100749,2017-05-09 00:00:00+00:00,486753,84625,113353,165834,78123,44483,95684,1496.0,-6310.0,1.0,-0.04298132805919453,1.0,-888.0,-1509.0,-1.0,0.01487118975387658,1.0,-360.0,8052.0,1.0,0.007756566945820151,1.0,True,1.0,LONG,3.0,LONG,2017-05-17 00:00:00+00:00
431659,76757,131617,171645,74388,55162,88600,2017-05-16 00:00:00+00:00,516782,86849,133879,169450,75039,50363,87386,7830.0,6334.0,-1.0,-0.05483687014004718,1.0,-2846.0,-1958.0,-1.0,0.013502984174418975,1.0,-3585.0,-3225.0,-1.0,0.044077740903614784,1.0,True,-3.0,SHORT,3.0,LONG,2017-05-24 00:00:00+00:00
