Open_Interest_All_futures,Dealer_Positions_Long_All_futures,Dealer_Positions_Short_All_futures,Asset_Mgr_Positions_Long_All_futures,Asset_Mgr_Positions_Short_All_futures,Lev_Money_Positions_Long_All_futures,Lev_Money_Positions_Short_All_futures,report_date_utc,Open_Interest_All_combined,Dealer_Positions_Long_All_combined,Dealer_Positions_Short_All_combined,Asset_Mgr_Positions_Long_All_combined,Asset_Mgr_Positions_Short_All_combined,Lev_Money_Positions_Long_All_combined,Lev_Money_Positions_Short_All_combined,dealer_options_equivalent_net,dealer_flow_change,vote_dealer,dealer_futures_flow_change,futures_vote_dealer,asset_options_equivalent_net,asset_flow_change,vote_asset,asset_futures_flow_change,futures_vote_asset,leveraged_options_equivalent_net,leveraged_flow_change,vote_leveraged,leveraged_futures_flow_change,futures_vote_leveraged,three_valid_nonzero_votes,vote_sum,side,futures_vote_sum,futures_side,availability_utc
407105,145548,11758,94309,112776,38376,161853,2016-01-05 00:00:00+00:00,477926,142029,13496,93556,107938,38033,157097,-5257.0,,,,,4085.0,,,,,4413.0,,,,,False,,CASH,,CASH,2016-01-13 00:00:00+00:00
398570,139817,16492,94427,115386,36831,146209,2016-01-12 00:00:00+00:00,452544,136687,17763,94533,112929,35830,143735,-4401.0,856.0,-1.0,-0.01921890332125825,1.0,2563.0,-1522.0,-1.0,-0.007223731430300681,-1.0,1473.0,-2940.0,-1.0,0.02887897094149633,1.0,True,-3.0,SHORT,1.0,LONG,2016-01-20 00:00:00+00:00
400362,130616,29924,96844,113090,42777,138771,2016-01-19 00:00:00+00:00,455070,132364,33598,96465,111798,41763,136353,-1926.0,2475.0,-1.0,-0.0579162814147664,1.0,913.0,-1650.0,-1.0,0.012007216478345198,1.0,1404.0,-69.0,-1.0,0.034658063260737615,1.0,True,-3.0,SHORT,3.0,LONG,2016-01-27 00:00:00+00:00
402227,133705,34719,95810,115590,41806,130781,2016-01-26 00:00:00+00:00,459832,134564,37199,95323,112460,39431,129460,-1621.0,305.0,-1.0,-0.005407523507815343,1.0,2643.0,1730.0,1.0,-0.008597934783169212,-1.0,-1054.0,-2458.0,-1.0,0.01856207399940482,1.0,True,-1.0,SHORT,1.0,LONG,2016-02-03 00:00:00+00:00
403939,124323,62749,98552,108399,44996,119549,2016-02-02 00:00:00+00:00,465299,128552,64791,98946,108752,43462,118484,2187.0,3808.0,-1.0,-0.09366095972909555,1.0,41.0,-2602.0,-1.0,0.024798768314003003,1.0,-469.0,585.0,1.0,0.03664093975166824,1.0,True,-1.0,SHORT,3.0,LONG,2016-02-10 00:00:00+00:00
441228,125835,110810,103235,94764,56296,118095,2016-02-09 00:00:00+00:00,512710,129252,114740,100711,98648,55097,107526,-513.0,-2700.0,1.0,-0.11838121778727942,1.0,-6408.0,-6449.0,-1.0,0.0435761340550224,1.0,9370.0,9839.0,1.0,0.044503622035090395,1.0,True,1.0,LONG,3.0,LONG,2016-02-17 00:00:00+00:00
429997,118338,122124,100634,93660,57265,98372,2016-02-16 00:00:00+00:00,501611,119772,125224,98518,96528,56773,90074,-1666.0,-1153.0,1.0,-0.04285740190357304,1.0,-4984.0,1424.0,1.0,-0.0029799731212252073,-1.0,7806.0,-1564.0,-1.0,0.04446303278105379,1.0,True,1.0,LONG,1.0,LONG,2016-02-24 00:00:00+00:00
422624,123404,124087,112727,93719,55047,90947,2016-02-23 00:00:00+00:00,497724,122674,126817,111053,96084,55686,83871,-3460.0,-1794.0,1.0,0.007188618852848925,-1.0,-4039.0,945.0,1.0,0.028757431206879694,1.0,7715.0,-91.0,-1.0,0.01065285792803393,1.0,True,1.0,LONG,1.0,LONG,2016-03-02 00:00:00+00:00
417624,127024,89796,109538,101128,55422,107037,2016-03-01 00:00:00+00:00,503904,125039,93458,109687,101088,55892,101572,-5647.0,-2187.0,1.0,0.090758480191055,-1.0,189.0,4228.0,1.0,-0.02483841746389231,-1.0,5935.0,-1780.0,-1.0,-0.0386465514847775,-1.0,True,1.0,LONG,-3.0,SHORT,2016-03-09 00:00:00+00:00
433221,126759,81881,109249,104822,51645,113572,2016-03-08 00:00:00+00:00,488698,128300,82769,109194,105137,51828,110349,653.0,6300.0,-1.0,0.014449083028048829,-1.0,-370.0,-559.0,-1.0,-0.00991892867371176,-1.0,3406.0,-2529.0,-1.0,-0.019353482474378417,-1.0,True,-3.0,SHORT,-3.0,SHORT,2016-03-16 00:00:00+00:00
322405,83931,9761,107584,100699,31348,106061,2016-03-15 00:00:00+00:00,377131,82617,10374,106785,99887,30648,100724,-1927.0,-2580.0,1.0,0.1264607939765179,-1.0,13.0,383.0,1.0,0.011136324992840084,1.0,4637.0,1231.0,1.0,-0.0887909630987406,-1.0,True,3.0,LONG,-1.0,SHORT,2016-03-23 00:00:00+00:00
324310,78993,17380,106833,97975,34559,103365,2016-03-22 00:00:00+00:00,383958,79120,19884,104829,97886,32372,94855,-2377.0,-450.0,1.0,-0.04007045592762001,1.0,-1915.0,-1928.0,-1.0,0.005958245140184174,1.0,6323.0,1686.0,1.0,0.0195752767271391,1.0,True,1.0,LONG,3.0,LONG,2016-03-30 00:00:00+00:00
330090,78533,23474,106539,98704,40268,103385,2016-03-29 00:00:00+00:00,393068,80666,24658,104777,100290,39116,96607,949.0,3326.0,-1.0,-0.023181843883554293,1.0,-3348.0,-1433.0,-1.0,-0.0035774222060112083,-1.0,5626.0,-697.0,-1.0,0.020949716010439517,1.0,True,-3.0,SHORT,1.0,LONG,2016-04-06 00:00:00+00:00
338533,76957,34577,107578,96338,44989,99328,2016-04-05 00:00:00+00:00,413599,78530,35360,103569,97141,40741,87014,790.0,-159.0,1.0,-0.041612758853835585,1.0,-4812.0,-1464.0,-1.0,0.009466129941201166,1.0,8066.0,2440.0,1.0,0.03069833248543946,1.0,True,1.0,LONG,3.0,LONG,2016-04-13 00:00:00+00:00
333535,75309,37611,101793,97961,42407,89897,2016-04-12 00:00:00+00:00,388001,77166,42059,101624,97740,42530,85117,-2591.0,-3381.0,1.0,-0.012161585292240318,1.0,52.0,4864.0,1.0,-0.021713031617218576,-1.0,4903.0,-3163.0,-1.0,0.01812929752457007,1.0,True,1.0,LONG,1.0,LONG,2016-04-20 00:00:00+00:00
345563,75217,43377,109863,97686,48596,99473,2016-04-19 00:00:00+00:00,401441,76837,47193,109435,97658,48036,94137,-2196.0,395.0,-1.0,-0.020886125399271427,1.0,-400.0,-452.0,-1.0,0.023749098477328714,1.0,4776.0,-127.0,-1.0,-0.004845446297172817,-1.0,True,-3.0,SHORT,1.0,LONG,2016-04-27 00:00:00+00:00
340200,65407,48424,118082,97835,47618,90830,2016-04-26 00:00:00+00:00,402253,66080,53636,118013,97043,47488,84528,-4539.0,-2343.0,1.0,-0.042218859180296026,1.0,723.0,1123.0,1.0,0.024276843579049932,1.0,6172.0,1396.0,1.0,0.020209903710490668,1.0,True,3.0,LONG,3.0,LONG,2016-05-04 00:00:00+00:00
360461,64509,69774,127077,93316,51355,89978,2016-05-03 00:00:00+00:00,439978,66803,72269,123748,93405,47708,78464,-201.0,4338.0,-1.0,-0.06452693074736791,1.0,-3418.0,-4141.0,-1.0,0.034145626749269485,1.0,7867.0,1695.0,1.0,0.019870499362057856,1.0,True,-1.0,SHORT,3.0,LONG,2016-05-11 00:00:00+00:00
344978,62811,67691,126547,95659,43026,74363,2016-05-10 00:00:00+00:00,406949,63540,71500,126748,93269,42851,70579,-3080.0,-2879.0,1.0,0.0004604662375997694,-1.0,2591.0,6009.0,1.0,-0.004124473597085759,-1.0,3609.0,-4258.0,-1.0,0.016311224385211126,1.0,True,1.0,LONG,-1.0,SHORT,2016-05-18 00:00:00+00:00
349559,62501,65525,122994,97766,48634,71176,2016-05-17 00:00:00+00:00,415886,63261,69473,123243,93948,47030,67592,-3188.0,-108.0,1.0,0.005494929454964168,-1.0,4067.0,1476.0,1.0,-0.01736520895526457,-1.0,1980.0,-1629.0,-1.0,0.02635070874024023,1.0,True,1.0,LONG,-1.0,SHORT,2016-05-25 00:00:00+00:00
350242,68359,40565,121647,102270,44138,92972,2016-05-24 00:00:00+00:00,430837,67965,48388,121400,93996,42428,88899,-8217.0,-5029.0,1.0,0.08800745931325095,-1.0,8027.0,3960.0,1.0,-0.016846331247718914,-1.0,2363.0,383.0,1.0,-0.07494234101263712,-1.0,True,3.0,LONG,-3.0,SHORT,2016-06-01 00:00:00+00:00
