signal_time_utc,completion_time_utc,matched_state_time_utc,trade_candidate,report_date_utc,availability_utc,side,futures_side,vote_dealer,dealer_flow_change,dealer_options_equivalent_net,vote_asset,asset_flow_change,asset_options_equivalent_net,vote_leveraged,leveraged_flow_change,leveraged_options_equivalent_net,vote_sum,candidate_id,year
2019-01-02 23:55:00+00:00,2019-01-03 00:00:00+00:00,2019-01-02 20:00:00+00:00,False,,,CASH,CASH,,,,,,,,,,,20190103T000000Z_CASH,2019
2019-01-03 23:55:00+00:00,2019-01-04 00:00:00+00:00,2019-01-03 20:00:00+00:00,False,,,CASH,CASH,,,,,,,,,,,20190104T000000Z_CASH,2019
2019-01-06 23:55:00+00:00,2019-01-07 00:00:00+00:00,2019-01-04 20:00:00+00:00,False,,,CASH,CASH,,,,,,,,,,,20190107T000000Z_CASH,2019
2019-01-07 23:55:00+00:00,2019-01-08 00:00:00+00:00,2019-01-07 20:00:00+00:00,False,,,CASH,CASH,,,,,,,,,,,20190108T000000Z_CASH,2019
2019-01-08 23:55:00+00:00,2019-01-09 00:00:00+00:00,2019-01-08 20:00:00+00:00,False,,,CASH,CASH,,,,,,,,,,,20190109T000000Z_CASH,2019
2019-01-09 23:55:00+00:00,2019-01-10 00:00:00+00:00,2019-01-09 20:00:00+00:00,False,,,CASH,CASH,,,,,,,,,,,20190110T000000Z_CASH,2019
2019-01-10 23:55:00+00:00,2019-01-11 00:00:00+00:00,2019-01-10 20:00:00+00:00,False,,,CASH,CASH,,,,,,,,,,,20190111T000000Z_CASH,2019
2019-01-13 23:55:00+00:00,2019-01-14 00:00:00+00:00,2019-01-11 20:00:00+00:00,False,,,CASH,CASH,,,,,,,,,,,20190114T000000Z_CASH,2019
2019-01-14 23:55:00+00:00,2019-01-15 00:00:00+00:00,2019-01-14 20:00:00+00:00,False,,,CASH,CASH,,,,,,,,,,,20190115T000000Z_CASH,2019
2019-01-15 23:55:00+00:00,2019-01-16 00:00:00+00:00,2019-01-15 20:00:00+00:00,False,,,CASH,CASH,,,,,,,,,,,20190116T000000Z_CASH,2019
2019-01-16 23:55:00+00:00,2019-01-17 00:00:00+00:00,2019-01-16 20:00:00+00:00,False,,,CASH,CASH,,,,,,,,,,,20190117T000000Z_CASH,2019
2019-01-17 23:55:00+00:00,2019-01-18 00:00:00+00:00,2019-01-17 20:00:00+00:00,False,,,CASH,CASH,,,,,,,,,,,20190118T000000Z_CASH,2019
2019-01-20 23:55:00+00:00,2019-01-21 00:00:00+00:00,2019-01-18 20:00:00+00:00,False,,,CASH,CASH,,,,,,,,,,,20190121T000000Z_CASH,2019
2019-01-24 23:55:00+00:00,2019-01-25 00:00:00+00:00,2019-01-24 20:00:00+00:00,False,,,CASH,CASH,,,,,,,,,,,20190125T000000Z_CASH,2019
2019-01-27 23:55:00+00:00,2019-01-28 00:00:00+00:00,2019-01-25 20:00:00+00:00,False,,,CASH,CASH,,,,,,,,,,,20190128T000000Z_CASH,2019
2019-01-28 23:55:00+00:00,2019-01-29 00:00:00+00:00,2019-01-28 20:00:00+00:00,False,,,CASH,CASH,,,,,,,,,,,20190129T000000Z_CASH,2019
2019-01-29 23:55:00+00:00,2019-01-30 00:00:00+00:00,2019-01-29 20:00:00+00:00,False,,,CASH,CASH,,,,,,,,,,,20190130T000000Z_CASH,2019
2019-02-06 23:55:00+00:00,2019-02-07 00:00:00+00:00,2019-02-06 20:00:00+00:00,False,,,CASH,CASH,,,,,,,,,,,20190207T000000Z_CASH,2019
2019-02-07 23:55:00+00:00,2019-02-08 00:00:00+00:00,2019-02-07 20:00:00+00:00,False,,,CASH,CASH,,,,,,,,,,,20190208T000000Z_CASH,2019
2019-02-10 23:55:00+00:00,2019-02-11 00:00:00+00:00,2019-02-08 20:00:00+00:00,False,,,CASH,CASH,,,,,,,,,,,20190211T000000Z_CASH,2019
2019-02-11 23:55:00+00:00,2019-02-12 00:00:00+00:00,2019-02-11 20:00:00+00:00,False,,,CASH,CASH,,,,,,,,,,,20190212T000000Z_CASH,2019
2019-02-12 23:55:00+00:00,2019-02-13 00:00:00+00:00,2019-02-12 20:00:00+00:00,False,,,CASH,CASH,,,,,,,,,,,20190213T000000Z_CASH,2019
