sample_kind,time,time_msc,bid,ask,last,volume,volume_real,flags
EARLIEST_ACCESSIBLE,1741697666,1741697666774,147.658,147.688,0.0,0,0.0,134
FIRST_AT_OR_AFTER_REQUIRED_START,1747293128,1747293128085,145.73,145.74,0.0,0,0.0,134
FINAL_REQUIRED_DAY_FIRST,1782777600,1782777600689,161.919,161.931,0.0,0,0.0,134
FINAL_REQUIRED_DAY_LAST,1782863998,1782863998316,162.629,162.641,0.0,0,0.0,134
