sample_kind,time,time_msc,bid,ask,last,volume,volume_real,flags
EARLIEST_ACCESSIBLE,1741697665,1741697665900,1.08971,1.09001,0.0,0,0.0,134
FIRST_AT_OR_AFTER_REQUIRED_START,1747293128,1747293128214,1.12157,1.12163,0.0,0,0.0,134
FINAL_REQUIRED_DAY_FIRST,1782777600,1782777600807,1.14187,1.14194,0.0,0,0.0,134
FINAL_REQUIRED_DAY_LAST,1782863998,1782863998111,1.14128,1.14135,0.0,0,0.0,134
