target_year,training_rows,training_last_original_exit_time,training_target_mean_r,training_target_q25_r,target_rows,target_spearman,target_pinball_loss,target_score_mean_r,target_score_max_r,first_action_trades,first_action_positive_benefit_share,first_action_net_benefit_usd,first_action_worst_benefit_usd
2022,230109,2021-12-29 15:00:00+00:00,0.02318786729143722,-0.5947559593462438,200,0.11806045414914804,0.5374848496824554,-0.6323192136213974,0.5241227293733063,14,0.7857142857142857,3.9865833333341723,-15.59284722222215
2023,272299,2022-12-29 20:00:00+00:00,0.019280013172006158,-0.6244893203248942,123,-0.16253603420927315,0.6310010449803084,-0.6723629606243473,0.49687165703518305,13,0.7692307692307693,-12.600685763888677,-25.756388888888907
2024,314249,2023-12-29 20:55:00+00:00,0.013133914356078283,-0.6336907805378846,153,-0.04785698190747754,0.7204082552851714,-0.682131562017984,0.4475099317929477,13,0.6153846153846154,-57.332850694444154,-30.157986111111207
2025,356284,2024-12-29 22:25:00+00:00,0.006870887263523825,-0.6502330654885439,164,0.008784996131241441,0.8551928093809856,-0.738546775795576,0.5219102810210282,12,0.6666666666666666,-136.8797039930573,-75.33555555555547
2026,399359,2025-12-29 13:40:00+00:00,-0.0007875779966162201,-0.6776446107916716,47,0.3627164719185033,1.0182848706758816,-0.6999811106358861,0.3842526249019376,2,0.5,-42.53937326388771,-60.52163194444394
