policy_id,horizon_ms,minimum_absolute_xag_move_bps,minimum_directional_innovation_bps,maximum_signed_xau_response_ratio,minimum_xag_quote_count,eligible_full_weekdays,candidates,candidates_per_full_weekday,active_days,active_day_share,long_candidates,short_candidates,minority_direction_share,selection_eligible
H01000__XM010__IN005__RR000__QC02,1000,1.0,0.5,0.0,2,21,21,1.0,21,1.0,11,10,0.47619047619047616,True
H01000__XM010__IN005__RR000__QC05,1000,1.0,0.5,0.0,5,21,15,0.7142857142857143,15,0.7142857142857143,6,9,0.4,True
H01000__XM010__IN005__RR025__QC02,1000,1.0,0.5,0.25,2,21,21,1.0,21,1.0,8,13,0.38095238095238093,True
H01000__XM010__IN005__RR025__QC05,1000,1.0,0.5,0.25,5,21,21,1.0,21,1.0,12,9,0.42857142857142855,True
H01000__XM010__IN005__RR050__QC02,1000,1.0,0.5,0.5,2,21,21,1.0,21,1.0,7,14,0.3333333333333333,True
H01000__XM010__IN005__RR050__QC05,1000,1.0,0.5,0.5,5,21,21,1.0,21,1.0,12,9,0.42857142857142855,True
H01000__XM010__IN005__RR075__QC02,1000,1.0,0.5,0.75,2,21,21,1.0,21,1.0,8,13,0.38095238095238093,True
H01000__XM010__IN005__RR075__QC05,1000,1.0,0.5,0.75,5,21,21,1.0,21,1.0,13,8,0.38095238095238093,True
H01000__XM010__IN010__RR000__QC02,1000,1.0,1.0,0.0,2,21,21,1.0,21,1.0,11,10,0.47619047619047616,True
H01000__XM010__IN010__RR000__QC05,1000,1.0,1.0,0.0,5,21,15,0.7142857142857143,15,0.7142857142857143,6,9,0.4,True
H01000__XM010__IN010__RR025__QC02,1000,1.0,1.0,0.25,2,21,21,1.0,21,1.0,8,13,0.38095238095238093,True
H01000__XM010__IN010__RR025__QC05,1000,1.0,1.0,0.25,5,21,21,1.0,21,1.0,12,9,0.42857142857142855,True
H01000__XM010__IN010__RR050__QC02,1000,1.0,1.0,0.5,2,21,21,1.0,21,1.0,7,14,0.3333333333333333,True
H01000__XM010__IN010__RR050__QC05,1000,1.0,1.0,0.5,5,21,21,1.0,21,1.0,12,9,0.42857142857142855,True
H01000__XM010__IN010__RR075__QC02,1000,1.0,1.0,0.75,2,21,21,1.0,21,1.0,7,14,0.3333333333333333,True
H01000__XM010__IN010__RR075__QC05,1000,1.0,1.0,0.75,5,21,21,1.0,21,1.0,13,8,0.38095238095238093,True
H01000__XM010__IN015__RR000__QC02,1000,1.0,1.5,0.0,2,21,21,1.0,21,1.0,10,11,0.47619047619047616,True
H01000__XM010__IN015__RR000__QC05,1000,1.0,1.5,0.0,5,21,15,0.7142857142857143,15,0.7142857142857143,7,8,0.4666666666666667,True
H01000__XM010__IN015__RR025__QC02,1000,1.0,1.5,0.25,2,21,21,1.0,21,1.0,10,11,0.47619047619047616,True
H01000__XM010__IN015__RR025__QC05,1000,1.0,1.5,0.25,5,21,21,1.0,21,1.0,10,11,0.47619047619047616,True
H01000__XM010__IN015__RR050__QC02,1000,1.0,1.5,0.5,2,21,21,1.0,21,1.0,9,12,0.42857142857142855,True
H01000__XM010__IN015__RR050__QC05,1000,1.0,1.5,0.5,5,21,21,1.0,21,1.0,9,12,0.42857142857142855,True
H01000__XM010__IN015__RR075__QC02,1000,1.0,1.5,0.75,2,21,21,1.0,21,1.0,9,12,0.42857142857142855,True
H01000__XM010__IN015__RR075__QC05,1000,1.0,1.5,0.75,5,21,21,1.0,21,1.0,10,11,0.47619047619047616,True
H01000__XM010__IN020__RR000__QC02,1000,1.0,2.0,0.0,2,21,21,1.0,21,1.0,13,8,0.38095238095238093,True
H01000__XM010__IN020__RR000__QC05,1000,1.0,2.0,0.0,5,21,13,0.6190476190476191,13,0.6190476190476191,6,7,0.46153846153846156,False
H01000__XM010__IN020__RR025__QC02,1000,1.0,2.0,0.25,2,21,21,1.0,21,1.0,7,14,0.3333333333333333,True
H01000__XM010__IN020__RR025__QC05,1000,1.0,2.0,0.25,5,21,20,0.9523809523809523,20,0.9523809523809523,7,13,0.35,True
H01000__XM010__IN020__RR050__QC02,1000,1.0,2.0,0.5,2,21,21,1.0,21,1.0,7,14,0.3333333333333333,True
H01000__XM010__IN020__RR050__QC05,1000,1.0,2.0,0.5,5,21,20,0.9523809523809523,20,0.9523809523809523,7,13,0.35,True
H01000__XM010__IN020__RR075__QC02,1000,1.0,2.0,0.75,2,21,21,1.0,21,1.0,7,14,0.3333333333333333,True
H01000__XM010__IN020__RR075__QC05,1000,1.0,2.0,0.75,5,21,20,0.9523809523809523,20,0.9523809523809523,8,12,0.4,True
H01000__XM010__IN025__RR000__QC02,1000,1.0,2.5,0.0,2,21,21,1.0,21,1.0,13,8,0.38095238095238093,True
