family,regime,event_time_utc,event_cluster_size,event_ids,event_tags,event_titles,pre_event_bar_utc,observation_start_utc,observation_endpoint_utc,entry_time_utc,entry_position,state_time_utc,side,dxy_reaction,bond_reaction,entry_price,stop_price,target_price,risk_pips,risk_distance,window,eligible_date,matched_state_time_utc,direction,phase,shock,DXY_compressed,EURUSD_compressed
N35_NEUTRAL_EVENT_CROSSASSET_RATES,NEUTRAL,2019-05-03 14:00:00+00:00,1,9742777,US_ISMNonPMI,ISM Non-Manufacturing PMI,2019-05-03 13:55:00+00:00,2019-05-03 14:00:00+00:00,2019-05-03 14:10:00+00:00,2019-05-03 14:15:00+00:00,25238,2019-05-03 13:00:00+00:00,LONG,-0.12700000000000955,0.06749999999999545,1.11832,1.11702,1.12027,13.000000000000789,0.0013000000000000789,development_2019_2022,2019-05-03,2019-05-03 13:00:00+00:00,NEUTRAL,UNRESOLVED,False,False,False
N35_NEUTRAL_EVENT_CROSSASSET_RATES,NEUTRAL,2019-07-31 18:30:00+00:00,1,9920580,US_FOMPrecon,FOMC Press Conference,2019-07-31 18:25:00+00:00,2019-07-31 18:30:00+00:00,2019-07-31 18:40:00+00:00,2019-07-31 18:45:00+00:00,43401,2019-07-31 17:00:00+00:00,SHORT,0.15699999999999648,-0.3439999999999941,1.10921,1.11159,1.10564,23.800000000000487,0.0023800000000000487,development_2019_2022,2019-07-31,2019-07-31 17:00:00+00:00,NEUTRAL,UNRESOLVED,False,True,False
N35_NEUTRAL_EVENT_CROSSASSET_RATES,NEUTRAL,2019-09-11 12:30:00+00:00,4,9980429|9980430|9980431|9980432,US_ProPriInd_MoM|US_ProPriIndexFooEne_MoM|US_ProPriIndexFooEne_YoY|US_ProPriInd_YoY,Producer Price Index | Producer Price Index ex Food & Energy | Producer Price Index ex Food & Energy | Producer Price Index,2019-09-11 12:25:00+00:00,2019-09-11 12:30:00+00:00,2019-09-11 12:40:00+00:00,2019-09-11 12:45:00+00:00,51969,2019-09-11 11:00:00+00:00,SHORT,0.04400000000001114,-0.125,1.1000699999999999,1.1007300000000002,1.0990799999999994,6.60000000000327,0.000660000000000327,development_2019_2022,2019-09-11,2019-09-11 11:00:00+00:00,NEUTRAL,UNRESOLVED,False,False,False
N35_NEUTRAL_EVENT_CROSSASSET_RATES,NEUTRAL,2019-09-18 18:30:00+00:00,1,9980596,US_FOMPrecon,FOMC Press Conference,2019-09-18 18:25:00+00:00,2019-09-18 18:30:00+00:00,2019-09-18 18:40:00+00:00,2019-09-18 18:45:00+00:00,53481,2019-09-18 17:00:00+00:00,SHORT,0.12999999999999545,-0.8120000000000118,1.10208,1.10434,1.0986899999999997,22.600000000001508,0.0022600000000001508,development_2019_2022,2019-09-18,2019-09-18 17:00:00+00:00,NEUTRAL,UNRESOLVED,False,True,False
N35_NEUTRAL_EVENT_CROSSASSET_RATES,NEUTRAL,2019-10-10 12:30:00+00:00,6,10032024|10032025|10032026|10032027|10032028|10032029,US_ConPriIndExFooEne_YoY|US_ConPriIndExFooEne_MoM|US_ConPriInd_YoY|US_ConPriInd_MoM|US_ConPriInd_nsa_MoM|US_ConPriIndCor_sa,Consumer Price Index ex Food & Energy | Consumer Price Index ex Food & Energy | Consumer Price Index | Consumer Price Index | Consumer Price Index n.s.a  | Consumer Price Index Core s.a,2019-10-10 12:25:00+00:00,2019-10-10 12:30:00+00:00,2019-10-10 12:40:00+00:00,2019-10-10 12:45:00+00:00,58017,2019-10-10 11:00:00+00:00,SHORT,0.05299999999999727,-0.7189999999999941,1.10225,1.10325,1.1007499999999997,10.000000000001119,0.001000000000000112,development_2019_2022,2019-10-10,2019-10-10 11:00:00+00:00,NEUTRAL,UNRESOLVED,False,False,False
N35_NEUTRAL_EVENT_CROSSASSET_RATES,NEUTRAL,2019-12-02 15:00:00+00:00,1,10164706,US_ISMManPMI,ISM Manufacturing PMI,2019-12-02 14:55:00+00:00,2019-12-02 15:00:00+00:00,2019-12-02 15:10:00+00:00,2019-12-02 15:15:00+00:00,68691,2019-12-02 14:00:00+00:00,LONG,-0.12699999999999534,0.2179999999999893,1.10626,1.10441,1.1090350000000002,18.500000000001293,0.0018500000000001293,development_2019_2022,2019-12-02,2019-12-02 14:00:00+00:00,NEUTRAL,UNRESOLVED,False,False,False
N35_NEUTRAL_EVENT_CROSSASSET_RATES,NEUTRAL,2019-12-11 13:30:00+00:00,6,10164482|10164483|10164484|10164485|10164486|10164487,US_ConPriIndCor_sa|US_ConPriInd_MoM|US_ConPriInd_nsa_MoM|US_ConPriIndExFooEne_YoY|US_ConPriInd_YoY|US_ConPriIndExFooEne_MoM,Consumer Price Index Core s.a | Consumer Price Index | Consumer Price Index n.s.a  | Consumer Price Index ex Food & Energy | Consumer Price Index | Consumer Price Index ex Food & Energy,2019-12-11 13:25:00+00:00,2019-12-11 13:30:00+00:00,2019-12-11 13:40:00+00:00,2019-12-11 13:45:00+00:00,70689,2019-12-11 12:00:00+00:00,LONG,-0.054000000000002046,0.11000000000001364,1.10851,1.10778,1.1096050000000002,7.300000000001194,0.0007300000000001194,development_2019_2022,2019-12-11,2019-12-11 12:00:00+00:00,NEUTRAL,UNRESOLVED,False,True,False
N35_NEUTRAL_EVENT_CROSSASSET_RATES,NEUTRAL,2019-12-11 19:00:00+00:00,3,10164492|10164493|10164495,US_FedIntRatDec|US_FOMEcoPro|US_MonPolSta,Fed Interest Rate Decision | FOMC Economic Projections | Fed's Monetary Policy Statement,2019-12-11 18:55:00+00:00,2019-12-11 19:00:00+00:00,2019-12-11 19:10:00+00:00,2019-12-11 19:15:00+00:00,70755,2019-12-11 18:00:00+00:00,LONG,-0.07699999999999818,0.014999999999986358,1.1109600000000002,1.10876,1.1142600000000005,22.000000000002018,0.002200000000000202,development_2019_2022,2019-12-11,2019-12-11 18:00:00+00:00,NEUTRAL,UNRESOLVED,False,False,False
N35_NEUTRAL_EVENT_CROSSASSET_RATES,NEUTRAL,2020-01-03 15:00:00+00:00,1,10233902,US_ISMManPMI,ISM Manufacturing PMI,2020-01-03 14:55:00+00:00,2020-01-03 15:00:00+00:00,2020-01-03 15:10:00+00:00,2020-01-03 15:15:00+00:00,75136,2020-01-03 14:00:00+00:00,LONG,-0.07150000000000034,0.2810000000000059,1.11622,1.1152,1.11775,10.200000000000209,0.0010200000000000209,development_2019_2022,2020-01-03,2020-01-03 14:00:00+00:00,NEUTRAL,UNRESOLVED,False,True,False
N35_NEUTRAL_EVENT_CROSSASSET_RATES,NEUTRAL,2020-01-15 13:30:00+00:00,4,10234192|10234193|10234194|10234195,US_ProPriIndexFooEne_MoM|US_ProPriInd_YoY|US_ProPriInd_MoM|US_ProPriIndexFooEne_YoY,Producer Price Index ex Food & Energy | Producer Price Index | Producer Price Index | Producer Price Index ex Food & Energy,2020-01-15 13:25:00+00:00,2020-01-15 13:30:00+00:00,2020-01-15 13:40:00+00:00,2020-01-15 13:45:00+00:00,77422,2020-01-15 12:00:00+00:00,LONG,-0.028999999999996362,0.12700000000000955,1.11491,1.11425,1.1159000000000003,6.6000000000010495,0.000660000000000105,development_2019_2022,2020-01-15,2020-01-15 12:00:00+00:00,NEUTRAL,UNRESOLVED,False,True,False
