source_id,run_id,account,symbol,magic,deal_ticket,position_id,entry_code,fee
h4_d1_long_best_box2_atr80,BT_A1_XAU_ROUTER_V1_R1_LONG_BOX2_PREVHEALTH,1025742,XAUUSD,932200,2,2,0,0.0000000000000000
h4_d1_long_best_box2_atr80,BT_A1_XAU_ROUTER_V1_R1_LONG_BOX2_PREVHEALTH,1025742,XAUUSD,932200,3,3,0,0.0000000000000000
h4_d1_long_best_box2_atr80,BT_A1_XAU_ROUTER_V1_R1_LONG_BOX2_PREVHEALTH,1025742,XAUUSD,932200,4,4,0,0.0000000000000000
h4_d1_long_best_box2_atr80,BT_A1_XAU_ROUTER_V1_R1_LONG_BOX2_PREVHEALTH,1025742,XAUUSD,932200,5,5,0,0.0000000000000000
h4_d1_long_best_box2_atr80,BT_A1_XAU_ROUTER_V1_R1_LONG_BOX2_PREVHEALTH,1025742,XAUUSD,932200,6,6,0,0.0000000000000000
h4_d1_long_best_box2_atr80,BT_A1_XAU_ROUTER_V1_R1_LONG_BOX2_PREVHEALTH,1025742,XAUUSD,932200,7,7,0,0.0000000000000000
h4_d1_long_best_box2_atr80,BT_A1_XAU_ROUTER_V1_R1_LONG_BOX2_PREVHEALTH,1025742,XAUUSD,932200,8,7,1,0.0000000000000000
h4_d1_long_best_box2_atr80,BT_A1_XAU_ROUTER_V1_R1_LONG_BOX2_PREVHEALTH,1025742,XAUUSD,932200,9,9,0,0.0000000000000000
h4_d1_long_best_box2_atr80,BT_A1_XAU_ROUTER_V1_R1_LONG_BOX2_PREVHEALTH,1025742,XAUUSD,932200,10,10,0,0.0000000000000000
h4_d1_long_best_box2_atr80,BT_A1_XAU_ROUTER_V1_R1_LONG_BOX2_PREVHEALTH,1025742,XAUUSD,932200,11,2,1,0.0000000000000000
h4_d1_long_best_box2_atr80,BT_A1_XAU_ROUTER_V1_R1_LONG_BOX2_PREVHEALTH,1025742,XAUUSD,932200,12,3,1,0.0000000000000000
h4_d1_long_best_box2_atr80,BT_A1_XAU_ROUTER_V1_R1_LONG_BOX2_PREVHEALTH,1025742,XAUUSD,932200,13,13,0,0.0000000000000000
h4_d1_long_best_box2_atr80,BT_A1_XAU_ROUTER_V1_R1_LONG_BOX2_PREVHEALTH,1025742,XAUUSD,932200,14,13,1,0.0000000000000000
