specialist_id,owned_regime,source_candidate,stage,status,trades,wins,win_rate,net_pips,pnl_usd_001_lot,stress_net_r,average_r,stress_profit_factor,positive_active_month_share,maximum_drawdown_r,removed_profit_factor,gate_pass,family,archetype,direction,threshold,stop_atr,target_r,max_hold_bars,parameter_sha256,train_trades,train_stress_profit_factor,train_removed_profit_factor,train_robust_score,profile,reference_hours,decision_hours,buffer_atr,body_min,cross_window_score
V3_EURSESSIONV2R_0222,chop,EURSESSIONV2R_0222,development_2020_2022,OPENED,106,50,0.4716981132075472,66.46439032874643,6.646439032874643,-1.7152438644006718,-0.016181545890572375,0.9716031260543643,0.625,13.757324399209999,0.8717576978665396,False,session_expansion,,long,,0.75,1.25,12,0a2baddef0c39f9c79a45938f28d427a8ee76b742f8b64dd9f612de2c6ad4f1e,153,0.7863493891867462,0.6605371855091207,0.6605371855091207,FRANKFURT_LONDON,"[0, 1, 2, 3, 4, 5]","[6, 7, 8, 9, 10, 11]",0.0,0.35,0.6605371855091207
V3_EURSESSIONV2R_0066,chop,EURSESSIONV2R_0066,development_2020_2022,OPENED,93,52,0.5591397849462365,-12.898227872861792,-1.2898227872861794,-6.4123715559455805,-0.06895023178436108,0.8508580355021466,0.5,14.796233891838433,0.766752365862619,False,session_expansion,,long,,1.25,0.75,12,5d8813ab857a87b79138f75b022e3029bc913aba47b5f26cb258ad424a627dd0,120,0.786163738688314,0.6603020942048089,0.6603020942048089,ASIA_LONDON,"[0, 1, 2, 3, 4, 5]","[6, 7, 8, 9]",0.1,0.35,0.6603020942048089
V3_EURSESSIONV2R_0672,chop,EURSESSIONV2R_0672,development_2020_2022,OPENED,60,22,0.36666666666666664,-265.5460140261257,-26.554601402612573,-10.599748471502988,-0.1766624745250498,0.5213931780769924,0.38095238095238093,14.641095851643826,0.2859194193619798,False,session_expansion,,long,,1.75,1.25,12,b0e67e74b5dd59fb9fc0c2d0134301e539fd6a8fbc13d70e2cbf9caf1c19fddd,102,1.0633733127676124,0.6581005992356844,0.6581005992356844,NY_AFTERNOON,"[12, 13, 14]","[15, 16, 17, 18]",0.0,0.35,0.2859194193619798
V3_EURSESSIONV2R_0388,trend_down,EURSESSIONV2R_0388,development_2020_2022,OPENED,41,25,0.6097560975609756,36.84078934114153,3.684078934114153,0.2091799454749773,0.005101949889633593,1.0124686944804522,0.5333333333333333,3.8534176307940897,0.7982731353073724,False,session_expansion,,short,,1.25,0.75,12,3ad4129ffe4f1d6e736bf79273a150ea07648f7599013b2cabad3be8f6b1eb6b,103,0.7873180074245895,0.6424867635650997,0.6424867635650997,FRANKFURT_LONDON,"[0, 1, 2, 3, 4, 5]","[6, 7, 8, 9, 10, 11]",0.1,0.35,0.6424867635650997
V3_EURSESSIONV2R_0424,trend_down,EURSESSIONV2R_0424,development_2020_2022,OPENED,37,19,0.5135135135135135,-51.67431053708428,-5.1674310537084285,-4.831965257057238,-0.13059365559614156,0.7292462816085754,0.42857142857142855,9.119977333808535,0.5257288785622991,False,session_expansion,,short,,1.75,0.75,12,193fd0ce9ecd9ffc7dcbb7de18318c8fac474e4f197a050f7ccebd514c8e0a81,90,0.813058814944928,0.6365963218241799,0.6365963218241799,FRANKFURT_LONDON,"[0, 1, 2, 3, 4, 5]","[6, 7, 8, 9, 10, 11]",0.1,0.55,0.5257288785622991
V3_EURSESSIONV2R_0729,chop,EURSESSIONV2R_0729,development_2020_2022,OPENED,55,20,0.36363636363636365,-241.82334132017314,-24.182334132017317,-10.518024851297797,-0.19123681547814178,0.4882204390461062,0.45,14.816937535660639,0.2459767419195349,False,session_expansion,,long,,1.75,2.0,12,b8ad21dec1114a34ae91e47373879527a3d15099460101e40c450ba40482cdf8,93,1.3200899775901918,0.6342717433753102,0.6342717433753102,NY_AFTERNOON,"[12, 13, 14]","[15, 16, 17, 18]",0.1,0.35,0.2459767419195349
V3_EURSESSIONV2R_0442,trend_up,EURSESSIONV2R_0442,development_2020_2022,OPENED,32,16,0.5,-85.86986903770023,-8.586986903770024,-4.829290937052493,-0.1509153417828904,0.6953034868715608,0.46153846153846156,5.376012303768976,0.46874802799278836,False,session_expansion,,long,,1.25,0.75,12,618b269ac45bee54b277425dfb4d847e254a1c063f8dd428d7a7752bae84a18e,64,0.8915875261481215,0.6330591279708876,0.6330591279708876,LONDON_NY,"[6, 7, 8, 9, 10, 11]","[12, 13, 14, 15]",0.0,0.35,0.46874802799278836
V3_EURSESSIONV2R_0496,trend_up,EURSESSIONV2R_0496,development_2020_2022,OPENED,31,15,0.4838709677419355,-96.56555517260968,-9.65655551726097,-5.5311067296974326,-0.17842279773217523,0.651023523691728,0.46153846153846156,5.5311067296974326,0.42446806481295557,False,session_expansion,,long,,1.25,0.75,12,b43bd753ff15cbb567eaf9a115202b849be680bab67fc77ebc44a345f8f109bc,60,0.910339251890482,0.6309779639037433,0.6309779639037433,LONDON_NY,"[6, 7, 8, 9, 10, 11]","[12, 13, 14, 15]",0.1,0.35,0.42446806481295557
V3_EURSESSIONV2R_0768,chop,EURSESSIONV2R_0768,development_2020_2022,OPENED,62,34,0.5483870967741935,115.3502752257962,11.53502752257962,1.0886085671732904,0.01755820269634339,1.0531225699253866,0.45454545454545453,6.2010739642033315,0.876297798169409,False,session_expansion,,short,,1.25,0.75,12,cde77f68809711bbdac0fc5a458021271b012d80b8f3814dff8da6bde011b773,106,0.8058166725437229,0.6309302453757394,0.6309302453757394,NY_AFTERNOON,"[12, 13, 14]","[15, 16, 17, 18]",0.0,0.35,0.6309302453757394
V3_EURSESSIONV2R_0249,chop,EURSESSIONV2R_0249,development_2020_2022,OPENED,93,37,0.3978494623655914,-90.49692389137887,-9.049692389137887,-16.94811787898234,-0.1822378266557241,0.7192385372792935,0.375,20.033848838176887,0.61933431099202,False,session_expansion,,long,,0.75,1.25,12,a1d43c532fb609c95c6e6886239352ed8c542ff19a982ee3789b19eefeb1e55c,122,0.7863543349553178,0.6288001561177798,0.6288001561177798,FRANKFURT_LONDON,"[0, 1, 2, 3, 4, 5]","[6, 7, 8, 9, 10, 11]",0.0,0.55,0.61933431099202
