family,symbol,rr,atr_mult,context_mult,trades,win_rate_pct,net_usd,profit_factor,expectancy_usd,avg_win_usd,avg_loss_usd,avg_stop_points,max_closed_drawdown_usd,max_closed_drawdown_pct,pf_excluding_best_5pct,active_days,trades_per_active_day,months_active,months_positive,months_positive_pct,median_bars_held,timeout_pct,ambiguous_bars
london_breakout,EURUSD,1.5,1.0,0.0,1534,36.44,-255.96,0.839,-0.1669,2.3861,-1.6306,163.9,260.19,2.602,0.6971,1297,1.183,66,20,30.3,29,3.3,4
london_breakout,EURUSD,1.5,1.0,0.5,1524,36.42,-270.02,0.8361,-0.1772,2.4822,-1.7004,172.3,271.73,2.717,0.6684,1288,1.183,66,19,28.8,32,4.1,4
london_breakout,EURUSD,1.5,1.0,1.0,1410,39.15,-236.89,0.8794,-0.168,3.1289,-2.2891,257.2,251.61,2.516,0.6571,1196,1.179,66,22,33.3,62,16.4,1
london_breakout,EURUSD,1.5,1.5,0.0,1518,36.69,-288.95,0.8397,-0.1904,2.7173,-1.8757,190.4,293.21,2.932,0.659,1287,1.179,66,20,30.3,41,5.1,2
london_breakout,EURUSD,1.5,1.5,0.5,1510,36.42,-307.58,0.8306,-0.2037,2.7412,-1.8909,193.0,307.93,3.079,0.6465,1279,1.181,66,19,28.8,42,5.6,2
london_breakout,EURUSD,1.5,1.5,1.0,1408,39.13,-238.97,0.879,-0.1697,3.1517,-2.3052,258.9,254.56,2.546,0.6573,1195,1.178,66,22,33.3,62,16.5,1
london_breakout,EURUSD,1.5,2.0,0.0,1411,37.56,-318.61,0.8407,-0.2258,3.1714,-2.2695,239.2,337.58,3.376,0.6471,1226,1.151,66,23,34.8,59,12.0,2
london_breakout,EURUSD,1.5,2.0,0.5,1407,37.38,-330.6,0.8348,-0.235,3.1755,-2.2712,239.6,348.81,3.488,0.641,1222,1.151,66,22,33.3,59,12.1,2
london_breakout,EURUSD,1.5,2.0,1.0,1357,39.94,-214.66,0.8919,-0.1582,3.2684,-2.437,275.3,238.84,2.388,0.6757,1179,1.151,66,22,33.3,68,19.2,1
london_breakout,EURUSD,1.5,3.0,0.0,1170,43.85,-91.48,0.9531,-0.0782,3.6272,-2.9715,356.1,219.43,2.194,0.7215,1119,1.046,66,25,37.9,114,34.1,1
london_breakout,EURUSD,1.5,3.0,0.5,1170,43.85,-91.22,0.9533,-0.078,3.6277,-2.9715,356.1,219.43,2.194,0.7216,1119,1.046,66,25,37.9,114,34.1,1
london_breakout,EURUSD,1.5,3.0,1.0,1165,43.95,-99.54,0.9489,-0.0854,3.6072,-2.9808,363.3,226.35,2.264,0.7149,1114,1.046,66,27,40.9,120,35.4,1
london_breakout,EURUSD,2.0,1.0,0.0,1500,31.07,-278.96,0.8342,-0.186,3.0109,-1.6267,163.9,281.31,2.813,0.6676,1267,1.184,66,20,30.3,36,6.2,2
london_breakout,EURUSD,2.0,1.0,0.5,1488,31.45,-290.17,0.8325,-0.195,3.0819,-1.6985,172.4,290.72,2.907,0.6422,1256,1.185,66,22,33.3,39,7.3,2
london_breakout,EURUSD,2.0,1.0,1.0,1342,36.44,-200.8,0.8956,-0.1496,3.5227,-2.2549,257.2,220.79,2.208,0.6398,1142,1.175,66,20,30.3,69,23.7,1
london_breakout,EURUSD,2.0,1.5,0.0,1466,32.13,-275.01,0.8514,-0.1876,3.3443,-1.8595,190.3,281.65,2.817,0.6374,1244,1.178,66,21,31.8,48,9.5,1
london_breakout,EURUSD,2.0,1.5,0.5,1460,32.19,-279.62,0.8494,-0.1915,3.3546,-1.8751,193.0,279.71,2.797,0.635,1238,1.179,66,22,33.3,49,10.1,1
