attempt_no,variant_id,paired_source_attempt_no,regime_owner,mechanic,geometry_id,raw_signal_count,minimum_era_raw_signal_count,parameters_json
30239,eb68cbffd59d6fbd,29239,CHOP,CHOP_MATURE_EDGE_REENTRY_REVERSE,C_SCALP,295,54,"{""age_min"":16,""geometry_id"":""C_SCALP"",""hour_window"":""LONDON"",""reentry_atr"":0.07,""sweep_atr"":0.03,""wick_min"":0.4,""width_atr_max"":8.0,""width_atr_min"":2.0}"
30240,5365974df9d1c2ae,29240,CHOP,CHOP_MATURE_EDGE_REENTRY_REVERSE,C_EXTENDED,293,52,"{""age_min"":32,""geometry_id"":""C_EXTENDED"",""hour_window"":""NEW_YORK"",""reentry_atr"":0.07,""sweep_atr"":0.12,""wick_min"":0.1,""width_atr_max"":8.0,""width_atr_min"":3.0}"
30241,8b0105db12b50e05,29241,CHOP,CHOP_MATURE_EDGE_REENTRY_REVERSE,C_SCALP,435,86,"{""age_min"":32,""geometry_id"":""C_SCALP"",""hour_window"":""ALL_LIQUID"",""reentry_atr"":0.07,""sweep_atr"":0.0,""wick_min"":0.4,""width_atr_max"":8.0,""width_atr_min"":3.0}"
30242,29620a8243b3dd56,29242,CHOP,CHOP_MATURE_EDGE_REENTRY_REVERSE,C_SCALP,119,17,"{""age_min"":64,""geometry_id"":""C_SCALP"",""hour_window"":""LONDON_NY"",""reentry_atr"":0.07,""sweep_atr"":0.03,""wick_min"":0.1,""width_atr_max"":6.0,""width_atr_min"":3.0}"
30243,8be53953ac307eb5,29243,CHOP,CHOP_MATURE_EDGE_REENTRY_REVERSE,C_EXTENDED,124,22,"{""age_min"":64,""geometry_id"":""C_EXTENDED"",""hour_window"":""NEW_YORK"",""reentry_atr"":0.0,""sweep_atr"":0.07,""wick_min"":0.4,""width_atr_max"":8.0,""width_atr_min"":3.0}"
30244,c32d79afeca024d8,29244,CHOP,CHOP_MATURE_EDGE_REENTRY_REVERSE,C_BALANCED,324,68,"{""age_min"":16,""geometry_id"":""C_BALANCED"",""hour_window"":""NEW_YORK"",""reentry_atr"":0.03,""sweep_atr"":0.07,""wick_min"":0.25,""width_atr_max"":6.0,""width_atr_min"":1.0}"
30245,db842e1efd861bed,29245,CHOP,CHOP_MATURE_EDGE_REENTRY_REVERSE,C_BALANCED,813,160,"{""age_min"":8,""geometry_id"":""C_BALANCED"",""hour_window"":""ALL_LIQUID"",""reentry_atr"":0.03,""sweep_atr"":0.0,""wick_min"":0.4,""width_atr_max"":6.0,""width_atr_min"":2.0}"
30246,7d540ad6d0c15113,29246,CHOP,CHOP_MATURE_EDGE_REENTRY_REVERSE,C_BALANCED,175,28,"{""age_min"":64,""geometry_id"":""C_BALANCED"",""hour_window"":""ALL_LIQUID"",""reentry_atr"":0.07,""sweep_atr"":0.03,""wick_min"":0.4,""width_atr_max"":8.0,""width_atr_min"":2.0}"
30247,811fac088f37f598,29247,CHOP,CHOP_MATURE_EDGE_REENTRY_REVERSE,C_EXTENDED,397,80,"{""age_min"":8,""geometry_id"":""C_EXTENDED"",""hour_window"":""NEW_YORK"",""reentry_atr"":0.03,""sweep_atr"":0.12,""wick_min"":0.25,""width_atr_max"":6.0,""width_atr_min"":3.0}"
30248,911fe4a8cc1d0423,29248,CHOP,CHOP_MATURE_EDGE_REENTRY_REVERSE,C_EXTENDED,450,93,"{""age_min"":8,""geometry_id"":""C_EXTENDED"",""hour_window"":""NEW_YORK"",""reentry_atr"":0.07,""sweep_atr"":0.03,""wick_min"":0.4,""width_atr_max"":6.0,""width_atr_min"":1.0}"
30249,e81415bd7128fffa,29249,CHOP,CHOP_MATURE_EDGE_REENTRY_REVERSE,C_BALANCED,112,16,"{""age_min"":16,""geometry_id"":""C_BALANCED"",""hour_window"":""LONDON"",""reentry_atr"":0.0,""sweep_atr"":0.0,""wick_min"":0.1,""width_atr_max"":4.0,""width_atr_min"":1.0}"
30250,28da02cf2cf1f7ce,29250,CHOP,CHOP_MATURE_EDGE_REENTRY_REVERSE,C_BALANCED,576,111,"{""age_min"":16,""geometry_id"":""C_BALANCED"",""hour_window"":""LONDON_NY"",""reentry_atr"":0.03,""sweep_atr"":0.0,""wick_min"":0.25,""width_atr_max"":6.0,""width_atr_min"":1.0}"
30251,ab1b7bf5de9c617e,29251,CHOP,CHOP_MATURE_EDGE_REENTRY_REVERSE,C_SCALP,108,19,"{""age_min"":32,""geometry_id"":""C_SCALP"",""hour_window"":""NEW_YORK"",""reentry_atr"":0.03,""sweep_atr"":0.12,""wick_min"":0.4,""width_atr_max"":6.0,""width_atr_min"":1.0}"
30252,a83d8fa244d62b68,29252,CHOP,CHOP_MATURE_EDGE_REENTRY_REVERSE,C_BALANCED,548,113,"{""age_min"":8,""geometry_id"":""C_BALANCED"",""hour_window"":""NEW_YORK"",""reentry_atr"":0.03,""sweep_atr"":0.12,""wick_min"":0.1,""width_atr_max"":6.0,""width_atr_min"":1.0}"
30253,3842a689290aa067,29253,CHOP,CHOP_MATURE_EDGE_REENTRY_REVERSE,C_EXTENDED,119,20,"{""age_min"":8,""geometry_id"":""C_EXTENDED"",""hour_window"":""LONDON"",""reentry_atr"":0.07,""sweep_atr"":0.03,""wick_min"":0.25,""width_atr_max"":4.0,""width_atr_min"":3.0}"
30254,50e6f6ea92ac1d20,29254,CHOP,CHOP_MATURE_EDGE_REENTRY_REVERSE,C_SCALP,192,44,"{""age_min"":8,""geometry_id"":""C_SCALP"",""hour_window"":""NEW_YORK"",""reentry_atr"":0.0,""sweep_atr"":0.07,""wick_min"":0.4,""width_atr_max"":4.0,""width_atr_min"":2.0}"
30255,b8aa8ef4752a649d,29255,CHOP,CHOP_MATURE_EDGE_REENTRY_REVERSE,C_BALANCED,127,17,"{""age_min"":64,""geometry_id"":""C_BALANCED"",""hour_window"":""LONDON_NY"",""reentry_atr"":0.07,""sweep_atr"":0.0,""wick_min"":0.1,""width_atr_max"":6.0,""width_atr_min"":1.0}"
30256,be271cef63ef505a,29256,CHOP,CHOP_MATURE_EDGE_REENTRY_REVERSE,C_SCALP,568,114,"{""age_min"":32,""geometry_id"":""C_SCALP"",""hour_window"":""LONDON_NY"",""reentry_atr"":0.0,""sweep_atr"":0.0,""wick_min"":0.25,""width_atr_max"":8.0,""width_atr_min"":1.0}"
30257,afeb2563efcdf575,29257,CHOP,CHOP_MATURE_EDGE_REENTRY_REVERSE,C_EXTENDED,215,32,"{""age_min"":32,""geometry_id"":""C_EXTENDED"",""hour_window"":""NEW_YORK"",""reentry_atr"":0.07,""sweep_atr"":0.0,""wick_min"":0.1,""width_atr_max"":6.0,""width_atr_min"":3.0}"
30258,54f223ececb60caa,29258,CHOP,CHOP_MATURE_EDGE_REENTRY_REVERSE,C_EXTENDED,649,121,"{""age_min"":16,""geometry_id"":""C_EXTENDED"",""hour_window"":""LONDON_NY"",""reentry_atr"":0.03,""sweep_atr"":0.0,""wick_min"":0.1,""width_atr_max"":6.0,""width_atr_min"":3.0}"
30259,57bcaae8f9b723fb,29259,CHOP,CHOP_MATURE_EDGE_REENTRY_REVERSE,C_BALANCED,852,170,"{""age_min"":8,""geometry_id"":""C_BALANCED"",""hour_window"":""NEW_YORK"",""reentry_atr"":0.07,""sweep_atr"":0.0,""wick_min"":0.25,""width_atr_max"":8.0,""width_atr_min"":2.0}"
30260,c0c041ad8afb0314,29260,CHOP,CHOP_MATURE_EDGE_REENTRY_REVERSE,C_EXTENDED,390,82,"{""age_min"":8,""geometry_id"":""C_EXTENDED"",""hour_window"":""NEW_YORK"",""reentry_atr"":0.07,""sweep_atr"":0.12,""wick_min"":0.4,""width_atr_max"":8.0,""width_atr_min"":3.0}"
30261,b5186e8eb96620dc,29261,CHOP,CHOP_MATURE_EDGE_REENTRY_REVERSE,C_EXTENDED,258,46,"{""age_min"":8,""geometry_id"":""C_EXTENDED"",""hour_window"":""LONDON"",""reentry_atr"":0.03,""sweep_atr"":0.03,""wick_min"":0.1,""width_atr_max"":4.0,""width_atr_min"":2.0}"
30262,9e28933c5c6084f8,29262,CHOP,CHOP_MATURE_EDGE_REENTRY_REVERSE,C_BALANCED,568,114,"{""age_min"":32,""geometry_id"":""C_BALANCED"",""hour_window"":""LONDON_NY"",""reentry_atr"":0.0,""sweep_atr"":0.0,""wick_min"":0.25,""width_atr_max"":8.0,""width_atr_min"":2.0}"
30263,c8e1941f78a8be45,29263,CHOP,CHOP_MATURE_EDGE_REENTRY_REVERSE,C_EXTENDED,496,105,"{""age_min"":8,""geometry_id"":""C_EXTENDED"",""hour_window"":""LONDON"",""reentry_atr"":0.07,""sweep_atr"":0.0,""wick_min"":0.25,""width_atr_max"":8.0,""width_atr_min"":3.0}"
30264,dda3690c8966cacd,29264,CHOP,CHOP_MATURE_EDGE_REENTRY_REVERSE,C_EXTENDED,567,112,"{""age_min"":16,""geometry_id"":""C_EXTENDED"",""hour_window"":""NEW_YORK"",""reentry_atr"":0.03,""sweep_atr"":0.0,""wick_min"":0.25,""width_atr_max"":8.0,""width_atr_min"":3.0}"
30265,2410d02d867bed0a,29265,CHOP,CHOP_MATURE_EDGE_REENTRY_REVERSE,C_EXTENDED,895,193,"{""age_min"":8,""geometry_id"":""C_EXTENDED"",""hour_window"":""LONDON_NY"",""reentry_atr"":0.07,""sweep_atr"":0.0,""wick_min"":0.4,""width_atr_max"":8.0,""width_atr_min"":1.0}"
30266,dafa33713d7be182,29266,CHOP,CHOP_MATURE_EDGE_REENTRY_REVERSE,C_EXTENDED,767,171,"{""age_min"":8,""geometry_id"":""C_EXTENDED"",""hour_window"":""LONDON_NY"",""reentry_atr"":0.07,""sweep_atr"":0.07,""wick_min"":0.4,""width_atr_max"":8.0,""width_atr_min"":1.0}"
30267,11a5ae175428ee8e,29267,CHOP,CHOP_MATURE_EDGE_REENTRY_REVERSE,C_BALANCED,294,66,"{""age_min"":8,""geometry_id"":""C_BALANCED"",""hour_window"":""ALL_LIQUID"",""reentry_atr"":0.07,""sweep_atr"":0.12,""wick_min"":0.4,""width_atr_max"":4.0,""width_atr_min"":1.0}"
30268,8ada56fd6282f29e,29268,CHOP,CHOP_MATURE_EDGE_REENTRY_REVERSE,C_SCALP,127,18,"{""age_min"":64,""geometry_id"":""C_SCALP"",""hour_window"":""LONDON_NY"",""reentry_atr"":0.0,""sweep_atr"":0.03,""wick_min"":0.1,""width_atr_max"":6.0,""width_atr_min"":2.0}"
30269,cfa8057ea8a6ed8e,29269,CHOP,CHOP_MATURE_EDGE_REENTRY_REVERSE,C_BALANCED,522,104,"{""age_min"":8,""geometry_id"":""C_BALANCED"",""hour_window"":""NEW_YORK"",""reentry_atr"":0.07,""sweep_atr"":0.0,""wick_min"":0.4,""width_atr_max"":8.0,""width_atr_min"":3.0}"
30270,d07aa1f6cac6b08d,29270,CHOP,CHOP_MATURE_EDGE_REENTRY_REVERSE,C_BALANCED,109,15,"{""age_min"":64,""geometry_id"":""C_BALANCED"",""hour_window"":""ALL_LIQUID"",""reentry_atr"":0.07,""sweep_atr"":0.03,""wick_min"":0.25,""width_atr_max"":6.0,""width_atr_min"":2.0}"
30271,08cf8d66b418b799,29271,CHOP,CHOP_MATURE_EDGE_REENTRY_REVERSE,C_BALANCED,479,90,"{""age_min"":16,""geometry_id"":""C_BALANCED"",""hour_window"":""LONDON"",""reentry_atr"":0.0,""sweep_atr"":0.03,""wick_min"":0.1,""width_atr_max"":8.0,""width_atr_min"":2.0}"
30272,e3a9acd0d11a6253,29272,CHOP,CHOP_MATURE_EDGE_REENTRY_REVERSE,C_BALANCED,230,43,"{""age_min"":16,""geometry_id"":""C_BALANCED"",""hour_window"":""LONDON"",""reentry_atr"":0.03,""sweep_atr"":0.07,""wick_min"":0.25,""width_atr_max"":6.0,""width_atr_min"":1.0}"
30273,57dabeb51ccf6387,29273,CHOP,CHOP_MATURE_EDGE_REENTRY_REVERSE,C_EXTENDED,178,34,"{""age_min"":32,""geometry_id"":""C_EXTENDED"",""hour_window"":""LONDON"",""reentry_atr"":0.07,""sweep_atr"":0.12,""wick_min"":0.25,""width_atr_max"":8.0,""width_atr_min"":3.0}"
30274,d4ec06c24c153927,29274,CHOP,CHOP_MATURE_EDGE_REENTRY_REVERSE,C_BALANCED,794,163,"{""age_min"":16,""geometry_id"":""C_BALANCED"",""hour_window"":""LONDON_NY"",""reentry_atr"":0.07,""sweep_atr"":0.03,""wick_min"":0.25,""width_atr_max"":8.0,""width_atr_min"":2.0}"
30275,a4595bdcb955b5bf,29275,CHOP,CHOP_MATURE_EDGE_REENTRY_REVERSE,C_BALANCED,598,130,"{""age_min"":16,""geometry_id"":""C_BALANCED"",""hour_window"":""ALL_LIQUID"",""reentry_atr"":0.07,""sweep_atr"":0.07,""wick_min"":0.4,""width_atr_max"":8.0,""width_atr_min"":3.0}"
30276,61056d2003d52293,29276,CHOP,CHOP_MATURE_EDGE_REENTRY_REVERSE,C_EXTENDED,989,202,"{""age_min"":8,""geometry_id"":""C_EXTENDED"",""hour_window"":""ALL_LIQUID"",""reentry_atr"":0.03,""sweep_atr"":0.07,""wick_min"":0.25,""width_atr_max"":6.0,""width_atr_min"":1.0}"
30277,8925386abcced485,29277,CHOP,CHOP_MATURE_EDGE_REENTRY_REVERSE,C_BALANCED,299,59,"{""age_min"":16,""geometry_id"":""C_BALANCED"",""hour_window"":""NEW_YORK"",""reentry_atr"":0.03,""sweep_atr"":0.12,""wick_min"":0.1,""width_atr_max"":6.0,""width_atr_min"":3.0}"
30278,967b4bfed8aa9f86,29278,CHOP,CHOP_MATURE_EDGE_REENTRY_REVERSE,C_SCALP,1120,242,"{""age_min"":8,""geometry_id"":""C_SCALP"",""hour_window"":""LONDON_NY"",""reentry_atr"":0.07,""sweep_atr"":0.03,""wick_min"":0.1,""width_atr_max"":8.0,""width_atr_min"":3.0}"
30279,326cb2d080c842be,29279,CHOP,CHOP_MATURE_EDGE_REENTRY_REVERSE,C_EXTENDED,443,93,"{""age_min"":16,""geometry_id"":""C_EXTENDED"",""hour_window"":""ALL_LIQUID"",""reentry_atr"":0.03,""sweep_atr"":0.03,""wick_min"":0.4,""width_atr_max"":6.0,""width_atr_min"":2.0}"
30280,8bc09e87f0b3189c,29280,CHOP,CHOP_MATURE_EDGE_REENTRY_REVERSE,C_BALANCED,839,168,"{""age_min"":8,""geometry_id"":""C_BALANCED"",""hour_window"":""NEW_YORK"",""reentry_atr"":0.07,""sweep_atr"":0.0,""wick_min"":0.1,""width_atr_max"":8.0,""width_atr_min"":3.0}"
30281,0ea25546f46857ac,29281,CHOP,CHOP_MATURE_EDGE_REENTRY_REVERSE,C_BALANCED,579,111,"{""age_min"":8,""geometry_id"":""C_BALANCED"",""hour_window"":""LONDON"",""reentry_atr"":0.03,""sweep_atr"":0.0,""wick_min"":0.1,""width_atr_max"":6.0,""width_atr_min"":1.0}"
30282,7860680373641207,29282,CHOP,CHOP_MATURE_EDGE_REENTRY_REVERSE,C_SCALP,213,32,"{""age_min"":32,""geometry_id"":""C_SCALP"",""hour_window"":""NEW_YORK"",""reentry_atr"":0.0,""sweep_atr"":0.03,""wick_min"":0.1,""width_atr_max"":6.0,""width_atr_min"":2.0}"
30283,fe67447f11cce3d9,29283,CHOP,CHOP_MATURE_EDGE_REENTRY_REVERSE,C_BALANCED,1113,246,"{""age_min"":8,""geometry_id"":""C_BALANCED"",""hour_window"":""LONDON_NY"",""reentry_atr"":0.0,""sweep_atr"":0.07,""wick_min"":0.25,""width_atr_max"":8.0,""width_atr_min"":2.0}"
30284,ce1f494475ec9282,29284,CHOP,CHOP_MATURE_EDGE_REENTRY_REVERSE,C_EXTENDED,344,51,"{""age_min"":32,""geometry_id"":""C_EXTENDED"",""hour_window"":""LONDON_NY"",""reentry_atr"":0.07,""sweep_atr"":0.0,""wick_min"":0.1,""width_atr_max"":6.0,""width_atr_min"":1.0}"
30285,db106a8617424133,29285,CHOP,CHOP_MATURE_EDGE_REENTRY_REVERSE,C_BALANCED,678,137,"{""age_min"":8,""geometry_id"":""C_BALANCED"",""hour_window"":""LONDON"",""reentry_atr"":0.03,""sweep_atr"":0.03,""wick_min"":0.1,""width_atr_max"":8.0,""width_atr_min"":1.0}"
30286,cb806444f89d778b,29286,CHOP,CHOP_MATURE_EDGE_REENTRY_REVERSE,C_SCALP,309,62,"{""age_min"":8,""geometry_id"":""C_SCALP"",""hour_window"":""LONDON"",""reentry_atr"":0.03,""sweep_atr"":0.07,""wick_min"":0.25,""width_atr_max"":6.0,""width_atr_min"":3.0}"
30287,b0600da8d21427ba,29287,CHOP,CHOP_MATURE_EDGE_REENTRY_REVERSE,C_SCALP,240,49,"{""age_min"":8,""geometry_id"":""C_SCALP"",""hour_window"":""ALL_LIQUID"",""reentry_atr"":0.0,""sweep_atr"":0.12,""wick_min"":0.25,""width_atr_max"":4.0,""width_atr_min"":3.0}"
30288,bf2e403b91f1b408,29288,CHOP,CHOP_MATURE_EDGE_REENTRY_REVERSE,C_EXTENDED,319,53,"{""age_min"":64,""geometry_id"":""C_EXTENDED"",""hour_window"":""ALL_LIQUID"",""reentry_atr"":0.07,""sweep_atr"":0.0,""wick_min"":0.1,""width_atr_max"":8.0,""width_atr_min"":1.0}"
30289,e8f86b434a333250,29289,CHOP,CHOP_MATURE_EDGE_REENTRY_REVERSE,C_BALANCED,356,65,"{""age_min"":16,""geometry_id"":""C_BALANCED"",""hour_window"":""LONDON"",""reentry_atr"":0.03,""sweep_atr"":0.07,""wick_min"":0.25,""width_atr_max"":8.0,""width_atr_min"":1.0}"
30290,a975c6b390807b8c,29290,CHOP,CHOP_MATURE_EDGE_REENTRY_REVERSE,C_EXTENDED,659,130,"{""age_min"":32,""geometry_id"":""C_EXTENDED"",""hour_window"":""ALL_LIQUID"",""reentry_atr"":0.03,""sweep_atr"":0.03,""wick_min"":0.1,""width_atr_max"":8.0,""width_atr_min"":2.0}"
30291,4748c1056a6774b8,29291,CHOP,CHOP_MATURE_EDGE_REENTRY_REVERSE,C_BALANCED,1122,227,"{""age_min"":8,""geometry_id"":""C_BALANCED"",""hour_window"":""ALL_LIQUID"",""reentry_atr"":0.0,""sweep_atr"":0.03,""wick_min"":0.25,""width_atr_max"":6.0,""width_atr_min"":1.0}"
30292,0fb010ee47b8cbd9,29292,CHOP,CHOP_MATURE_EDGE_REENTRY_REVERSE,C_BALANCED,198,39,"{""age_min"":32,""geometry_id"":""C_BALANCED"",""hour_window"":""NEW_YORK"",""reentry_atr"":0.03,""sweep_atr"":0.12,""wick_min"":0.4,""width_atr_max"":8.0,""width_atr_min"":3.0}"
30293,03725d73e53008c8,29293,CHOP,CHOP_MATURE_EDGE_REENTRY_REVERSE,C_BALANCED,155,21,"{""age_min"":16,""geometry_id"":""C_BALANCED"",""hour_window"":""ALL_LIQUID"",""reentry_atr"":0.0,""sweep_atr"":0.12,""wick_min"":0.1,""width_atr_max"":4.0,""width_atr_min"":2.0}"
30294,3ea9c882dfa7dd21,29294,CHOP,CHOP_MATURE_EDGE_REENTRY_REVERSE,C_SCALP,627,124,"{""age_min"":32,""geometry_id"":""C_SCALP"",""hour_window"":""LONDON_NY"",""reentry_atr"":0.07,""sweep_atr"":0.0,""wick_min"":0.1,""width_atr_max"":8.0,""width_atr_min"":2.0}"
