attempt_no,variant_id,paired_source_attempt_no,regime_owner,mechanic,geometry_id,raw_signal_count,minimum_era_raw_signal_count,parameters_json,whole_trades,whole_stress_net_r,whole_stress_pf,whole_average_stress_r,whole_closed_drawdown_r,era_2016_2019_trades,era_2016_2019_stress_net_r,era_2016_2019_stress_pf,era_2016_2019_average_stress_r,era_2016_2019_closed_drawdown_r,era_2019_2021_trades,era_2019_2021_stress_net_r,era_2019_2021_stress_pf,era_2019_2021_average_stress_r,era_2019_2021_closed_drawdown_r,era_2021_2024_trades,era_2021_2024_stress_net_r,era_2021_2024_stress_pf,era_2021_2024_average_stress_r,era_2021_2024_closed_drawdown_r,era_2024_2026_trades,era_2024_2026_stress_net_r,era_2024_2026_stress_pf,era_2024_2026_average_stress_r,era_2024_2026_closed_drawdown_r,top_winners_removed_stress_net_r,daily_pvalue,minimum_era_trades,minimum_era_stress_pf,minimum_era_average_stress_r,gate_checks_json,economic_pass,daily_fdr_qvalue,statistical_pass
30239,eb68cbffd59d6fbd,29239,CHOP,CHOP_MATURE_EDGE_REENTRY_REVERSE,C_SCALP,295,54,"{""age_min"":16,""geometry_id"":""C_SCALP"",""hour_window"":""LONDON"",""reentry_atr"":0.07,""sweep_atr"":0.03,""wick_min"":0.4,""width_atr_max"":8.0,""width_atr_min"":2.0}",24,-11.664226106414679,0.36999355618586705,-0.4860094211006116,11.664226106414679,2,-0.6878912674834332,0.499845974697234,-0.3439456337417166,1.3753588548388096,2,-2.3524204146816876,0.0,-1.1762102073408438,2.3524204146816876,2,-0.41996842587866756,0.6636470317008369,-0.20998421293933378,1.2485943798930124,18,-8.203945998370891,0.3940097094239357,-0.4557747776872717,8.203945998370891,-16.125078373688204,1.0,2,0.0,-1.1762102073408438,"{""maximum_closed_drawdown_r"": true, ""minimum_average_stress_r_each_era"": false, ""minimum_stress_pf_each_era"": false, ""minimum_top_winners_removed_net_r"": false, ""minimum_total_stress_pf"": false, ""minimum_total_trades"": false, ""minimum_trades_each_era"": false}",False,1.0,False
30240,5365974df9d1c2ae,29240,CHOP,CHOP_MATURE_EDGE_REENTRY_REVERSE,C_EXTENDED,293,52,"{""age_min"":32,""geometry_id"":""C_EXTENDED"",""hour_window"":""NEW_YORK"",""reentry_atr"":0.07,""sweep_atr"":0.12,""wick_min"":0.1,""width_atr_max"":8.0,""width_atr_min"":3.0}",190,-80.57304639181368,0.4952299271159359,-0.42406866522007197,80.99257393616284,30,-12.643075230921852,0.505491693692509,-0.4214358410307284,12.643075230921854,36,-17.616160631038856,0.4404934101127456,-0.4893377953066349,19.49359600351105,66,-25.20812218059504,0.5233132219433343,-0.3819412451605309,25.92278088192657,58,-25.10568834925792,0.4947454605519416,-0.4328566956768607,25.525215893607104,-90.17152862897208,1.0,30,0.4404934101127456,-0.4893377953066349,"{""maximum_closed_drawdown_r"": false, ""minimum_average_stress_r_each_era"": false, ""minimum_stress_pf_each_era"": false, ""minimum_top_winners_removed_net_r"": false, ""minimum_total_stress_pf"": false, ""minimum_total_trades"": true, ""minimum_trades_each_era"": true}",False,1.0,False
30241,8b0105db12b50e05,29241,CHOP,CHOP_MATURE_EDGE_REENTRY_REVERSE,C_SCALP,435,86,"{""age_min"":32,""geometry_id"":""C_SCALP"",""hour_window"":""ALL_LIQUID"",""reentry_atr"":0.07,""sweep_atr"":0.0,""wick_min"":0.4,""width_atr_max"":8.0,""width_atr_min"":3.0}",99,-37.09459048413132,0.4614374312156526,-0.3746928331730436,38.55840025390794,6,-1.7582567495501016,0.5502643789333028,-0.2930427915916836,3.9095341066820826,17,-5.213480715783478,0.5263819236391046,-0.30667533622255755,6.850284109282535,24,-5.462085083436141,0.621151965901115,-0.22758687847650586,7.266852637722346,52,-24.66076793536159,0.3763415891269992,-0.4742455372184921,24.660767935361594,-41.65802195793709,1.0,6,0.3763415891269992,-0.4742455372184921,"{""maximum_closed_drawdown_r"": false, ""minimum_average_stress_r_each_era"": false, ""minimum_stress_pf_each_era"": false, ""minimum_top_winners_removed_net_r"": false, ""minimum_total_stress_pf"": false, ""minimum_total_trades"": false, ""minimum_trades_each_era"": false}",False,1.0,False
30242,29620a8243b3dd56,29242,CHOP,CHOP_MATURE_EDGE_REENTRY_REVERSE,C_SCALP,119,17,"{""age_min"":64,""geometry_id"":""C_SCALP"",""hour_window"":""LONDON_NY"",""reentry_atr"":0.07,""sweep_atr"":0.03,""wick_min"":0.1,""width_atr_max"":6.0,""width_atr_min"":3.0}",37,-6.5222757116795425,0.6942757992445245,-0.17627772193728494,8.569182095622624,3,0.14528733805037386,1.114831608093309,0.04842911268345795,1.2652207912329987,7,-0.1799956469438334,0.9486299611505504,-0.025713663849119058,1.4679220738790506,13,-2.519198188931963,0.6587364854987517,-0.19378447607168944,3.344662114479568,14,-3.96836921385412,0.567845575819607,-0.2834549438467228,5.734741018610748,-10.931959026792931,1.0,3,0.567845575819607,-0.2834549438467228,"{""maximum_closed_drawdown_r"": true, ""minimum_average_stress_r_each_era"": false, ""minimum_stress_pf_each_era"": false, ""minimum_top_winners_removed_net_r"": false, ""minimum_total_stress_pf"": false, ""minimum_total_trades"": false, ""minimum_trades_each_era"": false}",False,1.0,False
30243,8be53953ac307eb5,29243,CHOP,CHOP_MATURE_EDGE_REENTRY_REVERSE,C_EXTENDED,124,22,"{""age_min"":64,""geometry_id"":""C_EXTENDED"",""hour_window"":""NEW_YORK"",""reentry_atr"":0.0,""sweep_atr"":0.07,""wick_min"":0.4,""width_atr_max"":8.0,""width_atr_min"":3.0}",89,-50.144066145266216,0.36408835114901855,-0.563416473542317,50.145895770199004,14,-3.6854341477626713,0.6599770075576854,-0.26324529626876225,5.970142779633996,22,-14.445565285133414,0.3034429246432892,-0.6566166038697007,15.148035658290087,31,-18.275950993098608,0.3377160416445802,-0.5895468062289874,18.990609694430145,22,-13.737115719271525,0.3020177738382198,-0.6244143508759784,13.737115719271527,-59.59716526639164,1.0,14,0.3020177738382198,-0.6566166038697007,"{""maximum_closed_drawdown_r"": false, ""minimum_average_stress_r_each_era"": false, ""minimum_stress_pf_each_era"": false, ""minimum_top_winners_removed_net_r"": false, ""minimum_total_stress_pf"": false, ""minimum_total_trades"": false, ""minimum_trades_each_era"": false}",False,1.0,False
30244,c32d79afeca024d8,29244,CHOP,CHOP_MATURE_EDGE_REENTRY_REVERSE,C_BALANCED,324,68,"{""age_min"":16,""geometry_id"":""C_BALANCED"",""hour_window"":""NEW_YORK"",""reentry_atr"":0.03,""sweep_atr"":0.07,""wick_min"":0.25,""width_atr_max"":6.0,""width_atr_min"":1.0}",168,-73.721293484807,0.456249177870154,-0.43881722312385124,79.01798329377007,19,0.7089565394825221,1.0637802234329519,0.03731350207802748,4.587733269480521,26,-2.664452250801919,0.8466816453342569,-0.10247893272315073,6.549252693582648,49,-28.674627711654516,0.3250182613700789,-0.5851964839113166,28.674627711654523,74,-43.0911700618331,0.3329842651991397,-0.5823131089436905,43.09117006183309,-80.7655668546432,1.0,19,0.3250182613700789,-0.5851964839113166,"{""maximum_closed_drawdown_r"": false, ""minimum_average_stress_r_each_era"": false, ""minimum_stress_pf_each_era"": false, ""minimum_top_winners_removed_net_r"": false, ""minimum_total_stress_pf"": false, ""minimum_total_trades"": true, ""minimum_trades_each_era"": true}",False,1.0,False
30245,db842e1efd861bed,29245,CHOP,CHOP_MATURE_EDGE_REENTRY_REVERSE,C_BALANCED,813,160,"{""age_min"":8,""geometry_id"":""C_BALANCED"",""hour_window"":""ALL_LIQUID"",""reentry_atr"":0.03,""sweep_atr"":0.0,""wick_min"":0.4,""width_atr_max"":6.0,""width_atr_min"":2.0}",308,-136.12382902801474,0.4539347372221158,-0.4419604838571907,140.12514585796563,27,-6.015746367872053,0.6995084656271572,-0.22280542103229825,10.017063197822884,68,-27.396427574496503,0.4943460300780204,-0.4028886408014192,27.586574087641324,89,-39.00754890828557,0.44393244539882143,-0.4382870663852311,39.00754890828558,124,-63.704106177360636,0.39290355429500406,-0.5137427917529084,63.704106177360664,-143.20950972298627,1.0,27,0.39290355429500406,-0.5137427917529084,"{""maximum_closed_drawdown_r"": false, ""minimum_average_stress_r_each_era"": false, ""minimum_stress_pf_each_era"": false, ""minimum_top_winners_removed_net_r"": false, ""minimum_total_stress_pf"": false, ""minimum_total_trades"": true, ""minimum_trades_each_era"": true}",False,1.0,False
30246,7d540ad6d0c15113,29246,CHOP,CHOP_MATURE_EDGE_REENTRY_REVERSE,C_BALANCED,175,28,"{""age_min"":64,""geometry_id"":""C_BALANCED"",""hour_window"":""ALL_LIQUID"",""reentry_atr"":0.07,""sweep_atr"":0.03,""wick_min"":0.4,""width_atr_max"":8.0,""width_atr_min"":2.0}",80,-34.68772243791519,0.46260085609224305,-0.43359653047393987,34.96669721259933,13,-1.0584201665793684,0.8781071875558671,-0.08141693589072065,3.6897582793904515,21,-7.537909759919734,0.5360008296463316,-0.35894808380570165,10.393058971945083,22,-9.014594409698704,0.4710020914659343,-0.40975429134994107,10.727982297507728,24,-17.076798101717387,0.24364624054871734,-0.7115332542382244,17.076798101717387,-41.60227026650021,1.0,13,0.24364624054871734,-0.7115332542382244,"{""maximum_closed_drawdown_r"": false, ""minimum_average_stress_r_each_era"": false, ""minimum_stress_pf_each_era"": false, ""minimum_top_winners_removed_net_r"": false, ""minimum_total_stress_pf"": false, ""minimum_total_trades"": false, ""minimum_trades_each_era"": false}",False,1.0,False
30247,811fac088f37f598,29247,CHOP,CHOP_MATURE_EDGE_REENTRY_REVERSE,C_EXTENDED,397,80,"{""age_min"":8,""geometry_id"":""C_EXTENDED"",""hour_window"":""NEW_YORK"",""reentry_atr"":0.03,""sweep_atr"":0.12,""wick_min"":0.25,""width_atr_max"":6.0,""width_atr_min"":3.0}",269,-89.7961980348137,0.5826855764138854,-0.33381486258295057,93.44124919833585,45,-9.470174320983011,0.726074909089843,-0.2104483182440669,15.440998847246508,54,-22.552451712311832,0.4998896368034511,-0.41763799467244134,26.924884142443375,88,-23.714883384871733,0.6524828325784787,-0.26948731119172425,25.54274499119172,82,-34.05868861664714,0.49368947465419866,-0.41534986117862366,34.05868861664713,-99.36806703546719,1.0,45,0.49368947465419866,-0.41763799467244134,"{""maximum_closed_drawdown_r"": false, ""minimum_average_stress_r_each_era"": false, ""minimum_stress_pf_each_era"": false, ""minimum_top_winners_removed_net_r"": false, ""minimum_total_stress_pf"": false, ""minimum_total_trades"": true, ""minimum_trades_each_era"": true}",False,1.0,False
30248,911fe4a8cc1d0423,29248,CHOP,CHOP_MATURE_EDGE_REENTRY_REVERSE,C_EXTENDED,450,93,"{""age_min"":8,""geometry_id"":""C_EXTENDED"",""hour_window"":""NEW_YORK"",""reentry_atr"":0.07,""sweep_atr"":0.03,""wick_min"":0.4,""width_atr_max"":6.0,""width_atr_min"":1.0}",294,-106.2096806405975,0.5500126917287762,-0.36125741714488946,110.24134615357347,46,-14.86791958755003,0.5853794310973249,-0.32321564320760937,21.226354547456438,74,-20.762637930472362,0.6367216952450535,-0.2805761882496265,25.40084437413094,92,-29.514505690668265,0.5975428653110256,-0.3208098444637855,33.42917857880387,82,-41.064617431906825,0.410666540093087,-0.5007880174622783,41.75657397438095,-115.7921414485011,1.0,46,0.410666540093087,-0.5007880174622783,"{""maximum_closed_drawdown_r"": false, ""minimum_average_stress_r_each_era"": false, ""minimum_stress_pf_each_era"": false, ""minimum_top_winners_removed_net_r"": false, ""minimum_total_stress_pf"": false, ""minimum_total_trades"": true, ""minimum_trades_each_era"": true}",False,1.0,False
