attempt_no,variant_id,paired_source_attempt_no,regime_owner,mechanic,geometry_id,raw_signal_count,minimum_era_raw_signal_count,parameters_json,side,whole_trades,whole_stress_net_r,whole_stress_pf,whole_average_stress_r,whole_closed_drawdown_r,era_2016_2019_trades,era_2016_2019_stress_net_r,era_2016_2019_stress_pf,era_2016_2019_average_stress_r,era_2016_2019_closed_drawdown_r,era_2019_2021_trades,era_2019_2021_stress_net_r,era_2019_2021_stress_pf,era_2019_2021_average_stress_r,era_2019_2021_closed_drawdown_r,era_2021_2024_trades,era_2021_2024_stress_net_r,era_2021_2024_stress_pf,era_2021_2024_average_stress_r,era_2021_2024_closed_drawdown_r,era_2024_2026_trades,era_2024_2026_stress_net_r,era_2024_2026_stress_pf,era_2024_2026_average_stress_r,era_2024_2026_closed_drawdown_r,top_winners_removed_stress_net_r,daily_pvalue,minimum_era_trades,minimum_era_stress_pf,minimum_era_average_stress_r,gate_checks_json,economic_pass,daily_fdr_qvalue,statistical_pass
30244,c32d79afeca024d8,29244,CHOP,CHOP_MATURE_EDGE_REENTRY_REVERSE,C_BALANCED,324,68,"{""age_min"":16,""geometry_id"":""C_BALANCED"",""hour_window"":""NEW_YORK"",""reentry_atr"":0.03,""sweep_atr"":0.07,""wick_min"":0.25,""width_atr_max"":6.0,""width_atr_min"":1.0}",LONG,77,-43.073191521402,0.355388554207236,-0.5593920976805454,46.89830396262496,11,-1.0199563913526322,0.8616278330382197,-0.09272330830478474,2.479067744953667,11,-2.743391392641391,0.659842413241786,-0.2493992175128537,4.576321625972898,19,-13.001722941435203,0.2515956118529212,-0.6843012074439581,13.001722941435204,36,-26.308120795972787,0.22649644011691544,-0.7307811332214663,28.738135252719424,-50.098150927678574,1.0,11,0.22649644011691544,-0.7307811332214663,"{""maximum_closed_drawdown_r"": false, ""minimum_average_stress_r_each_era"": false, ""minimum_stress_pf_each_era"": false, ""minimum_top_winners_removed_net_r"": false, ""minimum_total_stress_pf"": false, ""minimum_total_trades"": false, ""minimum_trades_each_era"": false}",False,1.0,False
30244,c32d79afeca024d8,29244,CHOP,CHOP_MATURE_EDGE_REENTRY_REVERSE,C_BALANCED,324,68,"{""age_min"":16,""geometry_id"":""C_BALANCED"",""hour_window"":""NEW_YORK"",""reentry_atr"":0.03,""sweep_atr"":0.07,""wick_min"":0.25,""width_atr_max"":6.0,""width_atr_min"":1.0}",SHORT,91,-30.648101963405004,0.5542664162409531,-0.33679232926818686,35.05993694568957,8,1.7289129308351545,1.4617197039437377,0.21611411635439431,2.490247219517131,15,0.07893914183947226,1.008475776195339,0.005262609455964818,2.747298997662382,30,-15.67290477021931,0.37581744858485744,-0.5224301590073103,17.184302550032246,38,-16.783049265860317,0.45137824581839414,-0.44165919120685043,17.069351999803096,-37.57839901796181,1.0,8,0.37581744858485744,-0.5224301590073103,"{""maximum_closed_drawdown_r"": false, ""minimum_average_stress_r_each_era"": false, ""minimum_stress_pf_each_era"": false, ""minimum_top_winners_removed_net_r"": false, ""minimum_total_stress_pf"": false, ""minimum_total_trades"": false, ""minimum_trades_each_era"": false}",False,1.0,False
30245,db842e1efd861bed,29245,CHOP,CHOP_MATURE_EDGE_REENTRY_REVERSE,C_BALANCED,813,160,"{""age_min"":8,""geometry_id"":""C_BALANCED"",""hour_window"":""ALL_LIQUID"",""reentry_atr"":0.03,""sweep_atr"":0.0,""wick_min"":0.4,""width_atr_max"":6.0,""width_atr_min"":2.0}",LONG,140,-61.36711941448934,0.45785983377617545,-0.4383365672463524,63.08249795192165,14,-4.784410024428257,0.5709973134409563,-0.34174357317344695,6.1857852371542705,25,-10.947225123371984,0.4556043327994375,-0.43788900493487937,12.322050151985353,38,-14.971138586212968,0.48983875984681846,-0.3939773312161307,15.36125822337929,63,-30.66434568047614,0.41688295426817157,-0.48673564572184347,33.555733162109675,-68.43196016668236,1.0,14,0.41688295426817157,-0.48673564572184347,"{""maximum_closed_drawdown_r"": false, ""minimum_average_stress_r_each_era"": false, ""minimum_stress_pf_each_era"": false, ""minimum_top_winners_removed_net_r"": false, ""minimum_total_stress_pf"": false, ""minimum_total_trades"": true, ""minimum_trades_each_era"": false}",False,1.0,False
30245,db842e1efd861bed,29245,CHOP,CHOP_MATURE_EDGE_REENTRY_REVERSE,C_BALANCED,813,160,"{""age_min"":8,""geometry_id"":""C_BALANCED"",""hour_window"":""ALL_LIQUID"",""reentry_atr"":0.03,""sweep_atr"":0.0,""wick_min"":0.4,""width_atr_max"":6.0,""width_atr_min"":2.0}",SHORT,168,-74.75670961352542,0.4506699288643536,-0.4449804143662227,79.88685073687867,13,-1.2313363434437972,0.8611371733180513,-0.09471818026490747,6.361477466797037,43,-16.449202451124517,0.5172114985970598,-0.3825395918866167,16.87958742866115,51,-24.0364103220726,0.4109162334473476,-0.47130216317789414,24.24069317090653,61,-33.03976049688451,0.3688135398477048,-0.5416354179817133,33.039760496884504,-81.7400424970656,1.0,13,0.3688135398477048,-0.5416354179817133,"{""maximum_closed_drawdown_r"": false, ""minimum_average_stress_r_each_era"": false, ""minimum_stress_pf_each_era"": false, ""minimum_top_winners_removed_net_r"": false, ""minimum_total_stress_pf"": false, ""minimum_total_trades"": true, ""minimum_trades_each_era"": false}",False,1.0,False
30246,7d540ad6d0c15113,29246,CHOP,CHOP_MATURE_EDGE_REENTRY_REVERSE,C_BALANCED,175,28,"{""age_min"":64,""geometry_id"":""C_BALANCED"",""hour_window"":""ALL_LIQUID"",""reentry_atr"":0.07,""sweep_atr"":0.03,""wick_min"":0.4,""width_atr_max"":8.0,""width_atr_min"":2.0}",LONG,27,-4.888175195404281,0.7408509876870446,-0.1810435257557141,5.725466227596726,7,-1.2242064427025037,0.7552529723703262,-0.17488663467178625,3.73466031446602,4,-0.4015692550169956,0.8316408871363131,-0.1003923137542489,1.2003463740682154,6,-1.9484082419676307,0.5819140301586176,-0.3247347069946051,2.306072139487738,10,-1.3139912557171503,0.8071908941501615,-0.13139912557171501,2.3100198331581216,-11.795746206337117,1.0,4,0.5819140301586176,-0.3247347069946051,"{""maximum_closed_drawdown_r"": true, ""minimum_average_stress_r_each_era"": false, ""minimum_stress_pf_each_era"": false, ""minimum_top_winners_removed_net_r"": false, ""minimum_total_stress_pf"": false, ""minimum_total_trades"": false, ""minimum_trades_each_era"": false}",False,1.0,False
30246,7d540ad6d0c15113,29246,CHOP,CHOP_MATURE_EDGE_REENTRY_REVERSE,C_BALANCED,175,28,"{""age_min"":64,""geometry_id"":""C_BALANCED"",""hour_window"":""ALL_LIQUID"",""reentry_atr"":0.07,""sweep_atr"":0.03,""wick_min"":0.4,""width_atr_max"":8.0,""width_atr_min"":2.0}",SHORT,53,-29.79954724251091,0.3477170085713795,-0.5622556083492625,31.302728459897548,6,0.16578627612313634,1.0450349737340778,0.027631046020522725,2.4214673980366745,17,-7.136340504902739,0.48512476069292776,-0.41978473558251406,9.831925332502657,16,-7.0661861677310736,0.4292525649913372,-0.4416366354831921,8.421910158019989,14,-15.762806846000233,0.0,-1.1259147747143023,15.762806846000233,-36.57670922730191,1.0,6,0.0,-1.1259147747143023,"{""maximum_closed_drawdown_r"": false, ""minimum_average_stress_r_each_era"": false, ""minimum_stress_pf_each_era"": false, ""minimum_top_winners_removed_net_r"": false, ""minimum_total_stress_pf"": false, ""minimum_total_trades"": false, ""minimum_trades_each_era"": false}",False,1.0,False
30247,811fac088f37f598,29247,CHOP,CHOP_MATURE_EDGE_REENTRY_REVERSE,C_EXTENDED,397,80,"{""age_min"":8,""geometry_id"":""C_EXTENDED"",""hour_window"":""NEW_YORK"",""reentry_atr"":0.03,""sweep_atr"":0.12,""wick_min"":0.25,""width_atr_max"":6.0,""width_atr_min"":3.0}",LONG,127,-42.85133528773213,0.5753723694089573,-0.3374120888797805,44.775767065392294,25,-8.51852096151143,0.5689401774986265,-0.34074083846045716,10.302923819608273,23,-12.526227197700848,0.35676893796409004,-0.5446185738130803,12.526227197700852,39,1.1775181143417397,1.0447349940711137,0.03019277216260871,7.550887185117403,40,-22.984105242861585,0.34994714365078294,-0.5746026310715396,24.90853702052174,-52.370849216230845,1.0,23,0.34994714365078294,-0.5746026310715396,"{""maximum_closed_drawdown_r"": false, ""minimum_average_stress_r_each_era"": false, ""minimum_stress_pf_each_era"": false, ""minimum_top_winners_removed_net_r"": false, ""minimum_total_stress_pf"": false, ""minimum_total_trades"": true, ""minimum_trades_each_era"": true}",False,1.0,False
30247,811fac088f37f598,29247,CHOP,CHOP_MATURE_EDGE_REENTRY_REVERSE,C_EXTENDED,397,80,"{""age_min"":8,""geometry_id"":""C_EXTENDED"",""hour_window"":""NEW_YORK"",""reentry_atr"":0.03,""sweep_atr"":0.12,""wick_min"":0.25,""width_atr_max"":6.0,""width_atr_min"":3.0}",SHORT,142,-46.94486274708159,0.5891445711699235,-0.3305976249794478,53.02048349564296,20,-0.9516533594715839,0.9357439239263498,-0.0475826679735792,7.568644612677452,31,-10.026224514610979,0.6086721436246245,-0.3234265972455154,18.411979290839223,49,-24.892401499213467,0.4061759539284067,-0.5080081938614993,24.892401499213463,42,-11.074583373785556,0.6529550578727787,-0.2636805565187037,11.924154291103395,-56.458790630594734,1.0,20,0.4061759539284067,-0.5080081938614993,"{""maximum_closed_drawdown_r"": false, ""minimum_average_stress_r_each_era"": false, ""minimum_stress_pf_each_era"": false, ""minimum_top_winners_removed_net_r"": false, ""minimum_total_stress_pf"": false, ""minimum_total_trades"": true, ""minimum_trades_each_era"": true}",False,1.0,False
30248,911fe4a8cc1d0423,29248,CHOP,CHOP_MATURE_EDGE_REENTRY_REVERSE,C_EXTENDED,450,93,"{""age_min"":8,""geometry_id"":""C_EXTENDED"",""hour_window"":""NEW_YORK"",""reentry_atr"":0.07,""sweep_atr"":0.03,""wick_min"":0.4,""width_atr_max"":6.0,""width_atr_min"":1.0}",LONG,132,-44.13870745126047,0.5751720084170623,-0.3343841473580339,47.821101145365844,25,-8.565992083603463,0.5676094741226012,-0.3426396833441385,10.350394941700308,27,-7.9424338483242956,0.5893746635844725,-0.2941642166046035,10.417475805325164,39,-4.804662903981573,0.8325593051184658,-0.12319648471747623,15.913730755003682,41,-22.825618615351136,0.3668353607849755,-0.5567224052524667,27.400536541967906,-53.676822804604235,1.0,25,0.3668353607849755,-0.5567224052524667,"{""maximum_closed_drawdown_r"": false, ""minimum_average_stress_r_each_era"": false, ""minimum_stress_pf_each_era"": false, ""minimum_top_winners_removed_net_r"": false, ""minimum_total_stress_pf"": false, ""minimum_total_trades"": true, ""minimum_trades_each_era"": true}",False,1.0,False
30248,911fe4a8cc1d0423,29248,CHOP,CHOP_MATURE_EDGE_REENTRY_REVERSE,C_EXTENDED,450,93,"{""age_min"":8,""geometry_id"":""C_EXTENDED"",""hour_window"":""NEW_YORK"",""reentry_atr"":0.07,""sweep_atr"":0.03,""wick_min"":0.4,""width_atr_max"":6.0,""width_atr_min"":1.0}",SHORT,162,-62.07097318933701,0.5302292072889692,-0.38315415548973464,66.70435739904536,21,-6.301927503946567,0.6073154727416168,-0.30009178590221747,11.477678302488474,47,-12.820204082148067,0.6609420038675323,-0.27277029962017163,15.427638597555102,53,-24.709842786686686,0.4464772417540413,-0.46622344880540917,25.402770070240063,41,-18.238998816555696,0.4576522613928641,-0.44485362967209013,18.930955359029806,-71.5796517817513,1.0,21,0.4464772417540413,-0.46622344880540917,"{""maximum_closed_drawdown_r"": false, ""minimum_average_stress_r_each_era"": false, ""minimum_stress_pf_each_era"": false, ""minimum_top_winners_removed_net_r"": false, ""minimum_total_stress_pf"": false, ""minimum_total_trades"": true, ""minimum_trades_each_era"": true}",False,1.0,False
