overlap_start,overlap_end,m15_volume_long,control_volume_short,gross_eurusd_lots,net_eurusd_lots_long
2024-07-29 08:00:00+00:00,2024-07-29 08:13:00+00:00,0.01,0.01,0.02,0.0
2024-07-29 08:15:00+00:00,2024-07-29 08:53:37+00:00,0.01,0.01,0.02,0.0
2024-07-29 09:00:00+00:00,2024-07-29 09:08:32+00:00,0.01,0.01,0.02,0.0
2024-08-01 08:00:00+00:00,2024-08-01 08:04:35+00:00,0.01,0.01,0.02,0.0
2024-08-28 10:15:00+00:00,2024-08-28 12:05:34+00:00,0.01,0.01,0.02,0.0
2024-08-28 12:15:00+00:00,2024-08-28 12:19:37+00:00,0.01,0.01,0.02,0.0
2024-08-29 09:00:00+00:00,2024-08-29 09:25:34+00:00,0.01,0.01,0.02,0.0
2024-08-29 12:45:00+00:00,2024-08-29 13:13:41+00:00,0.01,0.01,0.02,0.0
2024-09-23 08:00:00+00:00,2024-09-23 08:13:06+00:00,0.01,0.01,0.02,0.0
2024-09-23 08:15:00+00:00,2024-09-23 08:53:08+00:00,0.01,0.01,0.02,0.0
2024-09-23 09:00:00+00:00,2024-09-23 09:20:01+00:00,0.01,0.01,0.02,0.0
2024-11-20 08:30:00+00:00,2024-11-20 08:33:59+00:00,0.01,0.01,0.02,0.0
2024-12-10 08:15:00+00:00,2024-12-10 11:25:14+00:00,0.01,0.01,0.02,0.0
2024-12-11 07:00:00+00:00,2024-12-11 07:03:33+00:00,0.01,0.01,0.02,0.0
2024-12-17 08:15:00+00:00,2024-12-17 09:00:36+00:00,0.01,0.01,0.02,0.0
2024-12-17 09:30:00+00:00,2024-12-17 10:00:23+00:00,0.01,0.01,0.02,0.0
2025-01-02 10:00:00+00:00,2025-01-02 10:09:34+00:00,0.01,0.01,0.02,0.0
2025-01-08 08:00:00+00:00,2025-01-08 10:19:51+00:00,0.01,0.01,0.02,0.0
2025-01-08 10:30:00+00:00,2025-01-08 10:30:24+00:00,0.01,0.01,0.02,0.0
2025-01-29 07:00:00+00:00,2025-01-29 07:10:05+00:00,0.01,0.01,0.02,0.0
2025-01-29 09:00:00+00:00,2025-01-29 09:12:59+00:00,0.01,0.01,0.02,0.0
2025-02-24 08:30:00+00:00,2025-02-24 11:31:34+00:00,0.01,0.01,0.02,0.0
2025-03-20 08:15:00+00:00,2025-03-20 08:24:40+00:00,0.01,0.01,0.02,0.0
2025-05-08 07:00:00+00:00,2025-05-08 07:38:00+00:00,0.01,0.01,0.02,0.0
2025-07-10 12:00:00+00:00,2025-07-10 12:29:34+00:00,0.01,0.01,0.02,0.0
2025-07-17 12:00:00+00:00,2025-07-17 12:12:12+00:00,0.01,0.01,0.02,0.0
2025-07-28 08:00:00+00:00,2025-07-28 08:24:43+00:00,0.01,0.01,0.02,0.0
2025-07-28 08:30:00+00:00,2025-07-28 09:34:40+00:00,0.01,0.01,0.02,0.0
2025-07-28 10:00:00+00:00,2025-07-28 11:17:20+00:00,0.01,0.01,0.02,0.0
2025-07-28 11:30:00+00:00,2025-07-28 12:02:32+00:00,0.01,0.01,0.02,0.0
2025-08-25 15:45:00+00:00,2025-08-25 15:52:39+00:00,0.01,0.01,0.02,0.0
2025-08-27 08:15:00+00:00,2025-08-27 08:31:30+00:00,0.01,0.01,0.02,0.0
2025-09-25 08:00:00+00:00,2025-09-25 08:12:31+00:00,0.01,0.01,0.02,0.0
2025-10-07 09:00:00+00:00,2025-10-07 10:35:37+00:00,0.01,0.01,0.02,0.0
2025-10-07 11:30:00+00:00,2025-10-07 11:50:30+00:00,0.01,0.01,0.02,0.0
2025-12-18 09:15:00+00:00,2025-12-18 09:25:20+00:00,0.01,0.01,0.02,0.0
2026-01-02 08:30:00+00:00,2026-01-02 09:07:43+00:00,0.01,0.01,0.02,0.0
2026-01-02 09:45:00+00:00,2026-01-02 10:01:37+00:00,0.01,0.01,0.02,0.0
2026-01-07 08:15:00+00:00,2026-01-07 08:38:31+00:00,0.01,0.01,0.02,0.0
2026-02-13 07:00:00+00:00,2026-02-13 13:30:29+00:00,0.02,0.01,0.03,0.01
2026-02-23 10:00:00+00:00,2026-02-23 11:13:30+00:00,0.01,0.01,0.02,0.0
2026-02-23 11:15:00+00:00,2026-02-23 11:31:34+00:00,0.01,0.01,0.02,0.0
2026-02-23 12:15:00+00:00,2026-02-23 12:20:38+00:00,0.01,0.01,0.02,0.0
2026-02-26 10:45:00+00:00,2026-02-26 11:00:41+00:00,0.01,0.01,0.02,0.0
2026-03-02 07:00:00+00:00,2026-03-02 07:08:38+00:00,0.01,0.01,0.02,0.0
2026-03-02 08:30:00+00:00,2026-03-02 08:48:28+00:00,0.01,0.01,0.02,0.0
2026-03-11 10:00:00+00:00,2026-03-11 10:31:38+00:00,0.01,0.01,0.02,0.0
2026-03-11 16:00:00+00:00,2026-03-11 16:09:40+00:00,0.01,0.01,0.02,0.0
2026-03-18 08:30:00+00:00,2026-03-18 08:47:27+00:00,0.01,0.01,0.02,0.0
2026-03-20 10:15:00+00:00,2026-03-20 10:40:17+00:00,0.01,0.01,0.02,0.0
2026-03-23 10:00:00+00:00,2026-03-23 11:05:19+00:00,0.01,0.01,0.02,0.0
2026-03-26 11:45:00+00:00,2026-03-26 11:47:05+00:00,0.01,0.01,0.02,0.0
2026-03-27 12:00:00+00:00,2026-03-27 12:44:37+00:00,0.01,0.01,0.02,0.0
2026-05-04 10:15:00+00:00,2026-05-04 10:18:05+00:00,0.01,0.01,0.02,0.0
2026-05-13 08:00:00+00:00,2026-05-13 08:47:16+00:00,0.01,0.01,0.02,0.0
