policy_id,state_schema,short_window,long_window,minimum_profit_factor,core_frequency_edge_dd_pass,full_v62_gate_pass,development_1_new_trades,development_1_new_trades_per_weekday,development_1_new_net_usd,development_1_new_profit_factor,development_1_new_closed_drawdown_usd,development_1_new_top5_removed_net_usd,development_1_new_positive_month_share,development_1_combined_trades,development_1_combined_trades_per_weekday,development_1_combined_net_usd,development_1_combined_profit_factor,development_1_combined_closed_drawdown_usd,development_1_combined_top5_removed_net_usd,development_1_combined_positive_month_share,development_2_new_trades,development_2_new_trades_per_weekday,development_2_new_net_usd,development_2_new_profit_factor,development_2_new_closed_drawdown_usd,development_2_new_top5_removed_net_usd,development_2_new_positive_month_share,development_2_combined_trades,development_2_combined_trades_per_weekday,development_2_combined_net_usd,development_2_combined_profit_factor,development_2_combined_closed_drawdown_usd,development_2_combined_top5_removed_net_usd,development_2_combined_positive_month_share,confirmation_new_trades,confirmation_new_trades_per_weekday,confirmation_new_net_usd,confirmation_new_profit_factor,confirmation_new_closed_drawdown_usd,confirmation_new_top5_removed_net_usd,confirmation_new_positive_month_share,confirmation_combined_trades,confirmation_combined_trades_per_weekday,confirmation_combined_net_usd,confirmation_combined_profit_factor,confirmation_combined_closed_drawdown_usd,confirmation_combined_top5_removed_net_usd,confirmation_combined_positive_month_share,final_new_trades,final_new_trades_per_weekday,final_new_net_usd,final_new_profit_factor,final_new_closed_drawdown_usd,final_new_top5_removed_net_usd,final_new_positive_month_share,final_combined_trades,final_combined_trades_per_weekday,final_combined_net_usd,final_combined_profit_factor,final_combined_closed_drawdown_usd,final_combined_top5_removed_net_usd,final_combined_positive_month_share
S2_W20_100_PF1P0,mechanism|action_id|regime,20,100,1.0,False,False,615,0.7844387755102041,191.29526971619453,1.1568515129378716,220.51435297029772,124.50340707915657,0.3611111111111111,1201,1.531887755102041,508.26866260290444,1.184589125727325,241.0960227062343,370.55485769079894,0.4444444444444444,434,0.8330134357005758,285.03944006402725,1.3264180484155765,154.25627813855172,216.69978275220075,0.375,1029,1.9750479846449136,1384.8564058927573,1.5255482290824662,377.1771890063287,1078.2064058927572,0.4583333333333333,341,1.3065134099616857,782.4134594075908,1.9472328453213748,98.7122431155401,707.2458336804775,0.6666666666666666,782,2.996168582375479,2055.8655736699575,1.7425501484898627,314.56519092981364,1492.7255736699578,0.75,143,0.5478927203065134,-442.2033761927878,0.4313464631816012,444.0676901809185,-517.0155486565208,0.25,507,1.9425287356321839,2095.141786999254,1.6202385456461788,162.17565438688962,701.5290586372398,0.75
S4_W20_100_PF1P0,mechanism|action_id|regime|direction,20,100,1.0,False,False,606,0.7729591836734694,142.03205914211227,1.1172454649272276,208.25853309829515,84.4389049247605,0.3888888888888889,1192,1.5204081632653061,459.0054520288223,1.1671952081723325,264.91428980268137,321.2916471167167,0.4166666666666667,462,0.8867562380038387,290.7577824645833,1.3077194220075903,153.63895920741268,218.58242428114357,0.375,1057,2.0287907869481767,1390.5747482933136,1.5137499160432941,376.5598700751896,1083.9247482933133,0.4583333333333333,350,1.3409961685823755,775.8502204551801,1.908875315992974,106.77220261393381,702.5642341095397,0.8333333333333334,791,3.0306513409961684,2049.302334717547,1.7328636537123028,237.7544501298148,1486.1623347175473,0.75,134,0.5134099616858238,-31.470946561685253,0.9453964907276258,231.40925797445755,-105.53090922521716,0.4166666666666667,498,1.9080459770114941,2505.8742166303564,1.7888336128209181,216.37984664077487,1112.2614882683422,0.9166666666666666
S4_W60_240_PF1P0,mechanism|action_id|regime|direction,60,240,1.0,False,False,527,0.6721938775510204,322.17085949928355,1.321246312497189,170.8070471320678,259.84214718356174,0.3611111111111111,1113,1.4196428571428572,639.1442523859935,1.251949319685952,204.00809772695175,501.430447473888,0.4722222222222222,505,0.9692898272552783,321.3356207819682,1.286985195119804,144.31821047863238,249.27703054573186,0.375,1100,2.111324376199616,1421.152586610698,1.493193780735313,324.93166820526454,1114.5025866106982,0.4166666666666667,358,1.371647509578544,697.6668162923152,1.7596386762258676,182.98127732090438,622.7731685223018,0.8333333333333334,799,3.0613026819923372,1971.1189305546823,1.6889432887910856,267.83307109735244,1407.9789305546824,0.75,129,0.4942528735632184,-11.01406340238308,0.9798464515426989,113.26046306279277,-85.35334404258091,0.16666666666666666,493,1.8888888888888888,2526.3310997896583,1.8028161700538974,151.54040379736625,1132.7183714276443,0.9166666666666666
S3_W20_100_PF1P0,mechanism|action_id|h4adx,20,100,1.0,False,False,611,0.7793367346938775,432.618446238107,1.378126704125809,143.5636303386488,370.3878491345617,0.5,1197,1.5267857142857142,749.5918391248172,1.2799043401003003,265.8410930374074,611.8780342127116,0.5555555555555556,522,1.0019193857965452,258.2973955540765,1.237134832537757,165.16798339962565,201.33000790109134,0.4166666666666667,1117,2.143953934740883,1358.1143613828065,1.4763510943419964,332.1102309058733,1051.4643613828066,0.4166666666666667,289,1.10727969348659,616.5011348004546,1.881809290987679,155.50619179121247,546.9998782026853,0.4166666666666667,730,2.796934865900383,1889.9532490628217,1.7154067226732663,327.622847972252,1326.8132490628218,0.6666666666666666,121,0.46360153256704983,-87.43339076724585,0.8400830605307936,174.10913126237867,-186.62896858853074,0.25,485,1.8582375478927202,2449.9117724247953,1.7784735116407597,152.58940082371737,1056.2990440627816,0.8333333333333334
S4_W40_160_PF1P0,mechanism|action_id|regime|direction,40,160,1.0,False,False,561,0.7155612244897959,200.58740357913598,1.1795003826186907,154.56986397841123,145.37689442221279,0.3333333333333333,1147,1.4630102040816326,517.560796465846,1.1952031966757042,243.32583089688455,379.84699155374045,0.4444444444444444,534,1.0249520153550864,452.7906912378965,1.4018760905610503,145.87578892783614,380.5163145383771,0.5,1129,2.166986564299424,1552.6076570666269,1.537508252127928,323.8329620368296,1245.9576570666268,0.4166666666666667,384,1.471264367816092,787.3128419488223,1.8039919771532127,124.01986612626456,710.8191172656208,0.75,825,3.160919540229885,2060.7649562111897,1.7052798400211895,268.98948855332185,1497.6249562111896,0.8333333333333334,115,0.44061302681992337,-127.36538129076575,0.7583369816470588,171.8994674444258,-201.17675261092876,0.25,479,1.8352490421455938,2409.9797819012756,1.7706100709767778,179.4647077568644,1016.3670535392619,0.9166666666666666
S2_W40_160_PF1P0,mechanism|action_id|regime,40,160,1.0,False,False,562,0.7168367346938775,276.31933273910903,1.2473552713088554,136.42337981410344,217.47885118810478,0.3055555555555556,1148,1.4642857142857142,593.292725625819,1.2237984229539458,242.52345732508022,455.57892071371356,0.4722222222222222,508,0.9750479846449136,451.484785170401,1.439386404819175,110.95350242265405,382.6864309412732,0.5,1103,2.1170825335892514,1551.301750999131,1.5561476211740612,333.95982995709807,1244.651750999131,0.4583333333333333,342,1.3103448275862069,766.6894860961917,1.935332991196678,88.81527571002653,691.9646212198911,0.5,783,3.0,2040.1416003585587,1.7385520231127802,325.08390386522547,1477.0016003585588,0.75,115,0.44061302681992337,-145.94125633026619,0.7093203096368222,191.06935112832278,-217.9676627377463,0.5,479,1.8352490421455938,2391.4039068617753,1.770824364430846,165.12138730005995,997.7911784997614,0.8333333333333334
S1_W20_100_PF1P0,mechanism|action_id|direction,20,100,1.0,False,False,654,0.8341836734693877,601.7000107709446,1.5338923411206462,128.61055065332445,538.8162345930231,0.5,1240,1.5816326530612246,918.6734036576546,1.3452458635494169,241.50748838516526,780.9595987455491,0.5555555555555556,434,0.8330134357005758,352.36143721509825,1.4418350911023816,145.41650148215794,286.3497319681069,0.4166666666666667,1029,1.9750479846449136,1452.1784030438282,1.5674054417578749,362.91306639091425,1145.5284030438283,0.4166666666666667,301,1.1532567049808429,555.7888824993415,1.733287406237806,192.73162580372275,486.04339683021414,0.4166666666666667,742,2.842911877394636,1829.2409967617086,1.6773466842075881,371.51445841284044,1266.1009967617088,0.6666666666666666,113,0.4329501915708812,-10.92134978730109,0.9786248680623787,220.37781067431354,-93.22428922411676,0.5,477,1.8275862068965518,2526.4238134047405,1.8120243367128512,227.39178649837925,1132.8110850427265,0.9166666666666666
S4_W40_160_PF1P05,mechanism|action_id|regime|direction,40,160,1.05,False,False,553,0.7053571428571429,319.5286484854946,1.2983324848270184,128.45096298608178,258.6865681240174,0.4722222222222222,1139,1.4528061224489797,636.5020413722045,1.2443416259346638,239.57942450854102,498.7882364600991,0.4722222222222222,545,1.0460652591170825,477.01243534499145,1.4082653454542917,126.41113660100017,405.06740347288496,0.5416666666666666,1140,2.1880998080614202,1576.8294011737216,1.5381258894621912,324.59250723501555,1270.1794011737215,0.4583333333333333,353,1.3524904214559388,664.775591689895,1.7016729570440003,134.112297181161,590.2684935816732,0.6666666666666666,794,3.0421455938697317,1938.2277059522623,1.6706504107939457,278.32560661897026,1375.0877059522622,0.6666666666666666,99,0.3793103448275862,-103.32574123675519,0.7729185991196157,175.99826435509436,-177.13711255691823,0.3333333333333333,463,1.7739463601532568,2434.019421955286,1.7966430050118996,168.23302592270682,1040.4066935932724,0.9166666666666666
S4_W20_100_PF1P05,mechanism|action_id|regime|direction,20,100,1.05,False,False,594,0.7576530612244898,171.3940094840728,1.1467482631778056,175.96872792551824,113.80085526672107,0.4166666666666667,1180,1.5051020408163265,488.3674023707828,1.1807519869571292,241.5996753753677,350.65359745867727,0.4444444444444444,462,0.8867562380038387,238.62585622850366,1.250306949333188,151.97416185585428,171.31954299809706,0.4166666666666667,1057,2.0287907869481767,1338.442822057234,1.4929501556261502,374.8950727236313,1031.792822057234,0.4583333333333333,329,1.260536398467433,696.7891132353179,1.846726722304744,107.81869625834827,623.5031268896776,0.75,770,2.950191570881226,1970.241227497685,1.7124158837238588,265.0203431878498,1407.1012274976852,0.75,98,0.37547892720306514,-32.185353110554075,0.9262417849695471,141.82609143978155,-105.89500962287416,0.4166666666666667,462,1.7701149425287357,2505.159810081487,1.8249634442896,204.7207919485727,1111.5470817194737,0.9166666666666666
S1_W20_100_PF1P05,mechanism|action_id|direction,20,100,1.05,False,False,623,0.7946428571428571,624.388492026995,1.5961385939703114,134.87212548729607,561.5047158490734,0.5,1209,1.5420918367346939,941.3618849137049,1.3646841976610748,239.6963201635814,803.6480800015994,0.5555555555555556,425,0.8157389635316699,398.88248559522697,1.5275007748614,152.2178637098274,332.8707803482356,0.4583333333333333,1020,1.9577735124760076,1498.699451423957,1.5951920244992646,344.71830742315893,1192.0494514239572,0.4166666666666667,296,1.1340996168582376,611.3923978903238,1.851200083516241,154.59724464786598,540.8245711689739,0.4166666666666667,737,2.8237547892720305,1884.8445121526909,1.7083411694042743,358.482919114532,1321.7045121526908,0.75,95,0.36398467432950193,-4.8224718029906315,0.9892130192269847,186.92373954089157,-87.12541123980625,0.4166666666666667,459,1.7586206896551724,2532.522691389051,1.831045638576635,201.33603520607812,1138.909963027037,0.9166666666666666
