trade_id,entry_time_utc,exit_time_utc,accepted,decision_reason,active_before_decision,entries_on_day_before_decision
2022-11-24 04:00:00|LONG|h4_d1_long_best_box2_atr80,2022-11-24 04:00:00+00:00,2022-12-05 14:01:28+00:00,True,ACCEPTED,0,0
2022-11-24 12:00:00|LONG|h4_d1_long_best_box2_atr80,2022-11-24 12:00:00+00:00,2022-12-13 13:00:42+00:00,False,MAXIMUM_ENTRIES_PER_UTC_DAY,1,1
2022-11-30 20:00:00|LONG|h4_d1_long_best_box2_atr80,2022-11-30 20:00:00+00:00,2022-12-13 13:14:31+00:00,True,ACCEPTED,1,0
2022-12-01 12:00:00|LONG|h4_d1_long_best_box2_atr80,2022-12-01 12:00:00+00:00,2022-12-15 07:30:20+00:00,False,MAXIMUM_CONCURRENT_POSITIONS,2,0
2022-12-01 16:00:00|LONG|h4_d1_long_best_box2_atr80,2022-12-01 16:00:00+00:00,2022-12-27 14:35:31+00:00,False,MAXIMUM_CONCURRENT_POSITIONS,2,0
2022-12-05 04:00:00|LONG|h4_d1_long_best_box2_atr80,2022-12-05 04:00:00+00:00,2023-01-03 02:22:36+00:00,False,MAXIMUM_CONCURRENT_POSITIONS,2,0
2022-12-09 04:00:00|LONG|h4_d1_long_best_box2_atr80,2022-12-09 04:00:00+00:00,2023-01-03 02:22:38+00:00,True,ACCEPTED,1,0
2022-12-09 12:00:00|LONG|h4_d1_long_best_box2_atr80,2022-12-09 12:00:00+00:00,2023-01-03 06:22:27+00:00,False,MAXIMUM_CONCURRENT_POSITIONS,2,1
2022-12-13 16:00:00|LONG|h4_d1_long_best_box2_atr80,2022-12-13 16:00:00+00:00,2023-01-04 06:26:27+00:00,True,ACCEPTED,1,0
2022-12-19 08:00:00|LONG|h4_d1_long_best_box2_atr80,2022-12-19 08:00:00+00:00,2023-01-04 07:23:05+00:00,False,MAXIMUM_CONCURRENT_POSITIONS,2,0
2022-12-20 08:00:00|LONG|h4_d1_long_best_box2_atr80,2022-12-20 08:00:00+00:00,2023-01-09 00:45:28+00:00,False,MAXIMUM_CONCURRENT_POSITIONS,2,0
2022-12-20 16:00:00|LONG|h4_d1_long_best_box2_atr80,2022-12-20 16:00:00+00:00,2023-01-09 06:18:30+00:00,False,MAXIMUM_CONCURRENT_POSITIONS,2,0
2022-12-27 12:00:00|LONG|h4_d1_long_best_box2_atr80,2022-12-27 12:00:00+00:00,2023-01-11 15:17:38+00:00,False,MAXIMUM_CONCURRENT_POSITIONS,2,0
2022-12-27 16:00:00|LONG|h4_d1_long_best_box2_atr80,2022-12-27 16:00:00+00:00,2023-01-12 11:21:17+00:00,False,MAXIMUM_CONCURRENT_POSITIONS,2,0
2023-01-03 04:00:00|LONG|h4_d1_long_best_box2_atr80,2023-01-03 04:00:00+00:00,2023-01-12 11:21:27+00:00,True,ACCEPTED,1,0
2023-01-03 20:00:00|LONG|h4_d1_long_best_box2_atr80,2023-01-03 20:00:00+00:00,2023-01-12 12:35:27+00:00,False,MAXIMUM_CONCURRENT_POSITIONS,2,1
2023-01-04 08:00:00|LONG|h4_d1_long_best_box2_atr80,2023-01-04 08:00:00+00:00,2023-01-16 01:50:15+00:00,True,ACCEPTED,1,0
2023-01-04 16:00:00|LONG|h4_d1_long_best_box2_atr80,2023-01-04 16:00:00+00:00,2023-01-16 01:58:31+00:00,False,MAXIMUM_CONCURRENT_POSITIONS,2,1
2023-01-09 04:00:00|LONG|h4_d1_long_best_box2_atr80,2023-01-09 04:00:00+00:00,2023-01-16 01:58:41+00:00,False,MAXIMUM_CONCURRENT_POSITIONS,2,0
2023-01-11 08:00:00|LONG|h4_d1_long_best_box2_atr80,2023-01-11 08:00:00+00:00,2023-01-19 19:11:14+00:00,False,MAXIMUM_CONCURRENT_POSITIONS,2,0
